timestep_2,region_4,technology_3,parameter,value
all,02ES,eFrtRail,capaConvResi,0.012063334
all,03ES,eFrtRail,capaConvResi,0.00882258
all,04ES,eFrtRail,capaConvResi,0.020836775
all,05ES,eFrtRail,capaConvResi,0.007519821
all,06ES,eFrtRail,capaConvResi,0.046742154
all,07ES,eFrtRail,capaConvResi,0.046716992
all,08ES,eFrtRail,capaConvResi,0.008970944
all,09ES,eFrtRail,capaConvResi,0.021029768
all,10ES,eFrtRail,capaConvResi,0.012077814
all,11ES,eFrtRail,capaConvResi,0.03848787
all,12PT,eFrtRail,capaConvResi,0.045371979
all,13PT,eFrtRail,capaConvResi,0.060795945
all,14FR,eFrtRail,capaConvResi,0.031746427
all,15FR,eFrtRail,capaConvResi,0.015104686
all,16FR,eFrtRail,capaConvResi,0.031581446
all,17FR,eFrtRail,capaConvResi,0.022819162
all,18FR,eFrtRail,capaConvResi,0.018498789
all,19FR,eFrtRail,capaConvResi,0.023976167
all,20FR,eFrtRail,capaConvResi,0.019063524
all,21FR,eFrtRail,capaConvResi,0.027546171
all,22FR,eFrtRail,capaConvResi,0.009940417
all,23FR,eFrtRail,capaConvResi,0.126514504
all,24FR,eFrtRail,capaConvResi,0.009830746
all,25FR,eFrtRail,capaConvResi,0.025940274
all,26FR,eFrtRail,capaConvResi,0.037027726
all,27FR,eFrtRail,capaConvResi,0.004712054
all,28BE,eFrtRail,capaConvResi,0.116903338
all,29LU,eFrtRail,capaConvResi,0.014850211
all,30NL,eFrtRail,capaConvResi,0.179490339
all,31DE,eFrtRail,capaConvResi,0.283603713
all,32DE,eFrtRail,capaConvResi,0.139186963
all,33DE,eFrtRail,capaConvResi,0.37814675
all,34DE,eFrtRail,capaConvResi,0.129973413
all,35DE,eFrtRail,capaConvResi,0.25254356
all,36DE,eFrtRail,capaConvResi,0.25622371
all,37DE,eFrtRail,capaConvResi,0.314809144
all,38DK,eFrtRail,capaConvResi,0.020097564
all,39CZ,eFrtRail,capaConvResi,0.246674975
all,40CZ,eFrtRail,capaConvResi,0.150063144
