region_4,region_4,exchange_1,parameter,value
04ES,75FI,biomassTransport,capaExcResi,0
05ES,75FI,biomassTransport,capaExcResi,0
06ES,75FI,biomassTransport,capaExcResi,0
07ES,75FI,biomassTransport,capaExcResi,0
08ES,75FI,biomassTransport,capaExcResi,0
09ES,75FI,biomassTransport,capaExcResi,0
10ES,75FI,biomassTransport,capaExcResi,0
12PT,75FI,biomassTransport,capaExcResi,0
14FR,75FI,biomassTransport,capaExcResi,0
15FR,75FI,biomassTransport,capaExcResi,0
16FR,75FI,biomassTransport,capaExcResi,0
17FR,75FI,biomassTransport,capaExcResi,0
18FR,75FI,biomassTransport,capaExcResi,0
19FR,75FI,biomassTransport,capaExcResi,0
20FR,75FI,biomassTransport,capaExcResi,0
21FR,75FI,biomassTransport,capaExcResi,0
22FR,75FI,biomassTransport,capaExcResi,0
23FR,75FI,biomassTransport,capaExcResi,0
24FR,75FI,biomassTransport,capaExcResi,0
25FR,75FI,biomassTransport,capaExcResi,0
26FR,75FI,biomassTransport,capaExcResi,0
27FR,75FI,biomassTransport,capaExcResi,0
28BE,75FI,biomassTransport,capaExcResi,0
29LU,75FI,biomassTransport,capaExcResi,0
30NL,75FI,biomassTransport,capaExcResi,0
31DE,75FI,biomassTransport,capaExcResi,0
32DE,75FI,biomassTransport,capaExcResi,0
33DE,75FI,biomassTransport,capaExcResi,0
34DE,75FI,biomassTransport,capaExcResi,0
35DE,75FI,biomassTransport,capaExcResi,0
36DE,75FI,biomassTransport,capaExcResi,0
37DE,75FI,biomassTransport,capaExcResi,0
39CZ,75FI,biomassTransport,capaExcResi,0
40CZ,75FI,biomassTransport,capaExcResi,0
41PL,75FI,biomassTransport,capaExcResi,0
42PL,75FI,biomassTransport,capaExcResi,0
43PL,75FI,biomassTransport,capaExcResi,0
44PL,75FI,biomassTransport,capaExcResi,0
46SK,75FI,biomassTransport,capaExcResi,0
47CH,75FI,biomassTransport,capaExcResi,0
48CH,75FI,biomassTransport,capaExcResi,0
49AT,75FI,biomassTransport,capaExcResi,0
50AT,75FI,biomassTransport,capaExcResi,0
51AT,75FI,biomassTransport,capaExcResi,0
52IT,75FI,biomassTransport,capaExcResi,0
53IT,75FI,biomassTransport,capaExcResi,0
54IT,75FI,biomassTransport,capaExcResi,0
58HU,75FI,biomassTransport,capaExcResi,0
59RO,75FI,biomassTransport,capaExcResi,0
60RO,75FI,biomassTransport,capaExcResi,0
61RO,75FI,biomassTransport,capaExcResi,0
62HR,75FI,biomassTransport,capaExcResi,0
63BA,75FI,biomassTransport,capaExcResi,0
64ME,75FI,biomassTransport,capaExcResi,0
65RS,75FI,biomassTransport,capaExcResi,0
66BG,75FI,biomassTransport,capaExcResi,0
68GR,75FI,biomassTransport,capaExcResi,0
