timestep_2,region_3,technology_3,parameter_1,value_1,parameter_2,value_2,comment
all,30NL,moderate,capaConvUp,19.83,costExpConv,19575.7,
all,31DE,moderate,capaConvUp,18.51,costExpConv,14316,
all,32DE,moderate,capaConvUp,11.48,costExpConv,14128.7,
all,33DE,moderate,capaConvUp,24.2,costExpConv,14392.1,
all,34DE,moderate,capaConvUp,11.54,costExpConv,14832.1,
all,35DE,moderate,capaConvUp,15.81,costExpConv,14124.2,
all,36DE,moderate,capaConvUp,15.67,costExpConv,13825.3,
all,37DE,moderate,capaConvUp,18.7,costExpConv,13983.6,
all,38DK,moderate,capaConvUp,4.69,costExpConv,19340.3,
all,39CZ,moderate,capaConvUp,5.97,costExpConv,7638.3,
all,40CZ,moderate,capaConvUp,4.69,costExpConv,7562.7,
all,41PL,moderate,capaConvUp,6.14,costExpConv,6612.7,
all,42PL,moderate,capaConvUp,4.4,costExpConv,6468.3,
all,43PL,moderate,capaConvUp,6.04,costExpConv,6745.7,
all,44PL,moderate,capaConvUp,5.59,costExpConv,6788,
all,45PL,moderate,capaConvUp,5.03,costExpConv,5756.4,
all,46SK,moderate,capaConvUp,3.45,costExpConv,8094.3,
all,47CH,moderate,capaConvUp,10.15,costExpConv,48469.1,
all,48CH,moderate,capaConvUp,1.25,costExpConv,40694.5,
all,49AT,moderate,capaConvUp,2.36,costExpConv,16683.2,
all,50AT,moderate,capaConvUp,3.28,costExpConv,16545.9,
all,51AT,moderate,capaConvUp,4.32,costExpConv,16671.5,
all,52IT,moderate,capaConvUp,30.32,costExpConv,11063.2,
all,53IT,moderate,capaConvUp,5.77,costExpConv,11144.4,
all,54IT,moderate,capaConvUp,11.13,costExpConv,11190.9,
all,55IT,moderate,capaConvUp,5.82,costExpConv,10781.8,
all,56IT,moderate,capaConvUp,3.56,costExpConv,10652.4,
all,57SI,moderate,capaConvUp,2.18,costExpConv,9838.9,
all,58HU,moderate,capaConvUp,10.47,costExpConv,7008.6,
all,59RO,moderate,capaConvUp,1.85,costExpConv,9607.6,
all,60RO,moderate,capaConvUp,2.61,costExpConv,9683.9,
all,61RO,moderate,capaConvUp,2.11,costExpConv,9554.7,
all,62HR,moderate,capaConvUp,3.61,costExpConv,2988.3,
all,63BA,moderate,capaConvUp,2.04,costExpConv,5550.4,
all,64ME,moderate,capaConvUp,0.33,costExpConv,5853,
all,65RS,moderate,capaConvUp,3.44,costExpConv,4754.7,
all,66BG,moderate,capaConvUp,3,costExpConv,12328.5,
all,67MK,moderate,capaConvUp,0.93,costExpConv,5835.5,
all,68GR,moderate,capaConvUp,1.54,costExpConv,36732.9,
all,69GR,moderate,capaConvUp,2.22,costExpConv,36466.7,
all,70AL,moderate,capaConvUp,1.44,costExpConv,3749.7,
all,72DK,moderate,capaConvUp,3.8,costExpConv,20029.8,
all,73EE,moderate,capaConvUp,2.12,costExpConv,12824.6,
all,74FI,moderate,capaConvUp,1.78,costExpConv,6613.4,
all,75FI,moderate,capaConvUp,10.95,costExpConv,6732.2,
all,77LT,moderate,capaConvUp,2.09,costExpConv,10331.2,
all,78LV,moderate,capaConvUp,1.81,costExpConv,7985.1,
all,79NO,moderate,capaConvUp,0.51,costExpConv,496.4,
all,80NO,moderate,capaConvUp,1.17,costExpConv,495.8,
all,81NO,moderate,capaConvUp,1.83,costExpConv,648.3,
all,82NO,moderate,capaConvUp,3.15,costExpConv,713,
all,83NO,moderate,capaConvUp,0.97,costExpConv,611.3,
all,84NO,moderate,capaConvUp,0.92,costExpConv,538.2,
all,85NO,moderate,capaConvUp,0.13,costExpConv,558,
all,86SE,moderate,capaConvUp,0.77,costExpConv,7188.7,
all,87SE,moderate,capaConvUp,2.44,costExpConv,7449.7,
all,88SE,moderate,capaConvUp,16.37,costExpConv,7261.3,
all,89SE,moderate,capaConvUp,4.42,costExpConv,7338.2,
all,90UK,moderate,capaConvUp,16.67,costExpConv,29402.2,
all,91UK,moderate,capaConvUp,3.73,costExpConv,28921,
all,92UK,moderate,capaConvUp,17.13,costExpConv,28481.9,
all,93UK,moderate,capaConvUp,4.82,costExpConv,28225.1,
all,94UK,moderate,capaConvUp,2.8,costExpConv,28106.6,
all,95UK,moderate,capaConvUp,1.43,costExpConv,27385.5,
all,96IE,moderate,capaConvUp,4.2,costExpConv,22262.3,
all,98IT,moderate,capaConvUp,1.35,costExpConv,10617.3,
all,99FR,moderate,capaConvUp,0.29,costExpConv,11261.9,
all,01ES,ambitious,capaConvUp,0.58,costExpConv,79691,
all,02ES,ambitious,capaConvUp,0.59,costExpConv,80574.8,
all,03ES,ambitious,capaConvUp,0.39,costExpConv,79475.6,
all,04ES,ambitious,capaConvUp,0.65,costExpConv,84452.3,
all,05ES,ambitious,capaConvUp,0.28,costExpConv,80486.3,
all,06ES,ambitious,capaConvUp,1.46,costExpConv,82536.3,
all,07ES,ambitious,capaConvUp,1.38,costExpConv,84249.5,
all,08ES,ambitious,capaConvUp,0.49,costExpConv,78148.8,
all,09ES,ambitious,capaConvUp,0.88,costExpConv,80434.9,
all,10ES,ambitious,capaConvUp,0.54,costExpConv,79944.5,
all,11ES,ambitious,capaConvUp,1.42,costExpConv,80910.2,
all,12PT,ambitious,capaConvUp,0.49,costExpConv,171360.8,
all,13PT,ambitious,capaConvUp,0.39,costExpConv,175856.1,
all,14FR,ambitious,capaConvUp,3.06,costExpConv,32542.4,
all,15FR,ambitious,capaConvUp,1.8,costExpConv,32615,
all,16FR,ambitious,capaConvUp,2.95,costExpConv,33620.9,
all,17FR,ambitious,capaConvUp,2.68,costExpConv,32182.3,
all,18FR,ambitious,capaConvUp,2.29,costExpConv,32341.2,
all,19FR,ambitious,capaConvUp,2.17,costExpConv,33433.4,
all,20FR,ambitious,capaConvUp,2.17,costExpConv,33306.3,
all,21FR,ambitious,capaConvUp,2.95,costExpConv,32386,
all,22FR,ambitious,capaConvUp,1.27,costExpConv,32343.5,
all,23FR,ambitious,capaConvUp,7.24,costExpConv,34512.5,
all,24FR,ambitious,capaConvUp,1.25,costExpConv,32506.3,
all,25FR,ambitious,capaConvUp,3.46,costExpConv,33030.1,
all,26FR,ambitious,capaConvUp,4.69,costExpConv,32426.5,
all,27FR,ambitious,capaConvUp,0.56,costExpConv,32834.6,
all,28BE,ambitious,capaConvUp,7.33,costExpConv,33119,
all,29LU,ambitious,capaConvUp,0.66,costExpConv,28916.7,
all,30NL,ambitious,capaConvUp,9.59,costExpConv,61430.6,
all,31DE,ambitious,capaConvUp,9.51,costExpConv,45947.4,
all,32DE,ambitious,capaConvUp,5.89,costExpConv,45346.2,
all,33DE,ambitious,capaConvUp,12.43,costExpConv,46191.8,
all,34DE,ambitious,capaConvUp,5.92,costExpConv,47603.8,
all,35DE,ambitious,capaConvUp,8.12,costExpConv,45331.8,
all,36DE,ambitious,capaConvUp,8.05,costExpConv,44372.6,
all,37DE,ambitious,capaConvUp,9.6,costExpConv,44880.7,
all,38DK,ambitious,capaConvUp,2.54,costExpConv,61091.1,
all,39CZ,ambitious,capaConvUp,3.07,costExpConv,24235.8,
all,40CZ,ambitious,capaConvUp,2.41,costExpConv,23995.8,
all,41PL,ambitious,capaConvUp,3.23,costExpConv,20108.7,
all,42PL,ambitious,capaConvUp,2.31,costExpConv,19669.6,
all,43PL,ambitious,capaConvUp,3.18,costExpConv,20513.1,
all,44PL,ambitious,capaConvUp,2.94,costExpConv,20641.9,
all,45PL,ambitious,capaConvUp,2.65,costExpConv,17504.7,
all,46SK,ambitious,capaConvUp,1.61,costExpConv,26929.8,
all,47CH,ambitious,capaConvUp,5.62,costExpConv,148053.1,
all,48CH,ambitious,capaConvUp,0.69,costExpConv,124304.8,
all,49AT,ambitious,capaConvUp,1.21,costExpConv,52330.8,
all,50AT,ambitious,capaConvUp,1.68,costExpConv,51900.1,
all,51AT,ambitious,capaConvUp,2.22,costExpConv,52294.1,
all,52IT,ambitious,capaConvUp,15.16,costExpConv,32602.3,
all,53IT,ambitious,capaConvUp,2.89,costExpConv,32841.5,
all,54IT,ambitious,capaConvUp,5.56,costExpConv,32978.7,
all,55IT,ambitious,capaConvUp,2.91,costExpConv,31772.9,
all,56IT,ambitious,capaConvUp,1.78,costExpConv,31391.6,
all,57SI,ambitious,capaConvUp,1.31,costExpConv,25526.3,
all,58HU,ambitious,capaConvUp,5.1,costExpConv,23928.3,
all,59RO,ambitious,capaConvUp,0.83,costExpConv,35187.9,
all,60RO,ambitious,capaConvUp,1.17,costExpConv,35467.3,
all,61RO,ambitious,capaConvUp,0.95,costExpConv,34993.9,
all,62HR,ambitious,capaConvUp,1.96,costExpConv,8172.5,
all,63BA,ambitious,capaConvUp,1.11,costExpConv,15370.1,
all,64ME,ambitious,capaConvUp,0.17,costExpConv,17343.7,
all,65RS,ambitious,capaConvUp,1.72,costExpConv,14960.8,
all,66BG,ambitious,capaConvUp,1.45,costExpConv,38872.1,
all,67MK,ambitious,capaConvUp,0.46,costExpConv,17205.9,
all,68GR,ambitious,capaConvUp,0.77,costExpConv,101252.6,
all,69GR,ambitious,capaConvUp,1.11,costExpConv,100518.8,
all,70AL,ambitious,capaConvUp,0.7,costExpConv,11870.7,
all,72DK,ambitious,capaConvUp,2.06,costExpConv,63269,
all,73EE,ambitious,capaConvUp,1.46,costExpConv,27933.4,
all,74FI,ambitious,capaConvUp,1.01,costExpConv,19759.7,
all,75FI,ambitious,capaConvUp,6.2,costExpConv,20114.8,
all,77LT,ambitious,capaConvUp,1.07,costExpConv,33384.2,
all,78LV,ambitious,capaConvUp,0.88,costExpConv,28506,
all,79NO,ambitious,capaConvUp,0.29,costExpConv,1488.6,
all,80NO,ambitious,capaConvUp,0.68,costExpConv,1486.8,
all,81NO,ambitious,capaConvUp,1.06,costExpConv,1944.2,
all,82NO,ambitious,capaConvUp,1.82,costExpConv,2138.3,
all,83NO,ambitious,capaConvUp,0.56,costExpConv,1833.3,
all,84NO,ambitious,capaConvUp,0.53,costExpConv,1614.1,
all,85NO,ambitious,capaConvUp,0.07,costExpConv,1673.4,
all,86SE,ambitious,capaConvUp,0.43,costExpConv,22232.3,
all,87SE,ambitious,capaConvUp,1.37,costExpConv,23039.3,
all,88SE,ambitious,capaConvUp,9.19,costExpConv,22456.8,
all,89SE,ambitious,capaConvUp,2.48,costExpConv,22694.4,
all,90UK,ambitious,capaConvUp,9.09,costExpConv,77398,
all,91UK,ambitious,capaConvUp,2.03,costExpConv,76131.4,
all,92UK,ambitious,capaConvUp,9.34,costExpConv,74975.5,
all,93UK,ambitious,capaConvUp,2.63,costExpConv,74299.5,
all,94UK,ambitious,capaConvUp,1.53,costExpConv,73987.5,
all,95UK,ambitious,capaConvUp,0.78,costExpConv,72089.3,
all,96IE,ambitious,capaConvUp,2.22,costExpConv,63504.9,
all,98IT,ambitious,capaConvUp,0.68,costExpConv,31288.2,
all,99FR,ambitious,capaConvUp,0.16,costExpConv,32942.6,
