technology_1,technology_2,technology_3,timestep_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,source
ccgt,ccgtGasCHP,ccgtGasChpProLow,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
ccgt,ccgtH2CHP,ccgtH2ChpProLow,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
engineLow,,,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
engineMed,,,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
heatpump,,heatpumpPro,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
miscProHeat,bioBoilerPro,bioBoilerProLow,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
miscProHeat,coalBoilerPro,coalBoilerProLow,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
miscProHeat,electricHeatPro,resistiveHeatProLow,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
miscProHeat,gasBoilerPro,gasBoilerProLow,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
miscProHeat,h2BoilerPro,h2BoilerProLow,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
miscProHeat,oilBoilerPro,oilLiquidBoilerProLow,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
networkHeat,heatGrid,districtHeatPro,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
powerToX,sofc,sofcProLow,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
solar,rooftopInd_a,solarThermalInd_a,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
solar,rooftopInd_b,solarThermalInd_b,,stInToConvFix,1,effStIn,0.975,effStOut,0.975,stDis,0.0001,
networkHeat,heatStorage,heatStorageLh,,costExpStSize,14.7,costOprStSize,,costExpStOut,0.147,,,
networkHeat,heatStorage,heatStorageLh,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
networkHeat,heatStorage,heatStorageLh,,effStIn,0.975,effStOut,0.975,stDis,0.0001,,,
networkHeat,heatStorage,heatStorageDh,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
networkHeat,heatStorage,heatStorageDh,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
networkHeat,heatStorage,heatStorageDh,,effStIn,0.975,effStOut,0.975,stDis,0.0003,,,
