region_4,region_4,exchange_1,exchange_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,source
23FR,18FR,gasGrid,dir,capaExcResiDir,36.871,costOprExc,0.0555,lossExc,0.0067,
27FR,26FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0445,lossExc,0.0054,
27FR,25FR,gasGrid,dir,capaExcResiDir,36.871,costOprExc,0.0474,lossExc,0.0057,
22FR,23FR,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0535,lossExc,0.0065,
18FR,23FR,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0555,lossExc,0.0067,
23FR,22FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0535,lossExc,0.0065,
17FR,18FR,gasGrid,dir,capaExcResiDir,49.162,costOprExc,0.0574,lossExc,0.0069,
22FR,18FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0799,lossExc,0.0096,
39CZ,40CZ,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0457,lossExc,0.0055,
11ES,10ES,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0851,lossExc,0.0103,
89SE,88SE,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0954,lossExc,0.0115,
53IT,54IT,gasGrid,dir,capaExcResiDir,7.688,costOprExc,0.0782,lossExc,0.0094,
51AT,50AT,gasGrid,dir,capaExcResiDir,12.856,costOprExc,0.0313,lossExc,0.0038,
01ES,02ES,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0641,lossExc,0.0077,
22FR,26FR,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0573,lossExc,0.0069,
26FR,22FR,gasGrid,dir,capaExcResiDir,49.162,costOprExc,0.0573,lossExc,0.0069,
18FR,24FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.05,lossExc,0.006,
16FR,19FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0481,lossExc,0.0058,
27FR,24FR,gasGrid,dir,capaExcResiDir,36.871,costOprExc,0.0553,lossExc,0.0067,
23FR,24FR,gasGrid,dir,capaExcResiDir,36.871,costOprExc,0.0564,lossExc,0.0068,
38DK,72DK,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0475,lossExc,0.0057,
61RO,59RO,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.077,lossExc,0.0093,
60RO,61RO,gasGrid,dir,capaExcResiDir,36.871,costOprExc,0.0789,lossExc,0.0095,
15FR,14FR,gasGrid,dir,capaExcResiDir,49.162,costOprExc,0.0387,lossExc,0.0047,
24FR,27FR,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0553,lossExc,0.0067,
60RO,59RO,gasGrid,dir,capaExcResiDir,36.871,costOprExc,0.0513,lossExc,0.0062,
24FR,25FR,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0457,lossExc,0.0055,
22FR,17FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0693,lossExc,0.0084,
14FR,17FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0902,lossExc,0.0109,
20FR,16FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.061,lossExc,0.0074,
44PL,43PL,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0891,lossExc,0.0108,
05ES,03ES,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0734,lossExc,0.0089,
44PL,41PL,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0823,lossExc,0.0099,
28BE,26FR,gasGrid,dir,capaExcResiDir,34.453,costOprExc,0.0568,lossExc,0.0069,
33DE,30NL,gasGrid,dir,capaExcResiDir,13.174,costOprExc,0.0495,lossExc,0.006,
30NL,33DE,gasGrid,dir,capaExcResiDir,32.856,costOprExc,0.0495,lossExc,0.006,
33DE,35DE,gasGrid,dir,capaExcResiDir,100.405,costOprExc,0.0362,lossExc,0.0044,
35DE,33DE,gasGrid,dir,capaExcResiDir,41.335,costOprExc,0.0362,lossExc,0.0044,
33DE,31DE,gasGrid,dir,capaExcResiDir,122.749,costOprExc,0.0709,lossExc,0.0086,
32DE,31DE,gasGrid,dir,capaExcResiDir,65.413,costOprExc,0.0657,lossExc,0.0079,
32DE,34DE,gasGrid,dir,capaExcResiDir,134.899,costOprExc,0.0759,lossExc,0.0092,
34DE,35DE,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0799,lossExc,0.0096,
31DE,33DE,gasGrid,dir,capaExcResiDir,69.626,costOprExc,0.0709,lossExc,0.0086,
37DE,35DE,gasGrid,dir,capaExcResiDir,94.379,costOprExc,0.0678,lossExc,0.0082,
35DE,36DE,gasGrid,dir,capaExcResiDir,64.034,costOprExc,0.0583,lossExc,0.007,
31DE,32DE,gasGrid,dir,capaExcResiDir,81.952,costOprExc,0.0657,lossExc,0.0079,
35DE,37DE,gasGrid,dir,capaExcResiDir,54.254,costOprExc,0.0678,lossExc,0.0082,
36DE,37DE,gasGrid,dir,capaExcResiDir,11.735,costOprExc,0.0371,lossExc,0.0045,
34DE,32DE,gasGrid,dir,capaExcResiDir,70.027,costOprExc,0.0759,lossExc,0.0092,
37DE,36DE,gasGrid,dir,capaExcResiDir,4.392,costOprExc,0.0371,lossExc,0.0045,
39CZ,37DE,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0779,lossExc,0.0094,
