timestep_3,region_1,scenario_1,technology_1,parameter,value
h0183,BE,s1989,solar,avaConv,0.0178514913629325
h0184,BE,s1989,solar,avaConv,0.00206251402775781
h0185,BE,s1989,solar,avaConv,0.0
h0186,BE,s1989,solar,avaConv,0.0
h0187,BE,s1989,solar,avaConv,0.0
h0188,BE,s1989,solar,avaConv,0.0
h0189,BE,s1989,solar,avaConv,0.0
h0190,BE,s1989,solar,avaConv,0.0
h0191,BE,s1989,solar,avaConv,0.0
h0192,BE,s1989,solar,avaConv,0.0
h0193,BE,s1989,solar,avaConv,0.0
h0194,BE,s1989,solar,avaConv,0.0
h0195,BE,s1989,solar,avaConv,0.0
h0196,BE,s1989,solar,avaConv,0.0
h0197,BE,s1989,solar,avaConv,0.0
h0198,BE,s1989,solar,avaConv,0.0
h0199,BE,s1989,solar,avaConv,0.0
h0200,BE,s1989,solar,avaConv,0.000323514954291416
h0201,BE,s1989,solar,avaConv,0.0154848501979285
h0202,BE,s1989,solar,avaConv,0.0469145419399184
h0203,BE,s1989,solar,avaConv,0.0820567847900863
h0204,BE,s1989,solar,avaConv,0.100812112016459
h0205,BE,s1989,solar,avaConv,0.0984364140217447
h0206,BE,s1989,solar,avaConv,0.0609865299760404
h0207,BE,s1989,solar,avaConv,0.0250054276781134
h0208,BE,s1989,solar,avaConv,0.00294246914567121
h0209,BE,s1989,solar,avaConv,0.0
h0210,BE,s1989,solar,avaConv,0.0
h0211,BE,s1989,solar,avaConv,0.0
h0212,BE,s1989,solar,avaConv,0.0
h0213,BE,s1989,solar,avaConv,0.0
h0214,BE,s1989,solar,avaConv,0.0
h0215,BE,s1989,solar,avaConv,0.0
h0216,BE,s1989,solar,avaConv,0.0
h0217,BE,s1989,solar,avaConv,0.0
h0218,BE,s1989,solar,avaConv,0.0
h0219,BE,s1989,solar,avaConv,0.0
h0220,BE,s1989,solar,avaConv,0.0
h0221,BE,s1989,solar,avaConv,0.0
h0222,BE,s1989,solar,avaConv,0.0
h0223,BE,s1989,solar,avaConv,0.0
h0224,BE,s1989,solar,avaConv,0.00015864798458499
h0225,BE,s1989,solar,avaConv,0.0095090229232505
h0226,BE,s1989,solar,avaConv,0.0255833637150273
h0227,BE,s1989,solar,avaConv,0.043652473655612
h0228,BE,s1989,solar,avaConv,0.050565512230579
h0229,BE,s1989,solar,avaConv,0.0424982707308583
h0230,BE,s1989,solar,avaConv,0.0406831594798558
h0231,BE,s1989,solar,avaConv,0.0310715136353482
