timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0195,DE,s2002,electricity,dem,52.9746528728161
h0196,DE,s2002,electricity,dem,53.8169262244645
h0197,DE,s2002,electricity,dem,55.7633781475414
h0198,DE,s2002,electricity,dem,60.7504358398491
h0199,DE,s2002,electricity,dem,65.9449358398491
h0200,DE,s2002,electricity,dem,68.6871089167721
h0201,DE,s2002,electricity,dem,70.0601089167721
h0202,DE,s2002,electricity,dem,71.3542682574315
h0203,DE,s2002,electricity,dem,72.3460773233656
h0204,DE,s2002,electricity,dem,71.8616721035853
h0205,DE,s2002,electricity,dem,70.6808286969919
h0206,DE,s2002,electricity,dem,69.4588025980908
h0207,DE,s2002,electricity,dem,68.8514784222667
h0208,DE,s2002,electricity,dem,69.3061391365524
h0209,DE,s2002,electricity,dem,71.7464660596293
h0210,DE,s2002,electricity,dem,72.5430429827062
h0211,DE,s2002,electricity,dem,71.1107023233656
h0212,DE,s2002,electricity,dem,67.5005814442447
h0213,DE,s2002,electricity,dem,64.5602792464425
h0214,DE,s2002,electricity,dem,62.7391322684205
h0215,DE,s2002,electricity,dem,58.9807449057831
h0216,DE,s2002,electricity,dem,55.8600869387502
h0217,DE,s2002,electricity,dem,53.6270548339051
h0218,DE,s2002,electricity,dem,52.676278735004
h0219,DE,s2002,electricity,dem,52.7213158229161
h0220,DE,s2002,electricity,dem,53.5635891745645
h0221,DE,s2002,electricity,dem,55.5100410976414
h0222,DE,s2002,electricity,dem,60.4970987899491
h0223,DE,s2002,electricity,dem,65.6915987899491
h0224,DE,s2002,electricity,dem,68.4337718668722
h0225,DE,s2002,electricity,dem,69.8067718668721
h0226,DE,s2002,electricity,dem,71.1009312075315
h0227,DE,s2002,electricity,dem,72.0927402734656
h0228,DE,s2002,electricity,dem,71.6083350536853
h0229,DE,s2002,electricity,dem,70.4274916470919
h0230,DE,s2002,electricity,dem,69.2054655481908
h0231,DE,s2002,electricity,dem,68.5981413723667
h0232,DE,s2002,electricity,dem,69.0528020866524
h0233,DE,s2002,electricity,dem,71.4931290097293
h0234,DE,s2002,electricity,dem,72.2897059328062
h0235,DE,s2002,electricity,dem,70.8573652734656
h0236,DE,s2002,electricity,dem,67.2472443943447
h0237,DE,s2002,electricity,dem,64.3069421965425
h0238,DE,s2002,electricity,dem,62.4857952185205
h0239,DE,s2002,electricity,dem,58.7274078558831
h0240,DE,s2002,electricity,dem,55.6067498888502
h0241,DE,s2002,electricity,dem,51.7110877682051
h0242,DE,s2002,electricity,dem,50.760311669304
h0243,DE,s2002,electricity,dem,50.8053487572161
h0244,DE,s2002,electricity,dem,51.6476221088645
h0245,DE,s2002,electricity,dem,53.5940740319414
h0246,DE,s2002,electricity,dem,58.5811317242491
h0247,DE,s2002,electricity,dem,63.7756317242491
h0248,DE,s2002,electricity,dem,66.5178048011722
h0249,DE,s2002,electricity,dem,67.8908048011722
h0250,DE,s2002,electricity,dem,69.1849641418315
h0251,DE,s2002,electricity,dem,70.1767732077656
h0252,DE,s2002,electricity,dem,69.6923679879853
h0253,DE,s2002,electricity,dem,68.5115245813919
h0254,DE,s2002,electricity,dem,67.2894984824908
h0255,DE,s2002,electricity,dem,66.6821743066667
h0256,DE,s2002,electricity,dem,67.1368350209524
h0257,DE,s2002,electricity,dem,69.5771619440293
h0258,DE,s2002,electricity,dem,70.3737388671062
h0259,DE,s2002,electricity,dem,68.9413982077656
h0260,DE,s2002,electricity,dem,65.3312773286447
h0261,DE,s2002,electricity,dem,62.3909751308425
h0262,DE,s2002,electricity,dem,60.5698281528205
h0263,DE,s2002,electricity,dem,56.8114407901831
h0264,DE,s2002,electricity,dem,53.6907828231502
h0265,DE,s2002,electricity,dem,42.6537505847051
h0266,DE,s2002,electricity,dem,41.702974485804
h0267,DE,s2002,electricity,dem,41.7480115737161
h0268,DE,s2002,electricity,dem,42.5902849253645
h0269,DE,s2002,electricity,dem,44.5367368484414
h0270,DE,s2002,electricity,dem,49.5237945407491
h0271,DE,s2002,electricity,dem,54.7182945407491
h0272,DE,s2002,electricity,dem,57.4604676176721
h0273,DE,s2002,electricity,dem,58.8334676176721
h0274,DE,s2002,electricity,dem,60.1276269583315
h0275,DE,s2002,electricity,dem,61.1194360242656
h0276,DE,s2002,electricity,dem,60.6350308044853
h0277,DE,s2002,electricity,dem,59.4541873978919
h0278,DE,s2002,electricity,dem,58.2321612989908
h0279,DE,s2002,electricity,dem,57.6248371231667
h0280,DE,s2002,electricity,dem,58.0794978374524
h0281,DE,s2002,electricity,dem,60.5198247605293
h0282,DE,s2002,electricity,dem,61.3164016836062
h0283,DE,s2002,electricity,dem,59.8840610242656
h0284,DE,s2002,electricity,dem,56.2739401451447
h0285,DE,s2002,electricity,dem,53.3336379473425
h0286,DE,s2002,electricity,dem,51.5124909693205
h0287,DE,s2002,electricity,dem,47.7541036066831
h0288,DE,s2002,electricity,dem,44.6334456396502
h0289,DE,s2002,electricity,dem,39.1793161087051
h0290,DE,s2002,electricity,dem,38.228540009804
h0291,DE,s2002,electricity,dem,38.2735770977161
h0292,DE,s2002,electricity,dem,39.1158504493645
h0293,DE,s2002,electricity,dem,41.0623023724414
h0294,DE,s2002,electricity,dem,46.0493600647491
h0295,DE,s2002,electricity,dem,51.2438600647491
h0296,DE,s2002,electricity,dem,53.9860331416722
h0297,DE,s2002,electricity,dem,55.3590331416721
h0298,DE,s2002,electricity,dem,56.6531924823315
h0299,DE,s2002,electricity,dem,57.6450015482656
h0300,DE,s2002,electricity,dem,57.1605963284853
h0301,DE,s2002,electricity,dem,55.9797529218919
h0302,DE,s2002,electricity,dem,54.7577268229908
h0303,DE,s2002,electricity,dem,54.1504026471667
h0304,DE,s2002,electricity,dem,54.6050633614524
h0305,DE,s2002,electricity,dem,57.0453902845293
h0306,DE,s2002,electricity,dem,57.8419672076062
h0307,DE,s2002,electricity,dem,56.4096265482656
h0308,DE,s2002,electricity,dem,52.7995056691447
h0309,DE,s2002,electricity,dem,49.8592034713425
h0310,DE,s2002,electricity,dem,48.0380564933205
h0311,DE,s2002,electricity,dem,44.2796691306831
h0312,DE,s2002,electricity,dem,41.1590111636502
h0313,DE,s2002,electricity,dem,51.7048738874051
h0314,DE,s2002,electricity,dem,50.754097788504
h0315,DE,s2002,electricity,dem,50.7991348764162
h0316,DE,s2002,electricity,dem,51.6414082280645
h0317,DE,s2002,electricity,dem,53.5878601511414
h0318,DE,s2002,electricity,dem,58.5749178434491
h0319,DE,s2002,electricity,dem,63.7694178434491
h0320,DE,s2002,electricity,dem,66.5115909203722
h0321,DE,s2002,electricity,dem,67.8845909203722
h0322,DE,s2002,electricity,dem,69.1787502610315
h0323,DE,s2002,electricity,dem,70.1705593269656
h0324,DE,s2002,electricity,dem,69.6861541071853
h0325,DE,s2002,electricity,dem,68.5053107005919
h0326,DE,s2002,electricity,dem,67.2832846016908
h0327,DE,s2002,electricity,dem,66.6759604258667
h0328,DE,s2002,electricity,dem,67.1306211401524
h0329,DE,s2002,electricity,dem,69.5709480632293
h0330,DE,s2002,electricity,dem,70.3675249863062
