timestep_2,region_4,region_4,exchange_1,exchange_2,parameter,value
,65RS,70AL,h2Transport,,capaExcResi,0
,66BG,67MK,h2Transport,,capaExcResi,0
,66BG,68GR,h2Transport,,capaExcResi,0
,68GR,69GR,h2Transport,,capaExcResi,0
,68GR,70AL,h2Transport,,capaExcResi,0
,73EE,91UK,h2Transport,,capaExcResi,0
,74FI,80NO,h2Transport,,capaExcResi,0
,75FI,77LT,h2Transport,,capaExcResi,0
,75FI,88SE,h2Transport,,capaExcResi,0
,77LT,90UK,h2Transport,,capaExcResi,0
,79NO,80NO,h2Transport,,capaExcResi,0
,81NO,82NO,h2Transport,,capaExcResi,0
,82NO,84NO,h2Transport,,capaExcResi,0
,83NO,85NO,h2Transport,,capaExcResi,0
,84NO,85NO,h2Transport,,capaExcResi,0
,84NO,90UK,h2Transport,,capaExcResi,0
,86SE,88SE,h2Transport,,capaExcResi,0
,86SE,89SE,h2Transport,,capaExcResi,0
,89SE,90UK,h2Transport,,capaExcResi,0
,90UK,91UK,h2Transport,,capaExcResi,0
,92UK,94UK,h2Transport,,capaExcResi,0
,93UK,94UK,h2Transport,,capaExcResi,0
,94UK,95UK,h2Transport,,capaExcResi,0
,95UK,96IE,h2Transport,,capaExcResi,0
,02ES,08ES,h2Transport,,capaExcResi,0
,07ES,11ES,h2Transport,,capaExcResi,0
,01ES,12PT,h2Transport,,capaExcResi,0
,09ES,13PT,h2Transport,,capaExcResi,0
,05ES,14FR,h2Transport,,capaExcResi,0
,06ES,15FR,h2Transport,,capaExcResi,0
,14FR,18FR,h2Transport,,capaExcResi,0
,15FR,19FR,h2Transport,,capaExcResi,0
,16FR,20FR,h2Transport,,capaExcResi,0
,18FR,22FR,h2Transport,,capaExcResi,0
,19FR,24FR,h2Transport,,capaExcResi,0
,25FR,28BE,h2Transport,,capaExcResi,0
,26FR,28BE,h2Transport,,capaExcResi,0
,28BE,29LU,h2Transport,,capaExcResi,0
,30NL,31DE,h2Transport,,capaExcResi,0
,31DE,32DE,h2Transport,,capaExcResi,0
,31DE,35DE,h2Transport,,capaExcResi,0
,34DE,35DE,h2Transport,,capaExcResi,0
,34DE,37DE,h2Transport,,capaExcResi,0
,34DE,39CZ,h2Transport,,capaExcResi,0
,42PL,46SK,h2Transport,,capaExcResi,0
,36DE,49AT,h2Transport,,capaExcResi,0
,47CH,49AT,h2Transport,,capaExcResi,0
,16FR,52IT,h2Transport,,capaExcResi,0
,55IT,56IT,h2Transport,,capaExcResi,0
,58HU,59RO,h2Transport,,capaExcResi,0
,59RO,61RO,h2Transport,,capaExcResi,0
,57SI,62HR,h2Transport,,capaExcResi,0
,59RO,65RS,h2Transport,,capaExcResi,0
,60RO,66BG,h2Transport,,capaExcResi,0
,65RS,67MK,h2Transport,,capaExcResi,0
,67MK,68GR,h2Transport,,capaExcResi,0
,41PL,79NO,h2Transport,,capaExcResi,0
,81NO,83NO,h2Transport,,capaExcResi,0
,82NO,83NO,h2Transport,,capaExcResi,0
,85NO,86SE,h2Transport,,capaExcResi,0
,75FI,87SE,h2Transport,,capaExcResi,0
,86SE,87SE,h2Transport,,capaExcResi,0
,85NO,89SE,h2Transport,,capaExcResi,0
,88SE,89SE,h2Transport,,capaExcResi,0
,92UK,93UK,h2Transport,,capaExcResi,0
,98IT,99FR,h2Transport,,capaExcResi,0
,,,h2Transport,,lossExc,0.005
