region_4,region_4,exchange,distance,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,source
16FR,52IT,h2Grid,414.3150328,capaExcResi,0,costExpExc,345.2129061,costOprExc,6.904258123,
17FR,18FR,h2Grid,202.6791238,capaExcResi,0,costExpExc,168.8749956,costOprExc,3.377499912,
17FR,21FR,h2Grid,239.28429,capaExcResi,0,costExpExc,199.3749167,costOprExc,3.987498334,
17FR,22FR,h2Grid,244.5994651,capaExcResi,0,costExpExc,203.8035927,costOprExc,4.076071854,
18FR,19FR,h2Grid,266.9677866,capaExcResi,0,costExpExc,222.4411816,costOprExc,4.448823632,
18FR,22FR,h2Grid,281.9425219,capaExcResi,0,costExpExc,234.9183342,costOprExc,4.698366684,
18FR,23FR,h2Grid,195.9269556,capaExcResi,0,costExpExc,163.2489975,costOprExc,3.264979949,
18FR,24FR,h2Grid,176.3074068,capaExcResi,0,costExpExc,146.9017232,costOprExc,2.938034464,
19FR,20FR,h2Grid,128.7286047,capaExcResi,0,costExpExc,107.2584198,costOprExc,2.145168397,
19FR,24FR,h2Grid,260.391683,capaExcResi,0,costExpExc,216.9618829,costOprExc,4.339237658,
20FR,24FR,h2Grid,227.7869615,capaExcResi,0,costExpExc,189.7951866,costOprExc,3.795903732,
20FR,25FR,h2Grid,289.2192799,capaExcResi,0,costExpExc,240.9814277,costOprExc,4.819628554,
20FR,47CH,h2Grid,235.1547296,capaExcResi,0,costExpExc,195.9341109,costOprExc,3.918682219,
20FR,48CH,h2Grid,225.2370458,capaExcResi,0,costExpExc,187.6705622,costOprExc,3.753411245,
20FR,52IT,h2Grid,336.9067548,capaExcResi,0,costExpExc,280.7152787,costOprExc,5.614305575,
21FR,22FR,h2Grid,242.5869624,capaExcResi,0,costExpExc,202.1267481,costOprExc,4.042534963,
22FR,23FR,h2Grid,188.7170239,capaExcResi,0,costExpExc,157.2415845,costOprExc,3.144831691,
22FR,26FR,h2Grid,202.1663095,capaExcResi,0,costExpExc,168.4477118,costOprExc,3.368954235,
23FR,24FR,h2Grid,199.0479478,capaExcResi,0,costExpExc,165.8494505,costOprExc,3.31698901,
23FR,26FR,h2Grid,120.6619931,capaExcResi,0,costExpExc,100.5372096,costOprExc,2.010744192,
23FR,27FR,h2Grid,153.4722025,capaExcResi,0,costExpExc,127.8751212,costOprExc,2.557502424,
24FR,25FR,h2Grid,161.283229,capaExcResi,0,costExpExc,134.3833745,costOprExc,2.687667489,
24FR,27FR,h2Grid,195.2661639,capaExcResi,0,costExpExc,162.6984168,costOprExc,3.253968337,
25FR,27FR,h2Grid,167.270989,capaExcResi,0,costExpExc,139.3724573,costOprExc,2.787449146,
25FR,28BE,h2Grid,264.1398562,capaExcResi,0,costExpExc,220.0849116,costOprExc,4.401698233,
25FR,29LU,h2Grid,165.1477098,capaExcResi,0,costExpExc,137.6033123,costOprExc,2.752066246,
25FR,35DE,h2Grid,277.5602625,capaExcResi,0,costExpExc,231.2669762,costOprExc,4.625339525,
25FR,36DE,h2Grid,232.3229713,capaExcResi,0,costExpExc,193.5746515,costOprExc,3.87149303,
25FR,47CH,h2Grid,198.9643584,capaExcResi,0,costExpExc,165.7798027,costOprExc,3.315596053,
26FR,27FR,h2Grid,156.9966867,capaExcResi,0,costExpExc,130.8117693,costOprExc,2.616235385,
26FR,28BE,h2Grid,200.3490202,capaExcResi,0,costExpExc,166.9335217,costOprExc,3.338670433,
26FR,90UK,h2Grid,263.8339001,capaExcResi,0,costExpExc,219.8299849,costOprExc,4.396599697,
27FR,28BE,h2Grid,150.4013144,capaExcResi,0,costExpExc,125.3164156,costOprExc,2.506328312,
27FR,29LU,h2Grid,134.6071535,capaExcResi,0,costExpExc,112.1565064,costOprExc,2.243130129,
28BE,29LU,h2Grid,114.7981484,capaExcResi,0,costExpExc,95.65137466,costOprExc,1.913027493,
28BE,30NL,h2Grid,165.3403034,capaExcResi,0,costExpExc,137.7637839,costOprExc,2.755275678,
28BE,33DE,h2Grid,199.5774984,capaExcResi,0,costExpExc,166.2906792,costOprExc,3.325813585,
28BE,35DE,h2Grid,240.5100933,capaExcResi,0,costExpExc,200.3962726,costOprExc,4.007925452,
29LU,33DE,h2Grid,203.3866412,capaExcResi,0,costExpExc,169.4645087,costOprExc,3.389290174,
29LU,35DE,h2Grid,175.3953939,capaExcResi,0,costExpExc,146.1418217,costOprExc,2.922836434,
30NL,31DE,h2Grid,312.4217743,capaExcResi,0,costExpExc,260.3140608,costOprExc,5.206281216,
30NL,33DE,h2Grid,174.5465975,capaExcResi,0,costExpExc,145.434593,costOprExc,2.90869186,
31DE,32DE,h2Grid,231.9447013,capaExcResi,0,costExpExc,193.2594718,costOprExc,3.865189436,
31DE,33DE,h2Grid,250.0484459,capaExcResi,0,costExpExc,208.3437574,costOprExc,4.166875148,
31DE,34DE,h2Grid,315.1667435,capaExcResi,0,costExpExc,262.6012064,costOprExc,5.252024128,
31DE,35DE,h2Grid,337.3330513,capaExcResi,0,costExpExc,281.0704748,costOprExc,5.621409495,
31DE,38DK,h2Grid,297.178229,capaExcResi,0,costExpExc,247.6129321,costOprExc,4.952258641,
32DE,34DE,h2Grid,267.703044,capaExcResi,0,costExpExc,223.0538081,costOprExc,4.461076161,
32DE,44PL,h2Grid,274.1442939,capaExcResi,0,costExpExc,228.4207449,costOprExc,4.568414897,
33DE,35DE,h2Grid,127.8183741,capaExcResi,0,costExpExc,106.5000033,costOprExc,2.130000067,
34DE,35DE,h2Grid,281.8972247,capaExcResi,0,costExpExc,234.880592,costOprExc,4.69761184,
34DE,37DE,h2Grid,247.963176,capaExcResi,0,costExpExc,206.6062822,costOprExc,4.132125645,
34DE,39CZ,h2Grid,213.1205044,capaExcResi,0,costExpExc,177.5748956,costOprExc,3.551497911,
34DE,44PL,h2Grid,320.0532054,capaExcResi,0,costExpExc,266.6726727,costOprExc,5.333453455,
35DE,36DE,h2Grid,205.7224337,capaExcResi,0,costExpExc,171.4107227,costOprExc,3.428214454,
35DE,37DE,h2Grid,239.1816951,capaExcResi,0,costExpExc,199.2894332,costOprExc,3.985788664,
36DE,37DE,h2Grid,130.8050302,capaExcResi,0,costExpExc,108.9885257,costOprExc,2.179770515,
36DE,47CH,h2Grid,186.4672776,capaExcResi,0,costExpExc,155.3670654,costOprExc,3.107341308,
37DE,39CZ,h2Grid,275.0259717,capaExcResi,0,costExpExc,229.1553708,costOprExc,4.583107415,
37DE,49AT,h2Grid,221.307682,capaExcResi,0,costExpExc,184.396563,costOprExc,3.68793126,
37DE,50AT,h2Grid,313.9276745,capaExcResi,0,costExpExc,261.5687973,costOprExc,5.231375946,
38DK,72DK,h2Grid,167.5531634,capaExcResi,0,costExpExc,139.6075689,costOprExc,2.792151377,
38DK,79NO,h2Grid,355.3083325,capaExcResi,0,costExpExc,296.0477229,costOprExc,5.920954459,
39CZ,40CZ,h2Grid,161.3899853,capaExcResi,0,costExpExc,134.4723253,costOprExc,2.689446505,
39CZ,44PL,h2Grid,299.0205021,capaExcResi,0,costExpExc,249.147939,costOprExc,4.98295878,
39CZ,50AT,h2Grid,265.1770555,capaExcResi,0,costExpExc,220.9491202,costOprExc,4.418982403,
39CZ,51AT,h2Grid,240.6050618,capaExcResi,0,costExpExc,200.4754017,costOprExc,4.009508033,
40CZ,43PL,h2Grid,198.2194216,capaExcResi,0,costExpExc,165.1591112,costOprExc,3.303182224,
40CZ,44PL,h2Grid,307.4527343,capaExcResi,0,costExpExc,256.1737893,costOprExc,5.123475786,
40CZ,46SK,h2Grid,241.4773941,capaExcResi,0,costExpExc,201.2022408,costOprExc,4.024044815,
40CZ,51AT,h2Grid,190.3007039,capaExcResi,0,costExpExc,158.5611282,costOprExc,3.171222564,
41PL,42PL,h2Grid,182.7117625,capaExcResi,0,costExpExc,152.2379193,costOprExc,3.044758386,
41PL,43PL,h2Grid,254.8828619,capaExcResi,0,costExpExc,212.3718584,costOprExc,4.247437168,
41PL,44PL,h2Grid,290.4179975,capaExcResi,0,costExpExc,241.9802155,costOprExc,4.839604309,
41PL,45PL,h2Grid,191.6378897,capaExcResi,0,costExpExc,159.6752896,costOprExc,3.193505791,
41PL,77LT,h2Grid,391.6990835,capaExcResi,0,costExpExc,326.3689904,costOprExc,6.527379807,
42PL,43PL,h2Grid,204.0086329,capaExcResi,0,costExpExc,169.9827606,costOprExc,3.399655212,
42PL,46SK,h2Grid,284.4793059,capaExcResi,0,costExpExc,237.0320171,costOprExc,4.740640341,
43PL,44PL,h2Grid,314.4017133,capaExcResi,0,costExpExc,261.9637729,costOprExc,5.239275457,
43PL,46SK,h2Grid,162.0806534,capaExcResi,0,costExpExc,135.0477993,costOprExc,2.700955986,
44PL,45PL,h2Grid,177.8765898,capaExcResi,0,costExpExc,148.2091878,costOprExc,2.964183756,
46SK,51AT,h2Grid,299.9877939,capaExcResi,0,costExpExc,249.9538997,costOprExc,4.999077993,
46SK,58HU,h2Grid,170.5101981,capaExcResi,0,costExpExc,142.0714103,costOprExc,2.841428206,
47CH,48CH,h2Grid,87.07522215,capaExcResi,0,costExpExc,72.5522564,costOprExc,1.451045128,
47CH,49AT,h2Grid,302.6629821,capaExcResi,0,costExpExc,252.1829028,costOprExc,5.043658055,
48CH,49AT,h2Grid,284.6385828,capaExcResi,0,costExpExc,237.1647287,costOprExc,4.743294575,
48CH,52IT,h2Grid,165.0064056,capaExcResi,0,costExpExc,137.4855757,costOprExc,2.749711514,
49AT,50AT,h2Grid,183.7739861,capaExcResi,0,costExpExc,153.1229784,costOprExc,3.062459568,
49AT,52IT,h2Grid,254.2385298,capaExcResi,0,costExpExc,211.8349922,costOprExc,4.236699843,
49AT,57SI,h2Grid,257.6799814,capaExcResi,0,costExpExc,214.7024563,costOprExc,4.294049126,
50AT,51AT,h2Grid,110.4340475,capaExcResi,0,costExpExc,92.01514658,costOprExc,1.840302932,
50AT,57SI,h2Grid,173.90792,capaExcResi,0,costExpExc,144.9024383,costOprExc,2.898048765,
51AT,57SI,h2Grid,225.9852169,capaExcResi,0,costExpExc,188.2939486,costOprExc,3.765878971,
51AT,58HU,h2Grid,268.6601374,capaExcResi,0,costExpExc,223.8512713,costOprExc,4.477025425,
52IT,53IT,h2Grid,258.4434312,capaExcResi,0,costExpExc,215.3385731,costOprExc,4.306771461,
52IT,57SI,h2Grid,384.7714797,capaExcResi,0,costExpExc,320.5968169,costOprExc,6.411936338,
53IT,54IT,h2Grid,275.9884204,capaExcResi,0,costExpExc,229.9572961,costOprExc,4.599145922,
53IT,99FR,h2Grid,231.5665447,capaExcResi,0,costExpExc,192.9443866,costOprExc,3.858887732,
54IT,55IT,h2Grid,221.6828076,capaExcResi,0,costExpExc,184.7091228,costOprExc,3.694182455,
55IT,56IT,h2Grid,366.763383,capaExcResi,0,costExpExc,305.5922264,costOprExc,6.111844528,
57SI,58HU,h2Grid,354.8803177,capaExcResi,0,costExpExc,295.6910952,costOprExc,5.913821904,
57SI,62HR,h2Grid,191.9854066,capaExcResi,0,costExpExc,159.9648454,costOprExc,3.199296907,
58HU,59RO,h2Grid,342.2285586,capaExcResi,0,costExpExc,285.1494779,costOprExc,5.702989557,
58HU,62HR,h2Grid,410.210311,capaExcResi,0,costExpExc,341.7927962,costOprExc,6.835855925,
58HU,65RS,h2Grid,344.7495811,capaExcResi,0,costExpExc,287.250028,costOprExc,5.74500056,
59RO,60RO,h2Grid,180.938072,capaExcResi,0,costExpExc,150.7600563,costOprExc,3.015201126,
59RO,61RO,h2Grid,271.7883694,capaExcResi,0,costExpExc,226.4577566,costOprExc,4.529155132,
59RO,65RS,h2Grid,334.276949,capaExcResi,0,costExpExc,278.5240889,costOprExc,5.570481778,
60RO,61RO,h2Grid,278.5523998,capaExcResi,0,costExpExc,232.0936385,costOprExc,4.64187277,
60RO,65RS,h2Grid,296.3440868,capaExcResi,0,costExpExc,246.9179135,costOprExc,4.93835827,
60RO,66BG,h2Grid,274.3865886,capaExcResi,0,costExpExc,228.6226281,costOprExc,4.572452562,
61RO,66BG,h2Grid,445.5747307,capaExcResi,0,costExpExc,371.2589105,costOprExc,7.42517821,
62HR,63BA,h2Grid,149.466972,capaExcResi,0,costExpExc,124.5379088,costOprExc,2.490758176,
62HR,65RS,h2Grid,366.385259,capaExcResi,0,costExpExc,305.2771684,costOprExc,6.105543367,
63BA,64ME,h2Grid,197.9540359,capaExcResi,0,costExpExc,164.9379883,costOprExc,3.298759765,
63BA,65RS,h2Grid,219.6491038,capaExcResi,0,costExpExc,183.0146132,costOprExc,3.660292263,
64ME,65RS,h2Grid,205.4702611,capaExcResi,0,costExpExc,171.2006091,costOprExc,3.424012181,
64ME,70AL,h2Grid,189.3868667,capaExcResi,0,costExpExc,157.7997067,costOprExc,3.155994133,
65RS,66BG,h2Grid,432.5493662,capaExcResi,0,costExpExc,360.4060001,costOprExc,7.208120002,
65RS,67MK,h2Grid,310.3195234,capaExcResi,0,costExpExc,258.5624368,costOprExc,5.171248737,
65RS,70AL,h2Grid,355.6206255,capaExcResi,0,costExpExc,296.3079297,costOprExc,5.926158594,
66BG,67MK,h2Grid,315.2859964,capaExcResi,0,costExpExc,262.7005695,costOprExc,5.254011391,
66BG,68GR,h2Grid,393.8604482,capaExcResi,0,costExpExc,328.1698688,costOprExc,6.563397375,
67MK,68GR,h2Grid,181.6802457,capaExcResi,0,costExpExc,151.3784455,costOprExc,3.02756891,
67MK,70AL,h2Grid,150.5136201,capaExcResi,0,costExpExc,125.4099902,costOprExc,2.508199804,
68GR,69GR,h2Grid,338.6194346,capaExcResi,0,costExpExc,282.1423068,costOprExc,5.642846136,
68GR,70AL,h2Grid,206.9275499,capaExcResi,0,costExpExc,172.4148419,costOprExc,3.448296837,
72DK,89SE,h2Grid,164.6954858,capaExcResi,0,costExpExc,137.2265131,costOprExc,2.744530262,
73EE,75FI,h2Grid,378.2993726,capaExcResi,0,costExpExc,315.2041695,costOprExc,6.304083389,
73EE,78LV,h2Grid,199.7861262,capaExcResi,0,costExpExc,166.4645107,costOprExc,3.329290215,
74FI,75FI,h2Grid,530.9718836,capaExcResi,0,costExpExc,442.4129768,costOprExc,8.848259537,
74FI,85NO,h2Grid,410.6501244,capaExcResi,0,costExpExc,342.1592547,costOprExc,6.843185095,
74FI,86SE,h2Grid,263.980813,capaExcResi,0,costExpExc,219.9523947,costOprExc,4.399047894,
77LT,78LV,h2Grid,203.5679618,capaExcResi,0,costExpExc,169.6155875,costOprExc,3.39231175,
79NO,80NO,h2Grid,177.2002144,capaExcResi,0,costExpExc,147.6456226,costOprExc,2.952912453,
79NO,81NO,h2Grid,230.4470793,capaExcResi,0,costExpExc,192.0116328,costOprExc,3.840232657,
80NO,81NO,h2Grid,251.4648622,capaExcResi,0,costExpExc,209.5239347,costOprExc,4.190478694,
80NO,82NO,h2Grid,223.0004002,capaExcResi,0,costExpExc,185.8069588,costOprExc,3.716139176,
81NO,82NO,h2Grid,239.1201576,capaExcResi,0,costExpExc,199.2381593,costOprExc,3.984763187,
81NO,83NO,h2Grid,271.6692295,capaExcResi,0,costExpExc,226.3584876,costOprExc,4.527169752,
82NO,83NO,h2Grid,241.2628238,capaExcResi,0,costExpExc,201.0234579,costOprExc,4.020469158,
82NO,88SE,h2Grid,320.1586636,capaExcResi,0,costExpExc,266.7605419,costOprExc,5.335210839,
83NO,84NO,h2Grid,572.1602243,capaExcResi,0,costExpExc,476.7316611,costOprExc,9.534633222,
83NO,87SE,h2Grid,429.6816884,capaExcResi,0,costExpExc,358.0166121,costOprExc,7.160332241,
84NO,85NO,h2Grid,553.241949,capaExcResi,0,costExpExc,460.9686975,costOprExc,9.219373949,
84NO,86SE,h2Grid,270.774259,capaExcResi,0,costExpExc,225.6127861,costOprExc,4.512255721,
84NO,87SE,h2Grid,420.1019246,capaExcResi,0,costExpExc,350.0346229,costOprExc,7.000692458,
85NO,86SE,h2Grid,429.7720025,capaExcResi,0,costExpExc,358.091863,costOprExc,7.16183726,
86SE,87SE,h2Grid,412.9328247,capaExcResi,0,costExpExc,344.0612316,costOprExc,6.881224632,
87SE,88SE,h2Grid,503.9427541,capaExcResi,0,costExpExc,419.8919395,costOprExc,8.397838789,
88SE,89SE,h2Grid,336.7014957,capaExcResi,0,costExpExc,280.5442541,costOprExc,5.610885082,
90UK,91UK,h2Grid,269.9501434,capaExcResi,0,costExpExc,224.9261218,costOprExc,4.498522435,
90UK,92UK,h2Grid,246.9479978,capaExcResi,0,costExpExc,205.760422,costOprExc,4.11520844,
91UK,92UK,h2Grid,211.0090985,capaExcResi,0,costExpExc,175.8156435,costOprExc,3.516312871,
92UK,93UK,h2Grid,246.8552468,capaExcResi,0,costExpExc,205.6831406,costOprExc,4.113662812,
93UK,94UK,h2Grid,351.7016062,capaExcResi,0,costExpExc,293.0425496,costOprExc,5.860850993,
93UK,95UK,h2Grid,242.5576461,capaExcResi,0,costExpExc,202.1023214,costOprExc,4.042046428,
95UK,96IE,h2Grid,195.1596407,capaExcResi,0,costExpExc,162.6096603,costOprExc,3.252193205,
98IT,99FR,h2Grid,205.638573,capaExcResi,0,costExpExc,171.3408488,costOprExc,3.426816976,
,,h2Grid,,lifeExc,40,,,,,
