timestep_2,region_2,region_2,exchange_1,exchange_2,id,parameter_1,value_1,parameter_2,value_2
all,EE,LV,powerGrid,hvac,3,expExcUp,1,costExpExc,250
all,EE,LV,powerGrid,hvac,4,expExcUp,0.5,costExpExc,240
all,ES,FR,powerGrid,hvac,1,expExcUp,4,costExpExc,1425
all,ES,FR,powerGrid,hvac,2,expExcUp,2,costExpExc,1250
all,ES,FR,powerGrid,hvac,3,expExcUp,1.5,costExpExc,980
all,ES,FR,powerGrid,hvac,4,expExcUp,1.5,costExpExc,780
all,ES,PT,powerGrid,hvac,1,expExcUp,0.5,costExpExc,352
all,ES,PT,powerGrid,hvac,2,expExcUp,0.5,costExpExc,314
all,ES,PT,powerGrid,hvac,3,expExcUp,1,costExpExc,295
all,ES,PT,powerGrid,hvac,4,expExcUp,1,costExpExc,233
all,ES,PT,powerGrid,hvac,5,expExcUp,1.5,costExpExc,220.67
all,ES,PT,powerGrid,hvac,6,expExcUp,1.5,costExpExc,178.67
all,ES,PT,powerGrid,hvac,7,expExcUp,0.5,costExpExc,174
all,ES,PT,powerGrid,hvac,8,expExcUp,0.5,costExpExc,122
all,ES,PT,powerGrid,hvac,9,expExcUp,1,costExpExc,90
all,ES,PT,powerGrid,hvac,10,expExcUp,1,costExpExc,87
all,ES,PT,powerGrid,hvac,11,expExcUp,1.5,costExpExc,80
all,ES,PT,powerGrid,hvac,12,expExcUp,1.5,costExpExc,76
all,FI,NO,powerGrid,hvac,1,expExcUp,1,costExpExc,1140
all,FI,NO,powerGrid,hvac,2,expExcUp,1.5,costExpExc,1140
all,FI,NO,powerGrid,hvac,3,expExcUp,2,costExpExc,1140
all,FI,NO,powerGrid,hvac,4,expExcUp,0.5,costExpExc,1000
all,FI,SE,powerGrid,hvdc,1,expExcUp,2,costExpExc,1098
all,FI,SE,powerGrid,hvdc,2,expExcUp,1,costExpExc,915
all,FI,SE,powerGrid,hvdc,3,expExcUp,0.8,costExpExc,610
all,FI,SE,powerGrid,hvdc,4,expExcUp,2,costExpExc,2196
all,FI,SE,powerGrid,hvdc,5,expExcUp,1,costExpExc,1830
all,FR,IE,powerGrid,hvdc,1,expExcUp,0.7,costExpExc,1428.57
all,FR,IE,powerGrid,hvdc,2,expExcUp,0.7,costExpExc,1328.57
all,FR,IT,powerGrid,hvac,1,expExcUp,1,costExpExc,1260
all,FR,IT,powerGrid,hvac,2,expExcUp,2,costExpExc,1260
all,FR,UK,powerGrid,hvdc,1,expExcUp,3.4,costExpExc,678.24
all,FR,UK,powerGrid,hvdc,2,expExcUp,1.4,costExpExc,647.14
all,FR,UK,powerGrid,hvdc,3,expExcUp,1.4,costExpExc,607.14
all,GR,IT,powerGrid,hvdc,1,expExcUp,1,costExpExc,1200
all,GR,MK,powerGrid,hvac,1,expExcUp,1.5,costExpExc,173.33
all,GR,MK,powerGrid,hvac,2,expExcUp,1,costExpExc,39
all,GR,MK,powerGrid,hvac,3,expExcUp,0.5,costExpExc,10
all,HR,HU,powerGrid,hvac,1,expExcUp,0.5,costExpExc,374
all,HR,HU,powerGrid,hvac,2,expExcUp,1,costExpExc,307
all,HR,HU,powerGrid,hvac,3,expExcUp,1.5,costExpExc,290.67
all,HR,RS,powerGrid,hvac,1,expExcUp,1,costExpExc,58
all,HR,RS,powerGrid,hvac,2,expExcUp,0.6,costExpExc,31.67
all,HR,RS,powerGrid,hvac,3,expExcUp,0.5,costExpExc,26
all,HR,SI,powerGrid,hvac,1,expExcUp,0.5,costExpExc,106
all,HR,SI,powerGrid,hvac,2,expExcUp,1,costExpExc,100
all,HR,SI,powerGrid,hvac,3,expExcUp,2,costExpExc,100
all,HR,SI,powerGrid,hvac,4,expExcUp,1.5,costExpExc,96
all,HU,RO,powerGrid,hvac,1,expExcUp,0.5,costExpExc,750
all,HU,RO,powerGrid,hvac,2,expExcUp,1,costExpExc,600
all,HU,RO,powerGrid,hvac,3,expExcUp,1.117,costExpExc,179.05
all,HU,RS,powerGrid,hvac,1,expExcUp,1.5,costExpExc,228
all,HU,RS,powerGrid,hvac,2,expExcUp,1,costExpExc,170
all,HU,RS,powerGrid,hvac,3,expExcUp,0.5,costExpExc,120
all,HU,SI,powerGrid,hvac,1,expExcUp,2,costExpExc,250
all,HU,SI,powerGrid,hvac,2,expExcUp,0.5,costExpExc,248
all,HU,SI,powerGrid,hvac,3,expExcUp,1.5,costExpExc,247.33
all,HU,SI,powerGrid,hvac,4,expExcUp,1,costExpExc,247
all,HU,SK,powerGrid,hvac,1,expExcUp,0.5,costExpExc,392
all,HU,SK,powerGrid,hvac,2,expExcUp,1,costExpExc,378
all,HU,SK,powerGrid,hvac,3,expExcUp,1.5,costExpExc,378
all,IE,UK,powerGrid,hvac,1,expExcUp,0.57,costExpExc,694.74
all,IE,UK,powerGrid,hvac,2,expExcUp,0.5,costExpExc,1042
all,IT,ME,powerGrid,hvdc,1,expExcUp,1,costExpExc,1000
all,IT,ME,powerGrid,hvdc,2,expExcUp,0.6,costExpExc,603.33
all,IT,SI,powerGrid,hvac,1,expExcUp,1,costExpExc,755
all,IT,SI,powerGrid,hvac,2,expExcUp,1,costExpExc,750
all,LT,LV,powerGrid,hvac,1,expExcUp,1,costExpExc,500
all,LT,LV,powerGrid,hvac,2,expExcUp,2,costExpExc,500
all,LT,LV,powerGrid,hvac,3,expExcUp,3,costExpExc,500
all,LT,LV,powerGrid,hvac,4,expExcUp,4,costExpExc,500
all,LT,PL,powerGrid,hvac,1,expExcUp,0.7,costExpExc,2724.29
all,LT,PL,powerGrid,hvac,2,expExcUp,0.5,costExpExc,1940
all,LT,PL,powerGrid,hvac,3,expExcUp,1,costExpExc,1400
all,LT,PL,powerGrid,hvac,4,expExcUp,2,costExpExc,1400
all,LT,SE,powerGrid,hvdc,1,expExcUp,1,costExpExc,1800
all,LT,SE,powerGrid,hvdc,2,expExcUp,1,costExpExc,1800
all,LT,SE,powerGrid,hvdc,3,expExcUp,1,costExpExc,1800
all,LT,SE,powerGrid,hvdc,4,expExcUp,1,costExpExc,1800
all,ME,RS,powerGrid,hvac,1,expExcUp,0.5,costExpExc,166
all,ME,RS,powerGrid,hvac,2,expExcUp,0.5,costExpExc,106
all,ME,RS,powerGrid,hvac,3,expExcUp,0.5,costExpExc,36
all,MK,RS,powerGrid,hvac,4,expExcUp,1,costExpExc,47
all,MK,RS,powerGrid,hvac,5,expExcUp,1.5,costExpExc,36
all,MK,RS,powerGrid,hvac,6,expExcUp,0.5,costExpExc,28
all,NL,NO,powerGrid,hvdc,1,expExcUp,1,costExpExc,2100
all,NL,NO,powerGrid,hvdc,2,expExcUp,2,costExpExc,2100
all,NL,NO,powerGrid,hvdc,3,expExcUp,3,costExpExc,2100
all,NL,NO,powerGrid,hvdc,4,expExcUp,4,costExpExc,2100
all,NL,UK,powerGrid,hvdc,1,expExcUp,1,costExpExc,1135
all,NL,UK,powerGrid,hvdc,2,expExcUp,2,costExpExc,1135
all,NL,UK,powerGrid,hvdc,3,expExcUp,2,costExpExc,425
all,NO,SE,powerGrid,hvac,1,expExcUp,0.5,costExpExc,500
all,NO,SE,powerGrid,hvac,2,expExcUp,1,costExpExc,500
all,NO,SE,powerGrid,hvac,3,expExcUp,1.5,costExpExc,500
all,NO,SE,powerGrid,hvac,4,expExcUp,0.5,costExpExc,500
all,NO,SE,powerGrid,hvac,5,expExcUp,1,costExpExc,500
all,NO,SE,powerGrid,hvac,6,expExcUp,1.5,costExpExc,500
all,NO,SE,powerGrid,hvac,7,expExcUp,0.5,costExpExc,500
all,NO,SE,powerGrid,hvac,8,expExcUp,1,costExpExc,500
all,NO,SE,powerGrid,hvac,9,expExcUp,1.5,costExpExc,500
all,NO,SE,powerGrid,hvac,10,expExcUp,0.5,costExpExc,500
all,NO,SE,powerGrid,hvac,11,expExcUp,1,costExpExc,500
all,NO,SE,powerGrid,hvac,12,expExcUp,1.5,costExpExc,500
