region_3,region_3,exchange_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4
17FR,18FR,hvac,capaExcResi,3.89,lossExc,0.01,costExpExc,81.1,costOprExc,3.2
17FR,21FR,hvac,capaExcResi,5.36,lossExc,0.012,costExpExc,95.7,costOprExc,3.8
17FR,22FR,hvac,capaExcResi,0.98,lossExc,0.012,costExpExc,97.8,costOprExc,3.9
18FR,19FR,hvac,capaExcResi,2.68,lossExc,0.013,costExpExc,106.8,costOprExc,4.2
18FR,23FR,hvac,capaExcResi,9.74,lossExc,0.01,costExpExc,78.4,costOprExc,3.1
18FR,24FR,hvac,capaExcResi,2.19,lossExc,0.009,costExpExc,70.5,costOprExc,2.8
19FR,20FR,hvac,capaExcResi,18.5,lossExc,0.006,costExpExc,51.5,costOprExc,2
20FR,24FR,hvac,capaExcResi,6.57,lossExc,0.011,costExpExc,91.1,costOprExc,3.6
20FR,25FR,hvac,capaExcResi,2.68,lossExc,0.014,costExpExc,115.7,costOprExc,4.6
20FR,47CH,hvac,capaExcResi,4.38,lossExc,0.012,costExpExc,94.1,costOprExc,3.7
20FR,48CH,hvac,capaExcResi,0.49,lossExc,0.011,costExpExc,90.1,costOprExc,3.6
20FR,52IT,hvac,capaExcResi,5.09,lossExc,0.017,costExpExc,134.8,costOprExc,5.4
21FR,22FR,hvac,capaExcResi,4.38,lossExc,0.012,costExpExc,97,costOprExc,3.9
22FR,23FR,hvac,capaExcResi,2.19,lossExc,0.009,costExpExc,75.5,costOprExc,3
22FR,26FR,hvac,capaExcResi,4.87,lossExc,0.01,costExpExc,80.9,costOprExc,3.2
23FR,24FR,hvac,capaExcResi,7.78,lossExc,0.01,costExpExc,79.6,costOprExc,3.2
23FR,26FR,hvac,capaExcResi,7.78,lossExc,0.006,costExpExc,48.3,costOprExc,1.9
24FR,25FR,hvac,capaExcResi,4.87,lossExc,0.008,costExpExc,64.5,costOprExc,2.6
24FR,27FR,hvac,capaExcResi,2.68,lossExc,0.01,costExpExc,78.1,costOprExc,3.1
25FR,27FR,hvac,capaExcResi,3.17,lossExc,0.008,costExpExc,66.9,costOprExc,2.7
25FR,29LU,hvac,capaExcResi,0.49,lossExc,0.008,costExpExc,66.1,costOprExc,2.6
25FR,35DE,hvac,capaExcResi,2.19,lossExc,0.014,costExpExc,111,costOprExc,4.4
25FR,36DE,hvac,capaExcResi,3.89,lossExc,0.012,costExpExc,92.9,costOprExc,3.7
25FR,47CH,hvac,capaExcResi,3.4,lossExc,0.01,costExpExc,79.6,costOprExc,3.2
26FR,27FR,hvac,capaExcResi,4.87,lossExc,0.008,costExpExc,62.8,costOprExc,2.5
27FR,28BE,hvac,capaExcResi,2.19,lossExc,0.008,costExpExc,60.2,costOprExc,2.4
28BE,30NL,hvac,capaExcResi,5.09,lossExc,0.008,costExpExc,66.1,costOprExc,2.6
29LU,35DE,hvac,capaExcResi,2.46,lossExc,0.009,costExpExc,70.2,costOprExc,2.8
30NL,33DE,hvac,capaExcResi,5.09,lossExc,0.009,costExpExc,69.8,costOprExc,2.8
31DE,33DE,hvac,capaExcResi,15.06,lossExc,0.013,costExpExc,100,costOprExc,4
31DE,38DK,hvac,capaExcResi,2.19,lossExc,0.015,costExpExc,118.9,costOprExc,4.7
32DE,34DE,hvac,capaExcResi,8.49,lossExc,0.013,costExpExc,107.1,costOprExc,4.3
32DE,44PL,hvac,capaExcResi,1.7,lossExc,0.014,costExpExc,109.7,costOprExc,4.4
33DE,35DE,hvac,capaExcResi,14.57,lossExc,0.006,costExpExc,51.1,costOprExc,2
34DE,44PL,hvac,capaExcResi,1.7,lossExc,0.016,costExpExc,128,costOprExc,5.1
35DE,36DE,hvac,capaExcResi,11.66,lossExc,0.01,costExpExc,82.3,costOprExc,3.3
35DE,37DE,hvac,capaExcResi,3.4,lossExc,0.012,costExpExc,95.7,costOprExc,3.8
36DE,37DE,hvac,capaExcResi,11.17,lossExc,0.007,costExpExc,52.3,costOprExc,2.1
36DE,47CH,hvac,capaExcResi,8.49,lossExc,0.009,costExpExc,74.6,costOprExc,3
37DE,39CZ,hvac,capaExcResi,1.7,lossExc,0.014,costExpExc,110,costOprExc,4.4
37DE,49AT,hvac,capaExcResi,5.09,lossExc,0.011,costExpExc,88.5,costOprExc,3.5
37DE,50AT,hvac,capaExcResi,0.98,lossExc,0.016,costExpExc,125.6,costOprExc,5
39CZ,40CZ,hvac,capaExcResi,9.47,lossExc,0.008,costExpExc,64.6,costOprExc,2.6
40CZ,43PL,hvac,capaExcResi,2.19,lossExc,0.01,costExpExc,79.3,costOprExc,3.2
40CZ,46SK,hvac,capaExcResi,6.08,lossExc,0.012,costExpExc,96.6,costOprExc,3.8
40CZ,51AT,hvac,capaExcResi,2.19,lossExc,0.01,costExpExc,76.1,costOprExc,3
41PL,42PL,hvac,capaExcResi,5.59,lossExc,0.009,costExpExc,73.1,costOprExc,2.9
41PL,43PL,hvac,capaExcResi,6.08,lossExc,0.013,costExpExc,102,costOprExc,4.1
41PL,44PL,hvac,capaExcResi,3.66,lossExc,0.015,costExpExc,116.2,costOprExc,4.6
41PL,45PL,hvac,capaExcResi,3.89,lossExc,0.01,costExpExc,76.7,costOprExc,3
42PL,43PL,hvac,capaExcResi,6.57,lossExc,0.01,costExpExc,81.6,costOprExc,3.2
43PL,44PL,hvac,capaExcResi,3.89,lossExc,0.016,costExpExc,125.8,costOprExc,5
44PL,45PL,hvac,capaExcResi,6.57,lossExc,0.009,costExpExc,71.2,costOprExc,2.8
46SK,58HU,hvac,capaExcResi,3.4,lossExc,0.009,costExpExc,68.2,costOprExc,2.7
47CH,48CH,hvac,capaExcResi,17.25,lossExc,0.004,costExpExc,34.8,costOprExc,1.4
48CH,49AT,hvac,capaExcResi,1.7,lossExc,0.014,costExpExc,113.9,costOprExc,4.5
48CH,52IT,hvac,capaExcResi,10.63,lossExc,0.008,costExpExc,66,costOprExc,2.6
49AT,50AT,hvac,capaExcResi,2.68,lossExc,0.009,costExpExc,73.5,costOprExc,2.9
49AT,52IT,hvac,capaExcResi,0.49,lossExc,0.013,costExpExc,101.7,costOprExc,4
50AT,51AT,hvac,capaExcResi,4.87,lossExc,0.006,costExpExc,44.2,costOprExc,1.8
50AT,57SI,hvac,capaExcResi,2.19,lossExc,0.009,costExpExc,69.6,costOprExc,2.8
51AT,58HU,hvac,capaExcResi,2.19,lossExc,0.013,costExpExc,107.5,costOprExc,4.3
52IT,53IT,hvac,capaExcResi,11.17,lossExc,0.013,costExpExc,103.4,costOprExc,4.1
52IT,57SI,hvac,capaExcResi,2.19,lossExc,0.019,costExpExc,153.9,costOprExc,6.1
53IT,54IT,hvac,capaExcResi,10.46,lossExc,0.014,costExpExc,110.4,costOprExc,4.4
54IT,55IT,hvac,capaExcResi,10.46,lossExc,0.011,costExpExc,88.7,costOprExc,3.5
58HU,62HR,hvac,capaExcResi,3.73,lossExc,0.021,costExpExc,164.1,costOprExc,6.5
58HU,65RS,hvac,capaExcResi,1.87,lossExc,0.017,costExpExc,137.9,costOprExc,5.5
59RO,60RO,hvac,capaExcResi,8.27,lossExc,0.009,costExpExc,72.4,costOprExc,2.9
60RO,61RO,hvac,capaExcResi,8.98,lossExc,0.014,costExpExc,111.4,costOprExc,4.4
60RO,65RS,hvac,capaExcResi,3.73,lossExc,0.015,costExpExc,118.5,costOprExc,4.7
61RO,66BG,hvac,capaExcResi,3.4,lossExc,0.022,costExpExc,178.2,costOprExc,7.1
62HR,63BA,hvac,capaExcResi,8.87,lossExc,0.007,costExpExc,59.8,costOprExc,2.4
62HR,65RS,hvac,capaExcResi,2.04,lossExc,0.018,costExpExc,146.6,costOprExc,5.8
63BA,64ME,hvac,capaExcResi,4.23,lossExc,0.01,costExpExc,79.2,costOprExc,3.1
63BA,65RS,hvac,capaExcResi,2.7,lossExc,0.011,costExpExc,87.9,costOprExc,3.5
64ME,65RS,hvac,capaExcResi,2.85,lossExc,0.01,costExpExc,82.2,costOprExc,3.3
64ME,70AL,hvac,capaExcResi,2.19,lossExc,0.009,costExpExc,75.8,costOprExc,3
65RS,66BG,hvac,capaExcResi,2.21,lossExc,0.022,costExpExc,173,costOprExc,6.9
65RS,70AL,hvac,capaExcResi,2.19,lossExc,0.018,costExpExc,142.2,costOprExc,5.7
66BG,67MK,hvac,capaExcResi,2.37,lossExc,0.016,costExpExc,126.1,costOprExc,5
66BG,68GR,hvac,capaExcResi,1.7,lossExc,0.02,costExpExc,157.5,costOprExc,6.3
68GR,69GR,hvac,capaExcResi,8.49,lossExc,0.017,costExpExc,135.4,costOprExc,5.4
68GR,70AL,hvac,capaExcResi,1.87,lossExc,0.01,costExpExc,82.8,costOprExc,3.3
73EE,91UK,hvac,capaExcResi,2.21,lossExc,0.008,costExpExc,65.9,costOprExc,2.6
74FI,80NO,hvac,capaExcResi,3.35,lossExc,0.01,costExpExc,79.9,costOprExc,3.2
75FI,77LT,hvac,capaExcResi,7.78,lossExc,0.027,costExpExc,212.4,costOprExc,8.4
75FI,88SE,hvac,capaExcResi,3.89,lossExc,0.013,costExpExc,105.6,costOprExc,4.2
77LT,90UK,hvac,capaExcResi,0.17,lossExc,0.033,costExpExc,265.5,costOprExc,10.6
79NO,80NO,hvac,capaExcResi,4.53,lossExc,0.01,costExpExc,81.4,costOprExc,3.2
81NO,82NO,hvac,capaExcResi,6.41,lossExc,0.009,costExpExc,70.9,costOprExc,2.8
82NO,84NO,hvac,capaExcResi,9.12,lossExc,0.011,costExpExc,89.2,costOprExc,3.5
83NO,85NO,hvac,capaExcResi,1.87,lossExc,0.014,costExpExc,108.7,costOprExc,4.3
84NO,85NO,hvac,capaExcResi,1.17,lossExc,0.012,costExpExc,96.5,costOprExc,3.8
84NO,90UK,hvac,capaExcResi,3.73,lossExc,0.016,costExpExc,128.1,costOprExc,5.1
86SE,88SE,hvac,capaExcResi,1.87,lossExc,0.014,costExpExc,108.3,costOprExc,4.3
86SE,89SE,hvac,capaExcResi,0.49,lossExc,0.021,costExpExc,168,costOprExc,6.7
89SE,90UK,hvac,capaExcResi,14.34,lossExc,0.025,costExpExc,201.6,costOprExc,8
90UK,91UK,hvac,capaExcResi,13.58,lossExc,0.017,costExpExc,134.7,costOprExc,5.4
92UK,94UK,hvac,capaExcResi,6.79,lossExc,0.012,costExpExc,98.8,costOprExc,3.9
93UK,94UK,hvac,capaExcResi,5.59,lossExc,0.011,costExpExc,84.4,costOprExc,3.4
94UK,95UK,hvac,capaExcResi,14.08,lossExc,0.012,costExpExc,98.7,costOprExc,3.9
95UK,96IE,hvac,capaExcResi,6.61,lossExc,0.018,costExpExc,140.7,costOprExc,5.6
02ES,08ES,hvac,capaExcResi,3.4,lossExc,0.017,costExpExc,138.1,costOprExc,5.5
07ES,11ES,hvac,capaExcResi,0.98,lossExc,0.014,costExpExc,110.8,costOprExc,4.4
01ES,12PT,hvac,capaExcResi,1.87,lossExc,0.011,costExpExc,88.3,costOprExc,3.5
09ES,13PT,hvac,capaExcResi,3.4,lossExc,0.013,costExpExc,105.9,costOprExc,4.2
05ES,14FR,hvac,capaExcResi,0.49,lossExc,0.015,costExpExc,122.2,costOprExc,4.9
06ES,15FR,hvac,capaExcResi,1.7,lossExc,0.014,costExpExc,108.2,costOprExc,4.3
14FR,18FR,hvac,capaExcResi,1.7,lossExc,0.017,costExpExc,137.7,costOprExc,5.5
15FR,19FR,hvac,capaExcResi,0.98,lossExc,0.01,costExpExc,78.1,costOprExc,3.1
16FR,20FR,hvac,capaExcResi,0.98,lossExc,0.011,costExpExc,86.2,costOprExc,3.4
18FR,22FR,hvac,capaExcResi,0.49,lossExc,0.014,costExpExc,112.8,costOprExc,4.5
19FR,24FR,hvac,capaExcResi,2.19,lossExc,0.013,costExpExc,104.2,costOprExc,4.1
25FR,28BE,hvac,capaExcResi,0.49,lossExc,0.013,costExpExc,105.7,costOprExc,4.2
26FR,28BE,hvac,capaExcResi,1.7,lossExc,0.01,costExpExc,80.1,costOprExc,3.2
28BE,29LU,hvac,capaExcResi,0.49,lossExc,0.006,costExpExc,45.9,costOprExc,1.8
30NL,31DE,hvac,capaExcResi,1.7,lossExc,0.016,costExpExc,125,costOprExc,5
31DE,32DE,hvac,capaExcResi,5.09,lossExc,0.012,costExpExc,92.8,costOprExc,3.7
31DE,35DE,hvac,capaExcResi,0.49,lossExc,0.017,costExpExc,134.9,costOprExc,5.4
34DE,35DE,hvac,capaExcResi,1.7,lossExc,0.014,costExpExc,112.8,costOprExc,4.5
34DE,37DE,hvac,capaExcResi,5.09,lossExc,0.012,costExpExc,99.2,costOprExc,3.9
34DE,39CZ,hvac,capaExcResi,1.7,lossExc,0.011,costExpExc,85.2,costOprExc,3.4
42PL,46SK,hvac,capaExcResi,1.7,lossExc,0.014,costExpExc,113.8,costOprExc,4.5
36DE,49AT,hvac,capaExcResi,1.7,lossExc,0.013,costExpExc,106.1,costOprExc,4.2
47CH,49AT,hvac,capaExcResi,1.7,lossExc,0.015,costExpExc,121.1,costOprExc,4.8
16FR,52IT,hvac,capaExcResi,0.49,lossExc,0.021,costExpExc,165.7,costOprExc,6.6
55IT,56IT,hvac,capaExcResi,3.4,lossExc,0.018,costExpExc,146.7,costOprExc,5.8
58HU,59RO,hvac,capaExcResi,3.4,lossExc,0.017,costExpExc,136.9,costOprExc,5.4
59RO,61RO,hvac,capaExcResi,0.49,lossExc,0.014,costExpExc,108.7,costOprExc,4.3
57SI,62HR,hvac,capaExcResi,4.89,lossExc,0.01,costExpExc,76.8,costOprExc,3.1
59RO,65RS,hvac,capaExcResi,0.34,lossExc,0.017,costExpExc,133.7,costOprExc,5.3
60RO,66BG,hvac,capaExcResi,2.68,lossExc,0.014,costExpExc,109.8,costOprExc,4.4
65RS,67MK,hvac,capaExcResi,4.38,lossExc,0.016,costExpExc,124.1,costOprExc,4.9
67MK,68GR,hvac,capaExcResi,3.4,lossExc,0.009,costExpExc,72.7,costOprExc,2.9
41PL,79NO,hvac,capaExcResi,1.7,lossExc,0.02,costExpExc,156.7,costOprExc,6.2
81NO,83NO,hvac,capaExcResi,3.02,lossExc,0.012,costExpExc,92.2,costOprExc,3.7
82NO,83NO,hvac,capaExcResi,6.1,lossExc,0.013,costExpExc,100.6,costOprExc,4
85NO,86SE,hvac,capaExcResi,2.01,lossExc,0.029,costExpExc,228.9,costOprExc,9.1
75FI,87SE,hvac,capaExcResi,0.49,lossExc,0.021,costExpExc,164.3,costOprExc,6.5
86SE,87SE,hvac,capaExcResi,0.17,lossExc,0.028,costExpExc,221.3,costOprExc,8.8
85NO,89SE,hvac,capaExcResi,1.7,lossExc,0.021,costExpExc,171.9,costOprExc,6.8
88SE,89SE,hvac,capaExcResi,6.79,lossExc,0.021,costExpExc,165.2,costOprExc,6.6
92UK,93UK,hvac,capaExcResi,5.09,lossExc,0.013,costExpExc,108,costOprExc,4.3
98IT,99FR,hvac,capaExcResi,1.17,lossExc,0.01,costExpExc,78.1,costOprExc,3.1
,,hvac,lifeExc,40,,,,,,
