timestep_1,region_1,region_2,region_3,region_4,region_1,region_2,region_3,region_4,exchange_1,id_1,parameter,value
30th,EU,FR,fr,25FR,EU,DE,de,36DE,h2Grid,,expExcFixDir,0.0
30th,nonEU,CH,ch,47CH,EU,DE,de,36DE,h2Grid,,expExcFixDir,0.0
30th,EU,DK,dk_w,38DK,EU,DK,dk_e,72DK,h2Grid,,expExcFixDir,0.0
30th,EU,SE,se_4,89SE,EU,DK,dk_e,72DK,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_s,79NO,EU,DK,dk_w,38DK,h2Grid,,expExcFixDir,0.0
30th,EU,FI,fi,75FI,EU,EE,ee,73EE,h2Grid,,expExcFixDir,0.0
30th,EU,LV,lv,78LV,EU,EE,ee,73EE,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,02ES,EU,ES,es,01ES,h2Grid,,expExcFixDir,0.0
30th,EU,PT,pt,12PT,EU,ES,es,01ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,03ES,EU,ES,es,02ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,08ES,EU,ES,es,02ES,h2Grid,,expExcFixDir,0.0
30th,EU,PT,pt,12PT,EU,ES,es,02ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,04ES,EU,ES,es,03ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,05ES,EU,ES,es,03ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,07ES,EU,ES,es,03ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,08ES,EU,ES,es,03ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,11ES,EU,ES,es,03ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,05ES,EU,ES,es,04ES,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,14FR,EU,ES,es,04ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,06ES,EU,ES,es,05ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,11ES,EU,ES,es,05ES,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,14FR,EU,ES,es,05ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,11ES,EU,ES,es,06ES,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,14FR,EU,ES,es,06ES,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,15FR,EU,ES,es,06ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,08ES,EU,ES,es,07ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,11ES,EU,ES,es,07ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,09ES,EU,ES,es,08ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,10ES,EU,ES,es,08ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,11ES,EU,ES,es,08ES,h2Grid,,expExcFixDir,0.0
30th,EU,PT,pt,12PT,EU,ES,es,08ES,h2Grid,,expExcFixDir,0.0
30th,EU,PT,pt,13PT,EU,ES,es,08ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,10ES,EU,ES,es,09ES,h2Grid,,expExcFixDir,0.0
30th,EU,PT,pt,13PT,EU,ES,es,09ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,11ES,EU,ES,es,10ES,h2Grid,,expExcFixDir,0.0
30th,EU,FI,fi,75FI,EU,FI,fi,74FI,h2Grid,,expExcFixDir,0.0
30th,EU,SE,se_1,86SE,EU,FI,fi,74FI,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_n,85NO,EU,FI,fi,74FI,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,15FR,EU,FR,fr,14FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,17FR,EU,FR,fr,14FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,18FR,EU,FR,fr,14FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,16FR,EU,FR,fr,15FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,18FR,EU,FR,fr,15FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,19FR,EU,FR,fr,15FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,19FR,EU,FR,fr,16FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,20FR,EU,FR,fr,16FR,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_n,52IT,EU,FR,fr,16FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,18FR,EU,FR,fr,17FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,21FR,EU,FR,fr,17FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,22FR,EU,FR,fr,17FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,19FR,EU,FR,fr,18FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,22FR,EU,FR,fr,18FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,23FR,EU,FR,fr,18FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,24FR,EU,FR,fr,18FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,20FR,EU,FR,fr,19FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,24FR,EU,FR,fr,19FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,24FR,EU,FR,fr,20FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,25FR,EU,FR,fr,20FR,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_n,52IT,EU,FR,fr,20FR,h2Grid,,expExcFixDir,0.0
30th,nonEU,CH,ch,47CH,EU,FR,fr,20FR,h2Grid,,expExcFixDir,0.0
30th,nonEU,CH,ch,48CH,EU,FR,fr,20FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,22FR,EU,FR,fr,21FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,23FR,EU,FR,fr,22FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,26FR,EU,FR,fr,22FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,24FR,EU,FR,fr,23FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,26FR,EU,FR,fr,23FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,27FR,EU,FR,fr,23FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,25FR,EU,FR,fr,24FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,27FR,EU,FR,fr,24FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,27FR,EU,FR,fr,25FR,h2Grid,,expExcFixDir,0.0
30th,EU,LU,lu,29LU,EU,FR,fr,25FR,h2Grid,,expExcFixDir,0.0
30th,nonEU,CH,ch,47CH,EU,FR,fr,25FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,27FR,EU,FR,fr,26FR,h2Grid,,expExcFixDir,0.0
30th,nonEU,UK,uk,90UK,EU,FR,fr,26FR,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_cn,53IT,EU,FR,fr_co,99FR,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_sar,98IT,EU,FR,fr_co,99FR,h2Grid,,expExcFixDir,0.0
30th,EU,GR,gr,69GR,EU,GR,gr,68GR,h2Grid,,expExcFixDir,0.0
30th,EU,HU,hu,58HU,EU,HR,hr,62HR,h2Grid,,expExcFixDir,0.0
30th,EU,SI,si,57SI,EU,HR,hr,62HR,h2Grid,,expExcFixDir,0.0
30th,nonEU,BA,ba,63BA,EU,HR,hr,62HR,h2Grid,,expExcFixDir,0.0
30th,nonEU,RS,rs,65RS,EU,HR,hr,62HR,h2Grid,,expExcFixDir,0.0
30th,EU,RO,ro,59RO,EU,HU,hu,58HU,h2Grid,,expExcFixDir,0.0
30th,EU,SI,si,57SI,EU,HU,hu,58HU,h2Grid,,expExcFixDir,0.0
30th,EU,SK,sk,46SK,EU,HU,hu,58HU,h2Grid,,expExcFixDir,0.0
30th,nonEU,UK,ni,95UK,EU,IE,ie,96IE,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_cs,54IT,EU,IT,it_cn,53IT,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_n,52IT,EU,IT,it_cn,53IT,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_s,55IT,EU,IT,it_cs,54IT,h2Grid,,expExcFixDir,0.0
30th,nonEU,BA,ba,63BA,EU,IT,it_cs,54IT,h2Grid,,expExcFixDir,0.0
30th,EU,SI,si,57SI,EU,IT,it_n,52IT,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_sic,56IT,EU,IT,it_s,55IT,h2Grid,,expExcFixDir,0.0
30th,EU,LV,lv,78LV,EU,LT,lt,77LT,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,41PL,EU,LT,lt,77LT,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,42PL,EU,PL,pl,41PL,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,43PL,EU,PL,pl,41PL,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,44PL,EU,PL,pl,41PL,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,45PL,EU,PL,pl,41PL,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,43PL,EU,PL,pl,42PL,h2Grid,,expExcFixDir,0.0
30th,EU,SK,sk,46SK,EU,PL,pl,42PL,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,44PL,EU,PL,pl,43PL,h2Grid,,expExcFixDir,0.0
30th,EU,SK,sk,46SK,EU,PL,pl,43PL,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,45PL,EU,PL,pl,44PL,h2Grid,,expExcFixDir,0.0
30th,EU,SE,se_4,89SE,EU,PL,pl,45PL,h2Grid,,expExcFixDir,0.0
30th,EU,PT,pt,13PT,EU,PT,pt,12PT,h2Grid,,expExcFixDir,0.0
30th,EU,RO,ro,60RO,EU,RO,ro,59RO,h2Grid,,expExcFixDir,0.0
30th,EU,RO,ro,61RO,EU,RO,ro,59RO,h2Grid,,expExcFixDir,0.0
30th,nonEU,RS,rs,65RS,EU,RO,ro,59RO,h2Grid,,expExcFixDir,0.0
30th,EU,RO,ro,61RO,EU,RO,ro,60RO,h2Grid,,expExcFixDir,0.0
30th,nonEU,RS,rs,65RS,EU,RO,ro,60RO,h2Grid,,expExcFixDir,0.0
30th,EU,SE,se_2,87SE,EU,SE,se_1,86SE,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_n,84NO,EU,SE,se_1,86SE,h2Grid,,expExcFixDir,0.0
30th,EU,SE,se_3,88SE,EU,SE,se_2,87SE,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_m,83NO,EU,SE,se_2,87SE,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_n,84NO,EU,SE,se_2,87SE,h2Grid,,expExcFixDir,0.0
30th,EU,SE,se_4,89SE,EU,SE,se_3,88SE,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_s,82NO,EU,SE,se_3,88SE,h2Grid,,expExcFixDir,0.0
30th,nonEU,ME,me,64ME,nonEU,AL,al,70AL,h2Grid,,expExcFixDir,0.0
30th,nonEU,MK,mk,67MK,nonEU,AL,al,70AL,h2Grid,,expExcFixDir,0.0
30th,nonEU,RS,rs,65RS,nonEU,AL,al,70AL,h2Grid,,expExcFixDir,0.0
30th,nonEU,ME,me,64ME,nonEU,BA,ba,63BA,h2Grid,,expExcFixDir,0.0
30th,nonEU,CH,ch,48CH,nonEU,CH,ch,47CH,h2Grid,,expExcFixDir,0.0
30th,nonEU,RS,rs,65RS,nonEU,MK,mk,67MK,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_n,84NO,nonEU,NO,no_m,83NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_s,81NO,nonEU,NO,no_m,83NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_s,82NO,nonEU,NO,no_m,83NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_n,85NO,nonEU,NO,no_n,84NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_s,80NO,nonEU,NO,no_s,79NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_s,81NO,nonEU,NO,no_s,79NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_s,81NO,nonEU,NO,no_s,80NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_s,82NO,nonEU,NO,no_s,80NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_s,82NO,nonEU,NO,no_s,81NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,UK,uk,93UK,nonEU,UK,ni,95UK,h2Grid,,expExcFixDir,0.0
30th,nonEU,UK,uk,91UK,nonEU,UK,uk,90UK,h2Grid,,expExcFixDir,0.0
30th,nonEU,UK,uk,92UK,nonEU,UK,uk,90UK,h2Grid,,expExcFixDir,0.0
30th,nonEU,UK,uk,92UK,nonEU,UK,uk,91UK,h2Grid,,expExcFixDir,0.0
30th,nonEU,UK,uk,93UK,nonEU,UK,uk,92UK,h2Grid,,expExcFixDir,0.0
30th,nonEU,UK,uk,94UK,nonEU,UK,uk,93UK,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,01ES,EU,ES,es,02ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,01ES,EU,PT,pt,12PT,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,02ES,EU,ES,es,03ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,02ES,EU,ES,es,08ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,02ES,EU,PT,pt,12PT,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,03ES,EU,ES,es,04ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,03ES,EU,ES,es,05ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,03ES,EU,ES,es,07ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,03ES,EU,ES,es,08ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,03ES,EU,ES,es,11ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,04ES,EU,ES,es,05ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,04ES,EU,FR,fr,14FR,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,05ES,EU,ES,es,06ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,05ES,EU,ES,es,11ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,05ES,EU,FR,fr,14FR,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,06ES,EU,ES,es,11ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,06ES,EU,FR,fr,14FR,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,06ES,EU,FR,fr,15FR,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,07ES,EU,ES,es,08ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,07ES,EU,ES,es,11ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,08ES,EU,ES,es,09ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,08ES,EU,ES,es,10ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,08ES,EU,ES,es,11ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,08ES,EU,PT,pt,12PT,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,08ES,EU,PT,pt,13PT,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,09ES,EU,ES,es,10ES,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,09ES,EU,PT,pt,13PT,h2Grid,,expExcFixDir,0.0
30th,EU,ES,es,10ES,EU,ES,es,11ES,h2Grid,,expExcFixDir,0.0
30th,EU,PT,pt,12PT,EU,PT,pt,13PT,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,14FR,EU,FR,fr,15FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,14FR,EU,FR,fr,17FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,14FR,EU,FR,fr,18FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,15FR,EU,FR,fr,16FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,15FR,EU,FR,fr,18FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,15FR,EU,FR,fr,19FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,16FR,EU,FR,fr,19FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,16FR,EU,FR,fr,20FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,16FR,EU,IT,it_n,52IT,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,17FR,EU,FR,fr,18FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,17FR,EU,FR,fr,21FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,17FR,EU,FR,fr,22FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,18FR,EU,FR,fr,19FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,18FR,EU,FR,fr,22FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,18FR,EU,FR,fr,23FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,18FR,EU,FR,fr,24FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,19FR,EU,FR,fr,20FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,19FR,EU,FR,fr,24FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,20FR,EU,FR,fr,24FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,20FR,EU,FR,fr,25FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,20FR,nonEU,CH,ch,47CH,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,20FR,nonEU,CH,ch,48CH,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,21FR,EU,FR,fr,22FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,22FR,EU,FR,fr,23FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,22FR,EU,FR,fr,26FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,23FR,EU,FR,fr,24FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,23FR,EU,FR,fr,26FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,23FR,EU,FR,fr,27FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,24FR,EU,FR,fr,25FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,24FR,EU,FR,fr,27FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,25FR,EU,FR,fr,27FR,h2Grid,,expExcFixDir,0.0
30th,EU,BE,be,28BE,EU,FR,fr,25FR,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,35DE,EU,FR,fr,25FR,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,36DE,EU,FR,fr,25FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,25FR,nonEU,CH,ch,47CH,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,26FR,EU,FR,fr,27FR,h2Grid,,expExcFixDir,0.0
30th,EU,BE,be,28BE,EU,FR,fr,26FR,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,26FR,nonEU,UK,uk,90UK,h2Grid,,expExcFixDir,0.0
30th,EU,BE,be,28BE,EU,FR,fr,27FR,h2Grid,,expExcFixDir,0.0
30th,EU,BE,be,28BE,EU,LU,lu,29LU,h2Grid,,expExcFixDir,0.0
30th,EU,BE,be,28BE,EU,NL,nl,30NL,h2Grid,,expExcFixDir,0.0
30th,EU,BE,be,28BE,EU,DE,de,33DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,35DE,EU,LU,lu,29LU,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,31DE,EU,NL,nl,30NL,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,33DE,EU,NL,nl,30NL,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,31DE,EU,DE,de,32DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,31DE,EU,DE,de,33DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,31DE,EU,DE,de,34DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,31DE,EU,DE,de,35DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,31DE,EU,DK,dk_w,38DK,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,32DE,EU,DE,de,34DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,32DE,EU,PL,pl,44PL,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,33DE,EU,DE,de,35DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,34DE,EU,DE,de,35DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,34DE,EU,DE,de,37DE,h2Grid,,expExcFixDir,0.0
30th,EU,CZ,cz,39CZ,EU,DE,de,34DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,34DE,EU,PL,pl,44PL,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,35DE,EU,DE,de,36DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,35DE,EU,DE,de,37DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,36DE,EU,DE,de,37DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,36DE,nonEU,CH,ch,47CH,h2Grid,,expExcFixDir,0.0
30th,EU,CZ,cz,39CZ,EU,DE,de,37DE,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,49AT,EU,DE,de,37DE,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,50AT,EU,DE,de,37DE,h2Grid,,expExcFixDir,0.0
30th,EU,DK,dk_e,72DK,EU,DK,dk_w,38DK,h2Grid,,expExcFixDir,0.0
30th,EU,DK,dk_w,38DK,nonEU,NO,no_s,79NO,h2Grid,,expExcFixDir,0.0
30th,EU,CZ,cz,39CZ,EU,CZ,cz,40CZ,h2Grid,,expExcFixDir,0.0
30th,EU,CZ,cz,39CZ,EU,PL,pl,44PL,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,50AT,EU,CZ,cz,39CZ,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,51AT,EU,CZ,cz,39CZ,h2Grid,,expExcFixDir,0.0
30th,EU,CZ,cz,40CZ,EU,PL,pl,43PL,h2Grid,,expExcFixDir,0.0
30th,EU,CZ,cz,40CZ,EU,PL,pl,44PL,h2Grid,,expExcFixDir,0.0
30th,EU,CZ,cz,40CZ,EU,SK,sk,46SK,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,51AT,EU,CZ,cz,40CZ,h2Grid,,expExcFixDir,0.0
