timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,EU,FR,fr,20FR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FR,fr,21FR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FR,fr,22FR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FR,fr,23FR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FR,fr,24FR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FR,fr,25FR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FR,fr,26FR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FR,fr,27FR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FR,fr_co,99FR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,GR,gr,68GR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,GR,gr,69GR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,HR,hr,62HR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,HU,hu,58HU,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,IE,ie,96IE,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,IT,it_cn,53IT,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,IT,it_cs,54IT,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,IT,it_n,52IT,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,IT,it_s,55IT,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,IT,it_sar,98IT,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,IT,it_sic,56IT,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,LT,lt,77LT,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,LU,lu,29LU,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,NL,nl,30NL,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,PL,pl,41PL,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,PL,pl,42PL,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,PL,pl,43PL,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,PL,pl,44PL,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,PL,pl,45PL,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,PT,pt,12PT,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,PT,pt,13PT,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,RO,ro,59RO,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,RO,ro,60RO,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,RO,ro,61RO,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,SE,se_1,86SE,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,SE,se_2,87SE,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,SE,se_3,88SE,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,SI,si,57SI,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,SK,sk,46SK,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,AL,al,70AL,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,BA,ba,63BA,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,CH,ch,47CH,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,CH,ch,48CH,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,ME,me,64ME,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,MK,mk,67MK,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,NO,no_m,83NO,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,NO,no_n,84NO,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,NO,no_n,85NO,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,NO,no_s,79NO,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,NO,no_s,80NO,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,NO,no_s,81NO,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,NO,no_s,82NO,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,RS,rs,65RS,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,UK,ni,95UK,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,UK,uk,90UK,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,UK,uk,91UK,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,UK,uk,92UK,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,UK,uk,93UK,engine,enginePeak,gasEngine,expConvFix,0.0
30th,nonEU,UK,uk,94UK,engine,enginePeak,gasEngine,expConvFix,0.0
