timestep_2,region_2,region_4,technology_3,parameter,value
all,IT,53IT,offshore_b,capaConvUp,5.154137471
all,IT,54IT,offshore_b,capaConvUp,5.154137471
all,IT,55IT,offshore_b,capaConvUp,5.154137471
all,IT,56IT,offshore_b,capaConvUp,5.154137471
all,SI,57SI,offshore_b,capaConvFix,0
all,HU,58HU,offshore_b,capaConvFix,0
all,RO,59RO,offshore_b,capaConvFix,0
all,RO,60RO,offshore_b,capaConvFix,0
all,RO,61RO,offshore_b,capaConvUp,15.43486063
all,HR,62HR,offshore_b,capaConvUp,31.98897082
all,BA,63BA,offshore_b,capaConvFix,0
all,ME,64ME,offshore_b,capaConvFix,0
all,RS,65RS,offshore_b,capaConvFix,0
all,BG,66BG,offshore_b,capaConvUp,7.537249179
all,MK,67MK,offshore_b,capaConvFix,0
all,GR,68GR,offshore_b,capaConvUp,6.054904494
all,GR,69GR,offshore_b,capaConvUp,10.89882809
all,AL,70AL,offshore_b,capaConvUp,0.334152307
all,DK,72DK,offshore_b,capaConvUp,12.68057604
all,EE,73EE,offshore_b,capaConvUp,23.67260193
all,FI,74FI,offshore_b,capaConvUp,15.49814178
all,FI,75FI,offshore_b,capaConvUp,15.49814178
all,LT,77LT,offshore_b,capaConvUp,3.413250018
all,LV,78LV,offshore_b,capaConvUp,14.39339535
all,NO,79NO,offshore_b,capaConvFix,0
all,NO,80NO,offshore_b,capaConvUp,5.804974484
all,NO,81NO,offshore_b,capaConvFix,0
all,NO,82NO,offshore_b,capaConvUp,5.804974484
all,NO,83NO,offshore_b,capaConvUp,5.804974484
all,NO,84NO,offshore_b,capaConvUp,5.804974484
all,NO,85NO,offshore_b,capaConvUp,5.804974484
all,SE,86SE,offshore_b,capaConvUp,25.5311959
all,SE,87SE,offshore_b,capaConvUp,25.5311959
all,SE,88SE,offshore_b,capaConvUp,25.5311959
all,SE,89SE,offshore_b,capaConvFix,0
all,UK,90UK,offshore_b,capaConvFix,0
all,UK,91UK,offshore_b,capaConvUp,19.88488895
all,UK,92UK,offshore_b,capaConvUp,19.88488895
all,UK,93UK,offshore_b,capaConvFix,0
all,UK,94UK,offshore_b,capaConvFix,0
all,UK,95UK,offshore_b,capaConvUp,19.88488895
all,IE,96IE,offshore_b,capaConvUp,32.88394579
all,IT,98IT,offshore_b,capaConvUp,5.154137471
all,FR,99FR,offshore_b,capaConvUp,2.126483047
all,ES,,offshore_a,capaConvUp,22.77035779
all,PT,,offshore_a,capaConvUp,5.937491978
all,FR,,offshore_a,capaConvUp,84.79088995
all,BE,,offshore_a,capaConvUp,5.9
all,LU,,offshore_a,capaConvFix,0
all,NL,,offshore_a,capaConvUp,9.3
all,DE,,offshore_a,capaConvUp,83.54078621
all,DK,,offshore_a,capaConvUp,136.319424
all,CZ,,offshore_a,capaConvUp,0
all,PL,,offshore_a,capaConvUp,35.11753513
all,SK,,offshore_a,capaConvFix,0
all,CH,,offshore_a,capaConvFix,0
all,AT,,offshore_a,capaConvFix,0
all,IT,,offshore_a,capaConvUp,46.77517517
all,SI,,offshore_a,capaConvFix,0
all,HU,,offshore_a,capaConvFix,0
all,RO,,offshore_a,capaConvUp,8.86513937
all,HR,,offshore_a,capaConvUp,15.11102918
all,BA,,offshore_a,capaConvFix,0
all,ME,,offshore_a,capaConvFix,0
all,RS,,offshore_a,capaConvFix,0
all,BG,,offshore_a,capaConvUp,4.062750821
all,MK,,offshore_a,capaConvFix,0
all,GR,,offshore_a,capaConvUp,10.64626742
all,AL,,offshore_a,capaConvUp,0.157847693
all,EE,,offshore_a,capaConvUp,32.22739807
all,FI,,offshore_a,capaConvUp,99.50371644
all,LT,,offshore_a,capaConvUp,5.786749982
all,LV,,offshore_a,capaConvUp,28.70660465
all,NO,,offshore_a,capaConvUp,93.1751276
all,SE,,offshore_a,capaConvUp,91.1064123
all,UK,,offshore_a,capaConvUp,39.34533315
all,IE,,offshore_a,capaConvUp,19.31605421
all,ES,,offshore_b,capaConvUp,32.22964221
all,PT,,offshore_b,capaConvUp,10.76250802
all,FR,,offshore_b,capaConvUp,48.90911007
all,BE,,offshore_b,capaConvUp,5.9
all,LU,,offshore_b,capaConvFix,0
all,NL,,offshore_b,capaConvUp,64.7
all,DE,,offshore_b,capaConvUp,0.059213788
all,DK,,offshore_b,capaConvUp,12.68057604
all,CZ,,offshore_b,capaConvFix,0
all,PL,,offshore_b,capaConvUp,5.58246487
all,SK,,offshore_b,capaConvFix,0
all,CH,,offshore_b,capaConvFix,0
all,AT,,offshore_b,capaConvFix,0
all,IT,,offshore_b,capaConvUp,30.92482483
all,SI,,offshore_b,capaConvFix,0
all,HU,,offshore_b,capaConvFix,0
all,RO,,offshore_b,capaConvUp,15.43486063
all,HR,,offshore_b,capaConvUp,31.98897082
all,BA,,offshore_b,capaConvFix,0
all,ME,,offshore_b,capaConvFix,0
all,RS,,offshore_b,capaConvFix,0
all,BG,,offshore_b,capaConvUp,7.537249179
all,MK,,offshore_b,capaConvUp,0
all,GR,,offshore_b,capaConvUp,16.95373258
all,AL,,offshore_b,capaConvUp,0.334152307
all,EE,,offshore_b,capaConvUp,23.67260193
all,FI,,offshore_b,capaConvUp,30.99628356
all,LT,,offshore_b,capaConvUp,3.413250018
all,LV,,offshore_b,capaConvUp,14.39339535
all,NO,,offshore_b,capaConvUp,29.02487242
all,SE,,offshore_b,capaConvUp,76.5935877
all,UK,,offshore_b,capaConvUp,59.65466685
all,IE,,offshore_b,capaConvUp,32.88394579
