timestep_5,region_3,technology_3,parameter,value
h0030,06ES,onshore_b,avaConv,0.26201983
h0031,06ES,onshore_b,avaConv,0.26189843
h0032,06ES,onshore_b,avaConv,0.26454436
h0033,06ES,onshore_b,avaConv,0.26109903
h0034,06ES,onshore_b,avaConv,0.24419946
h0035,06ES,onshore_b,avaConv,0.23384277
h0036,06ES,onshore_b,avaConv,0.24240333
h0037,06ES,onshore_b,avaConv,0.25858584
h0038,06ES,onshore_b,avaConv,0.26369658
h0039,06ES,onshore_b,avaConv,0.26082091
h0040,06ES,onshore_b,avaConv,0.25485591
h0041,06ES,onshore_b,avaConv,0.24849081
h0042,06ES,onshore_b,avaConv,0.24590002
h0043,06ES,onshore_b,avaConv,0.25180134
h0044,06ES,onshore_b,avaConv,0.2579472
h0045,06ES,onshore_b,avaConv,0.25902654
h0046,06ES,onshore_b,avaConv,0.25866241
h0047,06ES,onshore_b,avaConv,0.25650516
h0048,06ES,onshore_b,avaConv,0.25460117
h0001,07ES,onshore_b,avaConv,0.35822497
h0002,07ES,onshore_b,avaConv,0.3407255
h0003,07ES,onshore_b,avaConv,0.32120409
h0004,07ES,onshore_b,avaConv,0.2988177
h0005,07ES,onshore_b,avaConv,0.27606678
h0006,07ES,onshore_b,avaConv,0.26242299
h0007,07ES,onshore_b,avaConv,0.2536116
h0008,07ES,onshore_b,avaConv,0.2287378
h0009,07ES,onshore_b,avaConv,0.19718424
h0010,07ES,onshore_b,avaConv,0.18245509
h0011,07ES,onshore_b,avaConv,0.18536714
h0012,07ES,onshore_b,avaConv,0.19598651
h0013,07ES,onshore_b,avaConv,0.20321856
h0014,07ES,onshore_b,avaConv,0.2088716
h0015,07ES,onshore_b,avaConv,0.2155536
h0016,07ES,onshore_b,avaConv,0.22439088
h0017,07ES,onshore_b,avaConv,0.23502043
h0018,07ES,onshore_b,avaConv,0.24266533
h0019,07ES,onshore_b,avaConv,0.25149746
h0020,07ES,onshore_b,avaConv,0.2764024
h0021,07ES,onshore_b,avaConv,0.32711917
h0022,07ES,onshore_b,avaConv,0.36738814
h0023,07ES,onshore_b,avaConv,0.38164246
h0024,07ES,onshore_b,avaConv,0.38168702
h0025,07ES,onshore_b,avaConv,0.50546191
h0026,07ES,onshore_b,avaConv,0.49696052
h0027,07ES,onshore_b,avaConv,0.4883221
