timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0066,AT,electricity,scr2099,dem,7.680789206644111
h0067,AT,electricity,scr2099,dem,8.176982781534786
h0068,AT,electricity,scr2099,dem,8.185996699714845
h0069,AT,electricity,scr2099,dem,7.546850096795502
h0070,AT,electricity,scr2099,dem,7.173383056630867
h0071,AT,electricity,scr2099,dem,6.15424296093358
h0072,AT,electricity,scr2099,dem,5.947054957683369
h0073,AT,electricity,scr2099,dem,5.3457341548678405
h0074,AT,electricity,scr2099,dem,5.14877858025645
h0075,AT,electricity,scr2099,dem,4.903371568057436
h0076,AT,electricity,scr2099,dem,4.533562776347976
h0077,AT,electricity,scr2099,dem,4.629561500354488
h0078,AT,electricity,scr2099,dem,4.436628346194381
h0079,AT,electricity,scr2099,dem,5.555629282154882
h0080,AT,electricity,scr2099,dem,5.941662970816878
h0081,AT,electricity,scr2099,dem,7.50150415117708
h0082,AT,electricity,scr2099,dem,8.060434437722098
h0083,AT,electricity,scr2099,dem,9.025427567259989
h0084,AT,electricity,scr2099,dem,9.19940867226185
h0085,AT,electricity,scr2099,dem,8.140539499090842
h0086,AT,electricity,scr2099,dem,8.042217496570977
h0087,AT,electricity,scr2099,dem,7.1211477229813935
h0088,AT,electricity,scr2099,dem,8.527812115778005
h0089,AT,electricity,scr2099,dem,8.753361599689274
h0090,AT,electricity,scr2099,dem,9.426661498118712
h0091,AT,electricity,scr2099,dem,9.017831367101213
h0092,AT,electricity,scr2099,dem,8.092809257390229
h0093,AT,electricity,scr2099,dem,7.887458755446617
h0094,AT,electricity,scr2099,dem,6.8999156667503
h0095,AT,electricity,scr2099,dem,6.923610799633052
h0096,AT,electricity,scr2099,dem,6.44956494895452
h0001,BA,electricity,scr2099,dem,5.622386586444092
h0002,BA,electricity,scr2099,dem,7.170663354362336
h0003,BA,electricity,scr2099,dem,9.24413362356024
h0004,BA,electricity,scr2099,dem,9.076695135825597
h0005,BA,electricity,scr2099,dem,7.014816502446104
h0006,BA,electricity,scr2099,dem,3.8438364536356096
h0007,BA,electricity,scr2099,dem,3.287412996026883
h0008,BA,electricity,scr2099,dem,3.041316469621981
h0009,BA,electricity,scr2099,dem,3.2752159103267813
h0010,BA,electricity,scr2099,dem,3.8673391216051773
h0011,BA,electricity,scr2099,dem,6.659030063374301
h0012,BA,electricity,scr2099,dem,7.169522558675665
h0013,BA,electricity,scr2099,dem,7.150114766034896
h0014,BA,electricity,scr2099,dem,5.950736138568864
h0015,BA,electricity,scr2099,dem,5.978173412711669
h0016,BA,electricity,scr2099,dem,4.786548636048831
h0017,BA,electricity,scr2099,dem,4.561590127585038
h0018,BA,electricity,scr2099,dem,3.9640750391619566
h0019,BA,electricity,scr2099,dem,4.1700329379732235
h0020,BA,electricity,scr2099,dem,2.876624008866209
h0021,BA,electricity,scr2099,dem,3.7993544828515278
h0022,BA,electricity,scr2099,dem,4.3025820619013775
h0023,BA,electricity,scr2099,dem,5.963692813228967
h0024,BA,electricity,scr2099,dem,6.244864210194622
h0025,BA,electricity,scr2099,dem,6.2689784280222245
h0026,BA,electricity,scr2099,dem,4.433314779418989
h0027,BA,electricity,scr2099,dem,2.8302403449291367
h0028,BA,electricity,scr2099,dem,1.7760775850052872
h0029,BA,electricity,scr2099,dem,2.372413112945294
h0030,BA,electricity,scr2099,dem,2.1275385251386822
h0031,BA,electricity,scr2099,dem,2.7574366673832955
h0032,BA,electricity,scr2099,dem,1.5993776086622995
h0033,BA,electricity,scr2099,dem,1.7897684667813984
h0034,BA,electricity,scr2099,dem,1.4742364525750375
h0035,BA,electricity,scr2099,dem,2.48080924204933
h0036,BA,electricity,scr2099,dem,2.188580122416102
h0037,BA,electricity,scr2099,dem,1.9916558563639282
h0038,BA,electricity,scr2099,dem,1.5828965020295658
h0039,BA,electricity,scr2099,dem,1.4347944293624455
h0040,BA,electricity,scr2099,dem,1.3902447887470637
h0041,BA,electricity,scr2099,dem,0.9647411353683425
h0042,BA,electricity,scr2099,dem,0.9606880598304632
h0043,BA,electricity,scr2099,dem,0.9535386553644645
h0044,BA,electricity,scr2099,dem,0.9777426942384088
h0045,BA,electricity,scr2099,dem,1.0480968182765666
h0046,BA,electricity,scr2099,dem,1.0576818754990551
h0047,BA,electricity,scr2099,dem,1.0837345784161614
h0048,BA,electricity,scr2099,dem,0.9918837012509752
h0049,BA,electricity,scr2099,dem,0.9335213267677978
h0050,BA,electricity,scr2099,dem,0.8418974164177585
h0051,BA,electricity,scr2099,dem,0.7936920956577341
h0052,BA,electricity,scr2099,dem,0.7737518716895206
h0053,BA,electricity,scr2099,dem,0.7560928982680686
h0054,BA,electricity,scr2099,dem,0.7314695824435624
h0055,BA,electricity,scr2099,dem,0.720024699244027
h0056,BA,electricity,scr2099,dem,0.799643560563533
h0057,BA,electricity,scr2099,dem,0.9064704187500923
h0058,BA,electricity,scr2099,dem,1.0500467770641952
h0059,BA,electricity,scr2099,dem,1.0929480438279446
h0060,BA,electricity,scr2099,dem,1.1197820088126713
h0061,BA,electricity,scr2099,dem,1.1339509065416362
h0062,BA,electricity,scr2099,dem,1.1234755774679503
h0063,BA,electricity,scr2099,dem,1.2178044711293583
h0064,BA,electricity,scr2099,dem,1.147432205361277
h0065,BA,electricity,scr2099,dem,1.1301145761162534
h0066,BA,electricity,scr2099,dem,1.0761931455760019
h0067,BA,electricity,scr2099,dem,1.1786403145629167
h0068,BA,electricity,scr2099,dem,1.3551297518942034
h0069,BA,electricity,scr2099,dem,1.404648037927021
