timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0130,DE,electricity,scr1983,dem,82.20980165445636
h0131,DE,electricity,scr1983,dem,73.75315011636775
h0132,DE,electricity,scr1983,dem,74.1115797857588
h0133,DE,electricity,scr1983,dem,73.48302846014457
h0134,DE,electricity,scr1983,dem,74.22469924520749
h0135,DE,electricity,scr1983,dem,71.91330654693269
h0136,DE,electricity,scr1983,dem,65.43401135289415
h0137,DE,electricity,scr1983,dem,73.73208572177529
h0138,DE,electricity,scr1983,dem,67.36842890751694
h0139,DE,electricity,scr1983,dem,73.65224711706813
h0140,DE,electricity,scr1983,dem,71.15774961876124
h0141,DE,electricity,scr1983,dem,68.28007290660219
h0142,DE,electricity,scr1983,dem,60.87791418093377
h0143,DE,electricity,scr1983,dem,53.51784931838117
h0144,DE,electricity,scr1983,dem,53.75994075766911
h0145,DE,electricity,scr1983,dem,52.234501324943835
h0146,DE,electricity,scr1983,dem,52.59544483128889
h0147,DE,electricity,scr1983,dem,53.05654623180973
h0148,DE,electricity,scr1983,dem,48.235661803646536
h0149,DE,electricity,scr1983,dem,54.31647402800587
h0150,DE,electricity,scr1983,dem,50.11131786496722
h0151,DE,electricity,scr1983,dem,55.64982910289626
h0152,DE,electricity,scr1983,dem,59.14838534478366
h0153,DE,electricity,scr1983,dem,74.49541210855011
h0154,DE,electricity,scr1983,dem,83.67016531729882
h0155,DE,electricity,scr1983,dem,78.35653374669502
h0156,DE,electricity,scr1983,dem,81.26738649604678
h0157,DE,electricity,scr1983,dem,85.01181081872392
h0158,DE,electricity,scr1983,dem,86.0471562705089
h0159,DE,electricity,scr1983,dem,84.63788809344612
h0160,DE,electricity,scr1983,dem,83.28082995868476
h0161,DE,electricity,scr1983,dem,91.53541813000004
h0162,DE,electricity,scr1983,dem,84.47142069419385
h0163,DE,electricity,scr1983,dem,83.50517049872494
h0164,DE,electricity,scr1983,dem,80.00485751091321
h0165,DE,electricity,scr1983,dem,79.9639985166092
h0166,DE,electricity,scr1983,dem,76.67649813960142
h0167,DE,electricity,scr1983,dem,72.58233514852333
h0168,DE,electricity,scr1983,dem,71.04741265212692
h0169,DE,electricity,scr1983,dem,63.82630555220828
h0001,FR,electricity,scr1983,dem,78.26794421169998
h0002,FR,electricity,scr1983,dem,74.38340101875116
h0003,FR,electricity,scr1983,dem,68.92998663611323
h0004,FR,electricity,scr1983,dem,59.12693188093536
h0005,FR,electricity,scr1983,dem,57.250680565504695
h0006,FR,electricity,scr1983,dem,62.54440508060841
h0007,FR,electricity,scr1983,dem,67.56010108551196
