region_4,timestep_5,value,parameter,carrier_1
31DE,hh0006,1.6801620922678921,dem,processHeat_low
32DE,hh0001,0.826936748897424,dem,processHeat_low
32DE,hh0002,0.8461431342307151,dem,processHeat_low
32DE,hh0003,0.8293605152030068,dem,processHeat_low
32DE,hh0004,0.8200114053997822,dem,processHeat_low
32DE,hh0005,0.8225098103416713,dem,processHeat_low
32DE,hh0006,0.8241130388000784,dem,processHeat_low
33DE,hh0001,2.9492946117206884,dem,processHeat_low
33DE,hh0002,3.0044459004584496,dem,processHeat_low
33DE,hh0003,2.960996149773564,dem,processHeat_low
33DE,hh0004,2.9474120249578846,dem,processHeat_low
33DE,hh0005,2.9386176015595993,dem,processHeat_low
33DE,hh0006,2.9476758665223315,dem,processHeat_low
34DE,hh0001,1.1814905325963991,dem,processHeat_low
34DE,hh0002,1.2079282962413345,dem,processHeat_low
34DE,hh0003,1.185626542918726,dem,processHeat_low
34DE,hh0004,1.1743393216265758,dem,processHeat_low
34DE,hh0005,1.178222011852995,dem,processHeat_low
34DE,hh0006,1.1756393345413017,dem,processHeat_low
35DE,hh0001,2.3439980034290784,dem,processHeat_low
35DE,hh0002,2.3830196017188428,dem,processHeat_low
35DE,hh0003,2.352611134518156,dem,processHeat_low
35DE,hh0004,2.34646835082458,dem,processHeat_low
35DE,hh0005,2.332334452376017,dem,processHeat_low
35DE,hh0006,2.3511624068123638,dem,processHeat_low
36DE,hh0001,2.197099582368537,dem,processHeat_low
36DE,hh0002,2.240856727010396,dem,processHeat_low
36DE,hh0003,2.2060367120375304,dem,processHeat_low
36DE,hh0004,2.1944273375702323,dem,processHeat_low
36DE,hh0005,2.1919170110504638,dem,processHeat_low
36DE,hh0006,2.193037695671592,dem,processHeat_low
37DE,hh0001,2.4729031718197803,dem,processHeat_low
37DE,hh0002,2.531484599385294,dem,processHeat_low
37DE,hh0003,2.480513092894398,dem,processHeat_low
37DE,hh0004,2.452037373373969,dem,processHeat_low
37DE,hh0005,2.4626577395538334,dem,processHeat_low
37DE,hh0006,2.461191636777585,dem,processHeat_low
38DK,hh0001,0.47773044303403367,dem,processHeat_low
38DK,hh0002,0.4914128080529281,dem,processHeat_low
38DK,hh0003,0.4780263388881849,dem,processHeat_low
38DK,hh0004,0.4664806223972846,dem,processHeat_low
38DK,hh0005,0.4750920790190776,dem,processHeat_low
38DK,hh0006,0.47141793109858554,dem,processHeat_low
39CZ,hh0001,1.795650877760636,dem,processHeat_low
39CZ,hh0002,1.8341372973045509,dem,processHeat_low
39CZ,hh0003,1.8032657391413522,dem,processHeat_low
39CZ,hh0004,1.7866131164500985,dem,processHeat_low
39CZ,hh0005,1.7919878624870762,dem,processHeat_low
39CZ,hh0006,1.7803635429245332,dem,processHeat_low
40CZ,hh0001,1.5532691418702598,dem,processHeat_low
40CZ,hh0002,1.586581390542051,dem,processHeat_low
40CZ,hh0003,1.5603721999004847,dem,processHeat_low
40CZ,hh0004,1.5457707715495417,dem,processHeat_low
40CZ,hh0005,1.5507251450808326,dem,processHeat_low
40CZ,hh0006,1.5374417187967993,dem,processHeat_low
41PL,hh0001,1.1083205689101305,dem,processHeat_low
41PL,hh0002,1.1381240617192816,dem,processHeat_low
41PL,hh0003,1.110620153644959,dem,processHeat_low
41PL,hh0004,1.0905443230412857,dem,processHeat_low
41PL,hh0005,1.1027398443775382,dem,processHeat_low
41PL,hh0006,1.097857494301934,dem,processHeat_low
42PL,hh0001,0.643173226869294,dem,processHeat_low
42PL,hh0002,0.6599542509934508,dem,processHeat_low
42PL,hh0003,0.6448437154713247,dem,processHeat_low
42PL,hh0004,0.6341558858766803,dem,processHeat_low
42PL,hh0005,0.6400895407127791,dem,processHeat_low
42PL,hh0006,0.6370520945501994,dem,processHeat_low
43PL,hh0001,1.0394602140777351,dem,processHeat_low
43PL,hh0002,1.0654829224677087,dem,processHeat_low
43PL,hh0003,1.0426459875752698,dem,processHeat_low
43PL,hh0004,1.0271546200037847,dem,processHeat_low
43PL,hh0005,1.035386350005865,dem,processHeat_low
43PL,hh0006,1.0293515270814169,dem,processHeat_low
44PL,hh0001,1.029507021853533,dem,processHeat_low
44PL,hh0002,1.0564034810149678,dem,processHeat_low
44PL,hh0003,1.032481284095411,dem,processHeat_low
44PL,hh0004,1.0164859179130872,dem,processHeat_low
44PL,hh0005,1.0263585963130026,dem,processHeat_low
44PL,hh0006,1.019416531540628,dem,processHeat_low
45PL,hh0001,0.6569984224497603,dem,processHeat_low
45PL,hh0002,0.6747269179559225,dem,processHeat_low
45PL,hh0003,0.658817637091488,dem,processHeat_low
45PL,hh0004,0.6478695899463673,dem,processHeat_low
45PL,hh0005,0.6550016400547065,dem,processHeat_low
45PL,hh0006,0.6500399250662667,dem,processHeat_low
46SK,hh0001,1.5167368065849587,dem,processHeat_low
46SK,hh0002,1.5461639322438714,dem,processHeat_low
46SK,hh0003,1.5262105085475923,dem,processHeat_low
46SK,hh0004,1.5220158652591635,dem,processHeat_low
46SK,hh0005,1.5235281238701646,dem,processHeat_low
46SK,hh0006,1.5010452993328727,dem,processHeat_low
47CH,hh0001,0.29994067898996946,dem,processHeat_low
47CH,hh0002,0.3066964398608434,dem,processHeat_low
47CH,hh0003,0.3015245042179231,dem,processHeat_low
47CH,hh0004,0.30120087412637986,dem,processHeat_low
47CH,hh0005,0.3014513584305405,dem,processHeat_low
47CH,hh0006,0.2996054992686368,dem,processHeat_low
48CH,hh0001,0.030993986305588805,dem,processHeat_low
48CH,hh0002,0.031692084211499605,dem,processHeat_low
48CH,hh0003,0.031157648859135634,dem,processHeat_low
48CH,hh0004,0.03112420695768492,dem,processHeat_low
48CH,hh0005,0.031150090432703337,dem,processHeat_low
48CH,hh0006,0.030959350937934005,dem,processHeat_low
49AT,hh0001,0.5068863184155816,dem,processHeat_low
49AT,hh0002,0.5202532899679682,dem,processHeat_low
49AT,hh0003,0.5088194473219119,dem,processHeat_low
49AT,hh0004,0.5023569611653329,dem,processHeat_low
49AT,hh0005,0.5075032735667264,dem,processHeat_low
49AT,hh0006,0.5014030952283974,dem,processHeat_low
50AT,hh0001,0.8952414776599653,dem,processHeat_low
50AT,hh0002,0.9183634925302613,dem,processHeat_low
50AT,hh0003,0.8991955890564896,dem,processHeat_low
50AT,hh0004,0.8900563964130015,dem,processHeat_low
50AT,hh0005,0.8981803363199106,dem,processHeat_low
50AT,hh0006,0.8860022328040031,dem,processHeat_low
51AT,hh0001,0.6516387581232266,dem,processHeat_low
51AT,hh0002,0.6691737967985318,dem,processHeat_low
51AT,hh0003,0.6538689637286552,dem,processHeat_low
51AT,hh0004,0.6449571744715286,dem,processHeat_low
51AT,hh0005,0.6519752079261707,dem,processHeat_low
51AT,hh0006,0.6450632529258655,dem,processHeat_low
52IT,hh0001,2.2621171048904216,dem,processHeat_low
52IT,hh0002,2.3090734412526217,dem,processHeat_low
52IT,hh0003,2.274821840404911,dem,processHeat_low
52IT,hh0004,2.2767588617261936,dem,processHeat_low
52IT,hh0005,2.276007582695456,dem,processHeat_low
52IT,hh0006,2.259157536949715,dem,processHeat_low
53IT,hh0001,0.4219982348556641,dem,processHeat_low
53IT,hh0002,0.4307579454009556,dem,processHeat_low
53IT,hh0003,0.4243683048882758,dem,processHeat_low
53IT,hh0004,0.42472965646356897,dem,processHeat_low
53IT,hh0005,0.4245895052638389,dem,processHeat_low
53IT,hh0006,0.42144612707761553,dem,processHeat_low
54IT,hh0001,0.7908575207984541,dem,processHeat_low
54IT,hh0002,0.8072738998084787,dem,processHeat_low
54IT,hh0003,0.7952992164155148,dem,processHeat_low
54IT,hh0004,0.7959764173779149,dem,processHeat_low
54IT,hh0005,0.7957137631278783,dem,processHeat_low
54IT,hh0006,0.7898228278722854,dem,processHeat_low
55IT,hh0001,0.3027387816830469,dem,processHeat_low
55IT,hh0002,0.30902294090287796,dem,processHeat_low
55IT,hh0003,0.30443905446759345,dem,processHeat_low
55IT,hh0004,0.304698285731547,dem,processHeat_low
55IT,hh0005,0.30459774217501945,dem,processHeat_low
55IT,hh0006,0.3023427031632764,dem,processHeat_low
56IT,hh0001,0.2121402842360567,dem,processHeat_low
56IT,hh0002,0.2165438275010274,dem,processHeat_low
56IT,hh0003,0.2133317283910401,dem,processHeat_low
56IT,hh0004,0.21351338134502384,dem,processHeat_low
56IT,hh0005,0.21344292674859844,dem,processHeat_low
56IT,hh0006,0.2118627373383788,dem,processHeat_low
57SI,hh0001,0.1809096934017589,dem,processHeat_low
57SI,hh0002,0.18520076043148492,dem,processHeat_low
57SI,hh0003,0.18162881856085278,dem,processHeat_low
57SI,hh0004,0.17978936902909481,dem,processHeat_low
57SI,hh0005,0.18096873281172066,dem,processHeat_low
57SI,hh0006,0.1793424608215446,dem,processHeat_low
58HU,hh0001,1.074457494566559,dem,processHeat_low
58HU,hh0002,1.1029271951929331,dem,processHeat_low
58HU,hh0003,1.0770852627465501,dem,processHeat_low
58HU,hh0004,1.0586314223492082,dem,processHeat_low
58HU,hh0005,1.0694242043809936,dem,processHeat_low
58HU,hh0006,1.064058535267577,dem,processHeat_low
59RO,hh0001,0.3228131591856709,dem,processHeat_low
59RO,hh0002,0.33144506209691826,dem,processHeat_low
59RO,hh0003,0.32337305529676996,dem,processHeat_low
59RO,hh0004,0.31709598998691035,dem,processHeat_low
59RO,hh0005,0.3209186837962079,dem,processHeat_low
59RO,hh0006,0.3195132095106601,dem,processHeat_low
60RO,hh0001,0.5014899224806868,dem,processHeat_low
60RO,hh0002,0.5146979238111271,dem,processHeat_low
60RO,hh0003,0.5023745259204588,dem,processHeat_low
60RO,hh0004,0.4930207181118931,dem,processHeat_low
60RO,hh0005,0.4983067564053272,dem,processHeat_low
60RO,hh0006,0.497011321384889,dem,processHeat_low
61RO,hh0001,0.2230527629469634,dem,processHeat_low
61RO,hh0002,0.22912432337864175,dem,processHeat_low
61RO,hh0003,0.2233857066470364,dem,processHeat_low
61RO,hh0004,0.21882511632531987,dem,processHeat_low
61RO,hh0005,0.2217128830972115,dem,processHeat_low
61RO,hh0006,0.2206854604023647,dem,processHeat_low
62HR,hh0001,0.21243828480430693,dem,processHeat_low
62HR,hh0002,0.21722317179182937,dem,processHeat_low
62HR,hh0003,0.21356005700272362,dem,processHeat_low
62HR,hh0004,0.2133308402729881,dem,processHeat_low
62HR,hh0005,0.21350825020647335,dem,processHeat_low
62HR,hh0006,0.21220088784548352,dem,processHeat_low
63BA,hh0001,0.07415296245983427,dem,processHeat_low
63BA,hh0002,0.07582315832621589,dem,processHeat_low
63BA,hh0003,0.0745445243282461,dem,processHeat_low
63BA,hh0004,0.07446451474066862,dem,processHeat_low
63BA,hh0005,0.07452644082968618,dem,processHeat_low
63BA,hh0006,0.07407009751011628,dem,processHeat_low
64ME,hh0001,0.06622197435569888,dem,processHeat_low
64ME,hh0002,0.06771353536913693,dem,processHeat_low
64ME,hh0003,0.06657165694610967,dem,processHeat_low
64ME,hh0004,0.06650020473864515,dem,processHeat_low
64ME,hh0005,0.06655550755795048,dem,processHeat_low
64ME,hh0006,0.06614797217969226,dem,processHeat_low
65RS,hh0001,0.7955006162001155,dem,processHeat_low
65RS,hh0002,0.8134181989489662,dem,processHeat_low
65RS,hh0003,0.7997012266309866,dem,processHeat_low
65RS,hh0004,0.7988428971170833,dem,processHeat_low
65RS,hh0005,0.7995072298735977,dem,processHeat_low
65RS,hh0006,0.7946116548378086,dem,processHeat_low
66BG,hh0001,0.6556266044526637,dem,processHeat_low
66BG,hh0002,0.6724658891434956,dem,processHeat_low
66BG,hh0003,0.6568192509475921,dem,processHeat_low
66BG,hh0004,0.645711692025543,dem,processHeat_low
66BG,hh0005,0.6509220729608387,dem,processHeat_low
66BG,hh0006,0.6516650342541652,dem,processHeat_low
67MK,hh0001,0.05221483478783284,dem,processHeat_low
67MK,hh0002,0.053390903798913314,dem,processHeat_low
67MK,hh0003,0.0524905532161597,dem,processHeat_low
67MK,hh0004,0.05243421443674379,dem,processHeat_low
67MK,hh0005,0.052477819714226825,dem,processHeat_low
67MK,hh0006,0.05215648540411166,dem,processHeat_low
68GR,hh0001,0.20190507882887232,dem,processHeat_low
68GR,hh0002,0.20770007369480936,dem,processHeat_low
68GR,hh0003,0.2019920120351344,dem,processHeat_low
68GR,hh0004,0.19700103605691766,dem,processHeat_low
68GR,hh0005,0.20073488842251663,dem,processHeat_low
68GR,hh0006,0.1992237142887916,dem,processHeat_low
69GR,hh0001,0.3401093650477378,dem,processHeat_low
69GR,hh0002,0.3498571369475485,dem,processHeat_low
69GR,hh0003,0.3402905536090657,dem,processHeat_low
69GR,hh0004,0.3320151914640519,dem,processHeat_low
69GR,hh0005,0.33812676590537194,dem,processHeat_low
69GR,hh0006,0.33570180705578423,dem,processHeat_low
70AL,hh0001,0.12792726510474495,dem,processHeat_low
70AL,hh0002,0.1308086549007612,dem,processHeat_low
70AL,hh0003,0.12860278011157789,dem,processHeat_low
70AL,hh0004,0.12846474910952566,dem,processHeat_low
70AL,hh0005,0.12857158280746717,dem,processHeat_low
70AL,hh0006,0.12778430808657504,dem,processHeat_low
72DK,hh0001,0.2051921980902307,dem,processHeat_low
72DK,hh0002,0.21093722531270487,dem,processHeat_low
72DK,hh0003,0.20540895646468016,dem,processHeat_low
72DK,hh0004,0.20093040503525117,dem,processHeat_low
72DK,hh0005,0.20382820787585842,dem,processHeat_low
72DK,hh0006,0.20307145502772528,dem,processHeat_low
73EE,hh0001,0.1331141698063334,dem,processHeat_low
73EE,hh0002,0.13703996808266083,dem,processHeat_low
73EE,hh0003,0.13323696469160495,dem,processHeat_low
73EE,hh0004,0.13011344356493737,dem,processHeat_low
73EE,hh0005,0.1323843952721404,dem,processHeat_low
73EE,hh0006,0.13149206772249045,dem,processHeat_low
74FI,hh0001,0.4001792812714484,dem,processHeat_low
74FI,hh0002,0.4099514468277903,dem,processHeat_low
74FI,hh0003,0.4039326355466528,dem,processHeat_low
74FI,hh0004,0.40841501778595557,dem,processHeat_low
74FI,hh0005,0.40979713937827,dem,processHeat_low
74FI,hh0006,0.398332629268225,dem,processHeat_low
75FI,hh0001,5.035638190153978,dem,processHeat_low
75FI,hh0002,5.160469324525937,dem,processHeat_low
75FI,hh0003,5.08889710193646,dem,processHeat_low
75FI,hh0004,5.171944378806895,dem,processHeat_low
75FI,hh0005,5.1762568516975245,dem,processHeat_low
75FI,hh0006,5.033420323798061,dem,processHeat_low
77LT,hh0001,0.4831987676122935,dem,processHeat_low
77LT,hh0002,0.4964210055500189,dem,processHeat_low
77LT,hh0003,0.4838594824950633,dem,processHeat_low
77LT,hh0004,0.4742521994742219,dem,processHeat_low
77LT,hh0005,0.4799062081424381,dem,processHeat_low
77LT,hh0006,0.4791382281771348,dem,processHeat_low
78LV,hh0001,0.4649667687344845,dem,processHeat_low
78LV,hh0002,0.47811167861846116,dem,processHeat_low
78LV,hh0003,0.46529044477824755,dem,processHeat_low
78LV,hh0004,0.4542181772796994,dem,processHeat_low
78LV,hh0005,0.46224345618156804,dem,processHeat_low
78LV,hh0006,0.4589343505583656,dem,processHeat_low
79NO,hh0001,0.042130643501906206,dem,processHeat_low
79NO,hh0002,0.0430795796508221,dem,processHeat_low
79NO,hh0003,0.042353112745757926,dem,processHeat_low
79NO,hh0004,0.04230765461031183,dem,processHeat_low
79NO,hh0005,0.042342838450451836,dem,processHeat_low
79NO,hh0006,0.04208356306787664,dem,processHeat_low
80NO,hh0001,0.09820315047068107,dem,processHeat_low
80NO,hh0002,0.10041504451430683,dem,processHeat_low
80NO,hh0003,0.09872170843243566,dem,processHeat_low
80NO,hh0004,0.09861574916527616,dem,processHeat_low
80NO,hh0005,0.09869775987436924,dem,processHeat_low
80NO,hh0006,0.09809340975544956,dem,processHeat_low
81NO,hh0001,0.20023826587146232,dem,processHeat_low
81NO,hh0002,0.20474836382118156,dem,processHeat_low
81NO,hh0003,0.20129561633859794,dem,processHeat_low
81NO,hh0004,0.2010795631891824,dem,processHeat_low
81NO,hh0005,0.20124678473052882,dem,processHeat_low
81NO,hh0006,0.20001450227130135,dem,processHeat_low
82NO,hh0001,0.379057123732764,dem,processHeat_low
82NO,hh0002,0.38759487624042777,dem,processHeat_low
82NO,hh0003,0.3810587203063278,dem,processHeat_low
82NO,hh0004,0.38064972512756867,dem,processHeat_low
82NO,hh0005,0.38096628058792703,dem,processHeat_low
82NO,hh0006,0.3786335324357424,dem,processHeat_low
83NO,hh0001,0.10025532737677167,dem,processHeat_low
83NO,hh0002,0.1025134439487374,dem,processHeat_low
83NO,hh0003,0.1007847217800304,dem,processHeat_low
83NO,hh0004,0.10067654825428463,dem,processHeat_low
83NO,hh0005,0.10076027276261357,dem,processHeat_low
83NO,hh0006,0.10014329338139305,dem,processHeat_low
84NO,hh0001,0.08377461223807359,dem,processHeat_low
84NO,hh0002,0.08566152284049622,dem,processHeat_low
84NO,hh0003,0.08421698085822982,dem,processHeat_low
84NO,hh0004,0.08412658969990616,dem,processHeat_low
84NO,hh0005,0.08419655095190137,dem,processHeat_low
84NO,hh0006,0.08368099522255079,dem,processHeat_low
85NO,hh0001,0.00832367885345775,dem,processHeat_low
85NO,hh0002,0.008511158538055952,dem,processHeat_low
