timestep_3,region_1,scenario_1,technology_1,parameter,value
h0193,DE,s1998,wind,avaConv,0.921840947578888
h0194,DE,s1998,wind,avaConv,0.90693051121105
h0195,DE,s1998,wind,avaConv,0.888938190489396
h0196,DE,s1998,wind,avaConv,0.877963842614204
h0197,DE,s1998,wind,avaConv,0.864896658985999
h0198,DE,s1998,wind,avaConv,0.857540138830671
h0199,DE,s1998,wind,avaConv,0.82184287623547
h0200,DE,s1998,wind,avaConv,0.812872483239764
h0201,DE,s1998,wind,avaConv,0.797731970444879
h0202,DE,s1998,wind,avaConv,0.806713885241834
h0203,DE,s1998,wind,avaConv,0.817935366811381
h0204,DE,s1998,wind,avaConv,0.828994362740371
h0205,DE,s1998,wind,avaConv,0.815516003439382
h0206,DE,s1998,wind,avaConv,0.79044342090567
h0207,DE,s1998,wind,avaConv,0.717215418940636
h0208,DE,s1998,wind,avaConv,0.616292801926512
h0209,DE,s1998,wind,avaConv,0.623319357474613
h0210,DE,s1998,wind,avaConv,0.624769517178172
h0211,DE,s1998,wind,avaConv,0.605765719370498
h0212,DE,s1998,wind,avaConv,0.567568620745405
h0213,DE,s1998,wind,avaConv,0.508614614732259
h0214,DE,s1998,wind,avaConv,0.476758554110262
h0215,DE,s1998,wind,avaConv,0.440576598175163
h0216,DE,s1998,wind,avaConv,0.432113127135729
h0217,DE,s1998,wind,avaConv,0.392099114694917
h0218,DE,s1998,wind,avaConv,0.371189789325065
h0219,DE,s1998,wind,avaConv,0.364244036306715
h0220,DE,s1998,wind,avaConv,0.354558128842858
h0221,DE,s1998,wind,avaConv,0.332353073551014
h0222,DE,s1998,wind,avaConv,0.31016785267517
h0223,DE,s1998,wind,avaConv,0.309592741532885
h0224,DE,s1998,wind,avaConv,0.325295650769765
h0225,DE,s1998,wind,avaConv,0.352759252502432
h0226,DE,s1998,wind,avaConv,0.430771454896554
h0227,DE,s1998,wind,avaConv,0.405564115584609
h0228,DE,s1998,wind,avaConv,0.415411723283052
h0229,DE,s1998,wind,avaConv,0.442751578928136
h0230,DE,s1998,wind,avaConv,0.370465654399634
h0231,DE,s1998,wind,avaConv,0.246881784659108
h0232,DE,s1998,wind,avaConv,0.213548355336889
h0233,DE,s1998,wind,avaConv,0.287138205837199
h0234,DE,s1998,wind,avaConv,0.338791755078632
h0235,DE,s1998,wind,avaConv,0.340566609968967
h0236,DE,s1998,wind,avaConv,0.330580542081294
h0237,DE,s1998,wind,avaConv,0.316690509049455
h0238,DE,s1998,wind,avaConv,0.306322607115856
h0239,DE,s1998,wind,avaConv,0.307336421543738
h0240,DE,s1998,wind,avaConv,0.310025743008839
h0241,DE,s1998,wind,avaConv,0.311756250881318
h0242,DE,s1998,wind,avaConv,0.296051147208833
h0243,DE,s1998,wind,avaConv,0.28065134972745
h0244,DE,s1998,wind,avaConv,0.269073382718339
h0245,DE,s1998,wind,avaConv,0.264874777216943
h0246,DE,s1998,wind,avaConv,0.257043129024906
h0247,DE,s1998,wind,avaConv,0.260826380392584
h0248,DE,s1998,wind,avaConv,0.268429385854221
h0249,DE,s1998,wind,avaConv,0.309231353646164
