timestep_5,region_4,technology_3,parameter,value
h0217,01ES,onshore_a,avaConv,0.109297489805676
h0218,01ES,onshore_a,avaConv,0.167260613160352
h0219,01ES,onshore_a,avaConv,0.219083453611104
h0220,01ES,onshore_a,avaConv,0.166444832214952
h0221,01ES,onshore_a,avaConv,0.123514609936108
h0222,01ES,onshore_a,avaConv,0.0985238815203653
h0223,01ES,onshore_a,avaConv,0.134602088512018
h0224,01ES,onshore_a,avaConv,0.163812235755303
h0225,01ES,onshore_a,avaConv,0.175146855189092
h0226,01ES,onshore_a,avaConv,0.157680795008369
h0227,01ES,onshore_a,avaConv,0.143889098404046
h0228,01ES,onshore_a,avaConv,0.140459550607436
h0229,01ES,onshore_a,avaConv,0.352108395827235
h0230,01ES,onshore_a,avaConv,0.595146271337057
h0231,01ES,onshore_a,avaConv,0.850487121921296
h0232,01ES,onshore_a,avaConv,0.570893930814726
h0233,01ES,onshore_a,avaConv,0.28894957421373
h0234,01ES,onshore_a,avaConv,0.0350352322731227
h0235,01ES,onshore_a,avaConv,0.0756733940614928
h0236,01ES,onshore_a,avaConv,0.118058082234147
h0237,01ES,onshore_a,avaConv,0.153587421997943
h0238,01ES,onshore_a,avaConv,0.138122726024475
h0239,01ES,onshore_a,avaConv,0.122174234951879
h0240,01ES,onshore_a,avaConv,0.108868566443703
h0241,01ES,onshore_a,avaConv,0.0977456838454969
h0242,01ES,onshore_a,avaConv,0.0825610346776386
h0243,01ES,onshore_a,avaConv,0.0650695366437656
h0244,01ES,onshore_a,avaConv,0.0653373104167703
h0245,01ES,onshore_a,avaConv,0.0684832855337967
h0246,01ES,onshore_a,avaConv,0.0740545969772592
h0247,01ES,onshore_a,avaConv,0.229863871888735
h0248,01ES,onshore_a,avaConv,0.375787135291452
h0249,01ES,onshore_a,avaConv,0.512664360601302
h0250,01ES,onshore_a,avaConv,0.606536359823162
h0251,01ES,onshore_a,avaConv,0.736461965491518
h0252,01ES,onshore_a,avaConv,0.890000100000003
h0253,01ES,onshore_a,avaConv,0.739194059247141
h0254,01ES,onshore_a,avaConv,0.597157498536156
h0255,01ES,onshore_a,avaConv,0.465634892039619
