timestep_5,region_4,technology_3,parameter,value
h0157,01ES,runOfRiver,avaConv,0.205521462029345
h0158,01ES,runOfRiver,avaConv,0.205424139589675
h0159,01ES,runOfRiver,avaConv,0.205326819795255
h0160,01ES,runOfRiver,avaConv,0.204952771524882
h0161,01ES,runOfRiver,avaConv,0.205016630645564
h0162,01ES,runOfRiver,avaConv,0.205080490911899
h0163,01ES,runOfRiver,avaConv,0.204998385065564
h0164,01ES,runOfRiver,avaConv,0.204580282874048
h0165,01ES,runOfRiver,avaConv,0.204162230097615
h0166,01ES,runOfRiver,avaConv,0.204215434060216
h0167,01ES,runOfRiver,avaConv,0.204264078387232
h0168,01ES,runOfRiver,avaConv,0.204312723386316
h0169,01ES,runOfRiver,avaConv,0.204101426554846
h0170,01ES,runOfRiver,avaConv,0.204166790405727
h0171,01ES,runOfRiver,avaConv,0.204232155471794
h0172,01ES,runOfRiver,avaConv,0.205322257994856
h0173,01ES,runOfRiver,avaConv,0.206558717639792
h0174,01ES,runOfRiver,avaConv,0.207795597592244
h0175,01ES,runOfRiver,avaConv,0.208666073683005
h0176,01ES,runOfRiver,avaConv,0.209064855937618
h0177,01ES,runOfRiver,avaConv,0.209463680406092
h0178,01ES,runOfRiver,avaConv,0.209107476389147
h0179,01ES,runOfRiver,avaConv,0.209011581051238
h0180,01ES,runOfRiver,avaConv,0.208915688155831
h0181,01ES,runOfRiver,avaConv,0.208297770517098
h0182,01ES,runOfRiver,avaConv,0.20665454949323
h0183,01ES,runOfRiver,avaConv,0.205012069241795
h0184,01ES,runOfRiver,avaConv,0.20271387366827
h0185,01ES,runOfRiver,avaConv,0.200783175690396
h0186,01ES,runOfRiver,avaConv,0.198853592580642
h0187,01ES,runOfRiver,avaConv,0.197466700480632
h0188,01ES,runOfRiver,avaConv,0.196832633770064
h0189,01ES,runOfRiver,avaConv,0.196198695111324
h0190,01ES,runOfRiver,avaConv,0.1962123431505
h0191,01ES,runOfRiver,avaConv,0.196746180020579
h0192,01ES,runOfRiver,avaConv,0.197280107820725
h0193,01ES,runOfRiver,avaConv,0.198213180584193
h0194,01ES,runOfRiver,avaConv,0.199802302108019
h0195,01ES,runOfRiver,avaConv,0.20139219125849
h0196,01ES,runOfRiver,avaConv,0.198172210691532
h0197,01ES,runOfRiver,avaConv,0.19441435646361
h0198,01ES,runOfRiver,avaConv,0.190661183497282
h0199,01ES,runOfRiver,avaConv,0.189029984876051
h0200,01ES,runOfRiver,avaConv,0.186754293189772
h0201,01ES,runOfRiver,avaConv,0.184480576110346
h0202,01ES,runOfRiver,avaConv,0.182626868027041
h0203,01ES,runOfRiver,avaConv,0.180378073988486
h0204,01ES,runOfRiver,avaConv,0.178131483523589
h0205,01ES,runOfRiver,avaConv,0.168985223267059
h0206,01ES,runOfRiver,avaConv,0.164615796334838
h0207,01ES,runOfRiver,avaConv,0.160259246631262
h0208,01ES,runOfRiver,avaConv,0.158944237800164
h0209,01ES,runOfRiver,avaConv,0.155551204126619
h0210,01ES,runOfRiver,avaConv,0.152169495764414
h0211,01ES,runOfRiver,avaConv,0.148505587862076
h0212,01ES,runOfRiver,avaConv,0.144457608794183
h0213,01ES,runOfRiver,avaConv,0.140447236064315
h0214,01ES,runOfRiver,avaConv,0.135738557769532
h0215,01ES,runOfRiver,avaConv,0.137498575739481
h0216,01ES,runOfRiver,avaConv,0.139307357151542
h0217,01ES,runOfRiver,avaConv,0.142537321746403
h0218,01ES,runOfRiver,avaConv,0.142826647228556
h0219,01ES,runOfRiver,avaConv,0.143116202802864
h0220,01ES,runOfRiver,avaConv,0.141614300720449
h0221,01ES,runOfRiver,avaConv,0.140409722268268
h0222,01ES,runOfRiver,avaConv,0.139211225029315
h0223,01ES,runOfRiver,avaConv,0.140055080749471
h0224,01ES,runOfRiver,avaConv,0.141723008836702
h0225,01ES,runOfRiver,avaConv,0.143400152989249
h0226,01ES,runOfRiver,avaConv,0.156285983226753
h0227,01ES,runOfRiver,avaConv,0.167894377922292
h0228,01ES,runOfRiver,avaConv,0.179586764126382
h0229,01ES,runOfRiver,avaConv,0.191380240911868
h0230,01ES,runOfRiver,avaConv,0.205097216408941
h0231,01ES,runOfRiver,avaConv,0.218867536510948
h0232,01ES,runOfRiver,avaConv,0.23032015469061
h0233,01ES,runOfRiver,avaConv,0.239623292659724
h0234,01ES,runOfRiver,avaConv,0.248942694612581
h0235,01ES,runOfRiver,avaConv,0.255107674180919
h0236,01ES,runOfRiver,avaConv,0.249608953108612
h0237,01ES,runOfRiver,avaConv,0.24411539695408
h0238,01ES,runOfRiver,avaConv,0.236669447289632
h0239,01ES,runOfRiver,avaConv,0.229194419164713
h0240,01ES,runOfRiver,avaConv,0.221731021257268
h0241,01ES,runOfRiver,avaConv,0.223417014229508
h0242,01ES,runOfRiver,avaConv,0.227463505059947
h0243,01ES,runOfRiver,avaConv,0.231513474253531
h0244,01ES,runOfRiver,avaConv,0.230644463985434
h0245,01ES,runOfRiver,avaConv,0.232930534270354
h0246,01ES,runOfRiver,avaConv,0.235217651639587
h0247,01ES,runOfRiver,avaConv,0.235165590642602
h0248,01ES,runOfRiver,avaConv,0.237070753897532
h0249,01ES,runOfRiver,avaConv,0.238976614574836
h0250,01ES,runOfRiver,avaConv,0.242709109433886
h0251,01ES,runOfRiver,avaConv,0.237263759701188
h0252,01ES,runOfRiver,avaConv,0.231824090927503
h0253,01ES,runOfRiver,avaConv,0.230338511243362
h0254,01ES,runOfRiver,avaConv,0.233773922128646
h0255,01ES,runOfRiver,avaConv,0.237211678065983
h0256,01ES,runOfRiver,avaConv,0.241307780600778
h0257,01ES,runOfRiver,avaConv,0.247751602623643
h0258,01ES,runOfRiver,avaConv,0.254202651237426
h0259,01ES,runOfRiver,avaConv,0.26295259739997
h0260,01ES,runOfRiver,avaConv,0.269879721551007
h0261,01ES,runOfRiver,avaConv,0.276813817802981
h0262,01ES,runOfRiver,avaConv,0.279439737316994
h0263,01ES,runOfRiver,avaConv,0.27808425657627
h0264,01ES,runOfRiver,avaConv,0.276729027003006
h0001,02ES,runOfRiver,avaConv,0.193133980842256
h0002,02ES,runOfRiver,avaConv,0.193133980842256
h0003,02ES,runOfRiver,avaConv,0.193133980842256
h0004,02ES,runOfRiver,avaConv,0.198903677540377
h0005,02ES,runOfRiver,avaConv,0.202370490860443
h0006,02ES,runOfRiver,avaConv,0.20468366355558
h0007,02ES,runOfRiver,avaConv,0.208666943391004
h0008,02ES,runOfRiver,avaConv,0.211657198270662
h0009,02ES,runOfRiver,avaConv,0.213984542836192
h0010,02ES,runOfRiver,avaConv,0.218605094591814
h0011,02ES,runOfRiver,avaConv,0.22532673504164
h0012,02ES,runOfRiver,avaConv,0.232058213950995
h0013,02ES,runOfRiver,avaConv,0.240127510760823
h0014,02ES,runOfRiver,avaConv,0.245873371840643
h0015,02ES,runOfRiver,avaConv,0.251625075623219
h0016,02ES,runOfRiver,avaConv,0.261205028034806
h0017,02ES,runOfRiver,avaConv,0.269148189941471
h0018,02ES,runOfRiver,avaConv,0.277100572217497
h0019,02ES,runOfRiver,avaConv,0.282409091000572
h0020,02ES,runOfRiver,avaConv,0.284930490321137
h0021,02ES,runOfRiver,avaConv,0.287452719293796
h0022,02ES,runOfRiver,avaConv,0.287786196493651
h0023,02ES,runOfRiver,avaConv,0.286781176590097
h0024,02ES,runOfRiver,avaConv,0.285776286820856
h0025,02ES,runOfRiver,avaConv,0.279951769892149
h0026,02ES,runOfRiver,avaConv,0.270301735126056
h0027,02ES,runOfRiver,avaConv,0.260665161503072
h0028,02ES,runOfRiver,avaConv,0.251414678866876
h0029,02ES,runOfRiver,avaConv,0.244814839304118
h0030,02ES,runOfRiver,avaConv,0.238222767172835
h0031,02ES,runOfRiver,avaConv,0.232687187429397
h0032,02ES,runOfRiver,avaConv,0.229325945357969
h0033,02ES,runOfRiver,avaConv,0.225967051645537
h0034,02ES,runOfRiver,avaConv,0.222714439770895
h0035,02ES,runOfRiver,avaConv,0.224234276658944
h0036,02ES,runOfRiver,avaConv,0.22575462174477
h0037,02ES,runOfRiver,avaConv,0.226288007360987
h0038,02ES,runOfRiver,avaConv,0.226451550459946
h0039,02ES,runOfRiver,avaConv,0.226615099297499
h0040,02ES,runOfRiver,avaConv,0.23042570581542
h0041,02ES,runOfRiver,avaConv,0.233190729544332
h0042,02ES,runOfRiver,avaConv,0.235957281183604
h0043,02ES,runOfRiver,avaConv,0.238863224158085
h0044,02ES,runOfRiver,avaConv,0.241666511026818
h0045,02ES,runOfRiver,avaConv,0.244471242645404
h0046,02ES,runOfRiver,avaConv,0.250479501851808
h0047,02ES,runOfRiver,avaConv,0.257486874731812
h0048,02ES,runOfRiver,avaConv,0.264502110153623
h0049,02ES,runOfRiver,avaConv,0.271823661663587
h0050,02ES,runOfRiver,avaConv,0.275475780881435
h0051,02ES,runOfRiver,avaConv,0.279129758939003
h0052,02ES,runOfRiver,avaConv,0.279368795842329
h0053,02ES,runOfRiver,avaConv,0.279469039429367
h0054,02ES,runOfRiver,avaConv,0.279569284377114
h0055,02ES,runOfRiver,avaConv,0.283162028317372
h0056,02ES,runOfRiver,avaConv,0.283536982009821
h0057,02ES,runOfRiver,avaConv,0.283911954216366
h0058,02ES,runOfRiver,avaConv,0.283049391530823
h0059,02ES,runOfRiver,avaConv,0.281887633403663
h0060,02ES,runOfRiver,avaConv,0.280726054984642
h0061,02ES,runOfRiver,avaConv,0.274913201435615
h0062,02ES,runOfRiver,avaConv,0.272516956866596
h0063,02ES,runOfRiver,avaConv,0.270121529093197
h0064,02ES,runOfRiver,avaConv,0.277882266675405
h0065,02ES,runOfRiver,avaConv,0.282157614333355
h0066,02ES,runOfRiver,avaConv,0.286435393340169
h0067,02ES,runOfRiver,avaConv,0.291674718532611
h0068,02ES,runOfRiver,avaConv,0.298157186426064
h0069,02ES,runOfRiver,avaConv,0.304644695006276
h0070,02ES,runOfRiver,avaConv,0.309342864419861
h0071,02ES,runOfRiver,avaConv,0.318717128609396
h0072,02ES,runOfRiver,avaConv,0.328100753050198
h0073,02ES,runOfRiver,avaConv,0.331775731897464
h0074,02ES,runOfRiver,avaConv,0.325227184748724
h0075,02ES,runOfRiver,avaConv,0.318683040043043
h0076,02ES,runOfRiver,avaConv,0.318078763270975
h0077,02ES,runOfRiver,avaConv,0.316512473717184
h0078,02ES,runOfRiver,avaConv,0.314946448243394
h0079,02ES,runOfRiver,avaConv,0.318397940512659
h0080,02ES,runOfRiver,avaConv,0.323647315348463
h0081,02ES,runOfRiver,avaConv,0.328899546159178
h0082,02ES,runOfRiver,avaConv,0.328536591401961
h0083,02ES,runOfRiver,avaConv,0.333889182087442
h0084,02ES,runOfRiver,avaConv,0.339244588609745
h0085,02ES,runOfRiver,avaConv,0.351179054073001
h0086,02ES,runOfRiver,avaConv,0.357165159057458
h0087,02ES,runOfRiver,avaConv,0.363154415662941
h0088,02ES,runOfRiver,avaConv,0.375095340193233
h0089,02ES,runOfRiver,avaConv,0.381999002212629
h0090,02ES,runOfRiver,avaConv,0.388906433455099
h0091,02ES,runOfRiver,avaConv,0.391969268464905
h0092,02ES,runOfRiver,avaConv,0.400682878658402
h0093,02ES,runOfRiver,avaConv,0.409402070866764
h0094,02ES,runOfRiver,avaConv,0.41635789184892
h0095,02ES,runOfRiver,avaConv,0.416703193623359
h0096,02ES,runOfRiver,avaConv,0.417048503657257
h0097,02ES,runOfRiver,avaConv,0.400595480529897
h0098,02ES,runOfRiver,avaConv,0.378209382992553
h0099,02ES,runOfRiver,avaConv,0.355863493343254
h0100,02ES,runOfRiver,avaConv,0.336481162169726
h0101,02ES,runOfRiver,avaConv,0.320957947105844
h0102,02ES,runOfRiver,avaConv,0.30546004001401
h0103,02ES,runOfRiver,avaConv,0.287943676788165
h0104,02ES,runOfRiver,avaConv,0.272210357865606
h0105,02ES,runOfRiver,avaConv,0.256512337204286
h0106,02ES,runOfRiver,avaConv,0.246046744641006
h0107,02ES,runOfRiver,avaConv,0.25209811151499
h0108,02ES,runOfRiver,avaConv,0.258155612201188
h0109,02ES,runOfRiver,avaConv,0.264619069296739
h0110,02ES,runOfRiver,avaConv,0.268191926417468
h0111,02ES,runOfRiver,avaConv,0.271766660444884
h0112,02ES,runOfRiver,avaConv,0.273575519353881
h0113,02ES,runOfRiver,avaConv,0.277427424387032
h0114,02ES,runOfRiver,avaConv,0.281281368773151
h0115,02ES,runOfRiver,avaConv,0.286734865439115
h0116,02ES,runOfRiver,avaConv,0.286963336464462
h0117,02ES,runOfRiver,avaConv,0.287191814207922
h0118,02ES,runOfRiver,avaConv,0.279689580109263
h0119,02ES,runOfRiver,avaConv,0.271794390709441
h0120,02ES,runOfRiver,avaConv,0.263908112777407
h0121,02ES,runOfRiver,avaConv,0.265893441851254
h0122,02ES,runOfRiver,avaConv,0.269645622968015
h0123,02ES,runOfRiver,avaConv,0.273399851714325
h0124,02ES,runOfRiver,avaConv,0.275810266828249
h0125,02ES,runOfRiver,avaConv,0.276625737733022
h0126,02ES,runOfRiver,avaConv,0.277441300511636
h0127,02ES,runOfRiver,avaConv,0.274675852414171
h0128,02ES,runOfRiver,avaConv,0.279634058758902
h0129,02ES,runOfRiver,avaConv,0.284595593017188
h0130,02ES,runOfRiver,avaConv,0.287746054965374
h0131,02ES,runOfRiver,avaConv,0.281000621638484
h0132,02ES,runOfRiver,avaConv,0.274261281178425
h0133,02ES,runOfRiver,avaConv,0.26573182314056
h0134,02ES,runOfRiver,avaConv,0.258555351330935
h0135,02ES,runOfRiver,avaConv,0.251387036050686
h0136,02ES,runOfRiver,avaConv,0.243216681234267
h0137,02ES,runOfRiver,avaConv,0.238616531772549
h0138,02ES,runOfRiver,avaConv,0.234020383408888
h0139,02ES,runOfRiver,avaConv,0.229021605341571
h0140,02ES,runOfRiver,avaConv,0.225823392947879
h0141,02ES,runOfRiver,avaConv,0.222627389304206
h0142,02ES,runOfRiver,avaConv,0.216509195776136
h0143,02ES,runOfRiver,avaConv,0.212177398835959
h0144,02ES,runOfRiver,avaConv,0.207850376791827
h0145,02ES,runOfRiver,avaConv,0.205637035857278
h0146,02ES,runOfRiver,avaConv,0.204426737733783
h0147,02ES,runOfRiver,avaConv,0.203216854536376
h0148,02ES,runOfRiver,avaConv,0.202139562490221
h0149,02ES,runOfRiver,avaConv,0.201466617179265
h0150,02ES,runOfRiver,avaConv,0.200793805936175
h0151,02ES,runOfRiver,avaConv,0.199683888141566
h0152,02ES,runOfRiver,avaConv,0.201484844185472
h0153,02ES,runOfRiver,avaConv,0.203286760988523
h0154,02ES,runOfRiver,avaConv,0.205425660232456
h0155,02ES,runOfRiver,avaConv,0.205456073223775
h0156,02ES,runOfRiver,avaConv,0.205486486473306
h0157,02ES,runOfRiver,avaConv,0.205521462029339
h0158,02ES,runOfRiver,avaConv,0.20542413958967
h0159,02ES,runOfRiver,avaConv,0.205326819795249
h0160,02ES,runOfRiver,avaConv,0.204952771524876
h0161,02ES,runOfRiver,avaConv,0.205016630645558
h0162,02ES,runOfRiver,avaConv,0.205080490911893
h0163,02ES,runOfRiver,avaConv,0.204998385065558
h0164,02ES,runOfRiver,avaConv,0.204580282874042
h0165,02ES,runOfRiver,avaConv,0.204162230097609
h0166,02ES,runOfRiver,avaConv,0.20421543406021
h0167,02ES,runOfRiver,avaConv,0.204264078387226
h0168,02ES,runOfRiver,avaConv,0.20431272338631
h0169,02ES,runOfRiver,avaConv,0.204101426554841
h0170,02ES,runOfRiver,avaConv,0.204166790405721
h0171,02ES,runOfRiver,avaConv,0.204232155471789
h0172,02ES,runOfRiver,avaConv,0.20532225799485
h0173,02ES,runOfRiver,avaConv,0.206558717639786
h0174,02ES,runOfRiver,avaConv,0.207795597592238
h0175,02ES,runOfRiver,avaConv,0.208666073682999
h0176,02ES,runOfRiver,avaConv,0.209064855937612
h0177,02ES,runOfRiver,avaConv,0.209463680406086
h0178,02ES,runOfRiver,avaConv,0.209107476389141
h0179,02ES,runOfRiver,avaConv,0.209011581051232
h0180,02ES,runOfRiver,avaConv,0.208915688155825
h0181,02ES,runOfRiver,avaConv,0.208297770517093
h0182,02ES,runOfRiver,avaConv,0.206654549493225
h0183,02ES,runOfRiver,avaConv,0.205012069241789
h0184,02ES,runOfRiver,avaConv,0.202713873668264
h0185,02ES,runOfRiver,avaConv,0.20078317569039
h0186,02ES,runOfRiver,avaConv,0.198853592580636
h0187,02ES,runOfRiver,avaConv,0.197466700480627
h0188,02ES,runOfRiver,avaConv,0.196832633770058
h0189,02ES,runOfRiver,avaConv,0.196198695111319
h0190,02ES,runOfRiver,avaConv,0.196212343150494
h0191,02ES,runOfRiver,avaConv,0.196746180020573
h0192,02ES,runOfRiver,avaConv,0.197280107820719
h0193,02ES,runOfRiver,avaConv,0.198213180584187
h0194,02ES,runOfRiver,avaConv,0.199802302108014
h0195,02ES,runOfRiver,avaConv,0.201392191258484
h0196,02ES,runOfRiver,avaConv,0.198172210691526
h0197,02ES,runOfRiver,avaConv,0.194414356463604
h0198,02ES,runOfRiver,avaConv,0.190661183497276
h0199,02ES,runOfRiver,avaConv,0.189029984876046
h0200,02ES,runOfRiver,avaConv,0.186754293189766
h0201,02ES,runOfRiver,avaConv,0.184480576110341
h0202,02ES,runOfRiver,avaConv,0.182626868027035
h0203,02ES,runOfRiver,avaConv,0.180378073988481
h0204,02ES,runOfRiver,avaConv,0.178131483523584
h0205,02ES,runOfRiver,avaConv,0.168985223267055
h0206,02ES,runOfRiver,avaConv,0.164615796334833
h0207,02ES,runOfRiver,avaConv,0.160259246631258
h0208,02ES,runOfRiver,avaConv,0.15894423780016
h0209,02ES,runOfRiver,avaConv,0.155551204126616
h0210,02ES,runOfRiver,avaConv,0.152169495764411
h0211,02ES,runOfRiver,avaConv,0.148505587862073
h0212,02ES,runOfRiver,avaConv,0.144457608794181
h0213,02ES,runOfRiver,avaConv,0.140447236064314
h0214,02ES,runOfRiver,avaConv,0.135738557769533
h0215,02ES,runOfRiver,avaConv,0.137498575739481
h0216,02ES,runOfRiver,avaConv,0.139307357151542
