timestep_6,region_1,technology_1,scenario_1,parameter,value
h0066,DE,solar,scr2004,avaConv,0.033134428500592346
h0067,DE,solar,scr2004,avaConv,0.004560428957128619
h0068,DE,solar,scr2004,avaConv,0.0004689588801326923
h0069,DE,solar,scr2004,avaConv,0.00034117947152753885
h0070,DE,solar,scr2004,avaConv,0.0
h0071,DE,solar,scr2004,avaConv,0.0
h0072,DE,solar,scr2004,avaConv,0.0
h0073,DE,solar,scr2004,avaConv,0.0
h0074,DE,solar,scr2004,avaConv,0.0
h0075,DE,solar,scr2004,avaConv,0.0
h0076,DE,solar,scr2004,avaConv,0.0
h0077,DE,solar,scr2004,avaConv,0.0
h0078,DE,solar,scr2004,avaConv,0.0018566579736265232
h0079,DE,solar,scr2004,avaConv,0.009535410197479175
h0080,DE,solar,scr2004,avaConv,0.06528990001820316
h0081,DE,solar,scr2004,avaConv,0.12780764976867592
h0082,DE,solar,scr2004,avaConv,0.3279227858902627
h0083,DE,solar,scr2004,avaConv,0.4946494435901607
h0084,DE,solar,scr2004,avaConv,0.7647479429445797
h0085,DE,solar,scr2004,avaConv,0.7797517373663176
h0086,DE,solar,scr2004,avaConv,0.6893876496562945
h0087,DE,solar,scr2004,avaConv,0.5383887044512317
h0088,DE,solar,scr2004,avaConv,0.3357268909025039
h0089,DE,solar,scr2004,avaConv,0.15006470622192034
h0090,DE,solar,scr2004,avaConv,0.030246025802265663
h0091,DE,solar,scr2004,avaConv,0.00212453025680474
h0092,DE,solar,scr2004,avaConv,0.0
h0093,DE,solar,scr2004,avaConv,0.0
h0094,DE,solar,scr2004,avaConv,0.0
h0095,DE,solar,scr2004,avaConv,0.0
h0096,DE,solar,scr2004,avaConv,0.0
h0001,FR,solar,scr2004,avaConv,0.0
h0002,FR,solar,scr2004,avaConv,0.0
h0003,FR,solar,scr2004,avaConv,0.0
h0004,FR,solar,scr2004,avaConv,0.0
h0005,FR,solar,scr2004,avaConv,0.0
h0006,FR,solar,scr2004,avaConv,0.0
h0007,FR,solar,scr2004,avaConv,0.0
h0008,FR,solar,scr2004,avaConv,0.001048489515598223
h0009,FR,solar,scr2004,avaConv,0.020442251081640363
h0010,FR,solar,scr2004,avaConv,0.092034439994852
