region_4,technology_2,technology_3,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
87SE,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
88SE,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
89SE,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
90UK,power,pumpedStorageClosed,capaStOutResi,0.016077964,capaStInResi,0.014608414,capaStSizeResi,0.143580465
91UK,power,pumpedStorageClosed,capaStOutResi,0.00043454,capaStInResi,0.000394822,capaStSizeResi,0.003880553
92UK,power,pumpedStorageClosed,capaStOutResi,1.583896734,capaStInResi,1.439126214,capaStSizeResi,14.14461606
93UK,power,pumpedStorageClosed,capaStOutResi,0.089515152,capaStInResi,0.081333333,capaStSizeResi,0.799393939
94UK,power,pumpedStorageClosed,capaStOutResi,1.26407561,capaStInResi,1.148537217,capaStSizeResi,11.28852898
95UK,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
96IE,power,pumpedStorageClosed,capaStOutResi,0.292,capaStInResi,0.292,capaStSizeResi,1.72
98IT,power,pumpedStorageClosed,capaStOutResi,0.24,capaStInResi,0.242,capaStSizeResi,7.8
99FR,power,pumpedStorageClosed,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
