timestep_3,region_1,scenario_1,technology_1,parameter,value
h0179,DE,s1996,wind,avaConv,0.209614678009626
h0180,DE,s1996,wind,avaConv,0.214986710238621
h0181,DE,s1996,wind,avaConv,0.194197279850644
h0182,DE,s1996,wind,avaConv,0.16369738851991
h0183,DE,s1996,wind,avaConv,0.139475888852449
h0184,DE,s1996,wind,avaConv,0.149489161429371
h0185,DE,s1996,wind,avaConv,0.188817394242829
h0186,DE,s1996,wind,avaConv,0.241021690579184
h0187,DE,s1996,wind,avaConv,0.278552007480229
h0188,DE,s1996,wind,avaConv,0.306023885230987
h0189,DE,s1996,wind,avaConv,0.352007645296845
h0190,DE,s1996,wind,avaConv,0.382897082187805
h0191,DE,s1996,wind,avaConv,0.389256076851133
h0192,DE,s1996,wind,avaConv,0.406261487725657
h0193,DE,s1996,wind,avaConv,0.437174367688767
h0194,DE,s1996,wind,avaConv,0.465118782174137
h0195,DE,s1996,wind,avaConv,0.47309014066366
h0196,DE,s1996,wind,avaConv,0.503143792904006
h0197,DE,s1996,wind,avaConv,0.549370912971968
h0198,DE,s1996,wind,avaConv,0.589772977433965
h0199,DE,s1996,wind,avaConv,0.611313849224547
h0200,DE,s1996,wind,avaConv,0.622621307206206
h0201,DE,s1996,wind,avaConv,0.654634586420353
h0202,DE,s1996,wind,avaConv,0.681508891674442
h0203,DE,s1996,wind,avaConv,0.682665860085207
h0204,DE,s1996,wind,avaConv,0.663999512131557
h0205,DE,s1996,wind,avaConv,0.62474554764108
h0206,DE,s1996,wind,avaConv,0.5871081640914
h0207,DE,s1996,wind,avaConv,0.5353129289684
h0208,DE,s1996,wind,avaConv,0.490724819428076
h0209,DE,s1996,wind,avaConv,0.544709540936283
h0210,DE,s1996,wind,avaConv,0.531539178889223
h0211,DE,s1996,wind,avaConv,0.498950687436539
h0212,DE,s1996,wind,avaConv,0.469539059809828
h0213,DE,s1996,wind,avaConv,0.444203418632864
h0214,DE,s1996,wind,avaConv,0.418645750344824
h0215,DE,s1996,wind,avaConv,0.34262755322495
h0216,DE,s1996,wind,avaConv,0.297050091231655
h0217,DE,s1996,wind,avaConv,0.263657343013238
h0218,DE,s1996,wind,avaConv,0.234549427609924
h0219,DE,s1996,wind,avaConv,0.203276869200644
h0220,DE,s1996,wind,avaConv,0.180515832221508
h0221,DE,s1996,wind,avaConv,0.175292861278121
h0222,DE,s1996,wind,avaConv,0.172516735180923
h0223,DE,s1996,wind,avaConv,0.169479493163462
h0224,DE,s1996,wind,avaConv,0.159446096443029
h0225,DE,s1996,wind,avaConv,0.165342427872431
h0226,DE,s1996,wind,avaConv,0.17512235471281
h0227,DE,s1996,wind,avaConv,0.157113468434542
h0228,DE,s1996,wind,avaConv,0.140551205582705
h0229,DE,s1996,wind,avaConv,0.116264913424783
h0230,DE,s1996,wind,avaConv,0.0937271837158231
h0231,DE,s1996,wind,avaConv,0.0706008317824389
h0232,DE,s1996,wind,avaConv,0.0579043584484611
h0233,DE,s1996,wind,avaConv,0.0844716151056079
h0234,DE,s1996,wind,avaConv,0.107071636589725
h0235,DE,s1996,wind,avaConv,0.113385956296485
h0236,DE,s1996,wind,avaConv,0.116817493156742
h0237,DE,s1996,wind,avaConv,0.1270400121324
h0238,DE,s1996,wind,avaConv,0.147675065591916
h0239,DE,s1996,wind,avaConv,0.136057406255777
h0240,DE,s1996,wind,avaConv,0.130047916203159
h0241,DE,s1996,wind,avaConv,0.126248366696814
h0242,DE,s1996,wind,avaConv,0.129574073406385
h0243,DE,s1996,wind,avaConv,0.134268519030529
h0244,DE,s1996,wind,avaConv,0.152008683561937
h0245,DE,s1996,wind,avaConv,0.196613849592
h0246,DE,s1996,wind,avaConv,0.257118051091441
h0247,DE,s1996,wind,avaConv,0.319243124611658
h0248,DE,s1996,wind,avaConv,0.373644615320335
h0249,DE,s1996,wind,avaConv,0.440924412402253
