timestep_2,carrier_1,region_4,parameter,value,comment,source
2040,processHeat_high,67MK,capaDem,0,,
2040,processHeat_low,67MK,capaDem,0,,
2040,processHeat_medium,67MK,capaDem,0,,
2040,processHeat_high,68GR,capaDem,0.075926526,,
2040,processHeat_low,68GR,capaDem,0.137732656,,
2040,processHeat_medium,68GR,capaDem,0.224209993,,
2040,processHeat_high,69GR,capaDem,0.143346421,,
2040,processHeat_low,69GR,capaDem,0.231942426,,
2040,processHeat_medium,69GR,capaDem,0.404845537,,
2040,processHeat_high,70AL,capaDem,0,,
2040,processHeat_low,70AL,capaDem,0,,
2040,processHeat_medium,70AL,capaDem,0,,
2040,processHeat_high,72DK,capaDem,0.03124608,,
2040,processHeat_low,72DK,capaDem,0.1609982,,
2040,processHeat_medium,72DK,capaDem,0.190609366,,
2040,processHeat_high,73EE,capaDem,0.009771071,,
2040,processHeat_low,73EE,capaDem,0.080819311,,
2040,processHeat_medium,73EE,capaDem,0.113431599,,
2040,processHeat_high,74FI,capaDem,0.051351873,,
2040,processHeat_low,74FI,capaDem,0.308395303,,
2040,processHeat_medium,74FI,capaDem,0.147961326,,
2040,processHeat_high,75FI,capaDem,0.376990832,,
2040,processHeat_low,75FI,capaDem,3.901949569,,
2040,processHeat_medium,75FI,capaDem,1.821899134,,
2040,processHeat_high,77LT,capaDem,0.008259037,,
2040,processHeat_low,77LT,capaDem,0.062778259,,
2040,processHeat_medium,77LT,capaDem,0.098180639,,
2040,processHeat_high,78LV,capaDem,0.096676696,,
2040,processHeat_low,78LV,capaDem,0.468880323,,
2040,processHeat_medium,78LV,capaDem,0.137734371,,
2040,processHeat_high,79NO,capaDem,0.020324154,,
2040,processHeat_low,79NO,capaDem,0.033901034,,
2040,processHeat_medium,79NO,capaDem,0.089181675,,
2040,processHeat_high,80NO,capaDem,0.047138415,,
2040,processHeat_low,80NO,capaDem,0.079020592,,
2040,processHeat_medium,80NO,capaDem,0.213887796,,
2040,processHeat_high,81NO,capaDem,0.096116208,,
2040,processHeat_low,81NO,capaDem,0.16112463,,
2040,processHeat_medium,81NO,capaDem,0.437178043,,
2040,processHeat_high,82NO,capaDem,0.181950904,,
2040,processHeat_low,82NO,capaDem,0.305013822,,
2040,processHeat_medium,82NO,capaDem,0.827591324,,
2040,processHeat_high,83NO,capaDem,0.048123479,,
2040,processHeat_low,83NO,capaDem,0.080671906,,
2040,processHeat_medium,83NO,capaDem,0.218357466,,
2040,processHeat_high,84NO,capaDem,0.040212584,,
2040,processHeat_low,84NO,capaDem,0.067410459,,
2040,processHeat_medium,84NO,capaDem,0.182462244,,
2040,processHeat_high,85NO,capaDem,0.003556168,,
2040,processHeat_low,85NO,capaDem,0.006697769,,
2040,processHeat_medium,85NO,capaDem,0.022223672,,
2040,processHeat_high,86SE,capaDem,0.011412133,,
2040,processHeat_low,86SE,capaDem,0.115686565,,
2040,processHeat_medium,86SE,capaDem,0.06994753,,
2040,processHeat_high,87SE,capaDem,0.054372941,,
2040,processHeat_low,87SE,capaDem,0.616559279,,
2040,processHeat_medium,87SE,capaDem,0.432030892,,
2040,processHeat_high,88SE,capaDem,0.261029074,,
2040,processHeat_low,88SE,capaDem,2.745083637,,
2040,processHeat_medium,88SE,capaDem,1.472810293,,
2040,processHeat_high,89SE,capaDem,0.070227814,,
2040,processHeat_low,89SE,capaDem,0.754256061,,
2040,processHeat_medium,89SE,capaDem,0.40092775,,
2040,processHeat_high,90UK,capaDem,0.093694713,,
2040,processHeat_low,90UK,capaDem,0.073387415,,
2040,processHeat_medium,90UK,capaDem,0.412713697,,
2040,processHeat_high,91UK,capaDem,0.026119032,,
2040,processHeat_low,91UK,capaDem,0.01785362,,
2040,processHeat_medium,91UK,capaDem,0.102353288,,
2040,processHeat_high,92UK,capaDem,0.18504431,,
2040,processHeat_low,92UK,capaDem,0.098811299,,
2040,processHeat_medium,92UK,capaDem,0.601043176,,
2040,processHeat_high,93UK,capaDem,0.047727697,,
2040,processHeat_low,93UK,capaDem,0.027447537,,
2040,processHeat_medium,93UK,capaDem,0.162481017,,
2040,processHeat_high,94UK,capaDem,0.012672971,,
2040,processHeat_low,94UK,capaDem,0.011246735,,
2040,processHeat_medium,94UK,capaDem,0.064728947,,
2040,processHeat_high,95UK,capaDem,0.012349008,,
2040,processHeat_low,95UK,capaDem,0.008098096,,
2040,processHeat_medium,95UK,capaDem,0.048925949,,
2040,processHeat_high,96IE,capaDem,0.035084621,,
2040,processHeat_low,96IE,capaDem,0.025813263,,
2040,processHeat_medium,96IE,capaDem,0.159559159,,
2040,processHeat_high,98IT,capaDem,0.044006348,,
2040,processHeat_low,98IT,capaDem,0.058644612,,
2040,processHeat_medium,98IT,capaDem,0.130568049,,
2040,processHeat_high,99FR,capaDem,0.00082783,,
2040,processHeat_low,99FR,capaDem,0.003496772,,
2040,processHeat_medium,99FR,capaDem,0.007102185,,
2040,spaceHeat,01ES,capaDem,6.484700469,,
2040,spaceHeat,02ES,capaDem,5.751652372,,
2040,spaceHeat,03ES,capaDem,3.857659101,,
2040,spaceHeat,04ES,capaDem,6.313285393,,
2040,spaceHeat,05ES,capaDem,2.563109459,,
2040,spaceHeat,06ES,capaDem,16.77606866,,
2040,spaceHeat,07ES,capaDem,11.74548832,,
2040,spaceHeat,08ES,capaDem,5.243714457,,
2040,spaceHeat,09ES,capaDem,10.58955203,,
2040,spaceHeat,10ES,capaDem,7.33861928,,
2040,spaceHeat,11ES,capaDem,17.25697791,,
2040,spaceHeat,12PT,capaDem,3.234374396,,
2040,spaceHeat,13PT,capaDem,3.798784368,,
2040,spaceHeat,14FR,capaDem,17.85493998,,
2040,spaceHeat,15FR,capaDem,11.06425929,,
2040,spaceHeat,16FR,capaDem,18.77999621,,
2040,spaceHeat,17FR,capaDem,17.56412744,,
2040,spaceHeat,18FR,capaDem,14.03813015,,
2040,spaceHeat,19FR,capaDem,12.27309119,,
2040,spaceHeat,20FR,capaDem,9.262226299,,
2040,spaceHeat,21FR,capaDem,19.59491861,,
2040,spaceHeat,22FR,capaDem,6.694953223,,
2040,spaceHeat,23FR,capaDem,29.24607212,,
2040,spaceHeat,24FR,capaDem,7.950610359,,
2040,spaceHeat,25FR,capaDem,14.98200627,,
2040,spaceHeat,26FR,capaDem,20.12287717,,
2040,spaceHeat,27FR,capaDem,2.378416142,,
2040,spaceHeat,28BE,capaDem,42.98229425,,
2040,spaceHeat,29LU,capaDem,4.021608988,,
2040,spaceHeat,30NL,capaDem,62.24639936,,
2040,spaceHeat,31DE,capaDem,47.17692252,,
2040,spaceHeat,32DE,capaDem,29.91538348,,
2040,spaceHeat,33DE,capaDem,61.69169601,,
2040,spaceHeat,34DE,capaDem,31.69488366,,
2040,spaceHeat,35DE,capaDem,37.38319149,,
2040,spaceHeat,36DE,capaDem,38.66660109,,
2040,spaceHeat,37DE,capaDem,43.90379828,,
2040,spaceHeat,38DK,capaDem,14.02411785,,
