technology_3,region_2,parameter,value,source
resistiveHeatSpace,GR,costOprConv,1.310057109,
gasBoilerSpace,HR,lifeConv,23.74760375,
gasBoilerSpace,HR,effConv,1.012485623,
gasBoilerSpace,HR,costExpConv,200.0758135,
gasBoilerSpace,HR,costOprConv,8.076459896,
bioBoilerSpace,HR,lifeConv,20,
bioBoilerSpace,HR,effConv,0.892453632,
bioBoilerSpace,HR,costExpConv,318.2620399,
bioBoilerSpace,HR,costOprConv,14.69386499,
heatpumpAirSpace,HR,lifeConv,18.998083,
heatpumpAirSpace,HR,costExpConv,1205.995752,
heatpumpAirSpace,HR,costOprConv,16.22413446,
heatpumpGroundSpace,HR,lifeConv,20,
heatpumpGroundSpace,HR,costExpConv,2432.649074,
heatpumpGroundSpace,HR,costOprConv,12.3674567,
resistiveHeatSpace,HR,lifeConv,30,
resistiveHeatSpace,HR,effConv,1,
resistiveHeatSpace,HR,costExpConv,364.6813849,
resistiveHeatSpace,HR,costOprConv,0.960827137,
gasBoilerSpace,HU,lifeConv,22.91240214,
gasBoilerSpace,HU,effConv,1.007474413,
gasBoilerSpace,HU,costExpConv,264.3718179,
gasBoilerSpace,HU,costOprConv,11.37599533,
bioBoilerSpace,HU,lifeConv,20,
bioBoilerSpace,HU,effConv,0.889604969,
bioBoilerSpace,HU,costExpConv,368.4719634,
bioBoilerSpace,HU,costOprConv,21.08363017,
heatpumpAirSpace,HU,lifeConv,18.32992171,
heatpumpAirSpace,HU,costExpConv,1319.651265,
heatpumpAirSpace,HU,costOprConv,19.41855884,
heatpumpGroundSpace,HU,lifeConv,20,
heatpumpGroundSpace,HU,costExpConv,2851.679556,
heatpumpGroundSpace,HU,costOprConv,15.66539023,
resistiveHeatSpace,HU,lifeConv,30,
resistiveHeatSpace,HU,effConv,1,
resistiveHeatSpace,HU,costExpConv,345.3310219,
resistiveHeatSpace,HU,costOprConv,1.441672413,
gasBoilerSpace,IE,lifeConv,22.84035102,
gasBoilerSpace,IE,effConv,1.007042106,
gasBoilerSpace,IE,costExpConv,294.1557332,
gasBoilerSpace,IE,costOprConv,12.96366926,
bioBoilerSpace,IE,lifeConv,20,
bioBoilerSpace,IE,effConv,0.883924239,
bioBoilerSpace,IE,costExpConv,391.4543767,
bioBoilerSpace,IE,costOprConv,22.98659296,
heatpumpAirSpace,IE,lifeConv,18.27228082,
heatpumpAirSpace,IE,costExpConv,1940.145384,
heatpumpAirSpace,IE,costOprConv,20.54870243,
heatpumpGroundSpace,IE,lifeConv,20,
heatpumpGroundSpace,IE,costExpConv,3564.532932,
heatpumpGroundSpace,IE,costOprConv,17.05157615,
resistiveHeatSpace,IE,lifeConv,30,
resistiveHeatSpace,IE,effConv,1,
resistiveHeatSpace,IE,costExpConv,394.1901545,
resistiveHeatSpace,IE,costOprConv,1.613845078,
gasBoilerSpace,IT,lifeConv,24.21743785,
gasBoilerSpace,IT,effConv,1.015304627,
gasBoilerSpace,IT,costExpConv,159.8498196,
gasBoilerSpace,IT,costOprConv,5.993991269,
bioBoilerSpace,IT,lifeConv,20,
bioBoilerSpace,IT,effConv,0.895097614,
bioBoilerSpace,IT,costExpConv,286.977294,
bioBoilerSpace,IT,costOprConv,10.85538497,
heatpumpAirSpace,IT,lifeConv,19.37395028,
heatpumpAirSpace,IT,costExpConv,1447.454707,
heatpumpAirSpace,IT,costOprConv,14.29653768,
heatpumpGroundSpace,IT,lifeConv,20,
heatpumpGroundSpace,IT,costExpConv,2510.515107,
heatpumpGroundSpace,IT,costOprConv,10.3320748,
resistiveHeatSpace,IT,lifeConv,30,
resistiveHeatSpace,IT,effConv,1,
resistiveHeatSpace,IT,costExpConv,369.5029296,
resistiveHeatSpace,IT,costOprConv,0.666892884,
gasBoilerSpace,LT,lifeConv,22.7357214,
gasBoilerSpace,LT,effConv,1.006414328,
gasBoilerSpace,LT,costExpConv,302.0370356,
gasBoilerSpace,LT,costOprConv,13.37097538,
bioBoilerSpace,LT,lifeConv,20,
bioBoilerSpace,LT,effConv,0.883553844,
bioBoilerSpace,LT,costExpConv,397.5783128,
bioBoilerSpace,LT,costOprConv,23.78444966,
heatpumpAirSpace,LT,lifeConv,18.18857712,
heatpumpAirSpace,LT,costExpConv,1156.962249,
heatpumpAirSpace,LT,costOprConv,20.93782491,
heatpumpGroundSpace,LT,lifeConv,20,
heatpumpGroundSpace,LT,costExpConv,2141.366719,
heatpumpGroundSpace,LT,costOprConv,17.45515719,
resistiveHeatSpace,LT,lifeConv,30,
resistiveHeatSpace,LT,effConv,1,
resistiveHeatSpace,LT,costExpConv,390.4525527,
resistiveHeatSpace,LT,costOprConv,1.673770067,
gasBoilerSpace,LU,lifeConv,22.51257504,
gasBoilerSpace,LU,effConv,1.00507545,
gasBoilerSpace,LU,costExpConv,342.9997406,
gasBoilerSpace,LU,costOprConv,15.55817567,
bioBoilerSpace,LU,lifeConv,20,
