region_4,timestep_4,value,parameter,carrier_1
02ES,d131,0.95618005000703,mustOut,processHeat_medium
02ES,d132,0.9669372301576308,mustOut,processHeat_medium
02ES,d133,0.9694910458037308,mustOut,processHeat_medium
02ES,d134,0.9725748244632086,mustOut,processHeat_medium
02ES,d135,0.9733623796460051,mustOut,processHeat_medium
02ES,d136,0.972822926399355,mustOut,processHeat_medium
02ES,d137,0.9657215324865168,mustOut,processHeat_medium
02ES,d138,0.9599758895667492,mustOut,processHeat_medium
02ES,d139,0.9643000476113835,mustOut,processHeat_medium
02ES,d140,0.9704751958998562,mustOut,processHeat_medium
02ES,d141,0.9721884099653076,mustOut,processHeat_medium
02ES,d142,0.9695036408393207,mustOut,processHeat_medium
02ES,d143,0.9583148482017805,mustOut,processHeat_medium
02ES,d144,0.9726159236753725,mustOut,processHeat_medium
02ES,d145,0.9666108632038686,mustOut,processHeat_medium
02ES,d146,0.958203991661397,mustOut,processHeat_medium
02ES,d147,0.9585760324343937,mustOut,processHeat_medium
02ES,d148,0.967495526644143,mustOut,processHeat_medium
02ES,d149,0.967148844816999,mustOut,processHeat_medium
02ES,d150,0.9569748880001043,mustOut,processHeat_medium
02ES,d151,0.9686139747210897,mustOut,processHeat_medium
02ES,d152,0.9729295858235218,mustOut,processHeat_medium
02ES,d153,0.9710969518961671,mustOut,processHeat_medium
02ES,d154,0.9684445455072819,mustOut,processHeat_medium
02ES,d155,0.9732452618674566,mustOut,processHeat_medium
02ES,d156,0.9737039648589416,mustOut,processHeat_medium
02ES,d157,0.958564439740106,mustOut,processHeat_medium
02ES,d158,0.9608164626162458,mustOut,processHeat_medium
02ES,d159,0.9740371255233337,mustOut,processHeat_medium
02ES,d160,0.9726460664628576,mustOut,processHeat_medium
02ES,d161,0.968714206228924,mustOut,processHeat_medium
02ES,d162,0.9638061559979482,mustOut,processHeat_medium
02ES,d163,0.9541594674059676,mustOut,processHeat_medium
02ES,d164,0.9622019780420032,mustOut,processHeat_medium
02ES,d165,0.9728764430220357,mustOut,processHeat_medium
02ES,d166,0.960711995256967,mustOut,processHeat_medium
02ES,d167,0.9595538892925409,mustOut,processHeat_medium
02ES,d168,0.9722089146465956,mustOut,processHeat_medium
02ES,d169,0.9724415355337138,mustOut,processHeat_medium
02ES,d170,0.9724912184447779,mustOut,processHeat_medium
02ES,d171,0.9560597437636412,mustOut,processHeat_medium
02ES,d172,0.9655266125309178,mustOut,processHeat_medium
02ES,d173,0.9700566158626316,mustOut,processHeat_medium
02ES,d174,0.9687409899624981,mustOut,processHeat_medium
02ES,d175,0.9702379241985,mustOut,processHeat_medium
02ES,d176,0.9615052263446463,mustOut,processHeat_medium
02ES,d177,0.96202176136444,mustOut,processHeat_medium
02ES,d178,0.9701942173107909,mustOut,processHeat_medium
02ES,d179,0.9701942173107909,mustOut,processHeat_medium
02ES,d180,0.9764846876867826,mustOut,processHeat_medium
02ES,d181,0.9730046853608201,mustOut,processHeat_medium
02ES,d182,0.9725408945860181,mustOut,processHeat_medium
03ES,d092,0.9623782477032515,mustOut,processHeat_medium
03ES,d093,0.9585598501692706,mustOut,processHeat_medium
03ES,d094,0.9655817664509717,mustOut,processHeat_medium
03ES,d095,0.9710178499165067,mustOut,processHeat_medium
03ES,d096,0.9711353888646954,mustOut,processHeat_medium
03ES,d097,0.9726174126493182,mustOut,processHeat_medium
03ES,d098,0.9573084995110245,mustOut,processHeat_medium
03ES,d099,0.959521714591574,mustOut,processHeat_medium
03ES,d100,0.9742362905484091,mustOut,processHeat_medium
03ES,d101,0.9553063298466592,mustOut,processHeat_medium
03ES,d102,0.9562923806237601,mustOut,processHeat_medium
03ES,d103,0.9592794522200165,mustOut,processHeat_medium
03ES,d104,0.9722813065622328,mustOut,processHeat_medium
03ES,d105,0.9750916039429285,mustOut,processHeat_medium
03ES,d106,0.974901551860133,mustOut,processHeat_medium
03ES,d107,0.974439003293052,mustOut,processHeat_medium
03ES,d108,0.9658685991375933,mustOut,processHeat_medium
03ES,d109,0.9633132211027563,mustOut,processHeat_medium
03ES,d110,0.9751017848101734,mustOut,processHeat_medium
03ES,d111,0.9729669075438778,mustOut,processHeat_medium
03ES,d112,0.9777415256304115,mustOut,processHeat_medium
03ES,d113,0.9722307186227681,mustOut,processHeat_medium
03ES,d114,0.9736670687628551,mustOut,processHeat_medium
03ES,d115,0.9541801117190971,mustOut,processHeat_medium
03ES,d116,0.9567671991906082,mustOut,processHeat_medium
03ES,d117,0.9713692778094961,mustOut,processHeat_medium
03ES,d118,0.9734629188150544,mustOut,processHeat_medium
03ES,d119,0.9746568326596995,mustOut,processHeat_medium
03ES,d120,0.9735596497550887,mustOut,processHeat_medium
03ES,d121,0.9667431158219036,mustOut,processHeat_medium
03ES,d122,0.9507745682873671,mustOut,processHeat_medium
03ES,d123,0.9558916951334595,mustOut,processHeat_medium
03ES,d124,0.97202215540536,mustOut,processHeat_medium
03ES,d125,0.9598713150229136,mustOut,processHeat_medium
03ES,d126,0.9726863040912122,mustOut,processHeat_medium
03ES,d127,0.9722135213605725,mustOut,processHeat_medium
03ES,d128,0.9738747002747914,mustOut,processHeat_medium
03ES,d129,0.9693486953200742,mustOut,processHeat_medium
03ES,d130,0.9655465980438294,mustOut,processHeat_medium
03ES,d131,0.9530758652369968,mustOut,processHeat_medium
03ES,d132,0.9655241801759379,mustOut,processHeat_medium
03ES,d133,0.9684344974207306,mustOut,processHeat_medium
03ES,d134,0.971634261195201,mustOut,processHeat_medium
03ES,d135,0.9725680502262245,mustOut,processHeat_medium
03ES,d136,0.972202592485246,mustOut,processHeat_medium
03ES,d137,0.9640504743401076,mustOut,processHeat_medium
03ES,d138,0.9560120003161501,mustOut,processHeat_medium
03ES,d139,0.9621725846545056,mustOut,processHeat_medium
03ES,d140,0.9689795366994834,mustOut,processHeat_medium
03ES,d141,0.9719635683785933,mustOut,processHeat_medium
03ES,d142,0.9688487567919614,mustOut,processHeat_medium
03ES,d143,0.9557826646844964,mustOut,processHeat_medium
03ES,d144,0.9716258770925682,mustOut,processHeat_medium
03ES,d145,0.9643829368653011,mustOut,processHeat_medium
03ES,d146,0.9545979685105218,mustOut,processHeat_medium
03ES,d147,0.9559569755397206,mustOut,processHeat_medium
03ES,d148,0.9671286756058635,mustOut,processHeat_medium
03ES,d149,0.9665885773035067,mustOut,processHeat_medium
03ES,d150,0.9540007762945303,mustOut,processHeat_medium
03ES,d151,0.9679102995207813,mustOut,processHeat_medium
03ES,d152,0.9720508615807072,mustOut,processHeat_medium
03ES,d153,0.9704609860736279,mustOut,processHeat_medium
03ES,d154,0.9668833168291258,mustOut,processHeat_medium
03ES,d155,0.9723476363821343,mustOut,processHeat_medium
03ES,d156,0.973146033867882,mustOut,processHeat_medium
03ES,d157,0.9556615458132001,mustOut,processHeat_medium
03ES,d158,0.9594851211160554,mustOut,processHeat_medium
03ES,d159,0.9742668319800032,mustOut,processHeat_medium
03ES,d160,0.9727101047941838,mustOut,processHeat_medium
03ES,d161,0.9688908581918744,mustOut,processHeat_medium
03ES,d162,0.9622971376174215,mustOut,processHeat_medium
03ES,d163,0.9514438861289515,mustOut,processHeat_medium
03ES,d164,0.9609286481036937,mustOut,processHeat_medium
03ES,d165,0.9728876547386184,mustOut,processHeat_medium
03ES,d166,0.9580775232958937,mustOut,processHeat_medium
03ES,d167,0.956690598870864,mustOut,processHeat_medium
03ES,d168,0.972029654720321,mustOut,processHeat_medium
03ES,d169,0.9721709467541283,mustOut,processHeat_medium
03ES,d170,0.9725107385020237,mustOut,processHeat_medium
03ES,d171,0.9528989806502371,mustOut,processHeat_medium
03ES,d172,0.9654285716342201,mustOut,processHeat_medium
03ES,d173,0.9692462080314878,mustOut,processHeat_medium
03ES,d174,0.9680292645453695,mustOut,processHeat_medium
03ES,d175,0.9691494571616962,mustOut,processHeat_medium
03ES,d176,0.9602240140890596,mustOut,processHeat_medium
03ES,d177,0.9601882143300978,mustOut,processHeat_medium
03ES,d178,0.9693802147550438,mustOut,processHeat_medium
03ES,d179,0.9693802147550438,mustOut,processHeat_medium
03ES,d180,0.9768656155977927,mustOut,processHeat_medium
03ES,d181,0.9729248329352534,mustOut,processHeat_medium
03ES,d182,0.9729204602679905,mustOut,processHeat_medium
04ES,d092,0.9657430112113919,mustOut,processHeat_medium
04ES,d093,0.9640360951788504,mustOut,processHeat_medium
04ES,d094,0.9670728018606193,mustOut,processHeat_medium
04ES,d095,0.9718056286998641,mustOut,processHeat_medium
04ES,d096,0.9717815573173993,mustOut,processHeat_medium
04ES,d097,0.9707995545373554,mustOut,processHeat_medium
04ES,d098,0.9600452979902911,mustOut,processHeat_medium
04ES,d099,0.9640780862988928,mustOut,processHeat_medium
04ES,d100,0.974059442828775,mustOut,processHeat_medium
04ES,d101,0.9585099549803999,mustOut,processHeat_medium
04ES,d102,0.959904434850614,mustOut,processHeat_medium
04ES,d103,0.9624400486423687,mustOut,processHeat_medium
04ES,d104,0.9691853223653197,mustOut,processHeat_medium
04ES,d105,0.9750464207434865,mustOut,processHeat_medium
04ES,d106,0.9750128811840568,mustOut,processHeat_medium
04ES,d107,0.9746005343855207,mustOut,processHeat_medium
04ES,d108,0.9679887494474618,mustOut,processHeat_medium
04ES,d109,0.9665970637958404,mustOut,processHeat_medium
04ES,d110,0.975304619969999,mustOut,processHeat_medium
04ES,d111,0.970131587369148,mustOut,processHeat_medium
04ES,d112,0.9740191094072088,mustOut,processHeat_medium
04ES,d113,0.9701675886510657,mustOut,processHeat_medium
04ES,d114,0.9736164112086195,mustOut,processHeat_medium
04ES,d115,0.9565050413754458,mustOut,processHeat_medium
04ES,d116,0.9614945496815986,mustOut,processHeat_medium
04ES,d117,0.972544002769761,mustOut,processHeat_medium
04ES,d118,0.9743605699081096,mustOut,processHeat_medium
04ES,d119,0.9753000212128882,mustOut,processHeat_medium
04ES,d120,0.9736965271717963,mustOut,processHeat_medium
04ES,d121,0.9674706441384539,mustOut,processHeat_medium
04ES,d122,0.9576025378801205,mustOut,processHeat_medium
04ES,d123,0.9621283515913698,mustOut,processHeat_medium
04ES,d124,0.973847569342297,mustOut,processHeat_medium
04ES,d125,0.9631092838093688,mustOut,processHeat_medium
04ES,d126,0.9720741564373535,mustOut,processHeat_medium
04ES,d127,0.9709184175932629,mustOut,processHeat_medium
04ES,d128,0.9749066240174974,mustOut,processHeat_medium
04ES,d129,0.9707056613510758,mustOut,processHeat_medium
04ES,d130,0.9685510148547868,mustOut,processHeat_medium
04ES,d131,0.9600277263935671,mustOut,processHeat_medium
04ES,d132,0.9670028233088791,mustOut,processHeat_medium
04ES,d133,0.9686813366978034,mustOut,processHeat_medium
04ES,d134,0.9732585136027865,mustOut,processHeat_medium
04ES,d135,0.9739144619334184,mustOut,processHeat_medium
04ES,d136,0.9732607411394838,mustOut,processHeat_medium
04ES,d137,0.9672215276798397,mustOut,processHeat_medium
04ES,d138,0.9635778073068954,mustOut,processHeat_medium
04ES,d139,0.9647709740227887,mustOut,processHeat_medium
04ES,d140,0.972204633833447,mustOut,processHeat_medium
04ES,d141,0.9721204080694861,mustOut,processHeat_medium
04ES,d142,0.9708319819043633,mustOut,processHeat_medium
04ES,d143,0.9617335202873013,mustOut,processHeat_medium
04ES,d144,0.9739057615296739,mustOut,processHeat_medium
04ES,d145,0.9690218698119679,mustOut,processHeat_medium
04ES,d146,0.9611751948674888,mustOut,processHeat_medium
04ES,d147,0.959632041419051,mustOut,processHeat_medium
04ES,d148,0.9676501181987381,mustOut,processHeat_medium
04ES,d149,0.9679989440248088,mustOut,processHeat_medium
04ES,d150,0.9608249706740631,mustOut,processHeat_medium
04ES,d151,0.9701585894533006,mustOut,processHeat_medium
04ES,d152,0.9735866164053277,mustOut,processHeat_medium
04ES,d153,0.9694936301940894,mustOut,processHeat_medium
04ES,d154,0.9694639371285424,mustOut,processHeat_medium
04ES,d155,0.974029439818878,mustOut,processHeat_medium
04ES,d156,0.9741252345254452,mustOut,processHeat_medium
04ES,d157,0.9614774562063909,mustOut,processHeat_medium
04ES,d158,0.9628306004337143,mustOut,processHeat_medium
04ES,d159,0.9741172519579777,mustOut,processHeat_medium
04ES,d160,0.9711351327453789,mustOut,processHeat_medium
04ES,d161,0.9672058558832456,mustOut,processHeat_medium
04ES,d162,0.9653930756199619,mustOut,processHeat_medium
04ES,d163,0.9558211057675786,mustOut,processHeat_medium
04ES,d164,0.9614816575983696,mustOut,processHeat_medium
04ES,d165,0.9717297207769965,mustOut,processHeat_medium
04ES,d166,0.9632576174021779,mustOut,processHeat_medium
04ES,d167,0.9623269686774923,mustOut,processHeat_medium
04ES,d168,0.9714697088265135,mustOut,processHeat_medium
04ES,d169,0.9703301434769097,mustOut,processHeat_medium
04ES,d170,0.9710428154021429,mustOut,processHeat_medium
04ES,d171,0.9592374783958348,mustOut,processHeat_medium
04ES,d172,0.9662435931225749,mustOut,processHeat_medium
04ES,d173,0.9708135984486338,mustOut,processHeat_medium
04ES,d174,0.9681092866170123,mustOut,processHeat_medium
04ES,d175,0.9708514113686609,mustOut,processHeat_medium
04ES,d176,0.963368023417388,mustOut,processHeat_medium
04ES,d177,0.9627374733298287,mustOut,processHeat_medium
04ES,d178,0.9709329058063455,mustOut,processHeat_medium
04ES,d179,0.9709329058063455,mustOut,processHeat_medium
04ES,d180,0.9760323142658459,mustOut,processHeat_medium
04ES,d181,0.973192693053079,mustOut,processHeat_medium
04ES,d182,0.9719396412593445,mustOut,processHeat_medium
05ES,d092,0.9646639702311101,mustOut,processHeat_medium
05ES,d093,0.9637423214105638,mustOut,processHeat_medium
05ES,d094,0.9669233019947873,mustOut,processHeat_medium
05ES,d095,0.9695957661963348,mustOut,processHeat_medium
05ES,d096,0.9712561631342093,mustOut,processHeat_medium
05ES,d097,0.9701653895112182,mustOut,processHeat_medium
05ES,d098,0.9587142888087783,mustOut,processHeat_medium
05ES,d099,0.9635567427450648,mustOut,processHeat_medium
05ES,d100,0.9742728004394697,mustOut,processHeat_medium
05ES,d101,0.9570373450590068,mustOut,processHeat_medium
05ES,d102,0.95821674828494,mustOut,processHeat_medium
05ES,d103,0.9594622216977768,mustOut,processHeat_medium
05ES,d104,0.969536995521139,mustOut,processHeat_medium
05ES,d105,0.9755595173548196,mustOut,processHeat_medium
05ES,d106,0.9752787119932691,mustOut,processHeat_medium
05ES,d107,0.9746059552477769,mustOut,processHeat_medium
05ES,d108,0.9656598891069734,mustOut,processHeat_medium
05ES,d109,0.9645515697285797,mustOut,processHeat_medium
05ES,d110,0.9756670463596038,mustOut,processHeat_medium
05ES,d111,0.9706438478270533,mustOut,processHeat_medium
05ES,d112,0.9737436015965765,mustOut,processHeat_medium
05ES,d113,0.9696040243859443,mustOut,processHeat_medium
05ES,d114,0.9740691321106473,mustOut,processHeat_medium
05ES,d115,0.9560556465758813,mustOut,processHeat_medium
05ES,d116,0.9591512081712305,mustOut,processHeat_medium
05ES,d117,0.9708810587706012,mustOut,processHeat_medium
05ES,d118,0.9737476710514178,mustOut,processHeat_medium
05ES,d119,0.9750560509216181,mustOut,processHeat_medium
05ES,d120,0.9733731101083171,mustOut,processHeat_medium
05ES,d121,0.9665443600902867,mustOut,processHeat_medium
05ES,d122,0.9535363455311957,mustOut,processHeat_medium
05ES,d123,0.9590008674649653,mustOut,processHeat_medium
05ES,d124,0.9733925785382477,mustOut,processHeat_medium
05ES,d125,0.9614414992218675,mustOut,processHeat_medium
05ES,d126,0.9714998268111685,mustOut,processHeat_medium
05ES,d127,0.9704602338160081,mustOut,processHeat_medium
05ES,d128,0.9744912116608854,mustOut,processHeat_medium
05ES,d129,0.9690869845055659,mustOut,processHeat_medium
05ES,d130,0.9665121865267187,mustOut,processHeat_medium
05ES,d131,0.9571536785653431,mustOut,processHeat_medium
05ES,d132,0.9653742126015459,mustOut,processHeat_medium
05ES,d133,0.9666426438279814,mustOut,processHeat_medium
05ES,d134,0.9720412979476502,mustOut,processHeat_medium
05ES,d135,0.9727515362189934,mustOut,processHeat_medium
05ES,d136,0.9722399226144868,mustOut,processHeat_medium
05ES,d137,0.9663567258132844,mustOut,processHeat_medium
05ES,d138,0.960829729651247,mustOut,processHeat_medium
05ES,d139,0.9625366158789651,mustOut,processHeat_medium
05ES,d140,0.9710527979363329,mustOut,processHeat_medium
05ES,d141,0.971790592842126,mustOut,processHeat_medium
05ES,d142,0.967679142645693,mustOut,processHeat_medium
05ES,d143,0.9584681172722563,mustOut,processHeat_medium
05ES,d144,0.9726625428080146,mustOut,processHeat_medium
05ES,d145,0.9676161129006383,mustOut,processHeat_medium
05ES,d146,0.9589402762368687,mustOut,processHeat_medium
05ES,d147,0.9556975977495767,mustOut,processHeat_medium
05ES,d148,0.9640593009852788,mustOut,processHeat_medium
05ES,d149,0.9655147806475574,mustOut,processHeat_medium
05ES,d150,0.9567934352636863,mustOut,processHeat_medium
05ES,d151,0.9675070846972934,mustOut,processHeat_medium
05ES,d152,0.9723855933752171,mustOut,processHeat_medium
05ES,d153,0.9674035361028928,mustOut,processHeat_medium
05ES,d154,0.9679936531119893,mustOut,processHeat_medium
05ES,d155,0.9729756729690658,mustOut,processHeat_medium
05ES,d156,0.973814036065202,mustOut,processHeat_medium
05ES,d157,0.9604362919994097,mustOut,processHeat_medium
05ES,d158,0.9605862917031421,mustOut,processHeat_medium
05ES,d159,0.9750082399059465,mustOut,processHeat_medium
05ES,d160,0.970753984687993,mustOut,processHeat_medium
05ES,d161,0.9647157567480917,mustOut,processHeat_medium
05ES,d162,0.9651231356476728,mustOut,processHeat_medium
05ES,d163,0.9515711485930751,mustOut,processHeat_medium
05ES,d164,0.9593098127066545,mustOut,processHeat_medium
05ES,d165,0.9714897781800573,mustOut,processHeat_medium
05ES,d166,0.9627009466069012,mustOut,processHeat_medium
05ES,d167,0.9616971628185335,mustOut,processHeat_medium
05ES,d168,0.9712780561715135,mustOut,processHeat_medium
05ES,d169,0.9689106197664993,mustOut,processHeat_medium
05ES,d170,0.9706626767998993,mustOut,processHeat_medium
05ES,d171,0.9575765383374346,mustOut,processHeat_medium
05ES,d172,0.9653528730370908,mustOut,processHeat_medium
05ES,d173,0.9707567664468115,mustOut,processHeat_medium
05ES,d174,0.9675390793906141,mustOut,processHeat_medium
05ES,d175,0.9701584957521542,mustOut,processHeat_medium
05ES,d176,0.9612035939898457,mustOut,processHeat_medium
05ES,d177,0.9613429547980559,mustOut,processHeat_medium
05ES,d178,0.9709487069802284,mustOut,processHeat_medium
05ES,d179,0.9709487069802284,mustOut,processHeat_medium
05ES,d180,0.9764151308490151,mustOut,processHeat_medium
05ES,d181,0.9726187765229497,mustOut,processHeat_medium
05ES,d182,0.9723285446873433,mustOut,processHeat_medium
06ES,d092,0.965050638210414,mustOut,processHeat_medium
06ES,d093,0.9675469309120217,mustOut,processHeat_medium
06ES,d094,0.9670492276367592,mustOut,processHeat_medium
06ES,d095,0.9663188357133853,mustOut,processHeat_medium
06ES,d096,0.9707612363415592,mustOut,processHeat_medium
06ES,d097,0.9721938256599666,mustOut,processHeat_medium
06ES,d098,0.9640948024719668,mustOut,processHeat_medium
06ES,d099,0.9672155327754505,mustOut,processHeat_medium
06ES,d100,0.9757577334943713,mustOut,processHeat_medium
06ES,d101,0.9628342286875977,mustOut,processHeat_medium
06ES,d102,0.9628221347539542,mustOut,processHeat_medium
06ES,d103,0.9582876117468307,mustOut,processHeat_medium
06ES,d104,0.9720097565596006,mustOut,processHeat_medium
06ES,d105,0.9766308322919789,mustOut,processHeat_medium
06ES,d106,0.9760747473867468,mustOut,processHeat_medium
06ES,d107,0.9749405954280519,mustOut,processHeat_medium
06ES,d108,0.962961951371426,mustOut,processHeat_medium
06ES,d109,0.9629050613998515,mustOut,processHeat_medium
06ES,d110,0.976476585619063,mustOut,processHeat_medium
06ES,d111,0.9734904620023977,mustOut,processHeat_medium
06ES,d112,0.97606865718141,mustOut,processHeat_medium
06ES,d113,0.9728484502788888,mustOut,processHeat_medium
06ES,d114,0.9754887566168691,mustOut,processHeat_medium
06ES,d115,0.9620738267268886,mustOut,processHeat_medium
06ES,d116,0.9594584499116839,mustOut,processHeat_medium
06ES,d117,0.9673530818104155,mustOut,processHeat_medium
06ES,d118,0.9720556285123317,mustOut,processHeat_medium
