i,lowCost,bestObj,gap,curCost,time_ges,time_top,time_sub,actMethod,dynPar_prx
25,30269.033716667596,72170.40034951511,0.5805893611497617,107936.32011484026,2.1666666666666665,0.0006333333333333333,0.005183333333333333,prx,"[129.75, -19.55]"
26,30437.41928796614,66565.69703860936,0.5427461794576889,66565.69703860936,2.1666666666666665,0.0011666666666666668,0.005566666666666667,prx,"[307.15, 307.15]"
27,32234.54707105097,66565.69703860936,0.5157483733347774,106781.16146584446,2.1666666666666665,0.0008166666666666667,0.0049833333333333335,prx,"[153.58, -274.92]"
28,32347.33653271941,66565.69703860936,0.5140539651532929,76314.87774745564,2.183333333333333,0.0009333333333333333,0.007383333333333334,prx,"[153.58, 190.93]"
29,35072.46739976939,61021.261916214855,0.42524185343912446,61021.261916214855,2.183333333333333,0.0011666666666666668,0.006166666666666667,prx,"[383.24, 383.24]"
30,35672.16979763748,61021.261916214855,0.415414092114039,459127.1881454291,2.2,0.0008833333333333333,0.00385,prx,"[191.62, -11273.28]"
31,35807.722300443995,61021.261916214855,0.4131926942184557,271817.7816574021,2.2,0.00095,0.0035,prx,"[95.81, -2821.29]"
32,35923.52133606129,61021.261916214855,0.41129501082121145,203276.13086960604,2.2,0.0011500000000000002,0.004116666666666667,prx,"[47.9, -895.82]"
33,35978.590875632515,61021.261916214855,0.4103925460434945,108815.474452528,2.216666666666667,0.0022,0.0038833333333333337,prx,"[23.95, -87.37]"
34,36034.56907467855,61021.261916214855,0.4094751903991144,87442.80976738059,2.216666666666667,0.00165,0.004733333333333333,prx,"[11.98, -2.89]"
35,36050.31970845706,61021.261916214855,0.4092170732562711,91951.2836777258,2.216666666666667,0.00165,0.005233333333333334,prx,"[5.99, -5.9]"
36,36082.78790708863,61021.261916214855,0.40868499316464413,103137.58057444659,2.2333333333333334,0.0013833333333333334,0.005833333333333333,prx,"[2.99, -8.64]"
37,36212.09626673594,61021.261916214855,0.40656592260486346,74554.70927872244,2.2333333333333334,0.0013833333333333334,0.00555,prx,"[2.55, 2.55]"
38,36287.18591700784,61021.261916214855,0.40533537364678063,75963.86930448121,2.25,0.00145,0.006416666666666667,prx,"[1.83, 1.83]"
39,36399.15400215464,61021.261916214855,0.4035004708337163,73267.07687798858,2.2666666666666666,0.0014666666666666667,0.009366666666666667,prx,"[1.67, 1.67]"
40,36643.95414552308,61021.261916214855,0.3994887520379864,65613.33001950613,2.2666666666666666,0.0023000000000000004,0.008283333333333334,prx,"[2.64, 2.64]"
41,36912.14503994831,61021.261916214855,0.39509371191584874,66409.18193414269,2.283333333333333,0.0019500000000000001,0.006933333333333333,prx,"[4.03, 4.03]"
42,37343.87324964292,61021.261916214855,0.3880186663311246,70639.90471631804,2.283333333333333,0.002483333333333333,0.006383333333333334,prx,"[4.61, 4.61]"
43,37402.7852713635,61021.261916214855,0.38705323199118147,65791.51996937383,2.3,0.0019333333333333333,0.006683333333333334,prx,"[7.27, 7.27]"
44,37961.123010260366,61021.261916214855,0.37790334355289434,71323.84151538354,2.3,0.0014333333333333331,0.004966666666666666,prx,"[7.93, 7.93]"
45,38018.19063302429,61021.261916214855,0.37696813472613677,64402.21332997509,2.316666666666667,0.0019333333333333333,0.006383333333333334,prx,"[13.48, 13.48]"
46,38288.783393789345,61021.261916214855,0.3725337334655304,65208.928529111254,2.316666666666667,0.0022333333333333333,0.007333333333333333,prx,"[21.96, 21.96]"
47,38300.801741700154,61021.261916214855,0.3723367800179386,64753.46845613854,2.3333333333333335,0.0019500000000000001,0.005566666666666667,prx,"[36.67, 36.67]"
48,38373.26891875977,61021.261916214855,0.3711492074443147,76957.37681178434,2.3333333333333335,0.0017666666666666666,0.0063,prx,"[36.67, 21.62]"
49,38634.56744111294,61021.261916214855,0.36686711765875857,70533.77674214944,2.35,0.0022166666666666667,0.0052833333333333335,prx,"[42.09, 42.09]"
50,38657.49693278029,61021.261916214855,0.366491355326953,74125.44700804728,2.35,0.0020666666666666667,0.007716666666666667,prx,"[42.09, 34.7]"
51,38784.327694908345,61021.261916214855,0.3644128869678064,73528.93992983011,2.3666666666666667,0.0024666666666666665,0.0067,prx,"[42.09, 36.7]"
52,38791.382818347214,61021.261916214855,0.364297269505674,104040.29796435473,2.3833333333333333,0.0027500000000000003,0.007783333333333334,prx,"[42.09, -79.25]"
53,39568.987545010714,61021.261916214855,0.3515540927465438,150436.59622019797,2.3833333333333333,0.0025166666666666666,0.007216666666666666,prx,"[42.09, -267.4]"
54,39644.21358137873,61021.261916214855,0.3503213087298628,118736.20773690796,2.4,0.00295,0.007750000000000001,prx,"[42.09, -143.88]"
55,39679.002555628,61021.261916214855,0.34975119639267394,104053.0014899473,2.4166666666666665,0.0027833333333333334,0.008033333333333333,prx,"[42.09, -86.12]"
56,39951.894120108074,61021.261916214855,0.34527912295612706,180778.46750680928,2.4166666666666665,0.0025,0.0064,prx,"[42.09, -396.5]"
57,39975.75525554266,61021.261916214855,0.34488809309726653,103875.41199866323,2.433333333333333,0.0025,0.008333333333333333,prx,"[42.09, -88.13]"
58,40114.50755554861,61021.261916214855,0.34261425778726484,66793.13468767708,2.45,0.0027500000000000003,0.007516666666666667,prx,"[60.81, 60.81]"
59,40246.27777990018,61021.261916214855,0.3404548428519839,67692.73331412351,2.45,0.0025166666666666666,0.007466666666666667,prx,"[82.38, 82.38]"
60,40502.68224266743,61021.261916214855,0.33625295559636936,89940.16405965027,2.466666666666667,0.0026,0.0069166666666666664,prx,"[82.38, -68.1]"
61,40507.40742119976,61021.261916214855,0.3361755206436342,81303.94087340834,2.466666666666667,0.0033,0.007500000000000001,prx,"[82.38, 1.37]"
62,40566.100352212576,61021.261916214855,0.3352136767031827,69685.66916944136,2.4833333333333334,0.0030833333333333333,0.007766666666666667,prx,"[94.85, 94.85]"
63,40604.90060933373,61021.261916214855,0.3345778285430049,77202.75780278508,2.5,0.0030499999999999998,0.007716666666666667,prx,"[94.85, 39.2]"
64,40644.753555118594,61021.261916214855,0.33392472920462035,66112.868918618,2.5,0.0033333333333333335,0.007483333333333333,prx,"[142.27, 142.27]"
65,40786.51586133197,61021.261916214855,0.331601566723844,86697.83992872335,2.5166666666666666,0.0030166666666666666,0.00615,prx,"[142.27, -76.78]"
66,40836.1584568503,61021.261916214855,0.33078803724314443,87427.83546911797,2.533333333333333,0.0025666666666666667,0.0066,prx,"[142.27, -87.86]"
67,40908.2845640063,61021.261916214855,0.32960605403121035,67910.6540852534,2.533333333333333,0.0028,0.008033333333333333,prx,"[187.03, 187.03]"
68,42835.200579994715,61021.261916214855,0.2980282735088383,107590.44533087191,2.55,0.0027500000000000003,0.007233333333333333,prx,"[187.03, -583.81]"
69,42886.91016001834,61021.261916214855,0.29718087084295064,98046.6376403761,2.55,0.0022166666666666667,0.006416666666666667,prx,"[187.03, -389.72]"
70,42929.572392082606,61021.261916214855,0.2964817336778943,102191.23355705128,2.566666666666667,0.003,0.0089,prx,"[187.03, -477.86]"
71,42967.25252201666,61021.261916214855,0.29586424186027527,97960.8374592929,2.5833333333333335,0.0027833333333333334,0.006933333333333333,prx,"[187.03, -392.35]"
72,43006.23075213647,61021.261916214855,0.2952254771265448,84340.01098066992,2.5833333333333335,0.0025,0.007500000000000001,prx,"[187.03, -110.71]"
73,43049.809611278164,61021.261916214855,0.2945113185239001,69386.11397896537,2.6,0.0027833333333333334,0.006383333333333334,prx,"[199.74, 199.74]"
74,43064.64618397076,61021.261916214855,0.2942681807678673,70239.25284045927,2.6166666666666667,0.0027833333333333334,0.0049833333333333335,prx,"[199.74, 194.2]"
75,43116.20275545693,61021.261916214855,0.29342328556466823,95799.51479305269,2.6166666666666667,0.003033333333333333,0.00695,prx,"[199.74, -377.28]"
76,43147.77944919333,61021.261916214855,0.2929058152150751,69749.8304836388,2.6333333333333333,0.00295,0.007816666666666666,prx,"[204.21, 204.21]"
77,43183.41211013429,61021.261916214855,0.29232187676768784,65446.55438347826,2.65,0.0027833333333333334,0.006666666666666667,prx,"[307.02, 307.02]"
78,43247.17149537754,61021.261916214855,0.29127700514030674,69071.62051628664,2.65,0.004066666666666666,0.008066666666666666,prx,"[335.82, 335.82]"
79,43345.70595705609,61021.261916214855,0.28966224892936765,67091.58143882806,2.6666666666666665,0.0036166666666666665,0.006716666666666667,prx,"[440.88, 440.88]"
80,43368.493471513444,61021.261916214855,0.2892888132818282,65437.414748208845,2.6666666666666665,0.003,0.006666666666666667,prx,"[661.1, 661.1]"
81,43418.394646233966,61021.261916214855,0.2884710462748292,65971.06089888915,2.683333333333333,0.002766666666666667,0.006116666666666667,prx,"[950.37, 950.37]"
82,43431.429558843345,61021.261916214855,0.28825743363883893,62191.68920718838,2.7,0.0033,0.005033333333333333,prx,"[1774.27, 1774.27]"
83,43467.21722787192,61021.261916214855,0.28767095496067396,62044.369168163365,2.7,0.0033666666666666667,0.0083,prx,"[3341.71, 3341.71]"
84,43495.27066865553,60522.04949592086,0.2813318281366681,60522.04949592086,2.716666666666667,0.0027333333333333333,0.004933333333333333,prx,"[6873.79, 6873.79]"
85,44154.69213796797,60522.04949592086,0.27043627065299625,61178.50782861562,2.7333333333333334,0.0032,0.007116666666666666,prx,"[6873.79, 13194.41]"
86,44174.60720046834,60522.04949592086,0.2701072159916582,61290.372222974154,2.7333333333333334,0.0042833333333333334,0.006833333333333333,prx,"[6873.79, 13099.64]"
87,44482.17502310893,60522.04949592086,0.2650253024543229,117001.0947388632,2.75,0.003816666666666667,0.006666666666666667,prx,"[3436.9, -35228.49]"
88,44792.242609847,60522.04949592086,0.25990208555534844,74064.32712834426,2.7666666666666666,0.0035833333333333333,0.007266666666666667,prx,"[1718.45, 817.53]"
89,45747.98080180615,60522.04949592086,0.244110515376887,70888.85078857961,2.7666666666666666,0.0036166666666666665,0.008583333333333333,prx,"[859.22, 839.44]"
90,45752.09390946065,60522.04949592086,0.24404255489490145,69179.79653426041,2.783333333333333,0.0035666666666666668,0.009449999999999998,prx,"[595.64, 595.64]"
91,45752.09390946065,60522.04949592086,0.24404255489490145,63956.94641333686,2.8,0.0037,0.009233333333333335,prx,"[595.64, 871.13]"
92,46680.64295836954,60522.04949592086,0.2287002283107451,65006.53465451066,2.816666666666667,0.0033,0.008866666666666667,prx,"[595.64, 744.46]"
93,46698.278601015685,60522.04949592086,0.22840883628431796,70295.58776740305,2.8333333333333335,0.0030833333333333333,0.008583333333333333,prx,"[297.82, 217.72]"
94,47044.26519383055,60522.04949592086,0.22269213310429448,65578.62984002961,2.8333333333333335,0.0030499999999999998,0.00805,prx,"[297.82, 301.64]"
95,47227.82429103584,60522.04949592086,0.21965920380440918,63779.60881792017,2.85,0.00335,0.006166666666666667,prx,"[400.62, 400.62]"
96,47237.183748671305,60522.04949592086,0.2195045583865256,61284.52818454029,2.85,0.0030499999999999998,0.006966666666666666,prx,"[742.92, 742.92]"
97,47242.77746152652,60522.04949592086,0.21941213400728188,61153.419699199774,2.8666666666666667,0.0030499999999999998,0.0089,prx,"[1404.01, 1404.01]"
98,47724.9050621062,60522.04949592086,0.21144598605632448,63155.602739643306,2.8833333333333333,0.0036,0.008916666666666666,prx,"[2154.55, 2154.55]"
99,47757.304987128126,60522.04949592086,0.21091064521291647,67964.6678812857,2.9,0.0043,0.0076500000000000005,prx,"[2154.55, 1513.23]"
100,47942.47761410748,60522.04949592086,0.2078510557158384,63137.41799928087,2.9,0.0033333333333333335,0.007366666666666666,prx,"[3319.25, 3319.25]"
101,49976.21256123037,60522.04949592086,0.1742478488835919,61892.56971083958,2.933333333333333,0.0030499999999999998,0.0078000000000000005,prx,"[5744.33, 5744.33]"
102,49999.65895649063,56228.63390844675,0.11077941111104228,56228.63390844675,2.95,0.0032500000000000003,0.008333333333333333,prx,"[16229.1, 16229.1]"
103,50004.86910960269,56228.63390844675,0.1106867509706494,114943.83840224746,2.95,0.0035499999999999998,0.00545,prx,"[8114.55, -273753.5]"
104,50019.053933453375,56228.63390844675,0.11043448050158944,100858.87491820403,2.966666666666667,0.0037166666666666667,0.006716666666666667,prx,"[4057.27, -100414.63]"
105,50041.02890071381,56228.63390844675,0.11004366596933135,92655.90284854898,2.9833333333333334,0.004783333333333333,0.007233333333333333,prx,"[2028.64, -39656.9]"
106,50106.18434246002,56228.63390844675,0.10888490686000818,87722.94850460297,2.9833333333333334,0.0037833333333333334,0.008066666666666666,prx,"[1014.32, -16813.76]"
107,50116.14296186618,56228.63390844675,0.10870779746371073,62861.734125423296,3.0,0.0036166666666666665,0.00835,prx,"[507.16, -172.78]"
108,50138.24734799012,56228.63390844675,0.10831468127739319,65977.0407891664,3.0166666666666666,0.0038833333333333337,0.005833333333333333,prx,"[253.58, -609.24]"
109,50140.39890396043,56228.63390844675,0.10827641685905753,64125.19266398826,3.033333333333333,0.0038833333333333337,0.007233333333333333,prx,"[126.79, -150.65]"
110,50148.7331497322,56228.63390844675,0.10812819618940117,58714.68938588962,3.033333333333333,0.0036,0.0062,prx,"[126.79, 149.89]"
111,50152.61427113246,56228.63390844675,0.1080591722574562,56913.42768411814,3.05,0.0039000000000000003,0.0070999999999999995,prx,"[126.79, 225.0]"
112,50157.1825558066,56228.63390844675,0.10797792744753287,57014.356524683346,3.066666666666667,0.0036166666666666665,0.006666666666666667,prx,"[126.79, 220.76]"
113,50167.089172102846,56228.63390844675,0.10780174290226407,56632.64677650294,3.066666666666667,0.0038666666666666667,0.0067,prx,"[236.67, 236.67]"
114,50173.617606324915,56228.63390844675,0.10768563774785644,60631.50615026845,3.0833333333333335,0.0039000000000000003,0.008333333333333333,prx,"[236.67, 129.15]"
115,50180.01306019962,56228.63390844675,0.10757189758683594,69903.02613374242,3.1,0.0053,0.0072,prx,"[236.67, -596.77]"
116,50192.34525320926,56228.63390844675,0.1073525752922605,58964.526259288694,3.1166666666666667,0.004066666666666666,0.009183333333333333,prx,"[258.81, 258.81]"
117,50210.12064121138,56228.63390844675,0.10703644831626002,67688.97255480732,3.1166666666666667,0.005266666666666667,0.007816666666666666,prx,"[258.81, -468.05]"
118,50211.03454749722,56228.63390844675,0.10702019491968406,59750.28421952999,3.1333333333333333,0.0037,0.00695,prx,"[258.81, 214.69]"
119,50221.406123873836,56228.63390844675,0.10683574127648332,57388.29235870538,3.15,0.00445,0.00695,prx,"[417.69, 417.69]"
120,50232.42904740058,56228.63390844675,0.10663970372834197,57827.70158375685,3.1666666666666665,0.004433333333333333,0.006816666666666666,prx,"[612.57, 612.57]"
121,50238.86956843266,54658.254073592834,0.08085484214716843,54658.254073592834,3.1666666666666665,0.00445,0.006383333333333334,prx,"[1546.4, 1546.4]"
122,50288.19326438481,54658.254073592834,0.07995244054674877,57884.898899510314,3.183333333333333,0.0033833333333333337,0.008066666666666666,prx,"[773.2, 681.97]"
123,50289.628526981454,54658.254073592834,0.07992618170220711,55638.53204981431,3.2,0.0039000000000000003,0.006666666666666667,prx,"[773.2, 1170.19]"
124,50292.61617185767,54658.254073592834,0.07987152125015173,55526.97017275657,3.2,0.0033333333333333335,0.00725,prx,"[773.2, 1208.17]"
125,50333.27608596902,54658.254073592834,0.07912762785654648,55813.57693148508,3.216666666666667,0.0036166666666666665,0.01005,prx,"[773.2, 1079.14]"
126,50697.758757727104,54658.254073592834,0.07245923571823665,55391.56762536135,3.2333333333333334,0.0036166666666666665,0.0060999999999999995,prx,"[773.2, 1178.51]"
127,50701.59274960551,54658.254073592834,0.07238909092595613,56135.50065370165,3.25,0.0046500000000000005,0.006966666666666666,prx,"[773.2, 788.14]"
128,50701.59274960551,54245.83696262788,0.06533670437169481,54245.83696262788,3.2666666666666666,0.0039000000000000003,0.008416666666666666,prx,"[1758.56, 1758.56]"
129,50710.42679296043,54245.83696262788,0.06517385236590845,55603.72288283295,3.2666666666666666,0.0052833333333333335,0.006383333333333334,prx,"[1758.56, 2166.26]"
130,50718.89589810878,54151.85039261945,0.06339496193796856,54151.85039261945,3.283333333333333,0.005966666666666666,0.00815,prx,"[3610.84, 3610.84]"
131,50724.35749623694,53226.299288314054,0.047005743880946915,53226.299288314054,3.3,0.004966666666666666,0.006116666666666667,prx,"[9171.81, 9171.81]"
132,50729.24913647403,53226.299288314054,0.0469138411880583,53284.14755202622,3.316666666666667,0.005516666666666667,0.006416666666666667,prx,"[9171.81, 17918.66]"
133,50729.83385312407,53009.52251635391,0.043005266884389104,53009.52251635391,3.3333333333333335,0.0060999999999999995,0.00695,prx,"[19936.46, 19936.46]"
134,50731.13814502445,52891.34682861656,0.040842383737964116,52891.34682861656,3.35,0.006933333333333333,0.00835,prx,"[41941.2, 41941.2]"
135,50754.48995802303,52891.34682861656,0.04040087838030626,53179.57722211852,3.3666666666666667,0.0049833333333333335,0.005849999999999999,prx,"[41941.2, 72565.74]"
136,50760.065253965375,52891.34682861656,0.0402954680196963,53524.05837261921,3.3666666666666667,0.005833333333333333,0.0064,prx,"[41941.2, 58973.04]"
137,50760.88249826158,52825.79015681708,0.039089006570951046,52825.79015681708,3.3833333333333333,0.00525,0.007500000000000001,prx,"[86464.39, 86464.39]"
138,50766.4129438918,52324.29832663929,0.029773650723842415,52324.29832663929,3.4,0.005216666666666666,0.007233333333333333,prx,"[215039.74, 215039.74]"
139,50769.53473741462,52271.92704395471,0.02874185803934004,52271.92704395471,3.4166666666666665,0.005866666666666667,0.009649999999999999,prx,"[444566.46, 444566.46]"
140,50771.572738218005,52271.92704395471,0.028702869601020864,52982.57111391586,3.433333333333333,0.0064333333333333334,0.0076166666666666666,prx,"[444566.46, 467994.17]"
141,50771.730688073934,52271.92704395471,0.028699847905344744,52824.07957181052,3.45,0.0056,0.006116666666666667,prx,"[444566.46, 561884.4]"
142,50781.43162679772,52271.92704395471,0.02851426188867412,53510.64693956231,3.466666666666667,0.005866666666666667,0.006933333333333333,prx,"[222283.23, 150192.86]"
143,50785.46583950192,52271.92704395471,0.028437084464149276,52866.3781559297,3.466666666666667,0.005566666666666667,0.0061333333333333335,prx,"[222283.23, 266779.17]"
144,50791.30203617524,52271.92704395471,0.02832543377508223,53256.96033430788,3.4833333333333334,0.005716666666666667,0.007583333333333333,prx,"[148804.27, 148804.27]"
145,50792.66200564842,52271.92704395471,0.028299416569479097,52582.06750945707,3.5,0.005383333333333334,0.0062833333333333335,prx,"[148804.27, 235210.98]"
146,50796.97671975546,52271.92704395471,0.028216872949011096,52798.24968279147,3.5166666666666666,0.0052833333333333335,0.007333333333333333,prx,"[148804.27, 191407.63]"
147,50806.032357252014,51996.6427485401,0.022897832020539743,51996.6427485401,3.533333333333333,0.005849999999999999,0.007216666666666666,prx,"[353530.78, 353530.78]"
148,50814.39963488763,51996.6427485401,0.022736912445864843,53363.258824691584,3.533333333333333,0.005716666666666667,0.005816666666666666,prx,"[176765.39, -110502.88]"
149,50815.916765539034,51996.6427485401,0.022707734972643334,52095.82385010265,3.55,0.00555,0.006383333333333334,prx,"[176765.39, 323809.1]"
150,50820.99604385367,51996.6427485401,0.02261005023674212,52701.64019841935,3.566666666666667,0.0052833333333333335,0.0062833333333333335,prx,"[141277.89, 141277.89]"
151,50821.83829798018,51996.6427485401,0.02259385199620223,52131.36314799795,3.5833333333333335,0.0052833333333333335,0.007216666666666666,prx,"[141277.89, 250110.52]"
152,50825.818972492416,51790.14907614699,0.018619952266148543,51790.14907614699,3.5833333333333335,0.0064,0.00555,prx,"[332395.54, 332395.54]"
153,50826.83662379935,51790.14907614699,0.01860030275122948,51890.27974809411,3.6,0.006216666666666666,0.006683333333333334,prx,"[332395.54, 595668.63]"
154,50828.18344647487,51770.95252311023,0.0182103869194703,51770.95252311023,3.6166666666666667,0.005566666666666667,0.007766666666666667,prx,"[678062.37, 678062.37]"
155,50829.05974321588,51770.95252311023,0.018193460502274772,52826.363046629674,3.6333333333333333,0.005833333333333333,0.006666666666666667,prx,"[339031.18, -163446.2]"
156,50829.9393331085,51770.95252311023,0.018176470475053885,52587.21129343456,3.65,0.006116666666666667,0.007233333333333333,prx,"[169515.59, 89782.55]"
157,50833.42917028226,51770.95252311023,0.01810906130053269,52191.07134348904,3.6666666666666665,0.0060999999999999995,0.006966666666666666,prx,"[169515.59, 187023.85]"
158,50839.32193865486,51770.95252311023,0.01799523746524656,52066.74524514405,3.683333333333333,0.0060999999999999995,0.007500000000000001,prx,"[169515.59, 231263.98]"
159,50849.105250740504,51770.95252311023,0.01780626446767075,51957.6408200182,3.7,0.007500000000000001,0.00835,prx,"[169515.59, 270355.55]"
160,50854.82318254524,51770.95252311023,0.017695817749461717,51872.05404305419,3.716666666666667,0.00695,0.007233333333333333,prx,"[169515.59, 301598.58]"
161,50862.558017804586,51770.95252311023,0.017546412824839264,53044.18538660012,3.7333333333333334,0.006383333333333334,0.00855,prx,"[84757.8, -136254.22]"
162,50863.169752939764,51770.95252311023,0.017534596640176536,51779.37777597262,3.7333333333333334,0.005566666666666667,0.006666666666666667,prx,"[84757.8, 167941.18]"
163,50868.54975255727,51770.95252311023,0.017430677369710934,52544.48024275609,3.75,0.005833333333333333,0.0064,prx,"[42378.9, 23788.77]"
164,50872.67573761458,51770.95252311023,0.01735098045751937,52396.178837706895,3.7666666666666666,0.0071333333333333335,0.007316666666666667,prx,"[24934.24, 24934.24]"
165,50876.58777228749,51634.55520180081,0.014679460809742584,51634.55520180081,3.783333333333333,0.006766666666666667,0.0064,prx,"[57591.14, 57591.14]"
166,50876.611280213096,51571.77705845131,0.013479577743662374,51571.77705845131,3.8,0.006683333333333334,0.006116666666666667,prx,"[124841.15, 124841.15]"
167,50884.28720160767,51571.77705845131,0.013330738168367606,51684.22540095427,3.816666666666667,0.008233333333333334,0.007500000000000001,prx,"[124841.15, 208545.12]"
168,50891.5806327835,51561.492625113955,0.012992486412314652,51561.492625113955,3.8333333333333335,0.00695,0.007500000000000001,prx,"[253489.17, 253489.17]"
169,50894.55243149711,51561.492625113955,0.012934850402139042,51793.4133269601,3.85,0.006666666666666667,0.0064,prx,"[253489.17, 329697.14]"
170,50895.08404642761,51561.492625113955,0.012924540092963843,51632.547399623465,3.85,0.0064,0.006116666666666667,prx,"[253489.17, 452566.63]"
171,50898.11171832567,51561.492625113955,0.012865820460464583,51561.58360968202,3.8666666666666667,0.0064,0.00695,prx,"[253489.17, 506908.42]"
172,50900.45431399807,51561.492625113955,0.012820387414345658,51662.12157995085,3.8833333333333333,0.00835,0.007783333333333334,prx,"[253489.17, 429444.63]"
173,50900.80486972467,51561.492625113955,0.012813588625002037,51615.27767048606,3.9,0.006666666666666667,0.007516666666666667,prx,"[253489.17, 465486.33]"
174,50940.52576077285,51561.492625113955,0.012043229020849866,52722.507225995374,3.9166666666666665,0.006933333333333333,0.007783333333333334,prx,"[126744.59, -445303.72]"
175,50943.25218837044,51561.492625113955,0.011990351816200007,52585.95848849749,3.933333333333333,0.0069166666666666664,0.008083333333333333,prx,"[63372.29, -169721.45]"
176,50946.33251536194,51561.492625113955,0.011930610974058453,52377.25047998026,3.95,0.00695,0.006666666666666667,prx,"[31686.15, -43423.71]"
177,50947.578099252016,51561.492625113955,0.011906453723624755,51832.57081682859,3.966666666666667,0.006966666666666666,0.007216666666666666,prx,"[31686.15, 34672.03]"
178,50950.544736928874,51554.99178805877,0.011724316698851545,51554.99178805877,3.9833333333333334,0.006666666666666667,0.005433333333333333,prx,"[64068.9, 64068.9]"
179,50951.37141872456,51554.99178805877,0.011708281747297655,55762.26011988158,4.0,0.007316666666666667,0.007416666666666667,prx,"[32034.45, -764989.96]"
180,50952.53060407186,51554.99178805877,0.011685797302880219,53669.71959838139,4.016666666666667,0.007766666666666667,0.0061333333333333335,prx,"[16017.22, -160822.41]"
181,50953.7923078561,51554.99178805877,0.01166132433255318,52741.08074249471,4.033333333333333,0.008333333333333333,0.007533333333333334,prx,"[8008.61, -31165.38]"
182,50955.114167384905,51554.99178805877,0.011635684535455715,53017.52449051152,4.05,0.007216666666666666,0.006683333333333334,prx,"[4004.31, -23033.6]"
183,50958.80402167994,51554.99178805877,0.011564113303125678,52238.363342479905,4.066666666666666,0.008116666666666666,0.006533333333333334,prx,"[2002.15, -1171.2]"
