timestep_superordinate_dispatch,region_dispatch,technology,carrier,scenario,id,variable,value,objName
2030,FR,engine < enginePeak < gasEngine,none,none,none,capaConv,45.73454606601512,TheModel
2040,FR,engine < enginePeak < gasEngine,none,none,none,capaConv,45.73454606601512,TheModel
2030,LU,engine < enginePeak < gasEngine,none,none,none,capaConv,1.7341545379267822,TheModel
2040,LU,engine < enginePeak < gasEngine,none,none,none,capaConv,1.7341545379267822,TheModel
2030,NL,engine < enginePeak < gasEngine,none,none,none,capaConv,27.876448920589624,TheModel
2040,NL,engine < enginePeak < gasEngine,none,none,none,capaConv,27.876448920589624,TheModel
2040,DE,powerToX < h2Storage < h2StorageCavern,none,none,1,capaStOut,137.6556968328327,TheModel
2040,FR,powerToX < h2Storage < h2StorageCavern,none,none,1,capaStOut,98.83814574286006,TheModel
2040,NL,powerToX < h2Storage < h2StorageCavern,none,none,1,capaStOut,66.61517286555912,TheModel
2030,DE,powerToX < h2Storage < h2StorageCavern,none,none,1,capaStSize,0.0007073667089686275,TheModel
2040,DE,powerToX < h2Storage < h2StorageCavern,none,none,1,capaStSize,137655.69673851575,TheModel
2030,FR,powerToX < h2Storage < h2StorageCavern,none,none,1,capaStSize,0.0001261344809449498,TheModel
2040,FR,powerToX < h2Storage < h2StorageCavern,none,none,1,capaStSize,98838.1457260409,TheModel
2030,NL,powerToX < h2Storage < h2StorageCavern,none,none,1,capaStSize,0.00011827585923066881,TheModel
2040,NL,powerToX < h2Storage < h2StorageCavern,none,none,1,capaStSize,66615.17284978704,TheModel
2030,DE,powerToX < h2Storage < h2StorageCavern,none,none,1,expStSize,0.0007073667089686275,TheModel
2030,FR,powerToX < h2Storage < h2StorageCavern,none,none,1,expStSize,0.0001261344809449498,TheModel
2030,NL,powerToX < h2Storage < h2StorageCavern,none,none,1,expStSize,0.00011827585923066881,TheModel
2040,DE,powerToX < h2Storage < h2StorageCavern,none,none,1,expStSize,137655.6960311504,TheModel
2040,FR,powerToX < h2Storage < h2StorageCavern,none,none,1,expStSize,98838.14559990764,TheModel
2040,NL,powerToX < h2Storage < h2StorageCavern,none,none,1,expStSize,66615.17273151314,TheModel
2040,DE,powerToX < h2Storage < h2StorageCavern,none,none,1,expStOut,137.65569603115043,TheModel
2040,FR,powerToX < h2Storage < h2StorageCavern,none,none,1,expStOut,98.83814559990765,TheModel
2040,NL,powerToX < h2Storage < h2StorageCavern,none,none,1,expStOut,66.61517273151314,TheModel
2040,DE,powerToX < h2Storage < h2StorageCavern,none,none,1,capaStIn,137.6556968328327,TheModel
2040,FR,powerToX < h2Storage < h2StorageCavern,none,none,1,capaStIn,98.83814574286006,TheModel
2040,NL,powerToX < h2Storage < h2StorageCavern,none,none,1,capaStIn,66.61517286555912,TheModel
2040,DE,powerToX < h2Storage < h2StorageCavern,none,none,1,expStIn,137.65569603115043,TheModel
2040,FR,powerToX < h2Storage < h2StorageCavern,none,none,1,expStIn,98.83814559990765,TheModel
2040,NL,powerToX < h2Storage < h2StorageCavern,none,none,1,expStIn,66.61517273151314,TheModel
2030,AT,stock < power < reservoir,none,none,1,capaStOut,2.43,TheModel
2030,CH,stock < power < reservoir,none,none,1,capaStOut,8.152,TheModel
2030,DE,stock < power < reservoir,none,none,1,capaStOut,1.295,TheModel
2030,FR,stock < power < reservoir,none,none,1,capaStOut,8.477,TheModel
2040,AT,stock < power < reservoir,none,none,1,capaStOut,2.722,TheModel
2040,CH,stock < power < reservoir,none,none,1,capaStOut,8.152,TheModel
2040,DE,stock < power < reservoir,none,none,1,capaStOut,1.295,TheModel
2040,FR,stock < power < reservoir,none,none,1,capaStOut,8.434,TheModel
2030,AT,stock < power < reservoir,none,none,1,capaStSize,1749.9,TheModel
2030,CH,stock < power < reservoir,none,none,1,capaStSize,9218.4,TheModel
2030,DE,stock < power < reservoir,none,none,1,capaStSize,257.65,TheModel
2030,FR,stock < power < reservoir,none,none,1,capaStSize,6727.28,TheModel
2040,AT,stock < power < reservoir,none,none,1,capaStSize,1960.38,TheModel
2040,CH,stock < power < reservoir,none,none,1,capaStSize,9218.4,TheModel
2040,DE,stock < power < reservoir,none,none,1,capaStSize,257.65,TheModel
2040,FR,stock < power < reservoir,none,none,1,capaStSize,6694.34,TheModel
2030,BE,wind < onshore,none,none,none,expConv,5.189999431799295,TheModel
2030,DE,wind < onshore,none,none,none,expConv,86.46258732437134,TheModel
2030,FR,wind < onshore,none,none,none,expConv,112.57920878838725,TheModel
2040,FR,wind < onshore,none,none,none,expConv,29.522446219582797,TheModel
2030,LU,wind < onshore,none,none,none,expConv,0.44194682674673247,TheModel
2030,NL,wind < onshore,none,none,none,expConv,8.44999998992659,TheModel
2030,BE,wind < onshore,none,none,none,capaConv,5.189999431799295,TheModel
2040,BE,wind < onshore,none,none,none,capaConv,5.189999437200669,TheModel
2030,DE,wind < onshore,none,none,none,capaConv,86.46258732437134,TheModel
2040,DE,wind < onshore,none,none,none,capaConv,86.46258732878496,TheModel
2030,FR,wind < onshore,none,none,none,capaConv,112.57920878838725,TheModel
2040,FR,wind < onshore,none,none,none,capaConv,142.10165500777072,TheModel
2030,LU,wind < onshore,none,none,none,capaConv,0.44194682674673247,TheModel
2040,LU,wind < onshore,none,none,none,capaConv,0.4419468342998655,TheModel
2030,NL,wind < onshore,none,none,none,capaConv,8.44999998992659,TheModel
2040,NL,wind < onshore,none,none,none,capaConv,8.449999992574714,TheModel
2040,DE,ocgt < ocgtH2,none,none,none,expConv,92.64389774589652,TheModel
2030,FR,ocgt < ocgtH2,none,none,none,expConv,8.97391165264997,TheModel
2040,FR,ocgt < ocgtH2,none,none,none,expConv,107.67198839603572,TheModel
2040,NL,ocgt < ocgtH2,none,none,none,expConv,61.87865314400608,TheModel
2040,DE,ocgt < ocgtH2,none,none,none,capaConv,92.64390356959544,TheModel
2030,FR,ocgt < ocgtH2,none,none,none,capaConv,8.97391165264997,TheModel
2040,FR,ocgt < ocgtH2,none,none,none,capaConv,116.64590004848631,TheModel
2040,NL,ocgt < ocgtH2,none,none,none,capaConv,61.87865785429085,TheModel
2030,AT,stock < power < runOfRiver,none,none,none,capaConv,5.95,TheModel
2030,BE,stock < power < runOfRiver,none,none,none,capaConv,0.13,TheModel
2030,CH,stock < power < runOfRiver,none,none,none,capaConv,4.06,TheModel
2030,DE,stock < power < runOfRiver,none,none,none,capaConv,4.04,TheModel
2030,FR,stock < power < runOfRiver,none,none,none,capaConv,13.64,TheModel
2030,LU,stock < power < runOfRiver,none,none,none,capaConv,0.04,TheModel
2030,NL,stock < power < runOfRiver,none,none,none,capaConv,0.04,TheModel
2040,AT,stock < power < runOfRiver,none,none,none,capaConv,6.12,TheModel
2040,BE,stock < power < runOfRiver,none,none,none,capaConv,0.14,TheModel
2040,CH,stock < power < runOfRiver,none,none,none,capaConv,4.08,TheModel
2040,DE,stock < power < runOfRiver,none,none,none,capaConv,4.04,TheModel
2040,FR,stock < power < runOfRiver,none,none,none,capaConv,13.64,TheModel
2040,LU,stock < power < runOfRiver,none,none,none,capaConv,0.04,TheModel
2040,NL,stock < power < runOfRiver,none,none,none,capaConv,0.04,TheModel
2030,BE,ocgt < ocgtGas,none,none,none,expConv,1.008703046651521e-5,TheModel
2030,FR,ocgt < ocgtGas,none,none,none,expConv,1.0387455109089902e-5,TheModel
2030,BE,ocgt < ocgtGas,none,none,none,capaConv,1.0087030466515209e-5,TheModel
2040,BE,ocgt < ocgtGas,none,none,none,capaConv,1.0087030466515209e-5,TheModel
2030,FR,ocgt < ocgtGas,none,none,none,capaConv,1.0387455109089902e-5,TheModel
2040,FR,ocgt < ocgtGas,none,none,none,capaConv,1.0387455109089902e-5,TheModel
2030,BE,wind < offshore,none,none,none,expConv,1.7373350913876915,TheModel
2040,BE,wind < offshore,none,none,none,expConv,3.082460421655975,TheModel
2030,NL,wind < offshore,none,none,none,expConv,8.396285083181743,TheModel
2040,NL,wind < offshore,none,none,none,expConv,31.312067026321223,TheModel
2030,BE,wind < offshore,none,none,none,capaConv,1.7373350913876915,TheModel
2040,BE,wind < offshore,none,none,none,capaConv,4.819795512844315,TheModel
2030,NL,wind < offshore,none,none,none,capaConv,8.396285083181743,TheModel
2040,NL,wind < offshore,none,none,none,capaConv,39.708352109303604,TheModel
2040,DE,powerToX < electrolysis < alkElectrolysis,electricity,s2016,none,use,-185.5362110924946,TheModel
2040,DE,powerToX < electrolysis < alkElectrolysis,electricity,s2014,none,use,-78.44681631244025,TheModel
2030,FR,powerToX < electrolysis < alkElectrolysis,electricity,s2016,none,use,-21.87248396430224,TheModel
2030,FR,powerToX < electrolysis < alkElectrolysis,electricity,s2014,none,use,-22.426281372607438,TheModel
2040,FR,powerToX < electrolysis < alkElectrolysis,electricity,s2016,none,use,-162.07203949508465,TheModel
2040,FR,powerToX < electrolysis < alkElectrolysis,electricity,s2014,none,use,-144.5383049633713,TheModel
2030,NL,powerToX < electrolysis < alkElectrolysis,electricity,s2016,none,use,-1.0492738676647006e-5,TheModel
2030,NL,powerToX < electrolysis < alkElectrolysis,electricity,s2014,none,use,-1.063969345382892e-5,TheModel
2040,NL,powerToX < electrolysis < alkElectrolysis,electricity,s2016,none,use,-107.11107736362649,TheModel
2040,NL,powerToX < electrolysis < alkElectrolysis,electricity,s2014,none,use,-100.29882387961469,TheModel
2040,DE,ccgt < ccgtH2 < ccgtH2BackDh,h2,s2014,none,use,-0.5873985749319622,TheModel
2030,FR,ccgt < ccgtH2 < ccgtH2BackDh,h2,s2016,none,use,-0.2681345904986225,TheModel
2030,FR,ccgt < ccgtH2 < ccgtH2BackDh,h2,s2014,none,use,-0.2246490662871412,TheModel
2040,FR,ccgt < ccgtH2 < ccgtH2BackDh,h2,s2014,none,use,-3.2161952743447846,TheModel
2040,NL,ccgt < ccgtH2 < ccgtH2BackDh,h2,s2014,none,use,-2.366631792132677,TheModel
2030,AT,engine < enginePeak < gasEngine,gasFuel,s2016,none,use,-31.679951310740464,TheModel
2030,AT,engine < enginePeak < gasEngine,gasFuel,s2014,none,use,-15.78387808653774,TheModel
2030,BE,engine < enginePeak < gasEngine,gasFuel,s2016,none,use,-41.98713124683937,TheModel
2030,BE,engine < enginePeak < gasEngine,gasFuel,s2014,none,use,-3.725003038582987,TheModel
2030,CH,engine < enginePeak < gasEngine,gasFuel,s2016,none,use,-11.728979222632715,TheModel
2030,DE,engine < enginePeak < gasEngine,gasFuel,s2016,none,use,-231.5841920621928,TheModel
2030,DE,engine < enginePeak < gasEngine,gasFuel,s2014,none,use,-26.766390842233417,TheModel
2030,FR,engine < enginePeak < gasEngine,gasFuel,s2016,none,use,-61.356200842102524,TheModel
2030,FR,engine < enginePeak < gasEngine,gasFuel,s2014,none,use,-2.21346148634401,TheModel
2030,LU,engine < enginePeak < gasEngine,gasFuel,s2016,none,use,-3.3284214231281877,TheModel
2030,LU,engine < enginePeak < gasEngine,gasFuel,s2014,none,use,-0.24772154701361235,TheModel
2030,NL,engine < enginePeak < gasEngine,gasFuel,s2016,none,use,-48.33445074271556,TheModel
2030,NL,engine < enginePeak < gasEngine,gasFuel,s2014,none,use,-1.905491701755555,TheModel
2040,DE,ocgt < ocgtH2,h2,s2016,none,use,-139.28912716367614,TheModel
2040,DE,ocgt < ocgtH2,h2,s2014,none,use,-60.16576723273041,TheModel
2030,FR,ocgt < ocgtH2,h2,s2016,none,use,-15.546043824833406,TheModel
2030,FR,ocgt < ocgtH2,h2,s2014,none,use,-15.989934203354197,TheModel
2040,FR,ocgt < ocgtH2,h2,s2016,none,use,-116.1824530814432,TheModel
2040,FR,ocgt < ocgtH2,h2,s2014,none,use,-95.23621189606997,TheModel
2040,NL,ocgt < ocgtH2,h2,s2016,none,use,-70.1579519291402,TheModel
2040,NL,ocgt < ocgtH2,h2,s2014,none,use,-59.95993634185235,TheModel
2040,DE,powerToX < electrolysis < alkElectrolysis,h2,s2016,none,gen,134.1458326945938,TheModel
2040,DE,powerToX < electrolysis < alkElectrolysis,h2,s2014,none,gen,56.718380926815875,TheModel
2030,FR,powerToX < electrolysis < alkElectrolysis,h2,s2016,none,gen,15.814177497775331,TheModel
2030,FR,powerToX < electrolysis < alkElectrolysis,h2,s2014,none,gen,16.214582432424727,TheModel
2040,FR,powerToX < electrolysis < alkElectrolysis,h2,s2016,none,gen,117.18083799678497,TheModel
2040,FR,powerToX < electrolysis < alkElectrolysis,h2,s2014,none,gen,104.50365004973993,TheModel
2040,NL,powerToX < electrolysis < alkElectrolysis,h2,s2016,none,gen,77.44312864395307,TheModel
2040,NL,powerToX < electrolysis < alkElectrolysis,h2,s2014,none,gen,72.5177536416393,TheModel
2030,AT,engine < enginePeak < gasEngine,electricity,s2016,none,gen,15.070605418303668,TheModel
2030,AT,engine < enginePeak < gasEngine,electricity,s2014,none,gen,7.508616294248343,TheModel
2030,BE,engine < enginePeak < gasEngine,electricity,s2016,none,gen,19.973878162278492,TheModel
2030,BE,engine < enginePeak < gasEngine,electricity,s2014,none,gen,1.7720371608473362,TheModel
2030,CH,engine < enginePeak < gasEngine,electricity,s2016,none,gen,5.579642976403559,TheModel
2030,DE,engine < enginePeak < gasEngine,electricity,s2016,none,gen,110.16790857575286,TheModel
2030,DE,engine < enginePeak < gasEngine,electricity,s2014,none,gen,12.733154508310012,TheModel
2030,FR,engine < enginePeak < gasEngine,electricity,s2016,none,gen,29.188021275273414,TheModel
2030,FR,engine < enginePeak < gasEngine,electricity,s2014,none,gen,1.05297525056464,TheModel
2030,LU,engine < enginePeak < gasEngine,electricity,s2016,none,gen,1.5833776208105292,TheModel
2030,LU,engine < enginePeak < gasEngine,electricity,s2014,none,gen,0.11784467886439604,TheModel
2030,NL,engine < enginePeak < gasEngine,electricity,s2016,none,gen,22.993388724273107,TheModel
2030,NL,engine < enginePeak < gasEngine,electricity,s2014,none,gen,0.9064696243795686,TheModel
2030,BE,wind < onshore,electricity,s2016,none,gen,29.65284380478595,TheModel
2030,BE,wind < onshore,electricity,s2014,none,gen,37.55865381044738,TheModel
2040,BE,wind < onshore,electricity,s2016,none,gen,34.12437813121655,TheModel
2040,BE,wind < onshore,electricity,s2014,none,gen,29.864475657854182,TheModel
2030,DE,wind < onshore,electricity,s2016,none,gen,407.9757833412106,TheModel
2030,DE,wind < onshore,electricity,s2014,none,gen,489.07675887373756,TheModel
2040,DE,wind < onshore,electricity,s2016,none,gen,430.14897425713446,TheModel
2040,DE,wind < onshore,electricity,s2014,none,gen,500.3481940027746,TheModel
2030,FR,wind < onshore,electricity,s2016,none,gen,594.978850790879,TheModel
2030,FR,wind < onshore,electricity,s2014,none,gen,674.9604355948187,TheModel
2040,FR,wind < onshore,electricity,s2016,none,gen,790.668972334098,TheModel
2040,FR,wind < onshore,electricity,s2014,none,gen,783.8700316859083,TheModel
2030,LU,wind < onshore,electricity,s2016,none,gen,1.3588165482708539,TheModel
2030,LU,wind < onshore,electricity,s2014,none,gen,2.1436584281631794,TheModel
2040,LU,wind < onshore,electricity,s2016,none,gen,1.9124618145240284,TheModel
2040,LU,wind < onshore,electricity,s2014,none,gen,1.5949436454908064,TheModel
2030,NL,wind < onshore,electricity,s2016,none,gen,47.88167692562859,TheModel
2030,NL,wind < onshore,electricity,s2014,none,gen,63.766636743649244,TheModel
2040,NL,wind < onshore,electricity,s2016,none,gen,54.3719039912584,TheModel
2040,NL,wind < onshore,electricity,s2014,none,gen,39.53288688777273,TheModel
2040,DE,ocgt < ocgtH2,electricity,s2016,none,gen,57.804987772983004,TheModel
2040,DE,ocgt < ocgtH2,electricity,s2014,none,gen,24.968793401640934,TheModel
2030,FR,ocgt < ocgtH2,electricity,s2016,none,gen,6.451608187368623,TheModel
2030,FR,ocgt < ocgtH2,electricity,s2014,none,gen,6.6358226944435605,TheModel
2040,FR,ocgt < ocgtH2,electricity,s2016,none,gen,48.21571802885539,TheModel
2040,FR,ocgt < ocgtH2,electricity,s2014,none,gen,39.5230279369271,TheModel
2040,NL,ocgt < ocgtH2,electricity,s2016,none,gen,29.115550050649635,TheModel
2040,NL,ocgt < ocgtH2,electricity,s2014,none,gen,24.88337358192643,TheModel
2030,AT,stock < power < runOfRiver,electricity,s2016,none,gen,20.744346903858485,TheModel
2030,AT,stock < power < runOfRiver,electricity,s2014,none,gen,21.32993491856635,TheModel
2030,BE,stock < power < runOfRiver,electricity,s2016,none,gen,0.2981768324082039,TheModel
2030,BE,stock < power < runOfRiver,electricity,s2014,none,gen,0.2907856860646155,TheModel
2030,CH,stock < power < runOfRiver,electricity,s2016,none,gen,10.823303495744437,TheModel
2030,CH,stock < power < runOfRiver,electricity,s2014,none,gen,11.4743624671477,TheModel
2030,DE,stock < power < runOfRiver,electricity,s2016,none,gen,6.744551956806214,TheModel
2030,DE,stock < power < runOfRiver,electricity,s2014,none,gen,6.9284956739685395,TheModel
2030,FR,stock < power < runOfRiver,electricity,s2016,none,gen,22.590792529454873,TheModel
2030,FR,stock < power < runOfRiver,electricity,s2014,none,gen,22.48880755926297,TheModel
2030,LU,stock < power < runOfRiver,electricity,s2016,none,gen,0.1219410024172079,TheModel
2030,LU,stock < power < runOfRiver,electricity,s2014,none,gen,0.12235040565407437,TheModel
2030,NL,stock < power < runOfRiver,electricity,s2016,none,gen,0.09336530099239236,TheModel
2030,NL,stock < power < runOfRiver,electricity,s2014,none,gen,0.0935830656962022,TheModel
2040,AT,stock < power < runOfRiver,electricity,s2016,none,gen,22.345452900724954,TheModel
2040,AT,stock < power < runOfRiver,electricity,s2014,none,gen,20.28807221411793,TheModel
2040,BE,stock < power < runOfRiver,electricity,s2016,none,gen,0.42580080492789807,TheModel
2040,BE,stock < power < runOfRiver,electricity,s2014,none,gen,0.23249442023643507,TheModel
2040,CH,stock < power < runOfRiver,electricity,s2016,none,gen,12.16484380773259,TheModel
2040,CH,stock < power < runOfRiver,electricity,s2014,none,gen,9.640068342445117,TheModel
2040,DE,stock < power < runOfRiver,electricity,s2016,none,gen,8.932822181205744,TheModel
2040,DE,stock < power < runOfRiver,electricity,s2014,none,gen,5.09101239100432,TheModel
2040,FR,stock < power < runOfRiver,electricity,s2016,none,gen,27.478634279658955,TheModel
2040,FR,stock < power < runOfRiver,electricity,s2014,none,gen,15.881006772353167,TheModel
2040,LU,stock < power < runOfRiver,electricity,s2016,none,gen,0.16463865880457143,TheModel
2040,LU,stock < power < runOfRiver,electricity,s2014,none,gen,0.08718957096656811,TheModel
2040,NL,stock < power < runOfRiver,electricity,s2016,none,gen,0.12032987139557115,TheModel
2040,NL,stock < power < runOfRiver,electricity,s2014,none,gen,0.06669049562246702,TheModel
2030,BE,wind < offshore,electricity,s2016,none,gen,8.674938688112407,TheModel
2030,BE,wind < offshore,electricity,s2014,none,gen,11.249856300543655,TheModel
2040,BE,wind < offshore,electricity,s2016,none,gen,31.664088906255984,TheModel
2040,BE,wind < offshore,electricity,s2014,none,gen,27.184384515339655,TheModel
2040,DE,wind < offshore,electricity,s2016,none,gen,2.0223479227336558e-5,TheModel
2040,DE,wind < offshore,electricity,s2014,none,gen,1.2967402909344742e-5,TheModel
2030,NL,wind < offshore,electricity,s2016,none,gen,47.88743376461473,TheModel
2030,NL,wind < offshore,electricity,s2014,none,gen,63.72355860841855,TheModel
2040,NL,wind < offshore,electricity,s2016,none,gen,257.40022419886196,TheModel
2040,NL,wind < offshore,electricity,s2014,none,gen,264.19871091234535,TheModel
2030,AT,stock < power < pumpedStorage,electricity,s2016,none,stIn,-8.984020491466179,TheModel
2030,AT,stock < power < pumpedStorage,electricity,s2014,none,stIn,-7.759598896494032,TheModel
2040,AT,stock < power < pumpedStorage,electricity,s2016,none,stIn,-3.996516018469504,TheModel
2040,AT,stock < power < pumpedStorage,electricity,s2014,none,stIn,-16.181324018811072,TheModel
2030,BE,stock < power < pumpedStorage,electricity,s2016,none,stIn,-6.895533555450766,TheModel
2030,BE,stock < power < pumpedStorage,electricity,s2014,none,stIn,-7.212257850471723,TheModel
2040,BE,stock < power < pumpedStorage,electricity,s2016,none,stIn,-1.2329433202312359,TheModel
2040,BE,stock < power < pumpedStorage,electricity,s2014,none,stIn,-12.1021135538474,TheModel
2030,CH,stock < power < pumpedStorage,electricity,s2016,none,stIn,-11.18769479955108,TheModel
2030,CH,stock < power < pumpedStorage,electricity,s2014,none,stIn,-7.676104110513406,TheModel
