timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,gen; ocgtH2Chp,gen; pvOpenspace_b,gen; onshore_c,gen; onshore_b,gen; pvInd_a,gen; runOfRiver,gen; nuclearPowerFlexChp_HTR,gen; onshore_a,stExtOut; reservoir,gen; pvOpenspace_c,gen; pvOpenspace_a,stExtOut; pumpedStorage,gen; pvInd_b,gen; nuclearPowerFlexChp_SFR,gen; offshore_a,gen; nuclearPowerFlexChp_LWR,gen; nuclearPowerFlexChp_SMR,import,demand,use; heatpumpGroundSpace,use; bevPsngRoadPub,use; heatpumpPro,use; heatpumpAirSpace,use; directAirCapture,use; eBoilerProLow,use; oberFrtRoadHeavy,use; alkElectrolysis,use; eFrtRail,use; bevFrtRoadLight,use; liquifaction,use; eBoilerDh,use; eBoilerProHigh,use; bevFrtRoadHeavy,use; resistiveHeatSpace,stExtIn; pumpedStorage,use; ePsngRail,use; heatpumpAirDh,use; bevPsngRoadPrvt,export
30th < 2040,30th < 2040 < d001 < hh0002 < h0008,EU < IT < it_cs,,9.373141167701796,349.79248098552193,,,10.312613919747989,29.972808674586233,,19.460807426414156,10.165316141717462,42.54578320209288,,,,,186.1569788083288,,348.85753892217406,-496.05290649818795,-40.241087855063576,-16.116431697580754,-40.926643004616686,,,,-30.204687087114213,-49.00310425212766,-0.898251528808125,-20.372949562174394,,,-13.325051202952524,,-54.672812022365235,,-7.915668562212909,-24.871160086301977,-28.467067447779154,-183.5697471200691
30th < 2040,30th < 2040 < d001 < hh0002 < h0008,EU < IT < it_n,,1.7601223368869012,268.1704411606525,,,87.36543822602641,124.10162122706903,103.89275023964457,482.73811713160865,29.141760365885467,49.01933487712757,,,,,428.0549092011372,,334.46930078567914,-1305.6381003220006,-40.471756420833366,,-115.55943937543303,,,,-86.39540829614164,-140.0144280290125,-2.5693101881127425,,,,-38.09957616814328,,-15.222715690221724,,-16.90448493842422,-82.9975168188888,,-64.83974293010182
30th < 2040,30th < 2040 < d001 < hh0002 < h0008,EU < SI < si,,0.765256765888471,,,,24.742897089582975,22.936989486480368,,,1.6178373639035841,,,,1.4685414224601323,,,,448.59374990593636,-135.56232084684427,,,-6.098648424170321,,,,-38.50168342144179,,-3.5871489157138705,,,,,,,,-0.3409809792777643,-12.172011976104365,,-303.8619255837666
30th < 2040,30th < 2040 < d001 < hh0002 < h0008,nonEU < BA < ba,,11.710002795720508,,,,35.93097048143541,41.18887379582878,338.76610216221206,56.94373770552109,,,,,,,,,0.001979439380972045,-87.43842429205083,,-0.2302487380032357,-11.099097393954004,,,,-8.242766636010751,-0.31986441764883794,-0.9237197351762496,-0.21455850236448945,,-0.24539526028633304,,,-0.21647761735724536,,-0.077685104225021,-11.186449383412485,-0.2391328109597646,-364.1075984896713
30th < 2040,30th < 2040 < d001 < hh0002 < h0008,nonEU < ME < me,,8.714564880235036,,135.9387709600802,,2.3698793503043585,2.531639565138245,,,,,,,,,,,177.25696953845642,-25.93128994497322,-0.0012339971458082352,-0.13652999311430022,-1.8287552867743346,,,,-2.2503732932401754,-6.8290044326474435,-0.25217921947106237,-0.23867898002250698,,-1.2365856952911383,,,-2.493133913046449,,-0.03464413666176511,-2.2800411526445816,-4.561657316863289,-278.73818766558213
30th < 2040,30th < 2040 < d001 < hh0002 < h0008,nonEU < MK < mk,,16.62846594941426,,,,11.133994896535617,0.027350170268503407,,,,,,,,,,,216.89156077527005,-47.70076880325446,,-8.372192754323361,-7.327413532545393,,,,-5.180355399873631,-11.266992714425763,-0.580530902979813,-1.4545365391655583,,-25.802708566238792,,,-78.67498128891468,,-0.03652311497256974,-6.789923356182753,-43.76084339680502,-7.734635099693736
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,EU < AT < at,,16.25658916398054,526.3002497609241,599.044360260535,,275.5789746802325,59.298979357217476,,68.28529695529842,23.43818198949485,60.85107925526029,392.4141414215439,,10.251630281367852,,14.627443186365705,,151.8746490030124,-768.6617885031078,-145.53309016348655,,-62.92840447245775,,,,-46.707144986291866,,-3.862761545678119,,,-145.35714199785093,,,-17.329499065158235,,-9.807459717996128,-82.35698221660493,,-915.676084649286
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,EU < DE < de,,43.33095789919438,896.8420716740047,2279.376713648003,,136.45814549277677,306.71898753803,929.4630193101258,23.789099132380926,92.61127396409444,59.645733969670445,22.0650642840276,,289.5914448973236,,2677.129166150844,,1475.8621801361332,-5604.8117876940305,-761.208043862715,-0.01245778183097283,-425.54480258372297,-120.19760810812336,,,-553.582936357964,-0.020089223550939495,-26.07895462898154,-0.012397454609113335,,,-63.21663631217557,,,,-71.11580863335524,-383.1418389245578,-0.01352451165890921,-1223.927363793513
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,EU < DK < dk_w,,11.814994511381425,165.88421319415352,,,,4.776849730051179,,,,,,,4.26732649580315,,,,343.6583454869767,-170.39588477435137,-62.79552764505694,-5.871067092683412,-14.50701870879776,,,,-13.045399798760211,-31.006582450840668,-0.2987223355565461,-1.4970530423014548,,-1.3018392882358372,,,-20.308797200635944,,-2.594884453422835,-22.106793514247528,-58.74336993434104,-125.9292883852082
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,EU < ES < es,,154.487883513514,2240.3907018899095,169.4814897001372,,81.23570970398833,404.8647029178262,17.718711295149827,73.84817785384648,124.31837354426165,172.8374238305486,,,35.814011122138986,,,,807.4684187539993,-2606.9874014368206,-8.896103309570467,-5.886193840598486,-94.1745867325822,,,,-390.4610876996594,-8.688815272912706,-3.5112736055538667,-5.95261443880186,,-1021.2178042032612,-17.81896648524716,,-17.501784953760424,,-21.700027244353358,-58.23141857270554,-6.066887354353584,-15.370794770211408
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,EU < FR < fr,,173.85628224873196,1330.3296304674582,1067.2022653314527,,546.5383490568008,210.10371177934746,742.7320274780063,30.55190877219552,162.1893881152231,94.6026535653256,,,490.71219904592755,,296.8273816802857,,1450.4995284473741,-4749.34180078569,-245.807252623589,-52.34927300271668,-146.39603206985143,-79.75985305896631,,,-307.7033053128969,-68.23342211239951,-6.009526582267163,-41.028443708777885,,,-11.397495216828942,,,,-66.28970757739606,-428.3214903416988,-357.99899384565924,-35.50855682551878
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,EU < FR < fr_co,,4.204551945213706,20.933788613303136,,,,0.054848952752815046,,,4.714825718893931,2.539941844320948,,,0.07975271256728203,,,,27.125928944888386,-22.643278674593628,-2.6610704886904486,-0.456629303566932,-0.3128312965961481,,,,-1.2571359600633918,,-0.02453971678473019,-0.2500748534476234,,,,,,,-0.35111170236560785,,-5.113136143808096,-26.583539749063004
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,EU < HR < hr,,32.58221195488232,,,,24.861608565279877,10.857337718840695,336.4051694415504,153.48627325628715,15.443092970941716,11.165509868157317,,,2.4308328199621805,,,,421.3296866077128,-175.3747062201744,-1.7025576965355256,,-6.108061218637863,,,,-22.190906148389015,,-1.1049441116646974,,,-38.39596191019868,,,-0.8028984758478654,,-0.5559900890230692,-24.999216783194992,,-737.3238157646824
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,EU < IT < it_cn,,76.51809123477543,276.9767532551559,,,5.776071630458344,33.6928784775261,140.99533730344598,3.404979751809521,,52.828854632632606,,,,,29.97422283406271,,152.26186290265392,-312.2111411858978,-5.60063089250133,-5.7336604471717605,-21.73058802908442,,,,-18.096394542944246,-31.18961824390793,-0.5381667693399712,-6.720335846219652,,-178.20060050864438,-6.950596297232933,,,,-4.198144388017252,-24.847513216106165,-8.78069065499737,-147.63104448622647
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,EU < IT < it_cs,,26.94456186479644,487.0139499921233,,,10.204401260159356,25.59103158996699,,14.318568768592979,29.978519762885476,123.95075129222758,,,,,100.74370441252091,,530.2734227175163,-606.4787386911526,-71.00392809357164,-25.717361018285235,-41.21492505801647,,,,-33.914152770130435,-49.00311959128678,-1.0085666335870813,-40.813673726498095,,,-13.102300778807535,,-109.64814796438004,,-8.887799172438163,-24.87116102752914,-156.41305663211833,-166.94218771398488
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,EU < IT < it_n,,3.215312157074009,342.48248651060953,,,86.44869322065502,144.39682474532677,119.07981542429113,287.20042884545666,46.35827537870964,93.9159696580215,,,,,536.4644314614007,,493.8886715196775,-1596.2848677982554,-48.05064645014919,,-116.65922829106381,,,,-97.00570865516885,-140.01443333812202,-2.884849559348081,,,,-37.243238817590104,,-13.328337634953575,,-18.98054043892635,-82.99751822727754,,
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,EU < PT < pt,,4.982752428743582,,633.1236923956984,,21.641273364751402,,941.7632957371919,,,24.813239707108462,,,15.870655893435327,,,,,-501.4209823388475,,-7.687075963883648,-29.66486556788072,,,,-55.522845323724226,-0.005856441156830338,-1.578080374099044,-6.290999834162145,,-102.73357066622661,-4.965080656912034,,-68.57185528236107,,-2.8312104409506085,-11.985769891852227,-34.21785781798787,-814.7192409893933
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,EU < RO < ro,,0.001230973099682358,,443.95045217307836,,114.11525953054685,30.184055871126656,1165.8108033215804,101.14266779508469,73.132352021156,538.2776166800065,,,,,,,,-629.5016897893697,-0.004665627362165939,-15.723284247105763,-41.70004109776477,,,,-109.9963291977227,-190.28860771708287,-12.32659803388806,-8.608046740805184,,-203.50438923943278,,,-611.3316976775546,,-3.050889942770642,-41.63293534852356,-58.009764445791255,-540.9367587568572
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,EU < SI < si,,1.3773020247367578,,,,23.87601253537654,11.44937249944353,,,3.1331041099563213,,,,0.3873879014465311,,,,516.0057534957092,-150.56141070997424,-6.010557678178828,-1.0778061582390783,-6.5481416600717965,,,,-43.23011093265155,,-4.027690006715147,-1.0482510506020912,,-26.015579703480988,,,,,-0.38285717013331333,-12.172014912850615,-1.2898408637484582,-303.862962053908
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,nonEU < BA < ba,,27.792195871937114,,,,34.46468717129663,10.353049665450163,464.4670045345923,50.89781954778672,,,,,,,,,,-100.78901057993198,,-1.5827388080145188,-11.907551195224345,,,,-9.255068464571565,-3.364056238363516,-1.037162614040667,-0.6795739501931528,,-22.28596318060926,,,-58.88985609953312,,-0.08722568404871307,-11.186449170214203,-1.950205590440878,-364.96065826884956
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,nonEU < ME < me,,15.06985233933384,,202.45925285410638,,2.4205588169405217,1.1667003389795894,,,,,,,,,,,129.52826479434987,-29.890623919360657,-0.0031882554043908074,-0.13067173912547916,-1.8688682173247684,,,,-2.5267437281059575,-6.8981467366417615,-0.2831495837029368,-0.23112428049605882,,-1.2366479773348373,,,-15.097089132466191,,-0.038898815271541765,-2.2800409843364013,-11.421989655768813,-278.7380321972495
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,nonEU < MK < mk,,42.35811950871686,,,,11.005261494330824,1.1234189476104852,,,,,,,,,,,199.94148881626987,-54.983988223803806,,-7.691529473899377,-7.167845756547716,,,,-5.8165596593727145,-11.267268486655084,-0.6518264425205199,-1.2602044620149349,,-25.802709864450822,,,-77.55397894356685,,-0.04100855265437251,-6.789923798779204,-40.5435712823637,-14.85903206342399
30th < 2040,30th < 2040 < d001 < hh0003 < h0009,nonEU < UK < uk,,39.582307663857364,318.93507487201003,690.0091532352841,,50.57580489521965,71.04789311042441,3962.817598218253,,24.916832769749753,54.959969098094966,,,1933.8362637615883,,54.0245325122363,,458.9734962310124,-2431.821314068589,-359.5149598481503,-49.23481598962777,-173.0697216930501,-133.73416522804723,-56.94036933786038,,-277.31727463741936,-1445.610977194979,-5.076902437649462,-97.84613973026221,,,,,,,-47.69957711952283,-855.6590399653483,-1131.3530756839368,-594.7995604428019
30th < 2040,30th < 2040 < d001 < hh0003 < h0010,EU < AT < at,,35.357793703954314,359.25574743421816,446.5806035062268,,275.0142907695496,76.89172782349095,,126.89649022154447,47.56311132103228,115.47070987259903,426.9073889940505,,10.59576174860769,,16.02290275774096,,167.29197950828444,-703.8917951610603,-126.76936609074771,,-62.90368345392491,,,,-41.41548897050901,,-3.4251324553810907,,,-142.20838197233942,,,-16.504888851793954,,-8.696329863420049,-82.35698220740511,,-915.675337889106
30th < 2040,30th < 2040 < d001 < hh0003 < h0010,EU < DE < de,,110.21411907151504,790.8311549423328,2964.879708322165,,144.78213018994822,265.51708450464974,1314.8174267616741,25.418205327603054,229.29012034615386,140.09859369611272,13.709113307186863,,283.4812401276338,,1275.09326228477,,1529.6095421888272,-5171.352291322757,-1150.8350202204617,-0.012448030667171012,-425.60257505168187,-134.93925995550677,,,-490.86511285851645,-0.022949129990957207,-23.124356201090464,-0.012377788128743775,,,-63.21864822065832,,,,-63.05878873452811,-383.1418390231672,-0.01620151932510884,-1181.5401616320491
30th < 2040,30th < 2040 < d001 < hh0003 < h0010,EU < DK < dk_w,,44.84683804037842,128.0953338482276,,,,4.784805388379705,,,,,,,4.313168312056233,,,,332.9742796446152,-157.2179731520217,-61.35855610551506,-5.447743047976919,-14.50659200500502,,,,-11.567429600760269,-29.413391054928038,-0.26487878026194533,-1.3651777778598957,,-1.2812046143437088,,,-20.15740169355092,,-2.3008986846021036,-22.10679350834407,-55.76268315867071,-132.26413909484032
30th < 2040,30th < 2040 < d001 < hh0003 < h0010,EU < ES < es,,465.1653532100993,1603.2969106596124,198.86598170200708,,79.6191131494076,41.28211432384391,9.72175627089436,105.80677264247751,445.6904521585394,545.4886016942409,,,19.35792968913342,,,,568.6173692777323,-2400.315423163558,-13.510697434445566,-7.588268753009266,-94.63969181236874,,,,-346.2240493565662,-11.341562311618329,-3.1134661158573365,-7.759506246344347,,-1021.2182651584543,-17.833320805829107,,-65.28796098420216,,-19.24153658422126,-58.23141865570527,-7.6607250476232505,-8.947347618133678
30th < 2040,30th < 2040 < d001 < hh0003 < h0010,EU < FR < fr,,632.5605376232545,953.306782482766,1481.295446773563,,559.2372657197022,165.07400407296583,756.793688588313,28.639014867507537,522.4334353050501,321.10317761018837,,,490.71339241424664,,165.31958742401568,,1444.3193925377786,-4345.1690130292645,-419.04293795056674,-55.46367678855096,-146.3598436977,-94.41086188571698,,,-272.84225681350495,-68.12830231961314,-5.328681124888125,-42.54340223896037,,,-11.397783818137382,,,,-58.77945770043688,-428.32149050429365,-1543.0279476374726,-29.98045179976056
30th < 2040,30th < 2040 < d001 < hh0003 < h0010,EU < FR < fr_co,,9.793184970809515,24.40777677064816,,,,0.054397708812131,,,10.667424111777992,5.603396869627583,,,0.07944549038147387,,,,27.125894176485033,-20.71631754020271,-3.634443307195769,-0.43854325951164125,-0.3128243005070936,,,,-1.114709548265394,,-0.02175950532056049,-0.23204821481650822,,,,,,,-0.3113327273805166,,-12.803902124179933,-38.14551743682171
30th < 2040,30th < 2040 < d001 < hh0003 < h0010,EU < HR < hr,,77.9838917383299,,,,25.638931463987156,11.69602577168244,224.30835100871937,153.48568359784542,40.024027398979335,32.34771568117792,,,2.4663159644059327,,,,421.10685633424157,-168.20751395410983,-1.7728827223550851,,-6.108594658285346,,,,-19.676801677857597,,-0.9797601776582329,,,-38.39598796348463,,,-0.8236712660348293,,-0.4929995487072769,-24.999216782706586,,-727.597845899362
30th < 2040,30th < 2040 < d001 < hh0003 < h0010,EU < IT < it_cn,,190.40030294048034,269.66951505952466,,,5.841027042572814,11.217057797140484,136.3077476072247,3.5288223921407105,,137.05198524845312,,,,,7.378312462652078,,163.68968196419277,-295.8818485029663,-14.041783358665553,-12.387117777632527,-21.768360399496146,,,,-16.046175136999917,-31.190436050870826,-0.47719551058912946,-20.69321857190147,,-178.20060314204895,-6.954411901596333,,,,-3.7225183138374556,-24.847513248647154,-151.24258479630058,-147.631031152157
30th < 2040,30th < 2040 < d001 < hh0003 < h0010,EU < IT < it_cs,,64.90545538020345,283.71126987286186,,,10.319155828129748,24.388299101395596,,15.28121173782077,79.74561632622054,310.94453983350206,,,,,79.3966944805009,,561.2914152440533,-574.7586380168265,-80.61320197826886,-25.016550755654215,-41.21545311152162,,,,-30.07187059726567,-49.00312672890626,-0.8943017241068444,-40.90059810152295,,,-13.102721621302198,,-134.82862377245377,,-7.880861669156691,-24.871161115952237,-261.15141749823647,-145.6754242058427
30th < 2040,30th < 2040 < d001 < hh0003 < h0010,EU < IT < it_n,,11.900945919642895,454.0951379385549,,,87.42085924186193,81.0323857567398,136.27499343284336,205.23622799929169,201.4696234927311,316.0160018168164,,,,,116.51721528602904,,488.56949474527846,-1512.7958458735338,-86.44232515652809,,-116.78726671895922,,,,-86.0155091488394,-140.014442122239,-2.558012379943664,,,,-37.249644511809244,,-16.840727721121986,,-16.830152291118722,-82.99751801153786,,
30th < 2040,30th < 2040 < d001 < hh0003 < h0010,EU < PT < pt,,47.90680507482583,,384.4943164147575,,18.236174137713324,,639.8233963468064,,,104.46306759002564,,,64.8831404895084,,,,,-461.6702469457348,,-3.981002523892954,-29.558741390346473,,,,-49.23242019590073,-0.005435854933852751,-1.399292770886711,-3.5616852576631524,,-102.73359786573641,-4.960632478537921,,-8.298055512815562,,-2.5104502710408316,-11.985769873508495,-6.18709645286511,-573.7233433939242
30th < 2040,30th < 2040 < d001 < hh0003 < h0010,EU < RO < ro,,0.0024393756441278306,,264.98601670808137,,114.13967813989223,29.494761408235888,914.8066592496635,101.78482711457313,125.82101366110602,894.7078755333039,,,,,,,,-589.0320213149786,-0.004661258291255042,-15.123527474148391,-41.69818128761364,,,,-97.53436567406928,-191.16973115514062,-10.930064020530898,-8.145001596440725,,-203.52556819662664,,,-635.4254750987017,,-2.7052413246867935,-41.63293550971954,-64.9203122125398,-543.8977420155607
