i,low,best,gap,solCur,time
39,10099.667573654924,663178.6127248824,0.98477081832878,663186.6142239496,0.2
40,10586.366520244836,663178.6127248824,0.9840369301465448,663648.2324198821,0.2
41,10809.730401544191,663178.6127248824,0.9837001221177369,671388.4180699632,0.2
42,10818.105035273287,663178.6127248824,0.9836874940963135,670258.4145063873,0.21666666666666667
43,10819.938330657478,663178.6127248824,0.9836847296896378,671736.3236012848,0.21666666666666667
44,10842.848371645345,663178.6127248824,0.9836501838816937,671421.3615589713,0.21666666666666667
45,10900.584538122017,663178.6127248824,0.9835631241283046,673435.8878811352,0.21666666666666667
46,10914.526299478917,663178.6127248824,0.9835421014941463,674892.6999532755,0.23333333333333334
47,10947.723837866855,663178.6127248824,0.9834920432779268,664547.6602242277,0.23333333333333334
48,11229.216264935318,663178.6127248824,0.9830675838311546,697786.8927165266,0.23333333333333334
49,11242.738145822459,663178.6127248824,0.9830471943303056,697082.7219382018,0.23333333333333334
50,11296.365297705785,663178.6127248824,0.9829663305164636,713760.7831793041,0.25
51,11333.396856192043,663178.6127248824,0.982910491021981,711615.437516776,0.25
52,11423.921224286589,663178.6127248824,0.9827739902869489,683340.0700107345,0.25
53,11431.588977008305,663178.6127248824,0.982762428163903,682848.9019711892,0.25
54,11472.236231222862,663178.6127248824,0.9827011366001605,676603.9028501607,0.26666666666666666
55,11487.196563508342,663178.6127248824,0.9826785780736964,675288.3797278116,0.26666666666666666
56,11810.065984196019,659239.5546503946,0.9820853195156667,659239.5546503946,0.26666666666666666
57,11834.066798584236,659239.5546503946,0.9820489126978128,659281.2158084521,0.26666666666666666
58,13052.897436771804,659239.5546503946,0.9802000693910213,687356.3330229941,0.2833333333333333
59,13076.813722045938,659239.5546503946,0.980163790795319,685673.901811488,0.2833333333333333
60,13185.600038681596,659239.5546503946,0.9799987729108971,668522.0437074084,0.2833333333333333
61,13209.530972461764,659239.5546503946,0.9799624720948866,665687.6750483592,0.3
62,13241.179997128864,659239.5546503946,0.9799144637124347,661657.4166728851,0.3
63,13270.252891951892,659239.5546503946,0.9798703630594658,661805.3156322881,0.3
64,13298.767223323819,659239.5546503946,0.9798271096909887,661714.9976946379,0.31666666666666665
65,13913.082699513974,659239.5546503946,0.9788952549928648,663759.3285718004,0.31666666666666665
66,13941.538435255965,659239.5546503946,0.9788520905080561,664211.1579407287,0.31666666666666665
67,14225.947725976115,659239.5546503946,0.9784206702622382,676503.1917615647,0.31666666666666665
68,14267.769125734692,659239.5546503946,0.9783572314114235,677721.2888762321,0.3333333333333333
69,14394.826970131908,659239.5546503946,0.9781644974598562,681011.3259652363,0.3333333333333333
70,14426.46744817078,659239.5546503946,0.9781165020417785,681043.6063278879,0.3333333333333333
71,14582.79411029914,659239.5546503946,0.9778793702419257,666906.4398842343,0.35
72,14747.435024839562,659239.5546503946,0.9776296265586485,667254.4307833054,0.35
73,14774.867697855805,659239.5546503946,0.977588013956943,664290.560890777,0.35
74,15038.331023283916,659239.5546503946,0.9771883666306113,676289.6237653061,0.35
75,15069.379958747204,659239.5546503946,0.9771412685230353,676320.6650993013,0.36666666666666664
76,15183.67090287147,659239.5546503946,0.9769679006731876,663474.7613379197,0.36666666666666664
77,15213.633851993014,659239.5546503946,0.9769224498975019,663506.0866775538,0.36666666666666664
78,15255.62717469203,659239.5546503946,0.9768587502569042,663235.1821004554,0.38333333333333336
79,15645.000379882256,530438.7992794829,0.9705055504968084,530438.7992794829,0.38333333333333336
80,16007.94666051393,395927.97275914147,0.9595685383152955,395927.97275914147,0.38333333333333336
81,16021.92858821825,375710.2835660856,0.9573556293531686,375710.2835660856,0.4
82,16349.541133000674,375710.2835660856,0.9564836475120733,441291.8853298484,0.4
83,16615.9764994198,375710.2835660856,0.9557744963973095,384944.2008798565,0.4
84,17096.634084012432,375710.2835660856,0.9544951660046718,704278.3713355844,0.4166666666666667
85,17115.176873561275,375710.2835660856,0.9544458120466889,384061.4034284755,0.4166666666666667
86,17133.20848681321,375710.2835660856,0.9543978186484758,449709.32309779746,0.4166666666666667
87,17210.23275466527,375710.2835660856,0.9541928089076698,380863.7922569688,0.43333333333333335
88,17860.920109108025,375710.2835660856,0.9524609229761304,607285.5105561969,0.43333333333333335
89,17870.297498737684,375710.2835660856,0.9524359638785496,607293.4748715993,0.43333333333333335
90,17917.000187784626,375710.2835660856,0.952311658819333,542147.084386568,0.45
91,17930.895321553424,375710.2835660856,0.952274675179607,576950.2464897775,0.45
92,18244.082084767822,361806.1690169541,0.949574983383125,361806.1690169541,0.45
93,18349.09478359198,360124.1433391951,0.949047862735742,360124.1433391951,0.4666666666666667
94,18584.542343004494,360124.1433391951,0.9483940671939343,724611.1629205159,0.4666666666666667
95,18599.66247577536,360124.1433391951,0.9483520813036502,633895.4602780687,0.4666666666666667
96,18635.510900721652,360124.1433391951,0.9482525366726964,594034.2546301445,0.48333333333333334
97,18694.434706718144,360124.1433391951,0.9480889158572461,537178.9225988784,0.48333333333333334
98,18931.126138542102,360124.1433391951,0.9474316663053852,566106.2808768817,0.5
99,18992.81385167577,360124.1433391951,0.9472603706167327,620745.1400809119,0.5
100,19033.74419686817,360124.1433391951,0.9471467144069244,554953.3741867641,0.5
101,19044.736429367345,360124.1433391951,0.9471161909535474,557979.031034529,0.5166666666666667
102,19088.442741063944,360124.1433391951,0.9469948263838427,564260.6399862141,0.5166666666666667
103,19197.83414317833,360124.1433391951,0.9466910661274487,574808.5817768594,0.5166666666666667
104,19234.5318986198,360124.1433391951,0.9465891630584092,428368.32254847104,0.5333333333333333
105,19497.257225391633,360124.1433391951,0.9458596220608639,534336.1876693147,0.5333333333333333
106,19622.721813925742,360124.1433391951,0.9455112294555508,557391.3239127616,0.55
107,19651.7547289459,360124.1433391951,0.9454306102703138,556780.1819340425,0.55
108,19858.560454731756,360124.1433391951,0.944856347951025,477398.7392291245,0.55
109,19984.52890674544,360124.1433391951,0.9445065562074177,630649.8598127636,0.5666666666666667
110,20025.56109514346,360124.1433391951,0.9443926171973377,636799.5179549975,0.5666666666666667
111,20574.05749820448,360124.1433391951,0.94286954129919,622205.624114684,0.5833333333333334
112,20734.273016163905,360124.1433391951,0.942424651610668,568258.0310666809,0.5833333333333334
113,20767.36105140001,360124.1433391951,0.9423327720856539,549133.5143072498,0.5833333333333334
114,20866.679253675462,360124.1433391951,0.9420569832941706,436359.01144303347,0.6
115,20968.645971143043,360124.1433391951,0.9417738400521706,648646.6953790875,0.6
116,21005.870809549153,360124.1433391951,0.9416704733685015,596928.1538749625,0.6
117,21081.869320083242,360124.1433391951,0.9414594391683798,500697.7503080012,0.6166666666666667
118,21112.210835829876,360124.1433391951,0.9413751862341964,490055.6017936175,0.6166666666666667
119,21210.068390347264,360124.1433391951,0.9411034533989302,479873.37677961955,0.6333333333333333
120,21248.2444047506,360124.1433391951,0.940997445470527,480893.2563045816,0.6333333333333333
121,21322.555564429393,360124.1433391951,0.9407910967403649,402562.5547907973,0.65
122,21496.83805055951,360124.1433391951,0.940307145610307,435317.2279535438,0.65
123,21641.78552976666,338980.50359033083,0.9361562529391912,338980.50359033083,0.6666666666666666
124,21669.98584035738,333409.96705620596,0.9350049849088516,333409.96705620596,0.6666666666666666
125,22021.63131355572,278885.05023660266,0.9210368885142003,278885.05023660266,0.6833333333333333
126,22069.628112205977,257086.74106263174,0.9141549345525005,257086.74106263174,0.6833333333333333
127,22215.442553621047,257086.74106263174,0.9135877546162177,311041.2550854249,0.6833333333333333
128,22319.522390579546,257086.74106263174,0.9131829113460891,343404.3955537162,0.7
129,22403.806564053968,257086.74106263174,0.9128550680153671,319692.966421599,0.7
130,22430.221507509377,257086.74106263174,0.9127523208128229,272756.9561910885,0.7166666666666667
131,22472.76261925356,257086.74106263174,0.9125868470448317,305265.56837149325,0.7166666666666667
132,22524.719544571733,202480.61931313988,0.8887561702399929,202480.61931313988,0.7333333333333333
133,22538.68561727397,202480.61931313988,0.8886871953783513,213118.44713013864,0.7333333333333333
134,22552.11711277821,202480.61931313988,0.8886208606567874,270416.3954003083,0.75
135,22610.41901324102,202480.61931313988,0.8883329224794912,210825.85034409363,0.75
136,22696.580006515967,202480.61931313988,0.8879073953669843,260895.19195727736,0.7666666666666667
137,22773.47383073288,202480.61931313988,0.8875276364326341,232893.04698974217,0.7666666666666667
138,22828.342199888968,189340.04275709915,0.8794320426494514,189340.04275709915,0.7833333333333333
139,22954.30369206081,189340.04275709915,0.8787667766532172,290222.12505489495,0.7833333333333333
140,23162.78597676325,189340.04275709915,0.8776656768453446,224902.86750118644,0.8
141,23287.752454860434,189340.04275709915,0.8770056660189104,232485.46925513254,0.8
142,23457.766189506998,189340.04275709915,0.876107737972783,268739.0613749165,0.8
143,23554.574642303945,189340.04275709915,0.8755964438408749,285752.96978703927,0.8166666666666667
144,23723.92237120758,189340.04275709915,0.8747020333060632,237757.34595579962,0.8166666666666667
145,23859.899974201002,189340.04275709915,0.8739838671906797,261268.100190713,0.8333333333333334
146,23934.638567730548,189340.04275709915,0.873589135086254,222085.54299056588,0.8333333333333334
147,23986.17712394727,189340.04275709915,0.8733169340480255,191972.73147980386,0.85
148,24053.34641315465,189340.04275709915,0.8729621792469318,214268.21355524895,0.85
149,24128.45606367626,179488.77512688038,0.8655712255731876,179488.77512688038,0.8666666666666667
150,24294.34149536848,173727.88879889785,0.8601586557959564,173727.88879889785,0.8833333333333333
151,24386.42306902729,173727.88879889785,0.8596286224530347,231337.15588642398,0.8833333333333333
152,24449.996702998345,149223.98245460537,0.836152364379927,149223.98245460537,0.9
153,24532.58475576944,149223.98245460537,0.8355989141140073,240788.65945056043,0.9
154,24557.871550942593,149223.98245460537,0.8354294588109307,164729.33693318395,0.9166666666666666
155,24581.251367696957,147111.64693837025,0.8329075101851398,147111.64693837025,0.9166666666666666
156,24592.97830976939,140260.10044701362,0.8246616234311059,140260.10044701362,0.9333333333333333
157,24639.55443127254,140260.10044701362,0.8243295537879592,185746.15149627812,0.95
