timestep_2,technology_3,region_4,carrier_1,parameter,value
all,,84NO,finalDemOil,dem,0.1375044
all,,85NO,finalDemOil,dem,0.019931097
all,,86SE,finalDemOil,dem,0.021521468
all,,87SE,finalDemOil,dem,0.107038391
all,,88SE,finalDemOil,dem,1.440522665
all,,89SE,finalDemOil,dem,0.404590609
all,,90UK,finalDemOil,dem,4.34329556
all,,91UK,finalDemOil,dem,1.171831545
all,,92UK,finalDemOil,dem,10.07758966
all,,93UK,finalDemOil,dem,3.077391951
all,,94UK,finalDemOil,dem,0.594332233
all,,95UK,finalDemOil,dem,0.757076604
all,,96IE,finalDemOil,dem,1.891954007
all,,98IT,finalDemOil,dem,0
all,,99FR,finalDemOil,dem,0
all,,01ES,hvc,dem,0.019333697
all,,02ES,hvc,dem,0.069925635
all,,03ES,hvc,dem,0.058260747
all,,04ES,hvc,dem,0.101372037
all,,05ES,hvc,dem,0.055810782
all,,06ES,hvc,dem,0.827263216
all,,07ES,hvc,dem,0.272075808
all,,08ES,hvc,dem,0.05324837
all,,09ES,hvc,dem,0.060404622
all,,10ES,hvc,dem,0.034691335
all,,11ES,hvc,dem,0.258129563
all,,12PT,hvc,dem,0.184833622
all,,13PT,hvc,dem,0.25002514
all,,14FR,hvc,dem,0.137576347
all,,15FR,hvc,dem,0.036755566
all,,16FR,hvc,dem,0.271772888
all,,17FR,hvc,dem,0.088158584
all,,18FR,hvc,dem,0.104769867
all,,19FR,hvc,dem,0.336558122
all,,20FR,hvc,dem,0.260082526
all,,21FR,hvc,dem,0.037087642
all,,22FR,hvc,dem,0.035517878
all,,23FR,hvc,dem,2.94956695
all,,24FR,hvc,dem,0.033900721
all,,25FR,hvc,dem,0.077431161
all,,26FR,hvc,dem,0.211158082
all,,27FR,hvc,dem,0
all,,28BE,hvc,dem,2.32335362
all,,29LU,hvc,dem,0.011951086
all,,30NL,hvc,dem,3.586258916
all,,31DE,hvc,dem,0.726193064
all,,32DE,hvc,dem,0.423508653
all,,33DE,hvc,dem,1.672181778
all,,34DE,hvc,dem,0.454434781
all,,35DE,hvc,dem,1.682803214
all,,36DE,hvc,dem,0.930778272
all,,37DE,hvc,dem,0.945226149
all,,38DK,hvc,dem,0
all,,39CZ,hvc,dem,0.514560002
all,,40CZ,hvc,dem,0.407791304
all,,41PL,hvc,dem,0.351518353
all,,42PL,hvc,dem,0.202790482
all,,43PL,hvc,dem,0.295466325
all,,44PL,hvc,dem,0.260739511
all,,45PL,hvc,dem,0.160274576
all,,46SK,hvc,dem,0.215050453
all,,47CH,hvc,dem,0.053369304
all,,48CH,hvc,dem,0
all,,49AT,hvc,dem,0.156898686
all,,50AT,hvc,dem,0.246039932
all,,51AT,hvc,dem,0.268713118
all,,52IT,hvc,dem,1.357026791
all,,53IT,hvc,dem,0.253154175
all,,54IT,hvc,dem,0.474429897
all,,55IT,hvc,dem,0.18161499
all,,56IT,hvc,dem,0.128373178
all,,57SI,hvc,dem,0.057547052
all,,58HU,hvc,dem,0.61578232
all,,59RO,hvc,dem,0.069588696
all,,60RO,hvc,dem,0.138852032
all,,61RO,hvc,dem,0.051856975
all,,62HR,hvc,dem,0.05195709
all,,63BA,hvc,dem,0.036428602
all,,64ME,hvc,dem,0.011559817
all,,65RS,hvc,dem,0.214626631
all,,66BG,hvc,dem,0.09482313
all,,67MK,hvc,dem,0.018992393
all,,68GR,hvc,dem,0.020361753
all,,69GR,hvc,dem,0.165182303
all,,70AL,hvc,dem,0.018584747
all,,72DK,hvc,dem,0.053421597
all,,73EE,hvc,dem,0.022205172
all,,74FI,hvc,dem,0.011503501
all,,75FI,hvc,dem,0.521523092
all,,77LT,hvc,dem,0.083289087
all,,78LV,hvc,dem,0.024426404
all,,79NO,hvc,dem,0.035142483
all,,80NO,hvc,dem,0.081507007
all,,81NO,hvc,dem,0.166194483
all,,82NO,hvc,dem,0.314611207
all,,83NO,hvc,dem,0.083210281
all,,84NO,hvc,dem,0.069531557
all,,85NO,hvc,dem,0.010078515
all,,86SE,hvc,dem,0
all,,87SE,hvc,dem,0.041128407
all,,88SE,hvc,dem,0.553506103
all,,89SE,hvc,dem,0.155459804
all,,90UK,hvc,dem,0.564927009
all,,91UK,hvc,dem,0.15241866
all,,92UK,hvc,dem,1.310779454
all,,93UK,hvc,dem,0.400272514
all,,94UK,hvc,dem,0.077304049
all,,95UK,hvc,dem,0.098472005
all,,96IE,hvc,dem,0.081849354
all,,98IT,hvc,dem,0
all,,99FR,hvc,dem,0
all,,01ES,h2,dem,0.026503412
all,,02ES,h2,dem,0.095856881
all,,03ES,h2,dem,0.079866181
all,,04ES,h2,dem,0.138964876
all,,05ES,h2,dem,0.076507671
all,,06ES,h2,dem,1.134045774
all,,07ES,h2,dem,0.372972488
all,,08ES,h2,dem,0.072995013
all,,09ES,h2,dem,0.082805091
all,,10ES,h2,dem,0.047556281
all,,11ES,h2,dem,0.353854414
all,,12PT,h2,dem,0.02569975
all,,13PT,h2,dem,0.03476415
all,,14FR,h2,dem,0.026830702
all,,15FR,h2,dem,0
all,,16FR,h2,dem,0.053002261
all,,17FR,h2,dem,0.017193048
all,,18FR,h2,dem,0.020432648
all,,19FR,h2,dem,0.065636942
all,,20FR,h2,dem,0.050722358
all,,21FR,h2,dem,0
all,,22FR,h2,dem,0
all,,23FR,h2,dem,0.575236616
all,,24FR,h2,dem,0
all,,25FR,h2,dem,0.015100942
all,,26FR,h2,dem,0.041180913
all,,27FR,h2,dem,0
all,,28BE,h2,dem,0.448065074
all,,29LU,h2,dem,0.035939365
all,,30NL,h2,dem,0.078547919
all,,31DE,h2,dem,0.047664948
all,,32DE,h2,dem,0.027797729
all,,33DE,h2,dem,0.109756568
all,,34DE,h2,dem,0.02982762
all,,35DE,h2,dem,0.110453724
all,,36DE,h2,dem,0.061093255
all,,37DE,h2,dem,0.062041567
all,,38DK,h2,dem,0.010038271
all,,39CZ,h2,dem,0
all,,40CZ,h2,dem,0
all,,41PL,h2,dem,0.047617071
all,,42PL,h2,dem,0.027470226
all,,43PL,h2,dem,0.0400242
all,,44PL,h2,dem,0.035320067
all,,45PL,h2,dem,0.021710974
all,,46SK,h2,dem,0.031470821
all,,47CH,h2,dem,5.416768292
all,,48CH,h2,dem,0.56101972
all,,49AT,h2,dem,0.014003152
all,,50AT,h2,dem,0.021958976
all,,51AT,h2,dem,0.02398255
all,,52IT,h2,dem,1.216176386
all,,53IT,h2,dem,0.226878446
all,,54IT,h2,dem,0.425187211
all,,55IT,h2,dem,0.162764555
all,,56IT,h2,dem,0.115048891
all,,57SI,h2,dem,0.056990757
all,,58HU,h2,dem,0.032059991
all,,59RO,h2,dem,0
all,,60RO,h2,dem,0
all,,61RO,h2,dem,0
all,,62HR,h2,dem,0
all,,63BA,h2,dem,0.020803886
all,,64ME,h2,dem,0.099755346
all,,65RS,h2,dem,0.031330927
all,,66BG,h2,dem,0
all,,67MK,h2,dem,1.606469997
all,,68GR,h2,dem,0.036770652
all,,69GR,h2,dem,0.298297548
all,,70AL,h2,dem,0.086691378
all,,72DK,h2,dem,0.05662671
all,,73EE,h2,dem,0
all,,74FI,h2,dem,0.010025582
all,,75FI,h2,dem,0.454520108
all,,77LT,h2,dem,0
all,,78LV,h2,dem,0
all,,79NO,h2,dem,0.022031205
all,,80NO,h2,dem,0.051097631
all,,81NO,h2,dem,0.104189133
all,,82NO,h2,dem,0.197233195
all,,83NO,h2,dem,0.052165432
all,,84NO,h2,dem,0.043590091
all,,85NO,h2,dem,0
all,,86SE,h2,dem,0.070152647
all,,87SE,h2,dem,0.348908662
all,,88SE,h2,dem,4.695612774
all,,89SE,h2,dem,1.31882745
all,,90UK,h2,dem,0.05859859
all,,91UK,h2,dem,0.01581004
all,,92UK,h2,dem,0.135964162
all,,93UK,h2,dem,0.041519355
all,,94UK,h2,dem,0
all,,95UK,h2,dem,0.010214276
all,,96IE,h2,dem,0
all,,98IT,h2,dem,0
all,,99FR,h2,dem,0.00E+00
all,dummyMethanolDem,01ES,,capaConvResi,1
all,dummyMethanolDem,02ES,,capaConvResi,1
all,dummyMethanolDem,03ES,,capaConvResi,1
all,dummyMethanolDem,04ES,,capaConvResi,1
all,dummyMethanolDem,05ES,,capaConvResi,1
all,dummyMethanolDem,06ES,,capaConvResi,1
all,dummyMethanolDem,07ES,,capaConvResi,1
all,dummyMethanolDem,08ES,,capaConvResi,1
all,dummyMethanolDem,09ES,,capaConvResi,1
all,dummyMethanolDem,10ES,,capaConvResi,1
all,dummyMethanolDem,11ES,,capaConvResi,1
all,dummyMethanolDem,14FR,,capaConvResi,1
all,dummyMethanolDem,15FR,,capaConvResi,1
all,dummyMethanolDem,16FR,,capaConvResi,1
all,dummyMethanolDem,17FR,,capaConvResi,1
all,dummyMethanolDem,18FR,,capaConvResi,1
all,dummyMethanolDem,19FR,,capaConvResi,1
all,dummyMethanolDem,20FR,,capaConvResi,1
all,dummyMethanolDem,21FR,,capaConvResi,1
all,dummyMethanolDem,22FR,,capaConvResi,1
all,dummyMethanolDem,23FR,,capaConvResi,1
all,dummyMethanolDem,24FR,,capaConvResi,1
all,dummyMethanolDem,25FR,,capaConvResi,1
all,dummyMethanolDem,26FR,,capaConvResi,1
all,dummyMethanolDem,27FR,,capaConvResi,1
all,dummyMethanolDem,28BE,,capaConvResi,1
all,dummyMethanolDem,29LU,,capaConvResi,1
all,dummyMethanolDem,30NL,,capaConvResi,1
all,dummyMethanolDem,31DE,,capaConvResi,1
all,dummyMethanolDem,32DE,,capaConvResi,1
all,dummyMethanolDem,33DE,,capaConvResi,1
all,dummyMethanolDem,34DE,,capaConvResi,1
all,dummyMethanolDem,35DE,,capaConvResi,1
all,dummyMethanolDem,36DE,,capaConvResi,1
all,dummyMethanolDem,37DE,,capaConvResi,1
all,dummyMethanolDem,41PL,,capaConvResi,1
all,dummyMethanolDem,42PL,,capaConvResi,1
all,dummyMethanolDem,43PL,,capaConvResi,1
all,dummyMethanolDem,44PL,,capaConvResi,1
all,dummyMethanolDem,45PL,,capaConvResi,1
all,dummyMethanolDem,49AT,,capaConvResi,1
all,dummyMethanolDem,50AT,,capaConvResi,1
all,dummyMethanolDem,51AT,,capaConvResi,1
all,dummyMethanolDem,52IT,,capaConvResi,1
all,dummyMethanolDem,53IT,,capaConvResi,1
all,dummyMethanolDem,54IT,,capaConvResi,1
all,dummyMethanolDem,55IT,,capaConvResi,1
all,dummyMethanolDem,56IT,,capaConvResi,1
all,dummyMethanolDem,57SI,,capaConvResi,1
all,dummyMethanolDem,59RO,,capaConvResi,1
all,dummyMethanolDem,60RO,,capaConvResi,1
all,dummyMethanolDem,61RO,,capaConvResi,1
all,dummyMethanolDem,62HR,,capaConvResi,1
all,dummyMethanolDem,63BA,,capaConvResi,1
all,dummyMethanolDem,65RS,,capaConvResi,1
all,dummyMethanolDem,66BG,,capaConvResi,1
all,dummyMethanolDem,68GR,,capaConvResi,1
all,dummyMethanolDem,69GR,,capaConvResi,1
all,dummyMethanolDem,72DK,,capaConvResi,1
all,dummyMethanolDem,73EE,,capaConvResi,1
all,dummyMethanolDem,77LT,,capaConvResi,1
all,dummyMethanolDem,80NO,,capaConvResi,1
all,dummyMethanolDem,81NO,,capaConvResi,1
all,dummyMethanolDem,82NO,,capaConvResi,1
all,dummyMethanolDem,83NO,,capaConvResi,1
all,dummyMethanolDem,84NO,,capaConvResi,1
all,dummyMethanolDem,87SE,,capaConvResi,1
all,dummyMethanolDem,88SE,,capaConvResi,1
all,dummyMethanolDem,89SE,,capaConvResi,1
all,dummyMethanolDem,90UK,,capaConvResi,1
all,dummyMethanolDem,91UK,,capaConvResi,1
all,dummyMethanolDem,92UK,,capaConvResi,1
all,dummyMethanolDem,93UK,,capaConvResi,1
all,dummyMethanolDem,94UK,,capaConvResi,1
all,dummyMethanolDem,95UK,,capaConvResi,1
all,dummyMethanolDem,96IE,,capaConvResi,1
all,dummyOilDemand,01ES,,capaConvResi,1
all,dummyOilDemand,02ES,,capaConvResi,1
all,dummyOilDemand,03ES,,capaConvResi,1
all,dummyOilDemand,04ES,,capaConvResi,1
all,dummyOilDemand,05ES,,capaConvResi,1
all,dummyOilDemand,06ES,,capaConvResi,1
all,dummyOilDemand,07ES,,capaConvResi,1
all,dummyOilDemand,08ES,,capaConvResi,1
all,dummyOilDemand,09ES,,capaConvResi,1
all,dummyOilDemand,10ES,,capaConvResi,1
all,dummyOilDemand,11ES,,capaConvResi,1
all,dummyOilDemand,12PT,,capaConvResi,1
all,dummyOilDemand,13PT,,capaConvResi,1
all,dummyOilDemand,14FR,,capaConvResi,1
all,dummyOilDemand,15FR,,capaConvResi,1
all,dummyOilDemand,16FR,,capaConvResi,1
all,dummyOilDemand,17FR,,capaConvResi,1
all,dummyOilDemand,18FR,,capaConvResi,1
all,dummyOilDemand,19FR,,capaConvResi,1
all,dummyOilDemand,20FR,,capaConvResi,1
all,dummyOilDemand,21FR,,capaConvResi,1
all,dummyOilDemand,22FR,,capaConvResi,1
all,dummyOilDemand,23FR,,capaConvResi,1
all,dummyOilDemand,24FR,,capaConvResi,1
all,dummyOilDemand,25FR,,capaConvResi,1
all,dummyOilDemand,26FR,,capaConvResi,1
all,dummyOilDemand,27FR,,capaConvResi,1
all,dummyOilDemand,28BE,,capaConvResi,1
all,dummyOilDemand,29LU,,capaConvResi,1
all,dummyOilDemand,30NL,,capaConvResi,1
all,dummyOilDemand,31DE,,capaConvResi,1
all,dummyOilDemand,32DE,,capaConvResi,1
all,dummyOilDemand,33DE,,capaConvResi,1
all,dummyOilDemand,34DE,,capaConvResi,1
all,dummyOilDemand,35DE,,capaConvResi,1
all,dummyOilDemand,36DE,,capaConvResi,1
all,dummyOilDemand,37DE,,capaConvResi,1
all,dummyOilDemand,38DK,,capaConvResi,1
all,dummyOilDemand,39CZ,,capaConvResi,1
all,dummyOilDemand,40CZ,,capaConvResi,1
all,dummyOilDemand,41PL,,capaConvResi,1
all,dummyOilDemand,42PL,,capaConvResi,1
all,dummyOilDemand,43PL,,capaConvResi,1
all,dummyOilDemand,44PL,,capaConvResi,1
all,dummyOilDemand,45PL,,capaConvResi,1
all,dummyOilDemand,46SK,,capaConvResi,1
all,dummyOilDemand,47CH,,capaConvResi,1
all,dummyOilDemand,48CH,,capaConvResi,1
all,dummyOilDemand,49AT,,capaConvResi,1
all,dummyOilDemand,50AT,,capaConvResi,1
all,dummyOilDemand,51AT,,capaConvResi,1
all,dummyOilDemand,52IT,,capaConvResi,1
all,dummyOilDemand,53IT,,capaConvResi,1
all,dummyOilDemand,54IT,,capaConvResi,1
all,dummyOilDemand,55IT,,capaConvResi,1
all,dummyOilDemand,56IT,,capaConvResi,1
all,dummyOilDemand,57SI,,capaConvResi,1
all,dummyOilDemand,58HU,,capaConvResi,1
all,dummyOilDemand,59RO,,capaConvResi,1
all,dummyOilDemand,60RO,,capaConvResi,1
all,dummyOilDemand,61RO,,capaConvResi,1
all,dummyOilDemand,62HR,,capaConvResi,1
all,dummyOilDemand,63BA,,capaConvResi,1
all,dummyOilDemand,64ME,,capaConvResi,1
all,dummyOilDemand,65RS,,capaConvResi,1
all,dummyOilDemand,66BG,,capaConvResi,1
all,dummyOilDemand,67MK,,capaConvResi,1
all,dummyOilDemand,68GR,,capaConvResi,1
all,dummyOilDemand,69GR,,capaConvResi,1
all,dummyOilDemand,70AL,,capaConvResi,1
all,dummyOilDemand,72DK,,capaConvResi,1
all,dummyOilDemand,73EE,,capaConvResi,1
all,dummyOilDemand,74FI,,capaConvResi,1
all,dummyOilDemand,75FI,,capaConvResi,1
all,dummyOilDemand,77LT,,capaConvResi,1
all,dummyOilDemand,78LV,,capaConvResi,1
all,dummyOilDemand,79NO,,capaConvResi,1
all,dummyOilDemand,80NO,,capaConvResi,1
all,dummyOilDemand,81NO,,capaConvResi,1
all,dummyOilDemand,82NO,,capaConvResi,1
all,dummyOilDemand,83NO,,capaConvResi,1
all,dummyOilDemand,84NO,,capaConvResi,1
all,dummyOilDemand,85NO,,capaConvResi,1
all,dummyOilDemand,86SE,,capaConvResi,1
all,dummyOilDemand,87SE,,capaConvResi,1
all,dummyOilDemand,88SE,,capaConvResi,1
all,dummyOilDemand,89SE,,capaConvResi,1
all,dummyOilDemand,90UK,,capaConvResi,1
all,dummyOilDemand,91UK,,capaConvResi,1
all,dummyOilDemand,92UK,,capaConvResi,1
all,dummyOilDemand,93UK,,capaConvResi,1
all,dummyOilDemand,94UK,,capaConvResi,1
all,dummyOilDemand,95UK,,capaConvResi,1
all,dummyOilDemand,96IE,,capaConvResi,1
