region_1,region_2,region_3,region_4,carrier_1,technology_1,technology_2,technology_3,id_1,parameter,value
EU,DE,de,33DE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,DE,de,34DE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
EU,DE,de,34DE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
EU,DE,de,35DE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,DE,de,35DE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,DE,de,36DE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
EU,DE,de,36DE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
EU,DE,de,37DE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,DE,de,37DE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,DK,dk_e,72DK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
EU,DK,dk_e,72DK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
EU,DK,dk_w,38DK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,DK,dk_w,38DK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,EE,ee,73EE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,EE,ee,73EE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,ES,es,01ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,ES,es,01ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,ES,es,02ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,ES,es,02ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,ES,es,03ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,ES,es,03ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,ES,es,04ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,ES,es,04ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,ES,es,05ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
