timestep_2,carrier_1,region_4,technology_3,parameter,value,source
all,,08ES,avaAndNaviTech,capaConvResi,1,
all,,09ES,avaAndNaviTech,capaConvResi,1,
all,,10ES,avaAndNaviTech,capaConvResi,1,
all,,11ES,avaAndNaviTech,capaConvResi,1,
all,,12PT,avaAndNaviTech,capaConvResi,1,
all,,13PT,avaAndNaviTech,capaConvResi,1,
all,,14FR,avaAndNaviTech,capaConvResi,1,
all,,15FR,avaAndNaviTech,capaConvResi,1,
all,,16FR,avaAndNaviTech,capaConvResi,1,
all,,17FR,avaAndNaviTech,capaConvResi,1,
all,,18FR,avaAndNaviTech,capaConvResi,1,
all,,19FR,avaAndNaviTech,capaConvResi,1,
all,,20FR,avaAndNaviTech,capaConvResi,1,
all,,21FR,avaAndNaviTech,capaConvResi,1,
all,,22FR,avaAndNaviTech,capaConvResi,1,
all,,23FR,avaAndNaviTech,capaConvResi,1,
all,,24FR,avaAndNaviTech,capaConvResi,1,
all,,25FR,avaAndNaviTech,capaConvResi,1,
all,,26FR,avaAndNaviTech,capaConvResi,1,
all,,27FR,avaAndNaviTech,capaConvResi,1,
all,,28BE,avaAndNaviTech,capaConvResi,1,
all,,29LU,avaAndNaviTech,capaConvResi,1,
all,,30NL,avaAndNaviTech,capaConvResi,1,
all,,31DE,avaAndNaviTech,capaConvResi,1,
all,,32DE,avaAndNaviTech,capaConvResi,1,
all,,33DE,avaAndNaviTech,capaConvResi,1,
all,,34DE,avaAndNaviTech,capaConvResi,1,
all,,35DE,avaAndNaviTech,capaConvResi,1,
all,,36DE,avaAndNaviTech,capaConvResi,1,
all,,37DE,avaAndNaviTech,capaConvResi,1,
all,,38DK,avaAndNaviTech,capaConvResi,1,
all,,39CZ,avaAndNaviTech,capaConvResi,1,
all,,40CZ,avaAndNaviTech,capaConvResi,1,
all,,41PL,avaAndNaviTech,capaConvResi,1,
all,,42PL,avaAndNaviTech,capaConvResi,1,
all,,43PL,avaAndNaviTech,capaConvResi,1,
all,,44PL,avaAndNaviTech,capaConvResi,1,
all,,45PL,avaAndNaviTech,capaConvResi,1,
all,,46SK,avaAndNaviTech,capaConvResi,1,
all,,47CH,avaAndNaviTech,capaConvResi,1,
all,,48CH,avaAndNaviTech,capaConvResi,1,
all,,49AT,avaAndNaviTech,capaConvResi,1,
all,,50AT,avaAndNaviTech,capaConvResi,1,
all,,51AT,avaAndNaviTech,capaConvResi,1,
all,,52IT,avaAndNaviTech,capaConvResi,1,
all,,53IT,avaAndNaviTech,capaConvResi,1,
all,,54IT,avaAndNaviTech,capaConvResi,1,
all,,55IT,avaAndNaviTech,capaConvResi,1,
all,,56IT,avaAndNaviTech,capaConvResi,1,
all,,57SI,avaAndNaviTech,capaConvResi,1,
all,,58HU,avaAndNaviTech,capaConvResi,1,
all,,59RO,avaAndNaviTech,capaConvResi,1,
all,,60RO,avaAndNaviTech,capaConvResi,1,
all,,61RO,avaAndNaviTech,capaConvResi,1,
all,,62HR,avaAndNaviTech,capaConvResi,1,
all,,63BA,avaAndNaviTech,capaConvResi,1,
all,,64ME,avaAndNaviTech,capaConvResi,1,
all,,65RS,avaAndNaviTech,capaConvResi,1,
all,,66BG,avaAndNaviTech,capaConvResi,1,
all,,67MK,avaAndNaviTech,capaConvResi,1,
all,,68GR,avaAndNaviTech,capaConvResi,1,
all,,69GR,avaAndNaviTech,capaConvResi,1,
all,,70AL,avaAndNaviTech,capaConvResi,1,
all,,72DK,avaAndNaviTech,capaConvResi,1,
all,,73EE,avaAndNaviTech,capaConvResi,1,
all,,74FI,avaAndNaviTech,capaConvResi,1,
all,,75FI,avaAndNaviTech,capaConvResi,1,
all,,77LT,avaAndNaviTech,capaConvResi,1,
all,,78LV,avaAndNaviTech,capaConvResi,1,
all,,79NO,avaAndNaviTech,capaConvResi,1,
all,,80NO,avaAndNaviTech,capaConvResi,1,
all,,81NO,avaAndNaviTech,capaConvResi,1,
all,,82NO,avaAndNaviTech,capaConvResi,1,
all,,83NO,avaAndNaviTech,capaConvResi,1,
all,,84NO,avaAndNaviTech,capaConvResi,1,
all,,85NO,avaAndNaviTech,capaConvResi,1,
all,,86SE,avaAndNaviTech,capaConvResi,1,
all,,87SE,avaAndNaviTech,capaConvResi,1,
all,,88SE,avaAndNaviTech,capaConvResi,1,
all,,89SE,avaAndNaviTech,capaConvResi,1,
all,,90UK,avaAndNaviTech,capaConvResi,1,
all,,91UK,avaAndNaviTech,capaConvResi,1,
all,,92UK,avaAndNaviTech,capaConvResi,1,
all,,93UK,avaAndNaviTech,capaConvResi,1,
all,,94UK,avaAndNaviTech,capaConvResi,1,
all,,95UK,avaAndNaviTech,capaConvResi,1,
all,,96IE,avaAndNaviTech,capaConvResi,1,
all,,98IT,avaAndNaviTech,capaConvResi,1,
all,,99FR,avaAndNaviTech,capaConvResi,1,
