timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0190,BE,s2016,electricity,dem,10.9874292342516
h0191,BE,s2016,electricity,dem,10.9498770364494
h0192,BE,s2016,electricity,dem,10.3728289595264
h0193,BE,s2016,electricity,dem,8.74216483178736
h0194,BE,s2016,electricity,dem,8.37920329332583
h0195,BE,s2016,electricity,dem,8.1671057658533
h0196,BE,s2016,electricity,dem,8.14932691969945
h0197,BE,s2016,electricity,dem,8.45954944717198
h0198,BE,s2016,electricity,dem,9.27833378783131
h0199,BE,s2016,electricity,dem,9.95726785376538
h0200,BE,s2016,electricity,dem,10.3537980735456
h0201,BE,s2016,electricity,dem,10.6052142823368
h0202,BE,s2016,electricity,dem,10.7247692273918
h0203,BE,s2016,electricity,dem,10.838255491128
h0204,BE,s2016,electricity,dem,10.6705796669522
h0205,BE,s2016,electricity,dem,10.5778873592599
h0206,BE,s2016,electricity,dem,10.4217060405786
h0207,BE,s2016,electricity,dem,10.3745659306885
h0208,BE,s2016,electricity,dem,10.4277293922269
h0209,BE,s2016,electricity,dem,10.897685436183
h0210,BE,s2016,electricity,dem,11.1252101614577
h0211,BE,s2016,electricity,dem,10.7597472493698
h0212,BE,s2016,electricity,dem,10.2367802164027
h0213,BE,s2016,electricity,dem,9.70891895266648
h0214,BE,s2016,electricity,dem,9.82075411750165
h0215,BE,s2016,electricity,dem,9.78320191969945
h0216,BE,s2016,electricity,dem,9.20615384277637
h0217,BE,s2016,electricity,dem,8.20265587431736
h0218,BE,s2016,electricity,dem,7.83969433585583
h0219,BE,s2016,electricity,dem,7.6275968083833
h0220,BE,s2016,electricity,dem,7.60981796222945
h0221,BE,s2016,electricity,dem,7.92004048970198
h0222,BE,s2016,electricity,dem,8.73882483036132
h0223,BE,s2016,electricity,dem,9.41775889629538
h0224,BE,s2016,electricity,dem,9.8142891160756
h0225,BE,s2016,electricity,dem,10.0657053248668
h0226,BE,s2016,electricity,dem,10.1852602699218
h0227,BE,s2016,electricity,dem,10.298746533658
h0228,BE,s2016,electricity,dem,10.1310707094822
h0229,BE,s2016,electricity,dem,10.0383784017899
h0230,BE,s2016,electricity,dem,9.88219708310857
h0231,BE,s2016,electricity,dem,9.83505697321846
h0232,BE,s2016,electricity,dem,9.88822043475693
h0233,BE,s2016,electricity,dem,10.358176478713
h0234,BE,s2016,electricity,dem,10.5857012039877
h0235,BE,s2016,electricity,dem,10.2202382918998
h0236,BE,s2016,electricity,dem,9.69727125893274
h0237,BE,s2016,electricity,dem,9.16940999519648
h0238,BE,s2016,electricity,dem,9.28124516003165
h0239,BE,s2016,electricity,dem,9.24369296222945
h0240,BE,s2016,electricity,dem,8.66664488530637
h0241,BE,s2016,electricity,dem,9.53928524373736
h0242,BE,s2016,electricity,dem,9.17632370527583
h0243,BE,s2016,electricity,dem,8.9642261778033
h0244,BE,s2016,electricity,dem,8.94644733164945
h0245,BE,s2016,electricity,dem,9.25666985912198
h0246,BE,s2016,electricity,dem,10.0754541997813
h0247,BE,s2016,electricity,dem,10.7543882657154
h0248,BE,s2016,electricity,dem,11.1509184854956
h0249,BE,s2016,electricity,dem,11.4023346942868
h0250,BE,s2016,electricity,dem,11.5218896393418
h0251,BE,s2016,electricity,dem,11.635375903078
h0252,BE,s2016,electricity,dem,11.4677000789022
h0253,BE,s2016,electricity,dem,11.3750077712099
h0254,BE,s2016,electricity,dem,11.2188264525286
h0255,BE,s2016,electricity,dem,11.1716863426385
h0256,BE,s2016,electricity,dem,11.2248498041769
h0257,BE,s2016,electricity,dem,11.694805848133
h0258,BE,s2016,electricity,dem,11.9223305734077
h0259,BE,s2016,electricity,dem,11.5568676613198
h0260,BE,s2016,electricity,dem,11.0339006283527
h0261,BE,s2016,electricity,dem,10.5060393646165
h0262,BE,s2016,electricity,dem,10.6178745294516
h0263,BE,s2016,electricity,dem,10.5803223316495
h0264,BE,s2016,electricity,dem,10.0032742547264
h0265,BE,s2016,electricity,dem,9.76631758283736
h0266,BE,s2016,electricity,dem,9.40335604437583
h0267,BE,s2016,electricity,dem,9.1912585169033
h0268,BE,s2016,electricity,dem,9.17347967074945
h0269,BE,s2016,electricity,dem,9.48370219822198
h0270,BE,s2016,electricity,dem,10.3024865388813
h0271,BE,s2016,electricity,dem,10.9814206048154
h0272,BE,s2016,electricity,dem,11.3779508245956
h0273,BE,s2016,electricity,dem,11.6293670333868
h0274,BE,s2016,electricity,dem,11.7489219784418
h0275,BE,s2016,electricity,dem,11.862408242178
h0276,BE,s2016,electricity,dem,11.6947324180022
h0277,BE,s2016,electricity,dem,11.6020401103099
h0278,BE,s2016,electricity,dem,11.4458587916286
h0279,BE,s2016,electricity,dem,11.3987186817385
h0280,BE,s2016,electricity,dem,11.4518821432769
h0281,BE,s2016,electricity,dem,11.921838187233
h0282,BE,s2016,electricity,dem,12.1493629125077
h0283,BE,s2016,electricity,dem,11.7839000004198
h0284,BE,s2016,electricity,dem,11.2609329674527
h0285,BE,s2016,electricity,dem,10.7330717037165
h0286,BE,s2016,electricity,dem,10.8449068685516
h0287,BE,s2016,electricity,dem,10.8073546707495
h0288,BE,s2016,electricity,dem,10.2303065938264
h0289,BE,s2016,electricity,dem,9.90926662793736
h0290,BE,s2016,electricity,dem,9.54630508947583
h0291,BE,s2016,electricity,dem,9.3342075620033
h0292,BE,s2016,electricity,dem,9.31642871584945
h0293,BE,s2016,electricity,dem,9.62665124332198
h0294,BE,s2016,electricity,dem,10.4454355839813
h0295,BE,s2016,electricity,dem,11.1243696499154
h0296,BE,s2016,electricity,dem,11.5208998696956
h0297,BE,s2016,electricity,dem,11.7723160784868
h0298,BE,s2016,electricity,dem,11.8918710235418
h0299,BE,s2016,electricity,dem,12.005357287278
h0300,BE,s2016,electricity,dem,11.8376814631022
h0301,BE,s2016,electricity,dem,11.7449891554099
h0302,BE,s2016,electricity,dem,11.5888078367286
h0303,BE,s2016,electricity,dem,11.5416677268385
h0304,BE,s2016,electricity,dem,11.5948311883769
h0305,BE,s2016,electricity,dem,12.064787232333
h0306,BE,s2016,electricity,dem,12.2923119576077
h0307,BE,s2016,electricity,dem,11.9268490455198
h0308,BE,s2016,electricity,dem,11.4038820125527
h0309,BE,s2016,electricity,dem,10.8760207488165
h0310,BE,s2016,electricity,dem,10.9878559136516
h0311,BE,s2016,electricity,dem,10.9503037158495
h0312,BE,s2016,electricity,dem,10.3732556389264
h0313,BE,s2016,electricity,dem,10.0836747274374
h0314,BE,s2016,electricity,dem,9.72071318897583
h0315,BE,s2016,electricity,dem,9.5086156615033
h0316,BE,s2016,electricity,dem,9.49083681534945
h0317,BE,s2016,electricity,dem,9.80105934282198
h0318,BE,s2016,electricity,dem,10.6198436834813
h0319,BE,s2016,electricity,dem,11.2987777494154
h0320,BE,s2016,electricity,dem,11.6953079691956
h0321,BE,s2016,electricity,dem,11.9467241779868
h0322,BE,s2016,electricity,dem,12.0662791230418
h0323,BE,s2016,electricity,dem,12.179765386778
h0324,BE,s2016,electricity,dem,12.0120895626022
h0325,BE,s2016,electricity,dem,11.9193972549099
h0326,BE,s2016,electricity,dem,11.7632159362286
h0327,BE,s2016,electricity,dem,11.7160758263385
h0328,BE,s2016,electricity,dem,11.7692392878769
h0329,BE,s2016,electricity,dem,12.239195331833
h0330,BE,s2016,electricity,dem,12.4667200571077
h0331,BE,s2016,electricity,dem,12.1012571450198
h0332,BE,s2016,electricity,dem,11.5782901120527
h0333,BE,s2016,electricity,dem,11.0504288483165
h0334,BE,s2016,electricity,dem,11.1622640131516
h0335,BE,s2016,electricity,dem,11.1247118153495
h0336,BE,s2016,electricity,dem,10.5476637384264
h0337,BE,s2016,electricity,dem,9.96894992643736
h0338,BE,s2016,electricity,dem,9.60598838797583
h0339,BE,s2016,electricity,dem,9.3938908605033
h0340,BE,s2016,electricity,dem,9.37611201434945
h0341,BE,s2016,electricity,dem,9.68633454182198
h0342,BE,s2016,electricity,dem,10.5051188824813
h0343,BE,s2016,electricity,dem,11.1840529484154
