timestep_6,region_1,technology_1,scenario_1,parameter,value
h0079,CH,wind,scr2094,avaConv,0.002562348818851387
h0080,CH,wind,scr2094,avaConv,0.0032125242490786735
h0081,CH,wind,scr2094,avaConv,0.0002687224141131477
h0082,CH,wind,scr2094,avaConv,0.0031206319503959867
h0083,CH,wind,scr2094,avaConv,0.002135154235270434
h0084,CH,wind,scr2094,avaConv,0.0021918604815867504
h0085,CH,wind,scr2094,avaConv,0.004499978795312891
h0086,CH,wind,scr2094,avaConv,0.01932174238583516
h0087,CH,wind,scr2094,avaConv,0.026253949117874056
h0088,CH,wind,scr2094,avaConv,0.013314340829670472
h0089,CH,wind,scr2094,avaConv,0.0014671611506669549
h0090,CH,wind,scr2094,avaConv,0.0
h0091,CH,wind,scr2094,avaConv,0.005566789802724208
h0092,CH,wind,scr2094,avaConv,0.005566789802724208
h0093,CH,wind,scr2094,avaConv,0.005566789802724208
h0094,CH,wind,scr2094,avaConv,0.011055130893210342
h0095,CH,wind,scr2094,avaConv,0.01114125162461338
h0096,CH,wind,scr2094,avaConv,0.049117458676526865
h0001,DE,wind,scr2094,avaConv,0.13944388091927418
h0002,DE,wind,scr2094,avaConv,0.16481910348973994
h0003,DE,wind,scr2094,avaConv,0.4724363371759469
h0004,DE,wind,scr2094,avaConv,0.6953934580145289
h0005,DE,wind,scr2094,avaConv,0.9562621112353268
h0006,DE,wind,scr2094,avaConv,0.8832736500977866
h0007,DE,wind,scr2094,avaConv,0.8453712471922632
h0008,DE,wind,scr2094,avaConv,0.8331304102705933
h0009,DE,wind,scr2094,avaConv,0.8537499267302547
h0010,DE,wind,scr2094,avaConv,0.8402631111119963
h0011,DE,wind,scr2094,avaConv,0.5614823781189024
h0012,DE,wind,scr2094,avaConv,0.2969543695756929
h0013,DE,wind,scr2094,avaConv,0.3321478696608625
h0014,DE,wind,scr2094,avaConv,0.4934461920658523
h0015,DE,wind,scr2094,avaConv,0.5275686242985178
h0016,DE,wind,scr2094,avaConv,0.34121098126819643
h0017,DE,wind,scr2094,avaConv,0.20790246814861008
h0018,DE,wind,scr2094,avaConv,0.38129549331513035
h0019,DE,wind,scr2094,avaConv,0.6173307838216902
h0020,DE,wind,scr2094,avaConv,0.8664055146521943
h0021,DE,wind,scr2094,avaConv,0.7421005682999195
h0022,DE,wind,scr2094,avaConv,0.7452766095349137
h0023,DE,wind,scr2094,avaConv,0.6653226173884137
h0024,DE,wind,scr2094,avaConv,0.5981935047480356
h0025,DE,wind,scr2094,avaConv,0.3743772340315412
h0026,DE,wind,scr2094,avaConv,0.21774637598576324
h0027,DE,wind,scr2094,avaConv,0.25450700901554485
h0028,DE,wind,scr2094,avaConv,0.4797279648617364
h0029,DE,wind,scr2094,avaConv,0.5540123045920724
h0030,DE,wind,scr2094,avaConv,0.7977547104137894
h0031,DE,wind,scr2094,avaConv,0.5953585893480159
h0032,DE,wind,scr2094,avaConv,0.4216596934069653
h0033,DE,wind,scr2094,avaConv,0.39027126534420886
h0034,DE,wind,scr2094,avaConv,0.31573621928261325
h0035,DE,wind,scr2094,avaConv,0.3222701384361569
h0036,DE,wind,scr2094,avaConv,0.12798782659313496
h0037,DE,wind,scr2094,avaConv,0.1941542468242028
h0038,DE,wind,scr2094,avaConv,0.40181221020782937
h0039,DE,wind,scr2094,avaConv,0.3811392551799107
h0040,DE,wind,scr2094,avaConv,0.3790560361024076
h0041,DE,wind,scr2094,avaConv,0.1700652578464581
h0042,DE,wind,scr2094,avaConv,0.12001879126526756
h0043,DE,wind,scr2094,avaConv,0.06807595336924364
h0044,DE,wind,scr2094,avaConv,0.12217827066773564
h0045,DE,wind,scr2094,avaConv,0.08519396623513918
h0046,DE,wind,scr2094,avaConv,0.07867358917472132
h0047,DE,wind,scr2094,avaConv,0.11010053312294217
h0048,DE,wind,scr2094,avaConv,0.14516445119017563
h0049,DE,wind,scr2094,avaConv,0.2181917482959455
h0050,DE,wind,scr2094,avaConv,0.21577576507204632
h0051,DE,wind,scr2094,avaConv,0.23425558173493816
h0052,DE,wind,scr2094,avaConv,0.2114443903719535
h0053,DE,wind,scr2094,avaConv,0.2242069794225608
h0054,DE,wind,scr2094,avaConv,0.2662750442100323
h0055,DE,wind,scr2094,avaConv,0.27291394569298666
h0056,DE,wind,scr2094,avaConv,0.18339095943327616
h0057,DE,wind,scr2094,avaConv,0.11690360474904478
h0058,DE,wind,scr2094,avaConv,0.14546271060150784
h0059,DE,wind,scr2094,avaConv,0.17094322861610617
h0060,DE,wind,scr2094,avaConv,0.13389492726584562
h0061,DE,wind,scr2094,avaConv,0.05876769536226982
h0062,DE,wind,scr2094,avaConv,0.034291875800485136
h0063,DE,wind,scr2094,avaConv,0.09640000826669497
h0064,DE,wind,scr2094,avaConv,0.16532595357956836
h0065,DE,wind,scr2094,avaConv,0.1867100288550363
h0066,DE,wind,scr2094,avaConv,0.17483952211732473
h0067,DE,wind,scr2094,avaConv,0.10115915657334244
h0068,DE,wind,scr2094,avaConv,0.2279413247504028
h0069,DE,wind,scr2094,avaConv,0.18268137025067122
h0070,DE,wind,scr2094,avaConv,0.36417061699720393
h0071,DE,wind,scr2094,avaConv,0.37259858322371764
h0072,DE,wind,scr2094,avaConv,0.4387339049370368
h0073,DE,wind,scr2094,avaConv,0.28809343074666516
h0074,DE,wind,scr2094,avaConv,0.24027064831492867
h0075,DE,wind,scr2094,avaConv,0.2486697077329162
h0076,DE,wind,scr2094,avaConv,0.21297116992660559
h0077,DE,wind,scr2094,avaConv,0.1411902896550501
h0078,DE,wind,scr2094,avaConv,0.11751507993887413
h0079,DE,wind,scr2094,avaConv,0.10072225633267877
h0080,DE,wind,scr2094,avaConv,0.04421061461334953
h0081,DE,wind,scr2094,avaConv,0.000663444060254953
h0082,DE,wind,scr2094,avaConv,0.09096857851318703
h0083,DE,wind,scr2094,avaConv,0.1161822605511431
h0084,DE,wind,scr2094,avaConv,0.09755582202567349
h0085,DE,wind,scr2094,avaConv,0.26748537921978893
h0086,DE,wind,scr2094,avaConv,0.4854374404239721
h0087,DE,wind,scr2094,avaConv,0.5158591474072672
h0088,DE,wind,scr2094,avaConv,0.2841382803625252
h0089,DE,wind,scr2094,avaConv,0.03270441875925477
h0090,DE,wind,scr2094,avaConv,0.012032407330905562
h0091,DE,wind,scr2094,avaConv,0.14130253462918835
h0092,DE,wind,scr2094,avaConv,0.20051078825552737
h0093,DE,wind,scr2094,avaConv,0.20443434931618437
h0094,DE,wind,scr2094,avaConv,0.11849808408262681
h0095,DE,wind,scr2094,avaConv,0.08760470200372229
h0096,DE,wind,scr2094,avaConv,0.3022932265171388
h0001,FR,wind,scr2094,avaConv,0.07489079165229832
h0002,FR,wind,scr2094,avaConv,0.019947788767942995
h0003,FR,wind,scr2094,avaConv,0.3877112293608768
h0004,FR,wind,scr2094,avaConv,0.5182696794059705
h0005,FR,wind,scr2094,avaConv,0.8222649161567047
h0006,FR,wind,scr2094,avaConv,0.8282956137273345
h0007,FR,wind,scr2094,avaConv,0.9532000438734212
h0008,FR,wind,scr2094,avaConv,0.8496092066093411
h0009,FR,wind,scr2094,avaConv,0.8420955678443925
h0010,FR,wind,scr2094,avaConv,0.6607640088588659
h0011,FR,wind,scr2094,avaConv,0.6140972826384676
h0012,FR,wind,scr2094,avaConv,0.44661756357611626
h0013,FR,wind,scr2094,avaConv,0.45820863004181567
h0014,FR,wind,scr2094,avaConv,0.38265763018216803
h0015,FR,wind,scr2094,avaConv,0.3440474490551788
h0016,FR,wind,scr2094,avaConv,0.2784096455090304
h0017,FR,wind,scr2094,avaConv,0.3406833770019337
h0018,FR,wind,scr2094,avaConv,0.29641505027966064
h0019,FR,wind,scr2094,avaConv,0.5444823539604718
h0020,FR,wind,scr2094,avaConv,0.6968623783184871
h0021,FR,wind,scr2094,avaConv,0.7321984408584993
h0022,FR,wind,scr2094,avaConv,0.5105311856761096
h0023,FR,wind,scr2094,avaConv,0.4572080004307908
h0024,FR,wind,scr2094,avaConv,0.38801462673902076
h0025,FR,wind,scr2094,avaConv,0.5707084008918625
h0026,FR,wind,scr2094,avaConv,0.5823331772076361
h0027,FR,wind,scr2094,avaConv,0.6445025238792311
h0028,FR,wind,scr2094,avaConv,0.6117518468198341
h0029,FR,wind,scr2094,avaConv,0.4586949445604548
h0030,FR,wind,scr2094,avaConv,0.48501956591366435
h0031,FR,wind,scr2094,avaConv,0.486216731648037
h0032,FR,wind,scr2094,avaConv,0.5416531684236066
h0033,FR,wind,scr2094,avaConv,0.7163825179382498
h0034,FR,wind,scr2094,avaConv,0.6504771035118851
h0035,FR,wind,scr2094,avaConv,0.6166891630967337
h0036,FR,wind,scr2094,avaConv,0.35278302674845247
h0037,FR,wind,scr2094,avaConv,0.2972494230058134
h0038,FR,wind,scr2094,avaConv,0.2024240881855347
h0039,FR,wind,scr2094,avaConv,0.3088173065153453
h0040,FR,wind,scr2094,avaConv,0.278418514994142
h0041,FR,wind,scr2094,avaConv,0.2731316000983941
h0042,FR,wind,scr2094,avaConv,0.18959990019550638
h0043,FR,wind,scr2094,avaConv,0.2633861921948511
h0044,FR,wind,scr2094,avaConv,0.5026388446914104
h0045,FR,wind,scr2094,avaConv,0.5450854282782359
h0046,FR,wind,scr2094,avaConv,0.6345195124253816
h0047,FR,wind,scr2094,avaConv,0.5419218839153591
h0048,FR,wind,scr2094,avaConv,0.5231119712543134
h0049,FR,wind,scr2094,avaConv,0.317463555283828
h0050,FR,wind,scr2094,avaConv,0.22165941511752663
h0051,FR,wind,scr2094,avaConv,0.27552422876364224
h0052,FR,wind,scr2094,avaConv,0.31133493320169553
h0053,FR,wind,scr2094,avaConv,0.2588856863749147
