timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0056,DE,electricity,scr2094,dem,46.5325394560847
h0057,DE,electricity,scr2094,dem,45.96783680217597
h0058,DE,electricity,scr2094,dem,51.22287732582711
h0059,DE,electricity,scr2094,dem,48.77580793353481
h0060,DE,electricity,scr2094,dem,59.66579028472409
h0061,DE,electricity,scr2094,dem,60.184972998514304
h0062,DE,electricity,scr2094,dem,64.8142769071568
h0063,DE,electricity,scr2094,dem,63.716046268851095
h0064,DE,electricity,scr2094,dem,54.28105389814398
h0065,DE,electricity,scr2094,dem,52.8084571472801
h0066,DE,electricity,scr2094,dem,46.58976424800746
h0067,DE,electricity,scr2094,dem,54.37312433977772
h0068,DE,electricity,scr2094,dem,52.779074409288754
h0069,DE,electricity,scr2094,dem,55.627443328606795
h0070,DE,electricity,scr2094,dem,52.755963239381416
h0071,DE,electricity,scr2094,dem,47.83307109862199
h0072,DE,electricity,scr2094,dem,44.03137293164201
h0073,DE,electricity,scr2094,dem,36.92941704514037
h0074,DE,electricity,scr2094,dem,35.40392283874348
h0075,DE,electricity,scr2094,dem,32.64636909395456
h0076,DE,electricity,scr2094,dem,32.691104190108064
h0077,DE,electricity,scr2094,dem,33.08942197265932
h0078,DE,electricity,scr2094,dem,34.65279590091464
h0079,DE,electricity,scr2094,dem,41.22346807408707
h0080,DE,electricity,scr2094,dem,39.038532704704316
h0081,DE,electricity,scr2094,dem,46.98487668093319
h0082,DE,electricity,scr2094,dem,46.48544199794539
h0083,DE,electricity,scr2094,dem,58.54251932627344
h0084,DE,electricity,scr2094,dem,60.333744393291504
h0085,DE,electricity,scr2094,dem,66.51928894412785
h0086,DE,electricity,scr2094,dem,66.73631398890222
h0087,DE,electricity,scr2094,dem,57.61256798080522
h0088,DE,electricity,scr2094,dem,56.36434760413788
h0089,DE,electricity,scr2094,dem,49.10670882827214
h0090,DE,electricity,scr2094,dem,56.02739644781469
h0091,DE,electricity,scr2094,dem,54.707445245155995
h0092,DE,electricity,scr2094,dem,56.62325331556796
h0093,DE,electricity,scr2094,dem,56.97483369733475
h0094,DE,electricity,scr2094,dem,51.99423872169978
h0095,DE,electricity,scr2094,dem,52.36460496752408
h0096,DE,electricity,scr2094,dem,44.37648742040396
h0001,FR,electricity,scr2094,dem,220.6803629339453
h0002,FR,electricity,scr2094,dem,225.82088081516153
h0003,FR,electricity,scr2094,dem,202.33891861339853
h0004,FR,electricity,scr2094,dem,189.65597565866867
h0005,FR,electricity,scr2094,dem,163.92966004617213
h0006,FR,electricity,scr2094,dem,149.54223851961558
h0007,FR,electricity,scr2094,dem,167.3446488362266
h0008,FR,electricity,scr2094,dem,168.67168680203994
h0009,FR,electricity,scr2094,dem,192.5710305558973
h0010,FR,electricity,scr2094,dem,169.71512555631892
h0011,FR,electricity,scr2094,dem,184.75414766574391
h0012,FR,electricity,scr2094,dem,200.62924831300057
h0013,FR,electricity,scr2094,dem,216.774385402309
h0014,FR,electricity,scr2094,dem,209.89174981617094
h0015,FR,electricity,scr2094,dem,181.61687958498857
h0016,FR,electricity,scr2094,dem,154.9253947286556
h0017,FR,electricity,scr2094,dem,131.61116109929625
h0018,FR,electricity,scr2094,dem,126.29280504321967
h0019,FR,electricity,scr2094,dem,112.92049237714
h0020,FR,electricity,scr2094,dem,111.7921369432824
h0021,FR,electricity,scr2094,dem,97.9135256813805
h0022,FR,electricity,scr2094,dem,110.36829832732589
