timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0078,CH,electricity,scr2008,dem,2.7558290440656146
h0079,CH,electricity,scr2008,dem,2.8522620813113813
h0080,CH,electricity,scr2008,dem,3.1763668328354004
h0081,CH,electricity,scr2008,dem,3.653067167252975
h0082,CH,electricity,scr2008,dem,3.9823180678797865
h0083,CH,electricity,scr2008,dem,3.7163844034105615
h0084,CH,electricity,scr2008,dem,3.8880545663661854
h0085,CH,electricity,scr2008,dem,3.5121795864652574
h0086,CH,electricity,scr2008,dem,3.9640993424386846
h0087,CH,electricity,scr2008,dem,3.857675840882173
h0088,CH,electricity,scr2008,dem,4.276184394693549
h0089,CH,electricity,scr2008,dem,4.37166793776058
h0090,CH,electricity,scr2008,dem,6.623359447814449
h0091,CH,electricity,scr2008,dem,7.72327526609997
h0092,CH,electricity,scr2008,dem,10.005426871675859
h0093,CH,electricity,scr2008,dem,11.83921013642711
h0094,CH,electricity,scr2008,dem,11.834287407605963
h0095,CH,electricity,scr2008,dem,10.908661491115323
h0096,CH,electricity,scr2008,dem,9.340605814850074
h0001,DE,electricity,scr2008,dem,117.20606596484747
h0002,DE,electricity,scr2008,dem,124.3126210028734
h0003,DE,electricity,scr2008,dem,132.76084206999315
h0004,DE,electricity,scr2008,dem,136.30997564834894
h0005,DE,electricity,scr2008,dem,135.14085923517445
h0006,DE,electricity,scr2008,dem,147.44855178514456
h0007,DE,electricity,scr2008,dem,144.16736270270803
h0008,DE,electricity,scr2008,dem,144.63162844289218
h0009,DE,electricity,scr2008,dem,128.62604818624027
h0010,DE,electricity,scr2008,dem,141.4998443542774
h0011,DE,electricity,scr2008,dem,156.88035325597372
h0012,DE,electricity,scr2008,dem,167.54009450112795
h0013,DE,electricity,scr2008,dem,170.13433421211585
h0014,DE,electricity,scr2008,dem,168.0656283028748
h0015,DE,electricity,scr2008,dem,195.87796401596108
h0016,DE,electricity,scr2008,dem,230.29769757196755
h0017,DE,electricity,scr2008,dem,261.7639490305382
h0018,DE,electricity,scr2008,dem,271.09160842233456
h0019,DE,electricity,scr2008,dem,271.9881352074235
h0020,DE,electricity,scr2008,dem,279.9648059343685
h0021,DE,electricity,scr2008,dem,258.83805802331005
h0022,DE,electricity,scr2008,dem,234.69560759680917
h0023,DE,electricity,scr2008,dem,192.28582303755604
h0024,DE,electricity,scr2008,dem,161.65549737154709
h0025,DE,electricity,scr2008,dem,140.23589736045398
h0026,DE,electricity,scr2008,dem,129.4216875199532
h0027,DE,electricity,scr2008,dem,125.55709706316499
h0028,DE,electricity,scr2008,dem,124.3480126358866
h0029,DE,electricity,scr2008,dem,118.41219536587023
h0030,DE,electricity,scr2008,dem,124.6844548164217
h0031,DE,electricity,scr2008,dem,132.00089790044797
h0032,DE,electricity,scr2008,dem,113.7922611982945
h0033,DE,electricity,scr2008,dem,95.55828569904646
h0034,DE,electricity,scr2008,dem,60.884432450689545
h0035,DE,electricity,scr2008,dem,58.59535455467608
h0036,DE,electricity,scr2008,dem,57.99080007148147
h0037,DE,electricity,scr2008,dem,61.00016967105134
h0038,DE,electricity,scr2008,dem,80.88429669778388
h0039,DE,electricity,scr2008,dem,84.18447215168355
