technology_1,technology_2,technology_3,timestep_2,parameter_1,value_1,parameter_2,value_2,source
solar,openspace_c,cspOpenspace_c,2035,costExpConv,2162.86,costOprConv,54.07,
solar,openspace_c,cspOpenspace_c,2040,costExpConv,2070.12,costOprConv,51.75,
solar,openspace_c,cspOpenspace_c,2045,costExpConv,2006.02,costOprConv,50.15,
solar,openspace_c,cspOpenspace_c,2050,costExpConv,1974.25,costOprConv,49.36,
solar,rooftopInd_a,pvInd_a,2020,costExpConv,819.89,costOprConv,20.5,
solar,rooftopInd_a,pvInd_a,2025,costExpConv,675.22,costOprConv,16.88,
solar,rooftopInd_a,pvInd_a,2030,costExpConv,585.13,costOprConv,14.63,
solar,rooftopInd_a,pvInd_a,2035,costExpConv,523.25,costOprConv,13.08,
solar,rooftopInd_a,pvInd_a,2040,costExpConv,460.25,costOprConv,11.51,
solar,rooftopInd_a,pvInd_a,2045,costExpConv,423.83,costOprConv,10.6,
solar,rooftopInd_a,pvInd_a,2050,costExpConv,407.27,costOprConv,10.18,
solar,rooftopInd_b,pvInd_b,2020,costExpConv,819.89,costOprConv,20.5,
solar,rooftopInd_b,pvInd_b,2025,costExpConv,675.22,costOprConv,16.88,
solar,rooftopInd_b,pvInd_b,2030,costExpConv,585.13,costOprConv,14.63,
solar,rooftopInd_b,pvInd_b,2035,costExpConv,523.25,costOprConv,13.08,
solar,rooftopInd_b,pvInd_b,2040,costExpConv,460.25,costOprConv,11.51,
solar,rooftopInd_b,pvInd_b,2045,costExpConv,423.83,costOprConv,10.6,
solar,rooftopInd_b,pvInd_b,2050,costExpConv,407.27,costOprConv,10.18,
solar,rooftopResi_a,pvResi_a,2020,costExpConv,1184.28,costOprConv,29.61,
solar,rooftopResi_a,pvResi_a,2025,costExpConv,975.31,costOprConv,24.38,
solar,rooftopResi_a,pvResi_a,2030,costExpConv,845.19,costOprConv,21.13,
solar,rooftopResi_a,pvResi_a,2035,costExpConv,755.81,costOprConv,18.9,
solar,rooftopResi_a,pvResi_a,2040,costExpConv,664.81,costOprConv,16.62,
solar,rooftopResi_a,pvResi_a,2045,costExpConv,612.2,costOprConv,15.31,
solar,rooftopResi_a,pvResi_a,2050,costExpConv,588.28,costOprConv,14.71,
solar,rooftopResi_b,pvResi_b,2020,costExpConv,1184.28,costOprConv,29.61,
solar,rooftopResi_b,pvResi_b,2025,costExpConv,975.31,costOprConv,24.38,
solar,rooftopResi_b,pvResi_b,2030,costExpConv,845.19,costOprConv,21.13,
solar,rooftopResi_b,pvResi_b,2035,costExpConv,755.81,costOprConv,18.9,
solar,rooftopResi_b,pvResi_b,2040,costExpConv,664.81,costOprConv,16.62,
solar,rooftopResi_b,pvResi_b,2045,costExpConv,612.2,costOprConv,15.31,
solar,rooftopResi_b,pvResi_b,2050,costExpConv,588.28,costOprConv,14.71,
solar,rooftopResi_a,solarThermalResi_a,2020,costExpConv,1100,costOprConv,13.2,
solar,rooftopResi_a,solarThermalResi_a,2025,costExpConv,950,costOprConv,11.4,
solar,rooftopResi_a,solarThermalResi_a,2030,costExpConv,800,costOprConv,9.6,
solar,rooftopResi_a,solarThermalResi_a,2035,costExpConv,750,costOprConv,9,
solar,rooftopResi_a,solarThermalResi_a,2040,costExpConv,700,costOprConv,8.4,
solar,rooftopResi_a,solarThermalResi_a,2045,costExpConv,660,costOprConv,7.92,
solar,rooftopResi_a,solarThermalResi_a,2050,costExpConv,620,costOprConv,7.44,
solar,rooftopResi_a,solarThermalResiLh_a,2020,costExpConv,1100,costOprConv,13.2,
solar,rooftopResi_a,solarThermalResiLh_a,2025,costExpConv,950,costOprConv,11.4,
solar,rooftopResi_a,solarThermalResiLh_a,2030,costExpConv,800,costOprConv,9.6,
solar,rooftopResi_a,solarThermalResiLh_a,2035,costExpConv,750,costOprConv,9,
solar,rooftopResi_a,solarThermalResiLh_a,2040,costExpConv,700,costOprConv,8.4,
solar,rooftopResi_a,solarThermalResiLh_a,2045,costExpConv,660,costOprConv,7.92,
solar,rooftopResi_a,solarThermalResiLh_a,2050,costExpConv,620,costOprConv,7.44,
solar,rooftopResi_b,solarThermalResi_b,2020,costExpConv,1100,costOprConv,13.2,
solar,rooftopResi_b,solarThermalResi_b,2025,costExpConv,950,costOprConv,11.4,
solar,rooftopResi_b,solarThermalResi_b,2030,costExpConv,800,costOprConv,9.6,
solar,rooftopResi_b,solarThermalResi_b,2035,costExpConv,750,costOprConv,9,
solar,rooftopResi_b,solarThermalResi_b,2040,costExpConv,700,costOprConv,8.4,
solar,rooftopResi_b,solarThermalResi_b,2045,costExpConv,660,costOprConv,7.92,
solar,rooftopResi_b,solarThermalResi_b,2050,costExpConv,620,costOprConv,7.44,
solar,rooftopResi_b,solarThermalResiLh_b,2020,costExpConv,1100,costOprConv,13.2,
solar,rooftopResi_b,solarThermalResiLh_b,2025,costExpConv,950,costOprConv,11.4,
solar,rooftopResi_b,solarThermalResiLh_b,2030,costExpConv,800,costOprConv,9.6,
solar,rooftopResi_b,solarThermalResiLh_b,2035,costExpConv,750,costOprConv,9,
solar,rooftopResi_b,solarThermalResiLh_b,2040,costExpConv,700,costOprConv,8.4,
solar,rooftopResi_b,solarThermalResiLh_b,2045,costExpConv,660,costOprConv,7.92,
solar,rooftopResi_b,solarThermalResiLh_b,2050,costExpConv,620,costOprConv,7.44,
solar,rooftopInd_a,solarThermalInd_a,2020,costExpConv,1100,costOprConv,13.2,
solar,rooftopInd_a,solarThermalInd_a,2025,costExpConv,950,costOprConv,11.4,
solar,rooftopInd_a,solarThermalInd_a,2030,costExpConv,800,costOprConv,9.6,
solar,rooftopInd_a,solarThermalInd_a,2035,costExpConv,750,costOprConv,9,
solar,rooftopInd_a,solarThermalInd_a,2040,costExpConv,700,costOprConv,8.4,
solar,rooftopInd_a,solarThermalInd_a,2045,costExpConv,660,costOprConv,7.92,
solar,rooftopInd_a,solarThermalInd_a,2050,costExpConv,620,costOprConv,7.44,
solar,rooftopInd_b,solarThermalInd_b,2020,costExpConv,1100,costOprConv,13.2,
solar,rooftopInd_b,solarThermalInd_b,2025,costExpConv,950,costOprConv,11.4,
solar,rooftopInd_b,solarThermalInd_b,2030,costExpConv,800,costOprConv,9.6,
solar,rooftopInd_b,solarThermalInd_b,2035,costExpConv,750,costOprConv,9,
solar,rooftopInd_b,solarThermalInd_b,2040,costExpConv,700,costOprConv,8.4,
solar,rooftopInd_b,solarThermalInd_b,2045,costExpConv,660,costOprConv,7.92,
solar,rooftopInd_b,solarThermalInd_b,2050,costExpConv,620,costOprConv,7.44,
solar,rooftopResi_b,solarThermalResi_b,,effConv,3,,,"since thermal and pv are subject to a shared capacity constraint in GW_pv, the efficiency here is used to scale up the output of thermal systems to GW_thermal"
solar,rooftopResi_b,solarThermalResiLh_b,,effConv,3,,,assumes 500 W/m2 for thermal and 166.67 W/m2 for pv 
solar,rooftopInd_a,solarThermalInd_a,,effConv,3,,,
solar,rooftopInd_b,solarThermalInd_b,,effConv,3,,,
solar,openspace_a,cspOpenspace_a,,effConv,0.753,,,"based on NREL (2013), Land-Use Requirements for Solar Power Plants in the United States"
solar,openspace_b,cspOpenspace_b,,effConv,0.753,,,
solar,openspace_c,cspOpenspace_c,,,,,,
solar,,solarThermalDh,2020,costExpConv,580,costOprConv,6.96,
solar,,solarThermalDh,2025,costExpConv,520,costOprConv,6.24,
solar,,solarThermalDh,2030,costExpConv,460,costOprConv,5.52,
solar,,solarThermalDh,2035,costExpConv,430,costOprConv,5.16,
solar,,solarThermalDh,2040,costExpConv,400,costOprConv,4.8,
solar,,solarThermalDh,2045,costExpConv,390,costOprConv,4.68,
solar,,solarThermalDh,2050,costExpConv,380,costOprConv,4.56,
solar,openspace_a,,,lifeConv,25,,,
solar,openspace_b,,,lifeConv,25,,,
solar,openspace_c,,,lifeConv,25,,,
solar,rooftopInd_a,,,lifeConv,25,,,
solar,rooftopInd_b,,,lifeConv,25,,,
solar,rooftopResi_a,,,lifeConv,25,,,
solar,rooftopResi_b,,,lifeConv,25,,,
solar,,solarThermalDh,,lifeConv,30,,,
