region_4,technology_3,timestep_2,parameter,value
29LU,districtHeatSpace,2040,capaConvLow,0.248985631
29LU,districtHeatSpace,2045,capaConvLow,0.221103869
29LU,districtHeatSpace,2050,capaConvLow,0.193222108
30NL,districtHeatSpace,2020,capaConvLow,2.847599874
30NL,districtHeatSpace,2025,capaConvLow,2.435336312
30NL,districtHeatSpace,2030,capaConvLow,2.15238765
30NL,districtHeatSpace,2035,capaConvLow,1.955463857
30NL,districtHeatSpace,2040,capaConvLow,1.758540064
30NL,districtHeatSpace,2045,capaConvLow,1.561616272
30NL,districtHeatSpace,2050,capaConvLow,1.364692479
31DE,districtHeatSpace,2020,capaConvLow,4.940331535
31DE,districtHeatSpace,2025,capaConvLow,4.939422505
31DE,districtHeatSpace,2030,capaConvLow,4.365537501
31DE,districtHeatSpace,2035,capaConvLow,3.966130729
31DE,districtHeatSpace,2040,capaConvLow,3.566723958
31DE,districtHeatSpace,2045,capaConvLow,3.167317187
31DE,districtHeatSpace,2050,capaConvLow,2.767910415
32DE,districtHeatSpace,2020,capaConvLow,3.06122753
32DE,districtHeatSpace,2025,capaConvLow,3.060664259
32DE,districtHeatSpace,2030,capaConvLow,2.705062097
32DE,districtHeatSpace,2035,capaConvLow,2.457573645
32DE,districtHeatSpace,2040,capaConvLow,2.210085193
32DE,districtHeatSpace,2045,capaConvLow,1.962596741
32DE,districtHeatSpace,2050,capaConvLow,1.715108289
33DE,districtHeatSpace,2020,capaConvLow,6.459462691
33DE,districtHeatSpace,2025,capaConvLow,6.458274138
33DE,districtHeatSpace,2030,capaConvLow,5.70792191
33DE,districtHeatSpace,2035,capaConvLow,5.185699237
33DE,districtHeatSpace,2040,capaConvLow,4.663476565
33DE,districtHeatSpace,2045,capaConvLow,4.141253892
33DE,districtHeatSpace,2050,capaConvLow,3.619031219
34DE,districtHeatSpace,2020,capaConvLow,3.083416262
34DE,districtHeatSpace,2025,capaConvLow,3.082848908
34DE,districtHeatSpace,2030,capaConvLow,2.72466923
34DE,districtHeatSpace,2035,capaConvLow,2.475386905
34DE,districtHeatSpace,2040,capaConvLow,2.226104579
34DE,districtHeatSpace,2045,capaConvLow,1.976822254
34DE,districtHeatSpace,2050,capaConvLow,1.727539928
35DE,districtHeatSpace,2020,capaConvLow,4.216070932
35DE,districtHeatSpace,2025,capaConvLow,4.215295168
35DE,districtHeatSpace,2030,capaConvLow,3.725542634
35DE,districtHeatSpace,2035,capaConvLow,3.384689542
35DE,districtHeatSpace,2040,capaConvLow,3.04383645
35DE,districtHeatSpace,2045,capaConvLow,2.702983358
35DE,districtHeatSpace,2050,capaConvLow,2.362130266
36DE,districtHeatSpace,2020,capaConvLow,4.176243438
36DE,districtHeatSpace,2025,capaConvLow,4.175475002
36DE,districtHeatSpace,2030,capaConvLow,3.69034896
36DE,districtHeatSpace,2035,capaConvLow,3.352715767
36DE,districtHeatSpace,2040,capaConvLow,3.015082575
36DE,districtHeatSpace,2045,capaConvLow,2.677449382
36DE,districtHeatSpace,2050,capaConvLow,2.33981619
37DE,districtHeatSpace,2020,capaConvLow,4.984813559
37DE,districtHeatSpace,2025,capaConvLow,4.983896345
37DE,districtHeatSpace,2030,capaConvLow,4.404844163
37DE,districtHeatSpace,2035,capaConvLow,4.001841192
37DE,districtHeatSpace,2040,capaConvLow,3.59883822
37DE,districtHeatSpace,2045,capaConvLow,3.195835248
37DE,districtHeatSpace,2050,capaConvLow,2.792832277
38DK,districtHeatSpace,2020,capaConvLow,6.504265313
38DK,districtHeatSpace,2025,capaConvLow,6.504265313
38DK,districtHeatSpace,2030,capaConvLow,5.979019609
38DK,districtHeatSpace,2035,capaConvLow,5.431993976
38DK,districtHeatSpace,2040,capaConvLow,4.884968342
38DK,districtHeatSpace,2045,capaConvLow,4.337942708
38DK,districtHeatSpace,2050,capaConvLow,3.790917074
39CZ,districtHeatSpace,2020,capaConvLow,4.340879735
39CZ,districtHeatSpace,2025,capaConvLow,3.877031253
39CZ,districtHeatSpace,2030,capaConvLow,3.426579789
39CZ,districtHeatSpace,2035,capaConvLow,3.113079064
39CZ,districtHeatSpace,2040,capaConvLow,2.79957834
39CZ,districtHeatSpace,2045,capaConvLow,2.486077615
39CZ,districtHeatSpace,2050,capaConvLow,2.17257689
40CZ,districtHeatSpace,2020,capaConvLow,3.402774328
40CZ,districtHeatSpace,2025,capaConvLow,3.039167916
40CZ,districtHeatSpace,2030,capaConvLow,2.686063298
40CZ,districtHeatSpace,2035,capaConvLow,2.440313063
40CZ,districtHeatSpace,2040,capaConvLow,2.194562827
40CZ,districtHeatSpace,2045,capaConvLow,1.948812591
40CZ,districtHeatSpace,2050,capaConvLow,1.703062356
41PL,districtHeatSpace,2020,capaConvLow,5.874664901
41PL,districtHeatSpace,2025,capaConvLow,5.013523263
41PL,districtHeatSpace,2030,capaConvLow,4.431028889
41PL,districtHeatSpace,2035,capaConvLow,4.025630254
41PL,districtHeatSpace,2040,capaConvLow,3.620231619
41PL,districtHeatSpace,2045,capaConvLow,3.214832985
41PL,districtHeatSpace,2050,capaConvLow,2.80943435
42PL,districtHeatSpace,2020,capaConvLow,4.218700741
42PL,districtHeatSpace,2025,capaConvLow,3.600299704
42PL,districtHeatSpace,2030,capaConvLow,3.182000194
42PL,districtHeatSpace,2035,capaConvLow,2.890876267
42PL,districtHeatSpace,2040,capaConvLow,2.599752339
42PL,districtHeatSpace,2045,capaConvLow,2.308628411
42PL,districtHeatSpace,2050,capaConvLow,2.017504483
43PL,districtHeatSpace,2020,capaConvLow,5.712958544
43PL,districtHeatSpace,2025,capaConvLow,4.875520739
43PL,districtHeatSpace,2030,capaConvLow,4.309060138
43PL,districtHeatSpace,2035,capaConvLow,3.914820529
43PL,districtHeatSpace,2040,capaConvLow,3.52058092
43PL,districtHeatSpace,2045,capaConvLow,3.126341311
43PL,districtHeatSpace,2050,capaConvLow,2.732101702
44PL,districtHeatSpace,2020,capaConvLow,5.20272197
44PL,districtHeatSpace,2025,capaConvLow,4.440077531
44PL,districtHeatSpace,2030,capaConvLow,3.92420874
44PL,districtHeatSpace,2035,capaConvLow,3.565179516
44PL,districtHeatSpace,2040,capaConvLow,3.206150291
44PL,districtHeatSpace,2045,capaConvLow,2.847121067
44PL,districtHeatSpace,2050,capaConvLow,2.488091842
45PL,districtHeatSpace,2020,capaConvLow,3.956526439
45PL,districtHeatSpace,2025,capaConvLow,3.376556395
45PL,districtHeatSpace,2030,capaConvLow,2.98425242
45PL,districtHeatSpace,2035,capaConvLow,2.711220606
45PL,districtHeatSpace,2040,capaConvLow,2.438188792
45PL,districtHeatSpace,2045,capaConvLow,2.165156977
45PL,districtHeatSpace,2050,capaConvLow,1.892125163
46SK,districtHeatSpace,2020,capaConvLow,2.523891568
46SK,districtHeatSpace,2025,capaConvLow,2.25067135
46SK,districtHeatSpace,2030,capaConvLow,1.989177919
46SK,districtHeatSpace,2035,capaConvLow,1.807186325
46SK,districtHeatSpace,2040,capaConvLow,1.62519473
46SK,districtHeatSpace,2045,capaConvLow,1.443203136
46SK,districtHeatSpace,2050,capaConvLow,1.261211541
47CH,districtHeatSpace,2020,capaConvLow,0.959061039
47CH,districtHeatSpace,2025,capaConvLow,0.95888457
47CH,districtHeatSpace,2030,capaConvLow,0.847476915
47CH,districtHeatSpace,2035,capaConvLow,0.769940525
47CH,districtHeatSpace,2040,capaConvLow,0.692404135
47CH,districtHeatSpace,2045,capaConvLow,0.614867745
47CH,districtHeatSpace,2050,capaConvLow,0.537331355
48CH,districtHeatSpace,2020,capaConvLow,0.119112209
48CH,districtHeatSpace,2025,capaConvLow,0.119090292
48CH,districtHeatSpace,2030,capaConvLow,0.10525383
48CH,districtHeatSpace,2035,capaConvLow,0.095624066
48CH,districtHeatSpace,2040,capaConvLow,0.085994303
48CH,districtHeatSpace,2045,capaConvLow,0.07636454
48CH,districtHeatSpace,2050,capaConvLow,0.066734777
49AT,districtHeatSpace,2020,capaConvLow,1.706473646
49AT,districtHeatSpace,2025,capaConvLow,1.706159652
49AT,districtHeatSpace,2030,capaConvLow,1.507930114
49AT,districtHeatSpace,2035,capaConvLow,1.369968294
49AT,districtHeatSpace,2040,capaConvLow,1.232006474
49AT,districtHeatSpace,2045,capaConvLow,1.094044655
49AT,districtHeatSpace,2050,capaConvLow,0.956082835
50AT,districtHeatSpace,2020,capaConvLow,2.387774465
50AT,districtHeatSpace,2025,capaConvLow,2.38733511
50AT,districtHeatSpace,2030,capaConvLow,2.10996345
50AT,districtHeatSpace,2035,capaConvLow,1.916921084
50AT,districtHeatSpace,2040,capaConvLow,1.723878718
50AT,districtHeatSpace,2045,capaConvLow,1.530836351
50AT,districtHeatSpace,2050,capaConvLow,1.337793985
51AT,districtHeatSpace,2020,capaConvLow,3.155829939
51AT,districtHeatSpace,2025,capaConvLow,3.155249261
51AT,districtHeatSpace,2030,capaConvLow,2.788657775
51AT,districtHeatSpace,2035,capaConvLow,2.533521082
51AT,districtHeatSpace,2040,capaConvLow,2.27838439
51AT,districtHeatSpace,2045,capaConvLow,2.023247698
51AT,districtHeatSpace,2050,capaConvLow,1.768111005
52IT,districtHeatSpace,2020,capaConvLow,4.130570375
52IT,districtHeatSpace,2025,capaConvLow,3.792335053
52IT,districtHeatSpace,2030,capaConvLow,3.351723986
52IT,districtHeatSpace,2035,capaConvLow,3.045071883
52IT,districtHeatSpace,2040,capaConvLow,2.73841978
52IT,districtHeatSpace,2045,capaConvLow,2.431767677
52IT,districtHeatSpace,2050,capaConvLow,2.125115573
53IT,districtHeatSpace,2020,capaConvLow,0.781593949
53IT,districtHeatSpace,2025,capaConvLow,0.717592453
53IT,districtHeatSpace,2030,capaConvLow,0.634219235
53IT,districtHeatSpace,2035,capaConvLow,0.576193973
53IT,districtHeatSpace,2040,capaConvLow,0.518168711
53IT,districtHeatSpace,2045,capaConvLow,0.460143449
53IT,districtHeatSpace,2050,capaConvLow,0.402118187
54IT,districtHeatSpace,2020,capaConvLow,1.505057267
54IT,districtHeatSpace,2025,capaConvLow,1.381814353
54IT,districtHeatSpace,2030,capaConvLow,1.221268756
54IT,districtHeatSpace,2035,capaConvLow,1.109533829
54IT,districtHeatSpace,2040,capaConvLow,0.997798903
54IT,districtHeatSpace,2045,capaConvLow,0.886063977
54IT,districtHeatSpace,2050,capaConvLow,0.774329051
55IT,districtHeatSpace,2020,capaConvLow,0.796303336
55IT,districtHeatSpace,2025,capaConvLow,0.73109735
55IT,districtHeatSpace,2030,capaConvLow,0.64615507
55IT,districtHeatSpace,2035,capaConvLow,0.587037789
55IT,districtHeatSpace,2040,capaConvLow,0.527920507
55IT,districtHeatSpace,2045,capaConvLow,0.468803225
55IT,districtHeatSpace,2050,capaConvLow,0.409685943
56IT,districtHeatSpace,2020,capaConvLow,0.489407082
56IT,districtHeatSpace,2025,capaConvLow,0.449331561
56IT,districtHeatSpace,2030,capaConvLow,0.397126137
56IT,districtHeatSpace,2035,capaConvLow,0.360792726
56IT,districtHeatSpace,2040,capaConvLow,0.324459315
56IT,districtHeatSpace,2045,capaConvLow,0.288125904
56IT,districtHeatSpace,2050,capaConvLow,0.251792493
57SI,districtHeatSpace,2020,capaConvLow,0.577436646
57SI,districtHeatSpace,2025,capaConvLow,0.571878325
57SI,districtHeatSpace,2030,capaConvLow,0.50543485
57SI,districtHeatSpace,2035,capaConvLow,0.459192182
57SI,districtHeatSpace,2040,capaConvLow,0.412949514
57SI,districtHeatSpace,2045,capaConvLow,0.366706846
57SI,districtHeatSpace,2050,capaConvLow,0.320464178
58HU,districtHeatSpace,2020,capaConvLow,3.563934963
58HU,districtHeatSpace,2025,capaConvLow,3.400788354
58HU,districtHeatSpace,2030,capaConvLow,3.005668998
58HU,districtHeatSpace,2035,capaConvLow,2.730677763
58HU,districtHeatSpace,2040,capaConvLow,2.455686527
58HU,districtHeatSpace,2045,capaConvLow,2.180695292
58HU,districtHeatSpace,2050,capaConvLow,1.905704057
59RO,districtHeatSpace,2020,capaConvLow,1.473644379
59RO,districtHeatSpace,2025,capaConvLow,1.260875217
59RO,districtHeatSpace,2030,capaConvLow,1.114380889
59RO,districtHeatSpace,2035,capaConvLow,1.012425226
59RO,districtHeatSpace,2040,capaConvLow,0.910469562
59RO,districtHeatSpace,2045,capaConvLow,0.808513898
59RO,districtHeatSpace,2050,capaConvLow,0.706558235
60RO,districtHeatSpace,2020,capaConvLow,2.077176937
60RO,districtHeatSpace,2025,capaConvLow,1.777267948
60RO,districtHeatSpace,2030,capaConvLow,1.570776719
60RO,districtHeatSpace,2035,capaConvLow,1.427065009
60RO,districtHeatSpace,2040,capaConvLow,1.283353299
60RO,districtHeatSpace,2045,capaConvLow,1.13964159
60RO,districtHeatSpace,2050,capaConvLow,0.99592988
61RO,districtHeatSpace,2020,capaConvLow,1.684820088
61RO,districtHeatSpace,2025,capaConvLow,1.441560748
61RO,districtHeatSpace,2030,capaConvLow,1.274073538
61RO,districtHeatSpace,2035,capaConvLow,1.157507457
61RO,districtHeatSpace,2040,capaConvLow,1.040941376
61RO,districtHeatSpace,2045,capaConvLow,0.924375295
61RO,districtHeatSpace,2050,capaConvLow,0.807809214
62HR,districtHeatSpace,2020,capaConvLow,1.010888879
62HR,districtHeatSpace,2025,capaConvLow,0.816279767
62HR,districtHeatSpace,2030,capaConvLow,0.7214406
62HR,districtHeatSpace,2035,capaConvLow,0.65543538
62HR,districtHeatSpace,2040,capaConvLow,0.589430161
62HR,districtHeatSpace,2045,capaConvLow,0.523424941
62HR,districtHeatSpace,2050,capaConvLow,0.457419722
63BA,districtHeatSpace,2020,capaConvLow,1.228573725
63BA,districtHeatSpace,2025,capaConvLow,1.051188594
63BA,districtHeatSpace,2030,capaConvLow,0.92905663
63BA,districtHeatSpace,2035,capaConvLow,0.844056442
63BA,districtHeatSpace,2040,capaConvLow,0.759056254
63BA,districtHeatSpace,2045,capaConvLow,0.674056065
63BA,districtHeatSpace,2050,capaConvLow,0.589055877
64ME,districtHeatSpace,2020,capaConvLow,0.227513653
64ME,districtHeatSpace,2025,capaConvLow,0.194664554
64ME,districtHeatSpace,2030,capaConvLow,0.172047524
64ME,districtHeatSpace,2035,capaConvLow,0.156306748
64ME,districtHeatSpace,2040,capaConvLow,0.140565973
64ME,districtHeatSpace,2045,capaConvLow,0.124825197
64ME,districtHeatSpace,2050,capaConvLow,0.109084422
65RS,districtHeatSpace,2020,capaConvLow,2.263846071
65RS,districtHeatSpace,2025,capaConvLow,1.936985236
65RS,districtHeatSpace,2030,capaConvLow,1.711937312
65RS,districtHeatSpace,2035,capaConvLow,1.555310699
65RS,districtHeatSpace,2040,capaConvLow,1.398684085
65RS,districtHeatSpace,2045,capaConvLow,1.242057472
65RS,districtHeatSpace,2050,capaConvLow,1.085430858
66BG,districtHeatSpace,2020,capaConvLow,2.753461338
66BG,districtHeatSpace,2025,capaConvLow,2.425593752
66BG,districtHeatSpace,2030,capaConvLow,2.143777025
66BG,districtHeatSpace,2035,capaConvLow,1.947641026
66BG,districtHeatSpace,2040,capaConvLow,1.751505027
66BG,districtHeatSpace,2045,capaConvLow,1.555369027
66BG,districtHeatSpace,2050,capaConvLow,1.359233028
67MK,districtHeatSpace,2020,capaConvLow,0.823526195
67MK,districtHeatSpace,2025,capaConvLow,0.704623031
67MK,districtHeatSpace,2030,capaConvLow,0.622756661
67MK,districtHeatSpace,2035,capaConvLow,0.56578012
67MK,districtHeatSpace,2040,capaConvLow,0.508803579
67MK,districtHeatSpace,2045,capaConvLow,0.451827037
67MK,districtHeatSpace,2050,capaConvLow,0.394850496
68GR,districtHeatSpace,2020,capaConvLow,0.113448741
68GR,districtHeatSpace,2025,capaConvLow,0.081708946
68GR,districtHeatSpace,2030,capaConvLow,0.072215622
68GR,districtHeatSpace,2035,capaConvLow,0.065608552
68GR,districtHeatSpace,2040,capaConvLow,0.059001483
68GR,districtHeatSpace,2045,capaConvLow,0.052394414
68GR,districtHeatSpace,2050,capaConvLow,0.045787345
69GR,districtHeatSpace,2020,capaConvLow,0.163167406
69GR,districtHeatSpace,2025,capaConvLow,0.117517714
69GR,districtHeatSpace,2030,capaConvLow,0.103863961
69GR,districtHeatSpace,2035,capaConvLow,0.094361358
