timestep_2,region_4,technology_3,parameter,value,source,see heatInputs
2020,02ES,oilLiquidBoilerSpaceStock,capaConvResi,1.65493,,
2025,02ES,oilLiquidBoilerSpaceStock,capaConvResi,0.95774,,
2030,02ES,oilLiquidBoilerSpaceStock,capaConvResi,0.63485,,
2035,02ES,oilLiquidBoilerSpaceStock,capaConvResi,0.38451,,
2040,02ES,oilLiquidBoilerSpaceStock,capaConvResi,0.17289,,
2020,02ES,resistiveHeatSpaceStock,capaConvResi,0.67249,,
2025,02ES,resistiveHeatSpaceStock,capaConvResi,0.38918,,
2030,02ES,resistiveHeatSpaceStock,capaConvResi,0.25797,,
2035,02ES,resistiveHeatSpaceStock,capaConvResi,0.15625,,
2040,02ES,resistiveHeatSpaceStock,capaConvResi,0.07025,,
2020,02ES,coalBoilerSpaceStock,capaConvResi,0.03634,,
2025,02ES,coalBoilerSpaceStock,capaConvResi,0.02103,,
2030,02ES,coalBoilerSpaceStock,capaConvResi,0.01394,,
2035,02ES,coalBoilerSpaceStock,capaConvResi,0.00844,,
2040,02ES,coalBoilerSpaceStock,capaConvResi,0.00379,,
2020,02ES,heatpumpAirSpace,capaConvResi,0.02006,,
2025,02ES,heatpumpAirSpace,capaConvResi,0.0116,,
2030,02ES,heatpumpAirSpace,capaConvResi,0.00769,,
2035,02ES,heatpumpAirSpace,capaConvResi,0.00466,,
2040,02ES,heatpumpAirSpace,capaConvResi,0.00209,,
2020,03ES,coalBoilerProHigh,capaConvResi,0.03583,,
2025,03ES,coalBoilerProHigh,capaConvResi,0.02986,,
2030,03ES,coalBoilerProHigh,capaConvResi,0.02388,,
2035,03ES,coalBoilerProHigh,capaConvResi,0.01791,,
2040,03ES,coalBoilerProHigh,capaConvResi,0.01194,,
2045,03ES,coalBoilerProHigh,capaConvResi,0.00597,,
2020,03ES,eBoilerProHigh,capaConvResi,0.02022,,
2025,03ES,eBoilerProHigh,capaConvResi,0.01685,,
2030,03ES,eBoilerProHigh,capaConvResi,0.01348,,
2035,03ES,eBoilerProHigh,capaConvResi,0.01011,,
2040,03ES,eBoilerProHigh,capaConvResi,0.00674,,
2045,03ES,eBoilerProHigh,capaConvResi,0.00337,,
2020,03ES,gasBoilerProHigh,capaConvResi,0.1507,,
2025,03ES,gasBoilerProHigh,capaConvResi,0.12558,,
2030,03ES,gasBoilerProHigh,capaConvResi,0.10046,,
2035,03ES,gasBoilerProHigh,capaConvResi,0.07535,,
2040,03ES,gasBoilerProHigh,capaConvResi,0.05023,,
2045,03ES,gasBoilerProHigh,capaConvResi,0.02511,,
2020,03ES,oilBoilerProHigh,capaConvResi,0.08804,,
2025,03ES,oilBoilerProHigh,capaConvResi,0.07337,,
2030,03ES,oilBoilerProHigh,capaConvResi,0.05869,,
2035,03ES,oilBoilerProHigh,capaConvResi,0.04402,,
2040,03ES,oilBoilerProHigh,capaConvResi,0.02934,,
2045,03ES,oilBoilerProHigh,capaConvResi,0.01467,,
2020,03ES,bioBoilerProLow,capaConvResi,0.01066,,
2025,03ES,bioBoilerProLow,capaConvResi,0.00888,,
2030,03ES,bioBoilerProLow,capaConvResi,0.0071,,
2035,03ES,bioBoilerProLow,capaConvResi,0.00533,,
2040,03ES,bioBoilerProLow,capaConvResi,0.00355,,
2045,03ES,bioBoilerProLow,capaConvResi,0.00177,,
2020,03ES,ccgtGasBackProLow,capaConvResi,0.00461,,
2025,03ES,ccgtGasBackProLow,capaConvResi,0.00384,,
2030,03ES,ccgtGasBackProLow,capaConvResi,0.00307,,
2035,03ES,ccgtGasBackProLow,capaConvResi,0.0023,,
2040,03ES,ccgtGasBackProLow,capaConvResi,0.00153,,
2045,03ES,ccgtGasBackProLow,capaConvResi,0.00076,,
2020,03ES,districtHeatPro,capaConvResi,0.00137,,
2025,03ES,districtHeatPro,capaConvResi,0.00114,,
2030,03ES,districtHeatPro,capaConvResi,0.00091,,
2035,03ES,districtHeatPro,capaConvResi,0.00068,,
2040,03ES,districtHeatPro,capaConvResi,0.00045,,
2045,03ES,districtHeatPro,capaConvResi,0.00022,,
2020,03ES,gasBoilerProLow,capaConvResi,0.02747,,
2025,03ES,gasBoilerProLow,capaConvResi,0.02289,,
2030,03ES,gasBoilerProLow,capaConvResi,0.01831,,
2035,03ES,gasBoilerProLow,capaConvResi,0.01373,,
2040,03ES,gasBoilerProLow,capaConvResi,0.00915,,
2045,03ES,gasBoilerProLow,capaConvResi,0.00457,,
2020,03ES,eBoilerProLow,capaConvResi,0.00353,,
2025,03ES,eBoilerProLow,capaConvResi,0.00294,,
2030,03ES,eBoilerProLow,capaConvResi,0.00235,,
2035,03ES,eBoilerProLow,capaConvResi,0.00176,,
2040,03ES,eBoilerProLow,capaConvResi,0.00117,,
2045,03ES,eBoilerProLow,capaConvResi,0.00058,,
