timestep_2,region_4,technology_1,technology_2,technology_3,parameter,value
all,10ES,ccgt,ccgtProMed,,capaConvUp,0.0064
all,11ES,ccgt,ccgtProMed,,capaConvUp,0.0388
all,12PT,ccgt,ccgtProMed,,capaConvUp,0.0372
all,13PT,ccgt,ccgtProMed,,capaConvUp,0.0197
all,14FR,ccgt,ccgtProMed,,capaConvUp,0.2005
all,15FR,ccgt,ccgtProMed,,capaConvUp,0.0713
all,16FR,ccgt,ccgtProMed,,capaConvUp,0.1616
all,17FR,ccgt,ccgtProMed,,capaConvUp,0.1891
all,18FR,ccgt,ccgtProMed,,capaConvUp,0.0928
all,19FR,ccgt,ccgtProMed,,capaConvUp,0.1576
all,20FR,ccgt,ccgtProMed,,capaConvUp,0.1283
all,21FR,ccgt,ccgtProMed,,capaConvUp,0.2717
all,22FR,ccgt,ccgtProMed,,capaConvUp,0.0132
all,23FR,ccgt,ccgtProMed,,capaConvUp,1.2585
all,24FR,ccgt,ccgtProMed,,capaConvUp,0.0621
all,25FR,ccgt,ccgtProMed,,capaConvUp,0.2331
all,26FR,ccgt,ccgtProMed,,capaConvUp,0.2346
all,27FR,ccgt,ccgtProMed,,capaConvUp,0.042
all,28BE,ccgt,ccgtProMed,,capaConvUp,0.0689
all,30NL,ccgt,ccgtProMed,,capaConvUp,4.1698
all,31DE,ccgt,ccgtProMed,,capaConvUp,0.3369
all,32DE,ccgt,ccgtProMed,,capaConvUp,0.152
all,33DE,ccgt,ccgtProMed,,capaConvUp,0.5739
all,34DE,ccgt,ccgtProMed,,capaConvUp,0.2558
all,35DE,ccgt,ccgtProMed,,capaConvUp,0.4043
all,36DE,ccgt,ccgtProMed,,capaConvUp,0.4324
all,37DE,ccgt,ccgtProMed,,capaConvUp,0.4797
all,38DK,ccgt,ccgtProMed,,capaConvUp,0.2981
all,39CZ,ccgt,ccgtProMed,,capaConvUp,0.1665
all,40CZ,ccgt,ccgtProMed,,capaConvUp,0.1419
all,41PL,ccgt,ccgtProMed,,capaConvUp,0.0585
all,42PL,ccgt,ccgtProMed,,capaConvUp,0.0325
all,43PL,ccgt,ccgtProMed,,capaConvUp,0.0518
all,44PL,ccgt,ccgtProMed,,capaConvUp,0.0574
all,45PL,ccgt,ccgtProMed,,capaConvUp,0.0385
all,47CH,ccgt,ccgtProMed,,capaConvUp,0.1046
all,48CH,ccgt,ccgtProMed,,capaConvUp,0.0109
all,49AT,ccgt,ccgtProMed,,capaConvUp,0.0243
all,50AT,ccgt,ccgtProMed,,capaConvUp,0.0449
all,51AT,ccgt,ccgtProMed,,capaConvUp,0.03
all,52IT,ccgt,ccgtProMed,,capaConvUp,0.1836
all,53IT,ccgt,ccgtProMed,,capaConvUp,0.0343
all,54IT,ccgt,ccgtProMed,,capaConvUp,0.0642
all,55IT,ccgt,ccgtProMed,,capaConvUp,0.0246
all,56IT,ccgt,ccgtProMed,,capaConvUp,0.0173
all,59RO,ccgt,ccgtProMed,,capaConvUp,0.1371
all,60RO,ccgt,ccgtProMed,,capaConvUp,0.2168
all,61RO,ccgt,ccgtProMed,,capaConvUp,0.0994
all,63BA,ccgt,ccgtProMed,,capaConvUp,0.2219
all,64ME,ccgt,ccgtProMed,,capaConvUp,0.0401
all,65RS,ccgt,ccgtProMed,,capaConvUp,0.4659
all,67MK,ccgt,ccgtProMed,,capaConvUp,0.1335
all,68GR,ccgt,ccgtProMed,,capaConvUp,0.0118
all,69GR,ccgt,ccgtProMed,,capaConvUp,0.0212
all,70AL,ccgt,ccgtProMed,,capaConvUp,0.1896
all,72DK,ccgt,ccgtProMed,,capaConvUp,0.1222
all,73EE,ccgt,ccgtProMed,,capaConvUp,0.033
all,74FI,ccgt,ccgtProMed,,capaConvUp,0.0115
all,75FI,ccgt,ccgtProMed,,capaConvUp,0.1409
all,77LT,ccgt,ccgtProMed,,capaConvUp,0.0665
all,87SE,ccgt,ccgtProMed,,capaConvUp,0.012
all,88SE,ccgt,ccgtProMed,,capaConvUp,0.0409
all,89SE,ccgt,ccgtProMed,,capaConvUp,0.0112
all,90UK,ccgt,ccgtProMed,,capaConvUp,0.1307
all,91UK,ccgt,ccgtProMed,,capaConvUp,0.0325
all,92UK,ccgt,ccgtProMed,,capaConvUp,0.1904
all,93UK,ccgt,ccgtProMed,,capaConvUp,0.0515
all,94UK,ccgt,ccgtProMed,,capaConvUp,0.0205
all,95UK,ccgt,ccgtProMed,,capaConvUp,0.0155
all,98IT,ccgt,ccgtProMed,,capaConvUp,0.0088
all,99FR,ccgt,ccgtProMed,,capaConvUp,0.0061
