timestep_2,region_4,technology_3,parameter,value,source
2030,01ES,ccgtGasBackProMedStock,capaConvResi,0.00552,
2035,01ES,ccgtGasBackProMedStock,capaConvResi,0.00414,
2040,01ES,ccgtGasBackProMedStock,capaConvResi,0.00276,
2045,01ES,ccgtGasBackProMedStock,capaConvResi,0.00138,
2020,01ES,coalBoilerProMedStock,capaConvResi,0.01274,
2025,01ES,coalBoilerProMedStock,capaConvResi,0.01062,
2030,01ES,coalBoilerProMedStock,capaConvResi,0.0085,
2035,01ES,coalBoilerProMedStock,capaConvResi,0.00637,
2040,01ES,coalBoilerProMedStock,capaConvResi,0.00425,
2045,01ES,coalBoilerProMedStock,capaConvResi,0.00213,
2020,01ES,eBoilerProMed,capaConvResi,0.01027,
2025,01ES,eBoilerProMed,capaConvResi,0.00856,
2030,01ES,eBoilerProMed,capaConvResi,0.00685,
2035,01ES,eBoilerProMed,capaConvResi,0.00514,
2040,01ES,eBoilerProMed,capaConvResi,0.00343,
2045,01ES,eBoilerProMed,capaConvResi,0.00172,
2020,01ES,gasBoilerProMedStock,capaConvResi,0.10758,
2025,01ES,gasBoilerProMedStock,capaConvResi,0.08965,
2030,01ES,gasBoilerProMedStock,capaConvResi,0.07172,
2035,01ES,gasBoilerProMedStock,capaConvResi,0.05379,
2040,01ES,gasBoilerProMedStock,capaConvResi,0.03586,
2045,01ES,gasBoilerProMedStock,capaConvResi,0.01793,
2020,01ES,gasEngineProMedStock,capaConvResi,0.23184,
2025,01ES,gasEngineProMedStock,capaConvResi,0.1932,
2030,01ES,gasEngineProMedStock,capaConvResi,0.15456,
2035,01ES,gasEngineProMedStock,capaConvResi,0.11592,
2040,01ES,gasEngineProMedStock,capaConvResi,0.07728,
2045,01ES,gasEngineProMedStock,capaConvResi,0.03864,
2020,01ES,oilBoilerProMedStock,capaConvResi,0.05276,
2025,01ES,oilBoilerProMedStock,capaConvResi,0.04397,
2030,01ES,oilBoilerProMedStock,capaConvResi,0.03518,
2035,01ES,oilBoilerProMedStock,capaConvResi,0.02638,
2040,01ES,oilBoilerProMedStock,capaConvResi,0.01759,
2045,01ES,oilBoilerProMedStock,capaConvResi,0.0088,
2020,01ES,hardcoalPlantProMedStock,capaConvResi,0.0126,
2025,01ES,hardcoalPlantProMedStock,capaConvResi,0.0105,
2030,01ES,hardcoalPlantProMedStock,capaConvResi,0.0084,
2035,01ES,hardcoalPlantProMedStock,capaConvResi,0.0063,
2040,01ES,hardcoalPlantProMedStock,capaConvResi,0.0042,
2045,01ES,hardcoalPlantProMedStock,capaConvResi,0.0021,
2020,01ES,oilPlantProMedStock,capaConvResi,0.02304,
2025,01ES,oilPlantProMedStock,capaConvResi,0.0192,
2030,01ES,oilPlantProMedStock,capaConvResi,0.01536,
2035,01ES,oilPlantProMedStock,capaConvResi,0.01152,
2040,01ES,oilPlantProMedStock,capaConvResi,0.00768,
2045,01ES,oilPlantProMedStock,capaConvResi,0.00384,
2020,01ES,districtHeatSpace,capaConvResi,0.02696,
2025,01ES,districtHeatSpace,capaConvResi,0.0156,
2030,01ES,districtHeatSpace,capaConvResi,0.01034,
2035,01ES,districtHeatSpace,capaConvResi,0.00627,
2040,01ES,districtHeatSpace,capaConvResi,0.00282,
2020,01ES,bioBoilerSpaceStock,capaConvResi,0.93294,
2025,01ES,bioBoilerSpaceStock,capaConvResi,0.53991,
2030,01ES,bioBoilerSpaceStock,capaConvResi,0.35789,
2035,01ES,bioBoilerSpaceStock,capaConvResi,0.21677,
2040,01ES,bioBoilerSpaceStock,capaConvResi,0.09747,
2020,01ES,gasBoilerSpaceStock,capaConvResi,2.50572,
2025,01ES,gasBoilerSpaceStock,capaConvResi,1.45011,
2030,01ES,gasBoilerSpaceStock,capaConvResi,0.96122,
2035,01ES,gasBoilerSpaceStock,capaConvResi,0.58219,
2040,01ES,gasBoilerSpaceStock,capaConvResi,0.26178,
2020,01ES,oilLiquidBoilerSpaceStock,capaConvResi,2.6692,
2025,01ES,oilLiquidBoilerSpaceStock,capaConvResi,1.54472,
2030,01ES,oilLiquidBoilerSpaceStock,capaConvResi,1.02394,
2035,01ES,oilLiquidBoilerSpaceStock,capaConvResi,0.62017,
2040,01ES,oilLiquidBoilerSpaceStock,capaConvResi,0.27886,
2020,01ES,resistiveHeatSpaceStock,capaConvResi,0.13272,
2025,01ES,resistiveHeatSpaceStock,capaConvResi,0.07681,
2030,01ES,resistiveHeatSpaceStock,capaConvResi,0.05091,
2035,01ES,resistiveHeatSpaceStock,capaConvResi,0.03084,
2040,01ES,resistiveHeatSpaceStock,capaConvResi,0.01387,
2020,01ES,coalBoilerSpaceStock,capaConvResi,0.05877,
2025,01ES,coalBoilerSpaceStock,capaConvResi,0.03401,
2030,01ES,coalBoilerSpaceStock,capaConvResi,0.02255,
2035,01ES,coalBoilerSpaceStock,capaConvResi,0.01366,
2040,01ES,coalBoilerSpaceStock,capaConvResi,0.00614,
2020,02ES,coalBoilerProHighStock,capaConvResi,0.10115,
2025,02ES,coalBoilerProHighStock,capaConvResi,0.08429,
2030,02ES,coalBoilerProHighStock,capaConvResi,0.06743,
2035,02ES,coalBoilerProHighStock,capaConvResi,0.05058,
2040,02ES,coalBoilerProHighStock,capaConvResi,0.03372,
2045,02ES,coalBoilerProHighStock,capaConvResi,0.01686,
2020,02ES,eBoilerProHigh,capaConvResi,0.03057,
2025,02ES,eBoilerProHigh,capaConvResi,0.02547,
2030,02ES,eBoilerProHigh,capaConvResi,0.02038,
2035,02ES,eBoilerProHigh,capaConvResi,0.01529,
2040,02ES,eBoilerProHigh,capaConvResi,0.01019,
2045,02ES,eBoilerProHigh,capaConvResi,0.0051,
2020,02ES,gasBoilerProHighStock,capaConvResi,0.46302,
2025,02ES,gasBoilerProHighStock,capaConvResi,0.38585,
2030,02ES,gasBoilerProHighStock,capaConvResi,0.30868,
2035,02ES,gasBoilerProHighStock,capaConvResi,0.23151,
2040,02ES,gasBoilerProHighStock,capaConvResi,0.15434,
2045,02ES,gasBoilerProHighStock,capaConvResi,0.07717,
2020,02ES,oilBoilerProHighStock,capaConvResi,0.14264,
2025,02ES,oilBoilerProHighStock,capaConvResi,0.11887,
2030,02ES,oilBoilerProHighStock,capaConvResi,0.0951,
2035,02ES,oilBoilerProHighStock,capaConvResi,0.07132,
2040,02ES,oilBoilerProHighStock,capaConvResi,0.04755,
2045,02ES,oilBoilerProHighStock,capaConvResi,0.02378,
2020,02ES,bioBoilerProLowStock,capaConvResi,0.12971,
2025,02ES,bioBoilerProLowStock,capaConvResi,0.10809,
2030,02ES,bioBoilerProLowStock,capaConvResi,0.08648,
2035,02ES,bioBoilerProLowStock,capaConvResi,0.06486,
2040,02ES,bioBoilerProLowStock,capaConvResi,0.04324,
2045,02ES,bioBoilerProLowStock,capaConvResi,0.02162,
2020,02ES,ccgtGasBackProLowStock,capaConvResi,0.00559,
2025,02ES,ccgtGasBackProLowStock,capaConvResi,0.00466,
2030,02ES,ccgtGasBackProLowStock,capaConvResi,0.00373,
2035,02ES,ccgtGasBackProLowStock,capaConvResi,0.0028,
2040,02ES,ccgtGasBackProLowStock,capaConvResi,0.00187,
2045,02ES,ccgtGasBackProLowStock,capaConvResi,0.00094,
2020,02ES,districtHeatPro,capaConvResi,0.00185,
2025,02ES,districtHeatPro,capaConvResi,0.00154,
2030,02ES,districtHeatPro,capaConvResi,0.00124,
2035,02ES,districtHeatPro,capaConvResi,0.00093,
2040,02ES,districtHeatPro,capaConvResi,0.00062,
2045,02ES,districtHeatPro,capaConvResi,0.00031,
2020,02ES,gasBoilerProLowStock,capaConvResi,0.06667,
2025,02ES,gasBoilerProLowStock,capaConvResi,0.05556,
2030,02ES,gasBoilerProLowStock,capaConvResi,0.04445,
2035,02ES,gasBoilerProLowStock,capaConvResi,0.03334,
2040,02ES,gasBoilerProLowStock,capaConvResi,0.02223,
2045,02ES,gasBoilerProLowStock,capaConvResi,0.01112,
2020,02ES,eBoilerProLow,capaConvResi,0.00423,
2025,02ES,eBoilerProLow,capaConvResi,0.00352,
2030,02ES,eBoilerProLow,capaConvResi,0.00282,
2035,02ES,eBoilerProLow,capaConvResi,0.00212,
2040,02ES,eBoilerProLow,capaConvResi,0.00141,
2045,02ES,eBoilerProLow,capaConvResi,0.00071,
2020,02ES,gasEngineProLowStock,capaConvResi,0.1534,
2025,02ES,gasEngineProLowStock,capaConvResi,0.12783,
2030,02ES,gasEngineProLowStock,capaConvResi,0.10227,
2035,02ES,gasEngineProLowStock,capaConvResi,0.0767,
2040,02ES,gasEngineProLowStock,capaConvResi,0.05114,
2045,02ES,gasEngineProLowStock,capaConvResi,0.02557,
2020,02ES,oilBoilerProLowStock,capaConvResi,0.01785,
2025,02ES,oilBoilerProLowStock,capaConvResi,0.01487,
2030,02ES,oilBoilerProLowStock,capaConvResi,0.0119,
2035,02ES,oilBoilerProLowStock,capaConvResi,0.00893,
2040,02ES,oilBoilerProLowStock,capaConvResi,0.00595,
2045,02ES,oilBoilerProLowStock,capaConvResi,0.00298,
2020,02ES,oilPlantProLowStock,capaConvResi,0.01687,
2025,02ES,oilPlantProLowStock,capaConvResi,0.01406,
2030,02ES,oilPlantProLowStock,capaConvResi,0.01125,
2035,02ES,oilPlantProLowStock,capaConvResi,0.00844,
