timestep_2,carrier_1,region_3,parameter,value,comment,source
2020,spaceHeat,38DK,capaDem,10.955,,
2020,industryHeat_high,39CZ,capaDem,1.127,,
2020,industryHeat_low,39CZ,capaDem,1.102,,
2020,industryHeat_medium,39CZ,capaDem,1.06,,
2020,spaceHeat,39CZ,capaDem,14.848,,
2020,industryHeat_high,40CZ,capaDem,1.1,,
2020,industryHeat_low,40CZ,capaDem,0.953,,
2020,industryHeat_medium,40CZ,capaDem,0.904,,
2020,spaceHeat,40CZ,capaDem,11.639,,
2020,industryHeat_high,41PL,capaDem,0.99,,
2020,industryHeat_low,41PL,capaDem,0.69,,
2020,industryHeat_medium,41PL,capaDem,1.178,,
2020,spaceHeat,41PL,capaDem,18.135,,
2020,industryHeat_high,42PL,capaDem,0.807,,
2020,industryHeat_low,42PL,capaDem,0.4,,
2020,industryHeat_medium,42PL,capaDem,0.654,,
2020,spaceHeat,42PL,capaDem,13.023,,
2020,industryHeat_high,43PL,capaDem,1.321,,
2020,industryHeat_low,43PL,capaDem,0.646,,
2020,industryHeat_medium,43PL,capaDem,1.043,,
2020,spaceHeat,43PL,capaDem,17.636,,
2020,industryHeat_high,44PL,capaDem,1.169,,
2020,industryHeat_low,44PL,capaDem,0.641,,
2020,industryHeat_medium,44PL,capaDem,1.156,,
2020,spaceHeat,44PL,capaDem,16.061,,
2020,industryHeat_high,45PL,capaDem,0.685,,
2020,industryHeat_low,45PL,capaDem,0.408,,
2020,industryHeat_medium,45PL,capaDem,0.775,,
2020,spaceHeat,45PL,capaDem,12.214,,
2020,industryHeat_high,46SK,capaDem,1.774,,
2020,industryHeat_low,46SK,capaDem,1.389,,
2020,industryHeat_medium,46SK,capaDem,0.652,,
2020,spaceHeat,46SK,capaDem,10.408,,
2020,industryHeat_high,47CH,capaDem,0.703,,
2020,industryHeat_low,47CH,capaDem,0.791,,
2020,industryHeat_medium,47CH,capaDem,3.295,,
2020,spaceHeat,47CH,capaDem,21.561,,
2020,industryHeat_high,48CH,capaDem,0.072,,
2020,industryHeat_low,48CH,capaDem,0.081,,
2020,industryHeat_medium,48CH,capaDem,0.341,,
2020,spaceHeat,48CH,capaDem,2.677,,
2020,industryHeat_high,49AT,capaDem,0.674,,
2020,industryHeat_low,49AT,capaDem,0.495,,
2020,industryHeat_medium,49AT,capaDem,0.752,,
2020,spaceHeat,49AT,capaDem,5.905,,
2020,industryHeat_high,50AT,capaDem,1.116,,
2020,industryHeat_low,50AT,capaDem,0.875,,
2020,industryHeat_medium,50AT,capaDem,1.394,,
2020,spaceHeat,50AT,capaDem,8.263,,
2020,industryHeat_high,51AT,capaDem,0.635,,
2020,industryHeat_low,51AT,capaDem,0.637,,
2020,industryHeat_medium,51AT,capaDem,0.931,,
2020,spaceHeat,51AT,capaDem,10.921,,
2020,industryHeat_high,52IT,capaDem,4.706,,
2020,industryHeat_low,52IT,capaDem,3.719,,
2020,industryHeat_medium,52IT,capaDem,3.157,,
2020,spaceHeat,52IT,capaDem,101.815,,
2020,industryHeat_high,53IT,capaDem,0.877,,
2020,industryHeat_low,53IT,capaDem,0.693,,
2020,industryHeat_medium,53IT,capaDem,0.589,,
2020,spaceHeat,53IT,capaDem,19.265,,
2020,industryHeat_high,54IT,capaDem,1.645,,
2020,industryHeat_low,54IT,capaDem,1.3,,
2020,industryHeat_medium,54IT,capaDem,1.103,,
2020,spaceHeat,54IT,capaDem,37.098,,
2020,industryHeat_high,55IT,capaDem,0.629,,
2020,industryHeat_low,55IT,capaDem,0.495,,
2020,industryHeat_medium,55IT,capaDem,0.422,,
2020,spaceHeat,55IT,capaDem,19.628,,
2020,industryHeat_high,56IT,capaDem,0.441,,
2020,industryHeat_low,56IT,capaDem,0.347,,
2020,industryHeat_medium,56IT,capaDem,0.296,,
2020,spaceHeat,56IT,capaDem,12.063,,
2020,industryHeat_high,57SI,capaDem,0.275,,
2020,industryHeat_low,57SI,capaDem,0.206,,
2020,industryHeat_medium,57SI,capaDem,0.305,,
2020,spaceHeat,57SI,capaDem,4.389,,
2020,industryHeat_high,58HU,capaDem,0.802,,
2020,industryHeat_low,58HU,capaDem,0.839,,
2020,industryHeat_medium,58HU,capaDem,0.488,,
2020,spaceHeat,58HU,capaDem,27.016,,
2020,industryHeat_high,59RO,capaDem,0.987,,
2020,industryHeat_low,59RO,capaDem,0.404,,
2020,industryHeat_medium,59RO,capaDem,0.503,,
2020,spaceHeat,59RO,capaDem,6.375,,
2020,industryHeat_high,60RO,capaDem,1.327,,
2020,industryHeat_low,60RO,capaDem,0.627,,
2020,industryHeat_medium,60RO,capaDem,0.795,,
2020,spaceHeat,60RO,capaDem,8.986,,
2020,industryHeat_high,61RO,capaDem,0.635,,
2020,industryHeat_low,61RO,capaDem,0.279,,
2020,industryHeat_medium,61RO,capaDem,0.364,,
2020,spaceHeat,61RO,capaDem,7.288,,
2020,industryHeat_high,62HR,capaDem,0.31,,
2020,industryHeat_low,62HR,capaDem,0.193,,
2020,industryHeat_medium,62HR,capaDem,0.464,,
2020,spaceHeat,62HR,capaDem,9.744,,
2020,industryHeat_high,63BA,capaDem,0.669,,
2020,industryHeat_low,63BA,capaDem,0.376,,
2020,industryHeat_medium,63BA,capaDem,0.528,,
2020,spaceHeat,63BA,capaDem,4.427,,
2020,industryHeat_high,64ME,capaDem,0.128,,
2020,industryHeat_low,64ME,capaDem,0.059,,
2020,industryHeat_medium,64ME,capaDem,0.079,,
2020,spaceHeat,64ME,capaDem,0.819,,
2020,industryHeat_high,65RS,capaDem,1.405,,
2020,industryHeat_low,65RS,capaDem,0.808,,
2020,industryHeat_medium,65RS,capaDem,1.13,,
2020,spaceHeat,65RS,capaDem,8.154,,
2020,industryHeat_high,66BG,capaDem,0.557,,
2020,industryHeat_low,66BG,capaDem,1.069,,
2020,industryHeat_medium,66BG,capaDem,0.56,,
2020,spaceHeat,66BG,capaDem,10.399,,
2020,industryHeat_high,67MK,capaDem,0.402,,
2020,industryHeat_low,67MK,capaDem,0.226,,
2020,industryHeat_medium,67MK,capaDem,0.313,,
2020,spaceHeat,67MK,capaDem,2.97,,
2020,industryHeat_high,68GR,capaDem,0.24,,
2020,industryHeat_low,68GR,capaDem,0.23,,
2020,industryHeat_medium,68GR,capaDem,0.248,,
2020,spaceHeat,68GR,capaDem,7.543,,
2020,industryHeat_high,69GR,capaDem,0.454,,
