timestep_2,technology_3,region_4,parameter_1,value_1,parameter_2,value_2,comment
2040,districtHeatSpace_b,23FR,shareExpOutUp,0.000690623,costExpConv,709.4343557,
2040,districtHeatSpace_c,23FR,shareExpOutUp,0.658607262,costExpConv,1210.300296,
2040,districtHeatSpace_a,24FR,shareExpOutUp,0.015050568,costExpConv,1025.814176,
2040,districtHeatSpace_b,24FR,shareExpOutUp,0.141356977,costExpConv,1399.62972,
2040,districtHeatSpace_c,24FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,25FR,shareExpOutUp,0.023295305,costExpConv,1057.598461,
2040,districtHeatSpace_b,25FR,shareExpOutUp,0.18810257,costExpConv,1583.512594,
2040,districtHeatSpace_c,25FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,26FR,shareExpOutUp,0.031700028,costExpConv,1104.434897,
2040,districtHeatSpace_b,26FR,shareExpOutUp,0.233920478,costExpConv,1490.815692,
2040,districtHeatSpace_c,26FR,shareExpOutUp,0.005877432,costExpConv,650.1324892,
2040,districtHeatSpace_a,27FR,shareExpOutUp,0.198045209,costExpConv,1560.384067,
2040,districtHeatSpace_b,27FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,27FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,28BE,shareExpOutUp,0.182241072,costExpConv,1322.15158,
2040,districtHeatSpace_b,28BE,shareExpOutUp,0.001587959,costExpConv,517.662252,
2040,districtHeatSpace_c,28BE,shareExpOutUp,0.024379489,costExpConv,882.5756313,
2040,districtHeatSpace_a,29LU,shareExpOutUp,0.056653753,costExpConv,995.4521085,
2040,districtHeatSpace_b,29LU,shareExpOutUp,0.346074405,costExpConv,1346.189583,
2040,districtHeatSpace_c,29LU,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,30NL,shareExpOutUp,0.104377611,costExpConv,1529.334211,
2040,districtHeatSpace_b,30NL,shareExpOutUp,0.004627497,costExpConv,954.9385813,
2040,districtHeatSpace_c,30NL,shareExpOutUp,0.035573929,costExpConv,1380.808405,
2040,districtHeatSpace_a,31DE,shareExpOutUp,0.252948616,costExpConv,1473.758638,
2040,districtHeatSpace_b,31DE,shareExpOutUp,0.151624694,costExpConv,1385.010984,
2040,districtHeatSpace_c,31DE,shareExpOutUp,0.005824517,costExpConv,1053.914841,
2040,districtHeatSpace_a,32DE,shareExpOutUp,0.409769773,costExpConv,1243.142526,
2040,districtHeatSpace_b,32DE,shareExpOutUp,0.106828067,costExpConv,1435.161678,
2040,districtHeatSpace_c,32DE,shareExpOutUp,0.005273156,costExpConv,1009.033723,
2040,districtHeatSpace_a,33DE,shareExpOutUp,0.004599507,costExpConv,1211.758174,
2040,districtHeatSpace_b,33DE,shareExpOutUp,0.244164755,costExpConv,1571.922291,
2040,districtHeatSpace_c,33DE,shareExpOutUp,0.270276441,costExpConv,1471.284345,
2040,districtHeatSpace_a,34DE,shareExpOutUp,0.096666423,costExpConv,1577.760522,
2040,districtHeatSpace_b,34DE,shareExpOutUp,0.250130536,costExpConv,1451.461738,
2040,districtHeatSpace_c,34DE,shareExpOutUp,0.010048915,costExpConv,999.5995471,
2040,districtHeatSpace_a,35DE,shareExpOutUp,0.172505918,costExpConv,1487.084638,
2040,districtHeatSpace_b,35DE,shareExpOutUp,0.105729441,costExpConv,1645.855462,
2040,districtHeatSpace_c,35DE,shareExpOutUp,0.129301121,costExpConv,1231.278472,
2040,districtHeatSpace_a,36DE,shareExpOutUp,0.044108547,costExpConv,1570.67872,
2040,districtHeatSpace_b,36DE,shareExpOutUp,0.256691403,costExpConv,1255.790141,
2040,districtHeatSpace_c,36DE,shareExpOutUp,0.187507492,costExpConv,1449.508054,
2040,districtHeatSpace_a,37DE,shareExpOutUp,0.122955513,costExpConv,1235.512257,
2040,districtHeatSpace_b,37DE,shareExpOutUp,0.126484518,costExpConv,1607.008111,
2040,districtHeatSpace_c,37DE,shareExpOutUp,0.141260263,costExpConv,1437.05573,
2040,districtHeatSpace_a,38DK,shareExpOutUp,0.314326052,costExpConv,1770.645474,
2040,districtHeatSpace_b,38DK,shareExpOutUp,0.007946208,costExpConv,975.2087938,
2040,districtHeatSpace_c,38DK,shareExpOutUp,0.269819838,costExpConv,1482.72589,
2040,districtHeatSpace_a,39CZ,shareExpOutUp,0.146302914,costExpConv,1367.765262,
2040,districtHeatSpace_b,39CZ,shareExpOutUp,0.17175936,costExpConv,1552.934419,
2040,districtHeatSpace_c,39CZ,shareExpOutUp,0.249030806,costExpConv,994.702533,
2040,districtHeatSpace_a,40CZ,shareExpOutUp,0.20609796,costExpConv,1470.577691,
2040,districtHeatSpace_b,40CZ,shareExpOutUp,0.213108903,costExpConv,1334.082046,
2040,districtHeatSpace_c,40CZ,shareExpOutUp,0.057702884,costExpConv,1582.246945,
2040,districtHeatSpace_a,41PL,shareExpOutUp,0.360736881,costExpConv,1227.383926,
2040,districtHeatSpace_b,41PL,shareExpOutUp,0.020520638,costExpConv,742.0020675,
2040,districtHeatSpace_c,41PL,shareExpOutUp,0.26844379,costExpConv,1075.231177,
2040,districtHeatSpace_a,42PL,shareExpOutUp,0.234403046,costExpConv,1212.730396,
2040,districtHeatSpace_b,42PL,shareExpOutUp,0.207017386,costExpConv,1110.244723,
2040,districtHeatSpace_c,42PL,shareExpOutUp,0.013172745,costExpConv,1326.700776,
2040,districtHeatSpace_a,43PL,shareExpOutUp,0.357223712,costExpConv,1206.444344,
2040,districtHeatSpace_b,43PL,shareExpOutUp,0.020220802,costExpConv,813.0802226,
2040,districtHeatSpace_c,43PL,shareExpOutUp,0.129313622,costExpConv,1332.975003,
2040,districtHeatSpace_a,44PL,shareExpOutUp,0.043497516,costExpConv,1005.609752,
2040,districtHeatSpace_b,44PL,shareExpOutUp,0.407517711,costExpConv,1165.198935,
2040,districtHeatSpace_c,44PL,shareExpOutUp,0.12228011,costExpConv,1293.777404,
2040,districtHeatSpace_a,45PL,shareExpOutUp,0.457696041,costExpConv,1315.952475,
2040,districtHeatSpace_b,45PL,shareExpOutUp,0.000374701,costExpConv,736.207479,
2040,districtHeatSpace_c,45PL,shareExpOutUp,0.136789996,costExpConv,1190.094151,
2040,districtHeatSpace_a,46SK,shareExpOutUp,0.465540697,costExpConv,1146.66616,
2040,districtHeatSpace_b,46SK,shareExpOutUp,0.042598998,costExpConv,689.9693294,
2040,districtHeatSpace_c,46SK,shareExpOutUp,0.114691311,costExpConv,1323.207428,
2040,districtHeatSpace_a,49AT,shareExpOutUp,0.140647046,costExpConv,1333.899544,
2040,districtHeatSpace_b,49AT,shareExpOutUp,0.365198149,costExpConv,1740.228193,
2040,districtHeatSpace_c,49AT,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,50AT,shareExpOutUp,0.389227316,costExpConv,1488.213304,
2040,districtHeatSpace_b,50AT,shareExpOutUp,0.004385326,costExpConv,1198.186504,
2040,districtHeatSpace_c,50AT,shareExpOutUp,0.005867033,costExpConv,837.606487,
2040,districtHeatSpace_a,51AT,shareExpOutUp,0.457869597,costExpConv,804.3364564,
2040,districtHeatSpace_b,51AT,shareExpOutUp,0.107767673,costExpConv,1118.680261,
2040,districtHeatSpace_c,51AT,shareExpOutUp,0.071564393,costExpConv,1330.574242,
2040,districtHeatSpace_a,52IT,shareExpOutUp,0.176149556,costExpConv,1166.096647,
2040,districtHeatSpace_b,52IT,shareExpOutUp,0.091610394,costExpConv,1272.204127,
2040,districtHeatSpace_c,52IT,shareExpOutUp,0.056657386,costExpConv,884.6290711,
2040,districtHeatSpace_a,53IT,shareExpOutUp,0.240198482,costExpConv,1119.655763,
2040,districtHeatSpace_b,53IT,shareExpOutUp,0.001657991,costExpConv,519.1723547,
2040,districtHeatSpace_c,53IT,shareExpOutUp,0.022350297,costExpConv,901.2911713,
2040,districtHeatSpace_a,54IT,shareExpOutUp,0.364246599,costExpConv,940.9660993,
2040,districtHeatSpace_b,54IT,shareExpOutUp,0.037276224,costExpConv,1064.634954,
2040,districtHeatSpace_c,54IT,shareExpOutUp,0.006906188,costExpConv,600.9897885,
2040,districtHeatSpace_a,55IT,shareExpOutUp,0.208717715,costExpConv,981.0917466,
2040,districtHeatSpace_b,55IT,shareExpOutUp,0.065865094,costExpConv,1117.836494,
2040,districtHeatSpace_c,55IT,shareExpOutUp,0.050993112,costExpConv,817.1353402,
2040,districtHeatSpace_a,56IT,shareExpOutUp,0.338449953,costExpConv,1020.554062,
2040,districtHeatSpace_b,56IT,shareExpOutUp,0.01698108,costExpConv,475.9519534,
2040,districtHeatSpace_c,56IT,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,57SI,shareExpOutUp,0.222380741,costExpConv,1302.293457,
2040,districtHeatSpace_b,57SI,shareExpOutUp,0.012522562,costExpConv,1061.837003,
2040,districtHeatSpace_c,57SI,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,58HU,shareExpOutUp,0.26805268,costExpConv,1274.327116,
2040,districtHeatSpace_b,58HU,shareExpOutUp,0.011106041,costExpConv,942.3904333,
2040,districtHeatSpace_c,58HU,shareExpOutUp,0.006055034,costExpConv,609.056719,
2040,districtHeatSpace_a,59RO,shareExpOutUp,0.210120243,costExpConv,1085.43963,
