technology_3,region_2,timestep_2,parameter,value,source
resistiveHeatSpace,AT,2025,lifeConv,30,
resistiveHeatSpace,AT,2030,lifeConv,30,
resistiveHeatSpace,AT,2035,lifeConv,30,
resistiveHeatSpace,AT,2040,lifeConv,30,
resistiveHeatSpace,AT,2045,lifeConv,30,
resistiveHeatSpace,AT,2050,lifeConv,30,
resistiveHeatSpace,AT,,effConv,1,
resistiveHeatSpace,AT,2025,costExpConv,768.1955,
resistiveHeatSpace,AT,2030,costExpConv,749.1817,
resistiveHeatSpace,AT,2035,costExpConv,730.868,
resistiveHeatSpace,AT,2040,costExpConv,712.5543,
resistiveHeatSpace,AT,2045,costExpConv,695.136,
resistiveHeatSpace,AT,2050,costExpConv,677.7176,
resistiveHeatSpace,AT,2025,costOprConv,4.0137,
resistiveHeatSpace,AT,2030,costOprConv,3.8496,
resistiveHeatSpace,AT,2035,costOprConv,3.7659,
resistiveHeatSpace,AT,2040,costOprConv,3.6822,
resistiveHeatSpace,AT,2045,costOprConv,3.5985,
resistiveHeatSpace,AT,2050,costOprConv,3.5149,
gasBoilerSpace,BA,2025,lifeConv,22.6233,
gasBoilerSpace,BA,2030,lifeConv,22.6233,
gasBoilerSpace,BA,2035,lifeConv,22.6233,
gasBoilerSpace,BA,2040,lifeConv,22.6233,
gasBoilerSpace,BA,2045,lifeConv,22.6233,
gasBoilerSpace,BA,2050,lifeConv,22.6233,
gasBoilerSpace,BA,,effConv,1.0008,
gasBoilerSpace,BA,2025,costExpConv,168.3921,
gasBoilerSpace,BA,2030,costExpConv,165.5886,
gasBoilerSpace,BA,2035,costExpConv,162.5864,
gasBoilerSpace,BA,2040,costExpConv,159.43735,
gasBoilerSpace,BA,2045,costExpConv,155.64415,
gasBoilerSpace,BA,2050,costExpConv,151.8509,
gasBoilerSpace,BA,2025,costOprConv,7.34015,
gasBoilerSpace,BA,2030,costOprConv,7.3399,
gasBoilerSpace,BA,2035,costOprConv,7.18785,
gasBoilerSpace,BA,2040,costOprConv,7.03055,
gasBoilerSpace,BA,2045,costOprConv,6.53225,
gasBoilerSpace,BA,2050,costOprConv,6.034,
districtHeatSpace,BA,2025,lifeConv,25,
districtHeatSpace,BA,2030,lifeConv,25,
districtHeatSpace,BA,2035,lifeConv,25,
districtHeatSpace,BA,2040,lifeConv,25,
districtHeatSpace,BA,2045,lifeConv,25,
districtHeatSpace,BA,2050,lifeConv,25,
districtHeatSpace,BA,,effConv,0.9,
districtHeatSpace,BA,2025,costExpConv,103.7031,
districtHeatSpace,BA,2030,costExpConv,101.0927,
districtHeatSpace,BA,2035,costExpConv,98.4211,
districtHeatSpace,BA,2040,costExpConv,95.72495,
districtHeatSpace,BA,2045,costExpConv,93.1602,
districtHeatSpace,BA,2050,costExpConv,90.59545,
districtHeatSpace,BA,2025,costOprConv,1.8452,
districtHeatSpace,BA,2030,costOprConv,1.86915,
districtHeatSpace,BA,2035,costOprConv,1.8365,
districtHeatSpace,BA,2040,costOprConv,1.80315,
districtHeatSpace,BA,2045,costOprConv,1.7677,
districtHeatSpace,BA,2050,costOprConv,1.73225,
bioBoilerSpace,BA,2025,lifeConv,20,
bioBoilerSpace,BA,2030,lifeConv,20,
bioBoilerSpace,BA,2035,lifeConv,20,
bioBoilerSpace,BA,2040,lifeConv,20,
bioBoilerSpace,BA,2045,lifeConv,20,
bioBoilerSpace,BA,2050,lifeConv,20,
bioBoilerSpace,BA,,effConv,0.87935,
bioBoilerSpace,BA,2025,costExpConv,302.3606,
bioBoilerSpace,BA,2030,costExpConv,302.55345,
bioBoilerSpace,BA,2035,costExpConv,297.62475,
bioBoilerSpace,BA,2040,costExpConv,292.40175,
bioBoilerSpace,BA,2045,costExpConv,305.40195,
bioBoilerSpace,BA,2050,costExpConv,318.4021,
bioBoilerSpace,BA,2025,costOprConv,17.1255,
bioBoilerSpace,BA,2030,costOprConv,17.3068,
bioBoilerSpace,BA,2035,costOprConv,17.12015,
bioBoilerSpace,BA,2040,costOprConv,16.9192,
bioBoilerSpace,BA,2045,costOprConv,18.14235,
bioBoilerSpace,BA,2050,costOprConv,19.3655,
heatpumpAirSpace,BA,2025,lifeConv,18.09865,
heatpumpAirSpace,BA,2030,lifeConv,18.09865,
heatpumpAirSpace,BA,2035,lifeConv,18.09865,
heatpumpAirSpace,BA,2040,lifeConv,18.09865,
heatpumpAirSpace,BA,2045,lifeConv,18.09865,
heatpumpAirSpace,BA,2050,lifeConv,18.09865,
heatpumpAirSpace,BA,2025,costExpConv,3147.57655,
heatpumpAirSpace,BA,2030,costExpConv,2989.2338,
heatpumpAirSpace,BA,2035,costExpConv,2926.9844,
heatpumpAirSpace,BA,2040,costExpConv,2866.5856,
heatpumpAirSpace,BA,2045,costExpConv,2780.88775,
heatpumpAirSpace,BA,2050,costExpConv,2695.18985,
heatpumpAirSpace,BA,2025,costOprConv,70.19415,
heatpumpAirSpace,BA,2030,costOprConv,72.4894,
heatpumpAirSpace,BA,2035,costOprConv,73.2264,
heatpumpAirSpace,BA,2040,costOprConv,73.92425,
heatpumpAirSpace,BA,2045,costOprConv,74.1379,
heatpumpAirSpace,BA,2050,costOprConv,74.3516,
heatpumpGroundSpace,BA,2025,lifeConv,20,
heatpumpGroundSpace,BA,2030,lifeConv,20,
heatpumpGroundSpace,BA,2035,lifeConv,20,
heatpumpGroundSpace,BA,2040,lifeConv,20,
heatpumpGroundSpace,BA,2045,lifeConv,20,
heatpumpGroundSpace,BA,2050,lifeConv,20,
heatpumpGroundSpace,BA,2025,costExpConv,4276.81195,
heatpumpGroundSpace,BA,2030,costExpConv,4139.1468,
heatpumpGroundSpace,BA,2035,costExpConv,4104.7756,
heatpumpGroundSpace,BA,2040,costExpConv,4071.7832,
heatpumpGroundSpace,BA,2045,costExpConv,3987.4662,
heatpumpGroundSpace,BA,2050,costExpConv,3903.1492,
heatpumpGroundSpace,BA,2025,costOprConv,63.59005,
heatpumpGroundSpace,BA,2030,costOprConv,64.4485,
heatpumpGroundSpace,BA,2035,costOprConv,64.89125,
heatpumpGroundSpace,BA,2040,costOprConv,65.27195,
heatpumpGroundSpace,BA,2045,costOprConv,64.93595,
heatpumpGroundSpace,BA,2050,costOprConv,64.6,
solarThermalResi_b,BA,2025,lifeConv,25,
solarThermalResi_b,BA,2030,lifeConv,30,
solarThermalResi_b,BA,2035,lifeConv,30,
solarThermalResi_b,BA,2040,lifeConv,30,
solarThermalResi_b,BA,2045,lifeConv,30,
solarThermalResi_b,BA,2050,lifeConv,30,
solarThermalResi_b,BA,2025,costExpConv,1285.116,
solarThermalResi_b,BA,2030,costExpConv,1231.22275,
solarThermalResi_b,BA,2035,costExpConv,1197.52855,
solarThermalResi_b,BA,2040,costExpConv,1168.3293,
solarThermalResi_b,BA,2045,costExpConv,1139.40585,
solarThermalResi_b,BA,2050,costExpConv,1110.48235,
solarThermalResi_b,BA,2025,costOprConv,8.7665,
solarThermalResi_b,BA,2030,costOprConv,8.84885,
solarThermalResi_b,BA,2035,costOprConv,8.6575,
solarThermalResi_b,BA,2040,costOprConv,8.50225,
solarThermalResi_b,BA,2045,costOprConv,8.2853,
solarThermalResi_b,BA,2050,costOprConv,8.0683,
resistiveHeatSpace,BA,2025,lifeConv,30,
resistiveHeatSpace,BA,2030,lifeConv,30,
resistiveHeatSpace,BA,2035,lifeConv,30,
resistiveHeatSpace,BA,2040,lifeConv,30,
resistiveHeatSpace,BA,2045,lifeConv,30,
resistiveHeatSpace,BA,2050,lifeConv,30,
resistiveHeatSpace,BA,,effConv,1,
resistiveHeatSpace,BA,2025,costExpConv,766.6753,
resistiveHeatSpace,BA,2030,costExpConv,747.69915,
resistiveHeatSpace,BA,2035,costExpConv,729.4217,
resistiveHeatSpace,BA,2040,costExpConv,711.14425,
resistiveHeatSpace,BA,2045,costExpConv,693.76035,
resistiveHeatSpace,BA,2050,costExpConv,676.3765,
resistiveHeatSpace,BA,2025,costOprConv,3.95685,
resistiveHeatSpace,BA,2030,costOprConv,3.79515,
resistiveHeatSpace,BA,2035,costOprConv,3.71265,
resistiveHeatSpace,BA,2040,costOprConv,3.63015,
resistiveHeatSpace,BA,2045,costOprConv,3.54765,
resistiveHeatSpace,BA,2050,costOprConv,3.46515,
gasBoilerSpace,BE,2025,lifeConv,24.6577,
gasBoilerSpace,BE,2030,lifeConv,24.6577,
gasBoilerSpace,BE,2035,lifeConv,24.6577,
gasBoilerSpace,BE,2040,lifeConv,24.6577,
gasBoilerSpace,BE,2045,lifeConv,24.6577,
gasBoilerSpace,BE,2050,lifeConv,24.6577,
gasBoilerSpace,BE,,effConv,1.0137,
gasBoilerSpace,BE,2025,costExpConv,99.7185,
gasBoilerSpace,BE,2030,costExpConv,97.6004,
gasBoilerSpace,BE,2035,costExpConv,96.0552,
gasBoilerSpace,BE,2040,costExpConv,94.2947,
gasBoilerSpace,BE,2045,costExpConv,92.1571,
gasBoilerSpace,BE,2050,costExpConv,90.0195,
gasBoilerSpace,BE,2025,costOprConv,3.0904,
gasBoilerSpace,BE,2030,costOprConv,3.0717,
gasBoilerSpace,BE,2035,costOprConv,3.0247,
gasBoilerSpace,BE,2040,costOprConv,2.9701,
gasBoilerSpace,BE,2045,costOprConv,2.1988,
gasBoilerSpace,BE,2050,costOprConv,1.4275,
districtHeatSpace,BE,2025,lifeConv,25,
districtHeatSpace,BE,2030,lifeConv,25,
districtHeatSpace,BE,2035,lifeConv,25,
districtHeatSpace,BE,2040,lifeConv,25,
districtHeatSpace,BE,2045,lifeConv,25,
districtHeatSpace,BE,2050,lifeConv,25,
districtHeatSpace,BE,,effConv,0.9,
districtHeatSpace,BE,2025,costExpConv,52.5398,
districtHeatSpace,BE,2030,costExpConv,51.2348,
districtHeatSpace,BE,2035,costExpConv,50.0322,
districtHeatSpace,BE,2040,costExpConv,48.7512,
districtHeatSpace,BE,2045,costExpConv,47.5293,
districtHeatSpace,BE,2050,costExpConv,46.3074,
districtHeatSpace,BE,2025,costOprConv,0.6133,
districtHeatSpace,BE,2030,costOprConv,0.618,
districtHeatSpace,BE,2035,costOprConv,0.605,
districtHeatSpace,BE,2040,costOprConv,0.5912,
districtHeatSpace,BE,2045,costOprConv,0.5797,
districtHeatSpace,BE,2050,costOprConv,0.5683,
bioBoilerSpace,BE,2025,lifeConv,20,
bioBoilerSpace,BE,2030,lifeConv,20,
bioBoilerSpace,BE,2035,lifeConv,20,
bioBoilerSpace,BE,2040,lifeConv,20,
bioBoilerSpace,BE,2045,lifeConv,20,
bioBoilerSpace,BE,2050,lifeConv,20,
bioBoilerSpace,BE,,effConv,0.8925,
bioBoilerSpace,BE,2025,costExpConv,226.4325,
bioBoilerSpace,BE,2030,costExpConv,228.0552,
bioBoilerSpace,BE,2035,costExpConv,223.097,
bioBoilerSpace,BE,2040,costExpConv,217.8335,
bioBoilerSpace,BE,2045,costExpConv,215.1839,
bioBoilerSpace,BE,2050,costExpConv,212.5343,
bioBoilerSpace,BE,2025,costOprConv,5.7899,
bioBoilerSpace,BE,2030,costOprConv,5.9364,
bioBoilerSpace,BE,2035,costOprConv,5.8569,
bioBoilerSpace,BE,2040,costOprConv,5.7694,
bioBoilerSpace,BE,2045,costOprConv,5.8584,
bioBoilerSpace,BE,2050,costOprConv,5.9474,
heatpumpAirSpace,BE,2025,lifeConv,19.7262,
heatpumpAirSpace,BE,2030,lifeConv,19.7262,
heatpumpAirSpace,BE,2035,lifeConv,19.7262,
heatpumpAirSpace,BE,2040,lifeConv,19.7262,
heatpumpAirSpace,BE,2045,lifeConv,19.7262,
heatpumpAirSpace,BE,2050,lifeConv,19.7262,
heatpumpAirSpace,BE,2025,costExpConv,2084.6133,
heatpumpAirSpace,BE,2030,costExpConv,1935.1858,
heatpumpAirSpace,BE,2035,costExpConv,1879.9588,
heatpumpAirSpace,BE,2040,costExpConv,1824.7172,
heatpumpAirSpace,BE,2045,costExpConv,1755.3861,
heatpumpAirSpace,BE,2050,costExpConv,1686.055,
heatpumpAirSpace,BE,2025,costOprConv,40.0729,
heatpumpAirSpace,BE,2030,costOprConv,41.5302,
heatpumpAirSpace,BE,2035,costOprConv,42.1536,
heatpumpAirSpace,BE,2040,costOprConv,42.7529,
heatpumpAirSpace,BE,2045,costOprConv,43.1884,
heatpumpAirSpace,BE,2050,costOprConv,43.6239,
heatpumpGroundSpace,BE,2025,lifeConv,20,
heatpumpGroundSpace,BE,2030,lifeConv,20,
heatpumpGroundSpace,BE,2035,lifeConv,20,
heatpumpGroundSpace,BE,2040,lifeConv,20,
heatpumpGroundSpace,BE,2045,lifeConv,20,
heatpumpGroundSpace,BE,2050,lifeConv,20,
heatpumpGroundSpace,BE,2025,costExpConv,2304.0832,
heatpumpGroundSpace,BE,2030,costExpConv,2195.6883,
heatpumpGroundSpace,BE,2035,costExpConv,2164.5547,
heatpumpGroundSpace,BE,2040,costExpConv,2133.3715,
heatpumpGroundSpace,BE,2045,costExpConv,2075.6212,
heatpumpGroundSpace,BE,2050,costExpConv,2017.8709,
heatpumpGroundSpace,BE,2025,costOprConv,29.6761,
heatpumpGroundSpace,BE,2030,costOprConv,30.2272,
heatpumpGroundSpace,BE,2035,costOprConv,30.5283,
heatpumpGroundSpace,BE,2040,costOprConv,30.8028,
heatpumpGroundSpace,BE,2045,costOprConv,30.7753,
heatpumpGroundSpace,BE,2050,costOprConv,30.7479,
solarThermalResi_b,BE,2025,lifeConv,25,
solarThermalResi_b,BE,2030,lifeConv,30,
solarThermalResi_b,BE,2035,lifeConv,30,
solarThermalResi_b,BE,2040,lifeConv,30,
solarThermalResi_b,BE,2045,lifeConv,30,
solarThermalResi_b,BE,2050,lifeConv,30,
solarThermalResi_b,BE,2025,costExpConv,1698.6293,
solarThermalResi_b,BE,2030,costExpConv,1622.408,
solarThermalResi_b,BE,2035,costExpConv,1578.292,
solarThermalResi_b,BE,2040,costExpConv,1540.0379,
solarThermalResi_b,BE,2045,costExpConv,1501.8198,
solarThermalResi_b,BE,2050,costExpConv,1463.6016,
solarThermalResi_b,BE,2025,costOprConv,9.9092,
solarThermalResi_b,BE,2030,costOprConv,10.1477,
solarThermalResi_b,BE,2035,costOprConv,9.9663,
solarThermalResi_b,BE,2040,costOprConv,9.8207,
solarThermalResi_b,BE,2045,costOprConv,9.5768,
solarThermalResi_b,BE,2050,costOprConv,9.3329,
resistiveHeatSpace,BE,2025,lifeConv,30,
resistiveHeatSpace,BE,2030,lifeConv,30,
