technology_1,technology_2,technology_3,region_2,carrier_1,parameter,value
stock,heat,coalBoilerSpaceStock,DE,,effConv,0.579454212
stock,heat,coalBoilerSpaceStock,DK,,effConv,0.691690177
stock,heat,coalBoilerSpaceStock,EE,,effConv,0.618447947
stock,heat,coalBoilerSpaceStock,ES,,effConv,0.667723795
stock,heat,coalBoilerSpaceStock,FI,,effConv,0.628097265
stock,heat,coalBoilerSpaceStock,FR,,effConv,0.547653071
stock,heat,coalBoilerSpaceStock,GR,,effConv,0.599646376
stock,heat,coalBoilerSpaceStock,HR,,effConv,0.590148675
stock,heat,coalBoilerSpaceStock,HU,,effConv,0.593240531
stock,heat,coalBoilerSpaceStock,IE,,effConv,0.619563527
stock,heat,coalBoilerSpaceStock,IT,,effConv,0.76564115
stock,heat,coalBoilerSpaceStock,LT,,effConv,0.595161977
stock,heat,coalBoilerSpaceStock,LU,,effConv,0.789332968
stock,heat,coalBoilerSpaceStock,LV,,effConv,0.614026872
stock,heat,coalBoilerSpaceStock,ME,,effConv,0.623295323
stock,heat,coalBoilerSpaceStock,MK,,effConv,0.623295323
stock,heat,coalBoilerSpaceStock,NL,,effConv,0.686893307
stock,heat,coalBoilerSpaceStock,NO,,effConv,0.678502098
stock,heat,coalBoilerSpaceStock,PL,,effConv,0.607880149
stock,heat,coalBoilerSpaceStock,PT,,effConv,0.729520416
stock,heat,coalBoilerSpaceStock,RO,,effConv,0.623295323
stock,heat,coalBoilerSpaceStock,RS,,effConv,0.623295323
stock,heat,coalBoilerSpaceStock,SE,,effConv,0.678502098
stock,heat,coalBoilerSpaceStock,SI,,effConv,0.768915697
stock,heat,coalBoilerSpaceStock,SK,,effConv,0.608065402
stock,heat,coalBoilerSpaceStock,UK,,effConv,0.60891708
stock,heat,gasBoilerSpaceStock,AL,,effConv,0.797876644
stock,heat,gasBoilerSpaceStock,AT,,effConv,0.855476202
stock,heat,gasBoilerSpaceStock,BA,,effConv,0.797876644
stock,heat,gasBoilerSpaceStock,BE,,effConv,0.824817069
stock,heat,gasBoilerSpaceStock,BG,,effConv,0.86562904
stock,heat,gasBoilerSpaceStock,CH,,effConv,0.855476202
stock,heat,gasBoilerSpaceStock,CZ,,effConv,0.851439147
stock,heat,gasBoilerSpaceStock,DE,,effConv,0.823629791
stock,heat,gasBoilerSpaceStock,DK,,effConv,0.810679366
stock,heat,gasBoilerSpaceStock,EE,,effConv,0.861042459
stock,heat,gasBoilerSpaceStock,ES,,effConv,0.8421158
stock,heat,gasBoilerSpaceStock,FI,,effConv,0.853317693
stock,heat,gasBoilerSpaceStock,FR,,effConv,0.874747748
stock,heat,gasBoilerSpaceStock,GR,,effConv,0.833715226
stock,heat,gasBoilerSpaceStock,HR,,effConv,0.718220865
stock,heat,gasBoilerSpaceStock,HU,,effConv,0.83811048
stock,heat,gasBoilerSpaceStock,IE,,effConv,0.836899732
stock,heat,gasBoilerSpaceStock,IT,,effConv,0.808827634
stock,heat,gasBoilerSpaceStock,LT,,effConv,0.850765581
stock,heat,gasBoilerSpaceStock,LU,,effConv,0.848942582
stock,heat,gasBoilerSpaceStock,LV,,effConv,0.858164423
stock,heat,gasBoilerSpaceStock,ME,,effConv,0.797876644
stock,heat,gasBoilerSpaceStock,MK,,effConv,0.797876644
stock,heat,gasBoilerSpaceStock,NL,,effConv,0.831484677
stock,heat,gasBoilerSpaceStock,NO,,effConv,0.893958139
stock,heat,gasBoilerSpaceStock,PL,,effConv,0.851547461
stock,heat,gasBoilerSpaceStock,PT,,effConv,0.844017002
stock,heat,gasBoilerSpaceStock,RO,,effConv,0.797876644
stock,heat,gasBoilerSpaceStock,RS,,effConv,0.797876644
stock,heat,gasBoilerSpaceStock,SE,,effConv,0.893958139
stock,heat,gasBoilerSpaceStock,SI,,effConv,0.852204223
stock,heat,gasBoilerSpaceStock,SK,,effConv,0.851157238
stock,heat,gasBoilerSpaceStock,UK,,effConv,0.833222307
stock,heat,oilLiquidBoilerSpaceStock,AL,,effConv,0.809567769
stock,heat,oilLiquidBoilerSpaceStock,AT,,effConv,0.804013356
stock,heat,oilLiquidBoilerSpaceStock,BA,,effConv,0.809567769
stock,heat,oilLiquidBoilerSpaceStock,BE,,effConv,0.768268789
stock,heat,oilLiquidBoilerSpaceStock,BG,,effConv,0.798498359
stock,heat,oilLiquidBoilerSpaceStock,CH,,effConv,0.804013356
stock,heat,oilLiquidBoilerSpaceStock,CZ,,effConv,0.831376426
stock,heat,oilLiquidBoilerSpaceStock,DE,,effConv,0.769898124
stock,heat,oilLiquidBoilerSpaceStock,DK,,effConv,0.774618423
stock,heat,oilLiquidBoilerSpaceStock,EE,,effConv,0.799040771
stock,heat,oilLiquidBoilerSpaceStock,ES,,effConv,0.800055817
stock,heat,oilLiquidBoilerSpaceStock,FI,,effConv,0.800145947
stock,heat,oilLiquidBoilerSpaceStock,FR,,effConv,0.835446364
stock,heat,oilLiquidBoilerSpaceStock,GR,,effConv,0.777428311
stock,heat,oilLiquidBoilerSpaceStock,HR,,effConv,0.719556557
stock,heat,oilLiquidBoilerSpaceStock,HU,,effConv,0.759051504
stock,heat,oilLiquidBoilerSpaceStock,IE,,effConv,0.796053977
stock,heat,oilLiquidBoilerSpaceStock,IT,,effConv,0.772468141
stock,heat,oilLiquidBoilerSpaceStock,LT,,effConv,0.843901299
stock,heat,oilLiquidBoilerSpaceStock,LU,,effConv,0.788830298
stock,heat,oilLiquidBoilerSpaceStock,LV,,effConv,0.81388919
stock,heat,oilLiquidBoilerSpaceStock,ME,,effConv,0.809567769
stock,heat,oilLiquidBoilerSpaceStock,MK,,effConv,0.809567769
stock,heat,oilLiquidBoilerSpaceStock,NL,,effConv,0.845568267
stock,heat,oilLiquidBoilerSpaceStock,NO,,effConv,0.825677404
stock,heat,oilLiquidBoilerSpaceStock,PL,,effConv,0.770869037
stock,heat,oilLiquidBoilerSpaceStock,PT,,effConv,0.794689772
stock,heat,oilLiquidBoilerSpaceStock,RO,,effConv,0.809567769
stock,heat,oilLiquidBoilerSpaceStock,RS,,effConv,0.809567769
stock,heat,oilLiquidBoilerSpaceStock,SE,,effConv,0.825677404
stock,heat,oilLiquidBoilerSpaceStock,SI,,effConv,0.77070142
stock,heat,oilLiquidBoilerSpaceStock,SK,,effConv,0.825391953
stock,heat,oilLiquidBoilerSpaceStock,UK,,effConv,0.808594989
stock,heat,resistiveHeatSpaceStock,AL,,effConv,0.7144416
stock,heat,resistiveHeatSpaceStock,AT,,effConv,0.927293028
stock,heat,resistiveHeatSpaceStock,BA,,effConv,0.7144416
stock,heat,resistiveHeatSpaceStock,BE,,effConv,0.931265319
stock,heat,resistiveHeatSpaceStock,BG,,effConv,0.917006976
stock,heat,resistiveHeatSpaceStock,CH,,effConv,0.927293028
stock,heat,resistiveHeatSpaceStock,CZ,,effConv,0.898769431
stock,heat,resistiveHeatSpaceStock,DE,,effConv,0.937136639
stock,heat,resistiveHeatSpaceStock,DK,,effConv,0.933157578
stock,heat,resistiveHeatSpaceStock,EE,,effConv,0.913248379
stock,heat,resistiveHeatSpaceStock,ES,,effConv,0.92745862
stock,heat,resistiveHeatSpaceStock,FI,,effConv,0.935482717
stock,heat,resistiveHeatSpaceStock,FR,,effConv,0.940218338
stock,heat,resistiveHeatSpaceStock,GR,,effConv,0.889847202
stock,heat,resistiveHeatSpaceStock,HR,,effConv,0.833096193
stock,heat,resistiveHeatSpaceStock,HU,,effConv,0.894633283
stock,heat,resistiveHeatSpaceStock,IE,,effConv,0.906291923
stock,heat,resistiveHeatSpaceStock,IT,,effConv,0.894787793
stock,heat,resistiveHeatSpaceStock,LT,,effConv,0.92882633
stock,heat,resistiveHeatSpaceStock,LU,,effConv,0.934394729
stock,heat,resistiveHeatSpaceStock,LV,,effConv,0.925357029
stock,heat,resistiveHeatSpaceStock,ME,,effConv,0.7144416
stock,heat,resistiveHeatSpaceStock,MK,,effConv,0.7144416
stock,heat,resistiveHeatSpaceStock,NL,,effConv,0.92486412
stock,heat,resistiveHeatSpaceStock,NO,,effConv,0.940466215
stock,heat,resistiveHeatSpaceStock,PL,,effConv,0.894803648
stock,heat,resistiveHeatSpaceStock,PT,,effConv,0.917117442
stock,heat,resistiveHeatSpaceStock,RO,,effConv,0.7144416
stock,heat,resistiveHeatSpaceStock,RS,,effConv,0.7144416
stock,heat,resistiveHeatSpaceStock,SE,,effConv,0.940466215
stock,heat,resistiveHeatSpaceStock,SI,,effConv,0.880786193
stock,heat,resistiveHeatSpaceStock,SK,,effConv,0.912290736
stock,heat,resistiveHeatSpaceStock,UK,,effConv,0.918568258
stock,power,hardcoalPlantProLowStock,,,effConv,0.38
stock,power,hardcoalPlantProMedStock,,,effConv,0.38
stock,power,oilPlantProLowStock,,,effConv,0.4
stock,power,oilPlantProMedStock,,,effConv,0.4
stock,power,hardcoalPlantProLowStock,,processHeat_low,ratioConvOutFix,0.87
stock,power,hardcoalPlantProMedStock,,processHeat_medium,ratioConvOutFix,0.87
stock,power,oilPlantProLowStock,,processHeat_low,ratioConvOutFix,0.87
stock,power,oilPlantProMedStock,,processHeat_medium,ratioConvOutFix,0.87
