region_4,technology_3,carrier_1,parameter,value,source
08ES,hardcoalPlantProMedStock,,effConv,0.85,
08ES,oilPlantProMedStock,,effConv,0.846002329,
08ES,districtHeatSpace,,effConv,0.8,
08ES,bioBoilerSpaceStock,,effConv,0.817609197,
08ES,gasBoilerSpaceStock,,effConv,0.823189042,
08ES,oilLiquidBoilerSpaceStock,,effConv,0.72,
08ES,resistiveHeatSpaceStock,,effConv,0.927,
08ES,coalBoilerSpaceStock,,effConv,0.55,
09ES,coalBoilerProHighStock,,effConv,0.7,
09ES,eBoilerProHigh,,effConv,1,
09ES,gasBoilerProHighStock,,effConv,0.7,
09ES,oilBoilerProHighStock,,effConv,0.932746715,
09ES,bioBoilerProLowStock,,effConv,0.7,
09ES,ccgtGasBackProLowStock,,effConv,0.75,
09ES,districtHeatPro,,effConv,0.8,
09ES,gasBoilerProLowStock,,effConv,0.7,
09ES,eBoilerProLow,,effConv,0.99,
09ES,gasEngineProLowStock,,effConv,0.875,
09ES,oilBoilerProLowStock,,effConv,0.899323291,
09ES,hardcoalPlantProLowStock,,effConv,0.85,
09ES,oilPlantProLowStock,,effConv,0.775,
09ES,bioBoilerProMedStock,,effConv,0.98,
09ES,bioGasEngineProMedStock,,effConv,0.875,
09ES,ccgtGasBackProMedStock,,effConv,0.75,
09ES,coalBoilerProMedStock,,effConv,0.7,
09ES,eBoilerProMed,,effConv,0.930833333,
09ES,gasBoilerProMedStock,,effConv,0.7,
09ES,gasEngineProMedStock,,effConv,0.875,
09ES,oilBoilerProMedStock,,effConv,0.889995824,
09ES,hardcoalPlantProMedStock,,effConv,0.85,
09ES,oilPlantProMedStock,,effConv,0.846002329,
09ES,districtHeatSpace,,effConv,0.8,
09ES,bioBoilerSpaceStock,,effConv,0.817609197,
09ES,gasBoilerSpaceStock,,effConv,0.823189042,
09ES,oilLiquidBoilerSpaceStock,,effConv,0.72,
09ES,resistiveHeatSpaceStock,,effConv,0.927,
09ES,coalBoilerSpaceStock,,effConv,0.55,
10ES,coalBoilerProHighStock,,effConv,0.7,
10ES,eBoilerProHigh,,effConv,1,
10ES,gasBoilerProHighStock,,effConv,0.7,
10ES,oilBoilerProHighStock,,effConv,0.932746715,
10ES,bioBoilerProLowStock,,effConv,0.7,
10ES,ccgtGasBackProLowStock,,effConv,0.75,
10ES,gasBoilerProLowStock,,effConv,0.7,
10ES,eBoilerProLow,,effConv,0.99,
10ES,gasEngineProLowStock,,effConv,0.875,
10ES,oilBoilerProLowStock,,effConv,0.899323291,
10ES,oilPlantProLowStock,,effConv,0.775,
10ES,bioBoilerProMedStock,,effConv,0.98,
10ES,bioGasEngineProMedStock,,effConv,0.875,
10ES,ccgtGasBackProMedStock,,effConv,0.75,
10ES,coalBoilerProMedStock,,effConv,0.7,
10ES,eBoilerProMed,,effConv,0.930833333,
10ES,gasBoilerProMedStock,,effConv,0.7,
10ES,gasEngineProMedStock,,effConv,0.875,
10ES,oilBoilerProMedStock,,effConv,0.889995824,
10ES,hardcoalPlantProMedStock,,effConv,0.85,
10ES,oilPlantProMedStock,,effConv,0.846002329,
10ES,districtHeatSpace,,effConv,0.8,
10ES,bioBoilerSpaceStock,,effConv,0.817609197,
10ES,gasBoilerSpaceStock,,effConv,0.823189042,
10ES,oilLiquidBoilerSpaceStock,,effConv,0.72,
10ES,resistiveHeatSpaceStock,,effConv,0.927,
10ES,coalBoilerSpaceStock,,effConv,0.55,
11ES,coalBoilerProHighStock,,effConv,0.7,
11ES,eBoilerProHigh,,effConv,1,
11ES,gasBoilerProHighStock,,effConv,0.7,
11ES,oilBoilerProHighStock,,effConv,0.932746715,
11ES,bioBoilerProLowStock,,effConv,0.7,
11ES,ccgtGasBackProLowStock,,effConv,0.75,
11ES,coalBoilerProLowStock,,effConv,0.7,
11ES,districtHeatPro,,effConv,0.8,
11ES,gasBoilerProLowStock,,effConv,0.7,
11ES,eBoilerProLow,,effConv,0.99,
11ES,gasEngineProLowStock,,effConv,0.875,
11ES,oilBoilerProLowStock,,effConv,0.899323291,
11ES,hardcoalPlantProLowStock,,effConv,0.85,
11ES,oilPlantProLowStock,,effConv,0.775,
11ES,bioBoilerProMedStock,,effConv,0.98,
11ES,bioGasEngineProMedStock,,effConv,0.875,
11ES,ccgtGasBackProMedStock,,effConv,0.75,
11ES,coalBoilerProMedStock,,effConv,0.7,
11ES,eBoilerProMed,,effConv,0.930833333,
11ES,gasBoilerProMedStock,,effConv,0.7,
11ES,gasEngineProMedStock,,effConv,0.875,
11ES,oilBoilerProMedStock,,effConv,0.889995824,
11ES,hardcoalPlantProMedStock,,effConv,0.85,
11ES,oilPlantProMedStock,,effConv,0.846002329,
11ES,districtHeatSpace,,effConv,0.8,
11ES,bioBoilerSpaceStock,,effConv,0.817609197,
11ES,gasBoilerSpaceStock,,effConv,0.823189042,
11ES,oilLiquidBoilerSpaceStock,,effConv,0.72,
11ES,resistiveHeatSpaceStock,,effConv,0.927,
11ES,coalBoilerSpaceStock,,effConv,0.55,
12PT,coalBoilerProHighStock,,effConv,1,
12PT,eBoilerProHigh,,effConv,1,
12PT,gasBoilerProHighStock,,effConv,0.98,
12PT,oilBoilerProHighStock,,effConv,0.98,
12PT,bioBoilerProLowStock,,effConv,0.7,
12PT,ccgtGasBackProLowStock,,effConv,0.75,
12PT,districtHeatPro,,effConv,0.8,
12PT,gasBoilerProLowStock,,effConv,0.98,
12PT,eBoilerProLow,,effConv,0.99,
12PT,gasEngineProLowStock,,effConv,0.875,
12PT,oilBoilerProLowStock,,effConv,0.964166667,
12PT,oilPlantProLowStock,,effConv,0.775,
12PT,bioBoilerProMedStock,,effConv,0.98,
12PT,bioGasEngineProMedStock,,effConv,0.875,
12PT,ccgtGasBackProMedStock,,effConv,0.75,
12PT,coalBoilerProMedStock,,effConv,0.898333333,
12PT,eBoilerProMed,,effConv,0.930833333,
12PT,gasBoilerProMedStock,,effConv,0.98,
12PT,gasEngineProMedStock,,effConv,0.875,
12PT,oilBoilerProMedStock,,effConv,0.954166667,
12PT,hardcoalPlantProMedStock,,effConv,0.85,
12PT,oilPlantProMedStock,,effConv,0.846002329,
12PT,districtHeatSpace,,effConv,0.8,
12PT,bioBoilerSpaceStock,,effConv,0.55,
12PT,gasBoilerSpaceStock,,effConv,0.98,
12PT,oilLiquidBoilerSpaceStock,,effConv,0.72,
12PT,resistiveHeatSpaceStock,,effConv,0.917,
13PT,coalBoilerProHighStock,,effConv,1,
13PT,eBoilerProHigh,,effConv,1,
13PT,gasBoilerProHighStock,,effConv,0.98,
13PT,oilBoilerProHighStock,,effConv,0.98,
13PT,bioBoilerProLowStock,,effConv,0.7,
13PT,ccgtGasBackProLowStock,,effConv,0.75,
13PT,districtHeatPro,,effConv,0.8,
13PT,gasBoilerProLowStock,,effConv,0.98,
13PT,eBoilerProLow,,effConv,0.99,
13PT,gasEngineProLowStock,,effConv,0.875,
13PT,oilBoilerProLowStock,,effConv,0.964166667,
13PT,oilPlantProLowStock,,effConv,0.775,
13PT,bioBoilerProMedStock,,effConv,0.98,
13PT,bioGasEngineProMedStock,,effConv,0.875,
13PT,ccgtGasBackProMedStock,,effConv,0.75,
13PT,coalBoilerProMedStock,,effConv,0.898333333,
13PT,eBoilerProMed,,effConv,0.930833333,
13PT,gasBoilerProMedStock,,effConv,0.98,
13PT,gasEngineProMedStock,,effConv,0.875,
13PT,oilBoilerProMedStock,,effConv,0.954166667,
13PT,hardcoalPlantProMedStock,,effConv,0.85,
13PT,oilPlantProMedStock,,effConv,0.846002329,
13PT,districtHeatSpace,,effConv,0.8,
13PT,bioBoilerSpaceStock,,effConv,0.55,
13PT,gasBoilerSpaceStock,,effConv,0.98,
13PT,oilLiquidBoilerSpaceStock,,effConv,0.72,
13PT,resistiveHeatSpaceStock,,effConv,0.917,
14FR,coalBoilerProHighStock,,effConv,0.7,
14FR,eBoilerProHigh,,effConv,1,
14FR,gasBoilerProHighStock,,effConv,0.7,
14FR,oilBoilerProHighStock,,effConv,0.98,
14FR,bioBoilerProLowStock,,effConv,0.7,
14FR,ccgtGasBackProLowStock,,effConv,0.99,
14FR,coalBoilerProLowStock,,effConv,0.7,
14FR,districtHeatPro,,effConv,0.8,
14FR,gasBoilerProLowStock,,effConv,0.7,
14FR,eBoilerProLow,,effConv,0.99,
