region_4,region_4,exchange,timestep_2,distance,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
14FR,15FR,h2Grid,2040,136.6133652,capaExcResi,0,costExpExc,95.62935564,costOprExc,20.91892155
14FR,17FR,h2Grid,2040,318.1552849,capaExcResi,0,costExpExc,222.7086994,costOprExc,48.717528
14FR,18FR,h2Grid,2040,344.2556995,capaExcResi,0,costExpExc,240.9789897,costOprExc,52.71415399
15FR,16FR,h2Grid,2040,249.2403492,capaExcResi,0,costExpExc,174.4682444,costOprExc,38.16492847
15FR,18FR,h2Grid,2040,309.9377053,capaExcResi,0,costExpExc,216.9563937,costOprExc,47.45921112
15FR,19FR,h2Grid,2040,195.2164194,capaExcResi,0,costExpExc,136.6514936,costOprExc,29.89251422
16FR,19FR,h2Grid,2040,169.622725,capaExcResi,0,costExpExc,118.7359075,costOprExc,25.97347977
16FR,20FR,h2Grid,2040,215.3787153,capaExcResi,0,costExpExc,150.7651007,costOprExc,32.97986578
16FR,52IT,h2Grid,2040,414.3150328,capaExcResi,0,costExpExc,290.020523,costOprExc,63.4419894
17FR,18FR,h2Grid,2040,202.6791238,capaExcResi,0,costExpExc,141.8753867,costOprExc,31.03524083
17FR,21FR,h2Grid,2040,239.28429,capaExcResi,0,costExpExc,167.499003,costOprExc,36.64040691
17FR,22FR,h2Grid,2040,244.5994651,capaExcResi,0,costExpExc,171.2196256,costOprExc,37.45429309
18FR,19FR,h2Grid,2040,266.9677866,capaExcResi,0,costExpExc,186.8774506,costOprExc,40.87944232
18FR,22FR,h2Grid,2040,281.9425219,capaExcResi,0,costExpExc,197.3597653,costOprExc,43.17244867
18FR,23FR,h2Grid,2040,195.9269556,capaExcResi,0,costExpExc,137.1488689,costOprExc,30.00131508
18FR,24FR,h2Grid,2040,176.3074068,capaExcResi,0,costExpExc,123.4151848,costOprExc,26.99707167
19FR,20FR,h2Grid,2040,128.7286047,capaExcResi,0,costExpExc,90.11002329,costOprExc,19.71156759
19FR,24FR,h2Grid,2040,260.391683,capaExcResi,0,costExpExc,182.2741781,costOprExc,39.87247646
20FR,24FR,h2Grid,2040,227.7869615,capaExcResi,0,costExpExc,159.4508731,costOprExc,34.87987848
20FR,25FR,h2Grid,2040,289.2192799,capaExcResi,0,costExpExc,202.4534959,costOprExc,44.28670223
20FR,47CH,h2Grid,2040,235.1547296,capaExcResi,0,costExpExc,164.6083107,costOprExc,36.00806797
20FR,48CH,h2Grid,2040,225.2370458,capaExcResi,0,costExpExc,157.6659321,costOprExc,34.48942264
20FR,52IT,h2Grid,2040,336.9067548,capaExcResi,0,costExpExc,235.8347284,costOprExc,51.58884683
21FR,22FR,h2Grid,2040,242.5869624,capaExcResi,0,costExpExc,169.8108737,costOprExc,37.14612862
22FR,23FR,h2Grid,2040,188.7170239,capaExcResi,0,costExpExc,132.1019167,costOprExc,28.89729428
22FR,26FR,h2Grid,2040,202.1663095,capaExcResi,0,costExpExc,141.5164167,costOprExc,30.95671614
23FR,24FR,h2Grid,2040,199.0479478,capaExcResi,0,costExpExc,139.3335635,costOprExc,30.47921701
23FR,26FR,h2Grid,2040,120.6619931,capaExcResi,0,costExpExc,84.46339517,costOprExc,18.47636769
23FR,27FR,h2Grid,2040,153.4722025,capaExcResi,0,costExpExc,107.4305418,costOprExc,23.50043101
24FR,25FR,h2Grid,2040,161.283229,capaExcResi,0,costExpExc,112.8982603,costOprExc,24.69649444
24FR,27FR,h2Grid,2040,195.2661639,capaExcResi,0,costExpExc,136.6863147,costOprExc,29.90013135
25FR,27FR,h2Grid,2040,167.270989,capaExcResi,0,costExpExc,117.0896923,costOprExc,25.61337019
25FR,28BE,h2Grid,2040,264.1398562,capaExcResi,0,costExpExc,184.8978993,costOprExc,40.44641548
25FR,29LU,h2Grid,2040,165.1477098,capaExcResi,0,costExpExc,115.6033969,costOprExc,25.28824306
25FR,35DE,h2Grid,2040,277.5602625,capaExcResi,0,costExpExc,194.2921838,costOprExc,42.5014152
25FR,36DE,h2Grid,2040,232.3229713,capaExcResi,0,costExpExc,162.6260799,costOprExc,35.57445498
25FR,47CH,h2Grid,2040,198.9643584,capaExcResi,0,costExpExc,139.2750509,costOprExc,30.46641738
26FR,27FR,h2Grid,2040,156.9966867,capaExcResi,0,costExpExc,109.8976807,costOprExc,24.04011765
26FR,28BE,h2Grid,2040,200.3490202,capaExcResi,0,costExpExc,140.2443141,costOprExc,30.67844372
26FR,90UK,h2Grid,2040,263.8339001,capaExcResi,0,costExpExc,184.6837301,costOprExc,40.39956595
27FR,28BE,h2Grid,2040,150.4013144,capaExcResi,0,costExpExc,105.2809201,costOprExc,23.03020127
28BE,29LU,h2Grid,2040,114.7981484,capaExcResi,0,costExpExc,80.35870388,costOprExc,17.57846647
28BE,30NL,h2Grid,2040,165.3403034,capaExcResi,0,costExpExc,115.7382124,costOprExc,25.31773396
28BE,33DE,h2Grid,2040,199.5774984,capaExcResi,0,costExpExc,139.7042489,costOprExc,30.56030444
29LU,35DE,h2Grid,2040,175.3953939,capaExcResi,0,costExpExc,122.7767757,costOprExc,26.85741969
30NL,31DE,h2Grid,2040,312.4217743,capaExcResi,0,costExpExc,218.695242,costOprExc,47.83958419
30NL,33DE,h2Grid,2040,174.5465975,capaExcResi,0,costExpExc,122.1826183,costOprExc,26.72744774
31DE,32DE,h2Grid,2040,231.9447013,capaExcResi,0,costExpExc,162.3612909,costOprExc,35.51653239
31DE,33DE,h2Grid,2040,250.0484459,capaExcResi,0,costExpExc,175.0339121,costOprExc,38.28866828
31DE,34DE,h2Grid,2040,315.1667435,capaExcResi,0,costExpExc,220.6167205,costOprExc,48.2599076
31DE,35DE,h2Grid,2040,337.3330513,capaExcResi,0,costExpExc,236.1331359,costOprExc,51.65412348
31DE,38DK,h2Grid,2040,297.178229,capaExcResi,0,costExpExc,208.0247603,costOprExc,45.50541632
32DE,34DE,h2Grid,2040,267.703044,capaExcResi,0,costExpExc,187.3921308,costOprExc,40.99202861
32DE,44PL,h2Grid,2040,274.1442939,capaExcResi,0,costExpExc,191.9010057,costOprExc,41.978345
33DE,35DE,h2Grid,2040,127.8183741,capaExcResi,0,costExpExc,89.47286187,costOprExc,19.57218853
34DE,35DE,h2Grid,2040,281.8972247,capaExcResi,0,costExpExc,197.3280573,costOprExc,43.16551253
34DE,37DE,h2Grid,2040,247.963176,capaExcResi,0,costExpExc,173.5742232,costOprExc,37.96936133
34DE,39CZ,h2Grid,2040,213.1205044,capaExcResi,0,costExpExc,149.1843531,costOprExc,32.63407724
34DE,44PL,h2Grid,2040,320.0532054,capaExcResi,0,costExpExc,224.0372438,costOprExc,49.00814708
35DE,36DE,h2Grid,2040,205.7224337,capaExcResi,0,costExpExc,144.0057036,costOprExc,31.50124766
35DE,37DE,h2Grid,2040,239.1816951,capaExcResi,0,costExpExc,167.4271866,costOprExc,36.62469706
36DE,37DE,h2Grid,2040,130.8050302,capaExcResi,0,costExpExc,91.56352114,costOprExc,20.02952025
36DE,47CH,h2Grid,2040,186.4672776,capaExcResi,0,costExpExc,130.5270943,costOprExc,28.55280188
37DE,39CZ,h2Grid,2040,275.0259717,capaExcResi,0,costExpExc,192.5181802,costOprExc,42.11335192
37DE,49AT,h2Grid,2040,221.307682,capaExcResi,0,costExpExc,154.9153774,costOprExc,33.88773881
37DE,50AT,h2Grid,2040,313.9276745,capaExcResi,0,costExpExc,219.7493722,costOprExc,48.07017516
38DK,72DK,h2Grid,2040,167.5531634,capaExcResi,0,costExpExc,117.2872144,costOprExc,25.65657815
38DK,79NO,h2Grid,2040,355.3083325,capaExcResi,0,costExpExc,248.7158328,costOprExc,54.40658841
39CZ,40CZ,h2Grid,2040,161.3899853,capaExcResi,0,costExpExc,112.9729897,costOprExc,24.7128415
39CZ,44PL,h2Grid,2040,299.0205021,capaExcResi,0,costExpExc,209.3143515,costOprExc,45.78751438
39CZ,50AT,h2Grid,2040,265.1770555,capaExcResi,0,costExpExc,185.6239389,costOprExc,40.60523662
39CZ,51AT,h2Grid,2040,240.6050618,capaExcResi,0,costExpExc,168.4235433,costOprExc,36.84265009
40CZ,43PL,h2Grid,2040,198.2194216,capaExcResi,0,costExpExc,138.7535951,costOprExc,30.35234893
40CZ,44PL,h2Grid,2040,307.4527343,capaExcResi,0,costExpExc,215.216914,costOprExc,47.07869994
40CZ,46SK,h2Grid,2040,241.4773941,capaExcResi,0,costExpExc,169.0341759,costOprExc,36.97622597
40CZ,51AT,h2Grid,2040,190.3007039,capaExcResi,0,costExpExc,133.2104927,costOprExc,29.13979528
41PL,42PL,h2Grid,2040,182.7117625,capaExcResi,0,costExpExc,127.8982338,costOprExc,27.97773863
41PL,43PL,h2Grid,2040,254.8828619,capaExcResi,0,costExpExc,178.4180033,costOprExc,39.02893823
41PL,44PL,h2Grid,2040,290.4179975,capaExcResi,0,costExpExc,203.2925983,costOprExc,44.47025587
41PL,45PL,h2Grid,2040,191.6378897,capaExcResi,0,costExpExc,134.1465228,costOprExc,29.34455186
41PL,77LT,h2Grid,2040,391.6990835,capaExcResi,0,costExpExc,274.1893585,costOprExc,59.97892216
42PL,43PL,h2Grid,2040,204.0086329,capaExcResi,0,costExpExc,142.806043,costOprExc,31.23882191
42PL,46SK,h2Grid,2040,284.4793059,capaExcResi,0,costExpExc,199.1355141,costOprExc,43.56089372
43PL,44PL,h2Grid,2040,314.4017133,capaExcResi,0,costExpExc,220.0811993,costOprExc,48.14276235
43PL,46SK,h2Grid,2040,162.0806534,capaExcResi,0,costExpExc,113.4564574,costOprExc,24.81860005
44PL,45PL,h2Grid,2040,177.8765898,capaExcResi,0,costExpExc,124.5136129,costOprExc,27.23735281
45PL,89SE,h2Grid,2040,436.2471423,capaExcResi,0,costExpExc,305.3729996,costOprExc,66.80034366
46SK,51AT,h2Grid,2040,299.9877939,capaExcResi,0,costExpExc,209.9914557,costOprExc,45.93563094
46SK,58HU,h2Grid,2040,170.5101981,capaExcResi,0,costExpExc,119.3571387,costOprExc,26.10937408
47CH,48CH,h2Grid,2040,87.07522215,capaExcResi,0,costExpExc,60.95265551,costOprExc,13.33339339
47CH,49AT,h2Grid,2040,302.6629821,capaExcResi,0,costExpExc,211.8640875,costOprExc,46.34526913
48CH,49AT,h2Grid,2040,284.6385828,capaExcResi,0,costExpExc,199.247008,costOprExc,43.58528299
48CH,52IT,h2Grid,2040,165.0064056,capaExcResi,0,costExpExc,115.5044839,costOprExc,25.26660586
49AT,50AT,h2Grid,2040,183.7739861,capaExcResi,0,costExpExc,128.6417903,costOprExc,28.14039162
49AT,52IT,h2Grid,2040,254.2385298,capaExcResi,0,costExpExc,177.9669709,costOprExc,38.93027488
49AT,57SI,h2Grid,2040,257.6799814,capaExcResi,0,costExpExc,180.375987,costOprExc,39.45724715
50AT,51AT,h2Grid,2040,110.4340475,capaExcResi,0,costExpExc,77.30383325,costOprExc,16.91021352
50AT,57SI,h2Grid,2040,173.90792,capaExcResi,0,costExpExc,121.735544,costOprExc,26.62965025
51AT,58HU,h2Grid,2040,268.6601374,capaExcResi,0,costExpExc,188.0620962,costOprExc,41.13858354
52IT,53IT,h2Grid,2040,258.4434312,capaExcResi,0,costExpExc,180.9104018,costOprExc,39.5741504
52IT,57SI,h2Grid,2040,384.7714797,capaExcResi,0,costExpExc,269.3400358,costOprExc,58.91813283
53IT,54IT,h2Grid,2040,275.9884204,capaExcResi,0,costExpExc,193.1918943,costOprExc,42.26072687
53IT,99FR,h2Grid,2040,231.5665447,capaExcResi,0,costExpExc,162.0965813,costOprExc,35.45862716
54IT,55IT,h2Grid,2040,221.6828076,capaExcResi,0,costExpExc,155.1779653,costOprExc,33.94517991
54IT,63BA,h2Grid,2040,438.3305188,capaExcResi,0,costExpExc,306.8313632,costOprExc,67.11936069
55IT,56IT,h2Grid,2040,366.763383,capaExcResi,0,costExpExc,256.7343681,costOprExc,56.16064302
55IT,70AL,h2Grid,2040,331.7180726,capaExcResi,0,costExpExc,232.2026508,costOprExc,50.79432987
57SI,58HU,h2Grid,2040,354.8803177,capaExcResi,0,costExpExc,248.4162224,costOprExc,54.34104865
57SI,62HR,h2Grid,2040,191.9854066,capaExcResi,0,costExpExc,134.3897846,costOprExc,29.39776539
58HU,59RO,h2Grid,2040,342.2285586,capaExcResi,0,costExpExc,239.559991,costOprExc,52.40374804
58HU,62HR,h2Grid,2040,410.210311,capaExcResi,0,costExpExc,287.1472177,costOprExc,62.81345387
58HU,65RS,h2Grid,2040,344.7495811,capaExcResi,0,costExpExc,241.3247068,costOprExc,52.78977961
59RO,60RO,h2Grid,2040,180.938072,capaExcResi,0,costExpExc,126.6566504,costOprExc,27.70614228
59RO,61RO,h2Grid,2040,271.7883694,capaExcResi,0,costExpExc,190.2518586,costOprExc,41.61759406
59RO,65RS,h2Grid,2040,334.276949,capaExcResi,0,costExpExc,233.9938643,costOprExc,51.18615782
60RO,61RO,h2Grid,2040,278.5523998,capaExcResi,0,costExpExc,194.9866799,costOprExc,42.65333622
60RO,65RS,h2Grid,2040,296.3440868,capaExcResi,0,costExpExc,207.4408608,costOprExc,45.37768829
60RO,66BG,h2Grid,2040,274.3865886,capaExcResi,0,costExpExc,192.070612,costOprExc,42.01544638
61RO,66BG,h2Grid,2040,445.5747307,capaExcResi,0,costExpExc,311.9023115,costOprExc,68.22863064
62HR,63BA,h2Grid,2040,149.466972,capaExcResi,0,costExpExc,104.6268804,costOprExc,22.88713009
62HR,65RS,h2Grid,2040,366.385259,capaExcResi,0,costExpExc,256.4696813,costOprExc,56.10274278
63BA,64ME,h2Grid,2040,197.9540359,capaExcResi,0,costExpExc,138.5678251,costOprExc,30.31171175
63BA,65RS,h2Grid,2040,219.6491038,capaExcResi,0,costExpExc,153.7543727,costOprExc,33.63376902
64ME,65RS,h2Grid,2040,205.4702611,capaExcResi,0,costExpExc,143.8291828,costOprExc,31.46263373
64ME,70AL,h2Grid,2040,189.3868667,capaExcResi,0,costExpExc,132.5708067,costOprExc,28.99986396
65RS,66BG,h2Grid,2040,432.5493662,capaExcResi,0,costExpExc,302.7845563,costOprExc,66.2341217
65RS,67MK,h2Grid,2040,310.3195234,capaExcResi,0,costExpExc,217.2236664,costOprExc,47.51767702
65RS,70AL,h2Grid,2040,355.6206255,capaExcResi,0,costExpExc,248.9344379,costOprExc,54.45440828
66BG,67MK,h2Grid,2040,315.2859964,capaExcResi,0,costExpExc,220.7001975,costOprExc,48.2781682
66BG,68GR,h2Grid,2040,393.8604482,capaExcResi,0,costExpExc,275.7023137,costOprExc,60.30988113
67MK,68GR,h2Grid,2040,181.6802457,capaExcResi,0,costExpExc,127.176172,costOprExc,27.81978762
67MK,70AL,h2Grid,2040,150.5136201,capaExcResi,0,costExpExc,105.3595341,costOprExc,23.04739808
68GR,69GR,h2Grid,2040,338.6194346,capaExcResi,0,costExpExc,237.0336042,costOprExc,51.85110092
68GR,70AL,h2Grid,2040,206.9275499,capaExcResi,0,costExpExc,144.8492849,costOprExc,31.68578108
72DK,89SE,h2Grid,2040,164.6954858,capaExcResi,0,costExpExc,115.2868401,costOprExc,25.21899626
73EE,75FI,h2Grid,2040,378.2993726,capaExcResi,0,costExpExc,264.8095608,costOprExc,57.92709143
73EE,78LV,h2Grid,2040,199.7861262,capaExcResi,0,costExpExc,139.8502883,costOprExc,30.59225057
74FI,75FI,h2Grid,2040,530.9718836,capaExcResi,0,costExpExc,371.6803185,costOprExc,81.30506968
74FI,85NO,h2Grid,2040,410.6501244,capaExcResi,0,costExpExc,287.4550871,costOprExc,62.8808003
74FI,86SE,h2Grid,2040,263.980813,capaExcResi,0,costExpExc,184.7865691,costOprExc,40.42206199
77LT,78LV,h2Grid,2040,203.5679618,capaExcResi,0,costExpExc,142.4975733,costOprExc,31.17134415
79NO,80NO,h2Grid,2040,177.2002144,capaExcResi,0,costExpExc,124.0401501,costOprExc,27.13378283
79NO,81NO,h2Grid,2040,230.4470793,capaExcResi,0,costExpExc,161.3129555,costOprExc,35.28720902
80NO,81NO,h2Grid,2040,251.4648622,capaExcResi,0,costExpExc,176.0254035,costOprExc,38.50555702
80NO,82NO,h2Grid,2040,223.0004002,capaExcResi,0,costExpExc,156.1002801,costOprExc,34.14693628
81NO,82NO,h2Grid,2040,239.1201576,capaExcResi,0,costExpExc,167.3841103,costOprExc,36.61527413
81NO,83NO,h2Grid,2040,271.6692295,capaExcResi,0,costExpExc,190.1684607,costOprExc,41.59935077
82NO,83NO,h2Grid,2040,241.2628238,capaExcResi,0,costExpExc,168.8839767,costOprExc,36.94336989
82NO,88SE,h2Grid,2040,320.1586636,capaExcResi,0,costExpExc,224.1110645,costOprExc,49.02429536
83NO,84NO,h2Grid,2040,572.1602243,capaExcResi,0,costExpExc,400.512157,costOprExc,87.61203435
83NO,87SE,h2Grid,2040,429.6816884,capaExcResi,0,costExpExc,300.7771819,costOprExc,65.79500854
84NO,85NO,h2Grid,2040,553.241949,capaExcResi,0,costExpExc,387.2693643,costOprExc,84.71517344
84NO,86SE,h2Grid,2040,270.774259,capaExcResi,0,costExpExc,189.5419813,costOprExc,41.46230841
84NO,87SE,h2Grid,2040,420.1019246,capaExcResi,0,costExpExc,294.0713472,costOprExc,64.3281072
86SE,87SE,h2Grid,2040,412.9328247,capaExcResi,0,costExpExc,289.0529773,costOprExc,63.23033878
87SE,88SE,h2Grid,2040,503.9427541,capaExcResi,0,costExpExc,352.7599279,costOprExc,77.16623422
88SE,89SE,h2Grid,2040,336.7014957,capaExcResi,0,costExpExc,235.691047,costOprExc,51.55741653
90UK,91UK,h2Grid,2040,269.9501434,capaExcResi,0,costExpExc,188.9651004,costOprExc,41.33611571
90UK,92UK,h2Grid,2040,246.9479978,capaExcResi,0,costExpExc,172.8635985,costOprExc,37.81391216
91UK,92UK,h2Grid,2040,211.0090985,capaExcResi,0,costExpExc,147.706369,costOprExc,32.31076821
92UK,93UK,h2Grid,2040,246.8552468,capaExcResi,0,costExpExc,172.7986728,costOprExc,37.79970967
93UK,94UK,h2Grid,2040,351.7016062,capaExcResi,0,costExpExc,246.1911243,costOprExc,53.85430845
93UK,95UK,h2Grid,2040,242.5576461,capaExcResi,0,costExpExc,169.7903523,costOprExc,37.14163956
95UK,96IE,h2Grid,2040,195.1596407,capaExcResi,0,costExpExc,136.6117485,costOprExc,29.88381998
98IT,99FR,h2Grid,2040,205.638573,capaExcResi,0,costExpExc,143.9470011,costOprExc,31.48840649
01ES,02ES,h2Grid,,226.0229801,lossExc,0.00773,,,,
01ES,12PT,h2Grid,,220.7843196,lossExc,0.00755,,,,
02ES,03ES,h2Grid,,169.3470606,lossExc,0.00579,,,,
02ES,08ES,h2Grid,,345.1591499,lossExc,0.01181,,,,
02ES,12PT,h2Grid,,242.1057926,lossExc,0.00828,,,,
03ES,04ES,h2Grid,,170.5697448,lossExc,0.00584,,,,
03ES,05ES,h2Grid,,258.8830989,lossExc,0.00886,,,,
03ES,07ES,h2Grid,,135.5792406,lossExc,0.00464,,,,
03ES,08ES,h2Grid,,285.2596021,lossExc,0.00976,,,,
03ES,11ES,h2Grid,,365.8997089,lossExc,0.01252,,,,
04ES,05ES,h2Grid,,200.888342,lossExc,0.00687,,,,
04ES,14FR,h2Grid,,286.850674,lossExc,0.00981,,,,
05ES,06ES,h2Grid,,180.7563858,lossExc,0.00618,,,,
05ES,11ES,h2Grid,,268.5552515,lossExc,0.00919,,,,
05ES,14FR,h2Grid,,305.4484316,lossExc,0.01045,,,,
06ES,11ES,h2Grid,,370.9179493,lossExc,0.01269,,,,
06ES,14FR,h2Grid,,253.2242877,lossExc,0.00866,,,,
06ES,15FR,h2Grid,,270.4177384,lossExc,0.00925,,,,
07ES,08ES,h2Grid,,172.8048204,lossExc,0.00591,,,,
07ES,11ES,h2Grid,,276.9872673,lossExc,0.00948,,,,
08ES,09ES,h2Grid,,231.1051398,lossExc,0.00791,,,,
08ES,10ES,h2Grid,,198.6497561,lossExc,0.0068,,,,
08ES,11ES,h2Grid,,359.9690076,lossExc,0.01232,,,,
08ES,12PT,h2Grid,,277.8273511,lossExc,0.00951,,,,
08ES,13PT,h2Grid,,275.4245566,lossExc,0.00942,,,,
09ES,10ES,h2Grid,,167.4661886,lossExc,0.00573,,,,
09ES,13PT,h2Grid,,264.6981729,lossExc,0.00906,,,,
10ES,11ES,h2Grid,,300.3706252,lossExc,0.01028,,,,
12PT,13PT,h2Grid,,254.0269767,lossExc,0.00869,,,,
14FR,15FR,h2Grid,,136.6133652,lossExc,0.00467,,,,
14FR,17FR,h2Grid,,318.1552849,lossExc,0.01089,,,,
14FR,18FR,h2Grid,,344.2556995,lossExc,0.01178,,,,
15FR,16FR,h2Grid,,249.2403492,lossExc,0.00853,,,,
15FR,18FR,h2Grid,,309.9377053,lossExc,0.0106,,,,
15FR,19FR,h2Grid,,195.2164194,lossExc,0.00668,,,,
16FR,19FR,h2Grid,,169.622725,lossExc,0.0058,,,,
16FR,20FR,h2Grid,,215.3787153,lossExc,0.00737,,,,
16FR,52IT,h2Grid,,414.3150328,lossExc,0.01418,,,,
17FR,18FR,h2Grid,,202.6791238,lossExc,0.00693,,,,
17FR,21FR,h2Grid,,239.28429,lossExc,0.00819,,,,
17FR,22FR,h2Grid,,244.5994651,lossExc,0.00837,,,,
18FR,19FR,h2Grid,,266.9677866,lossExc,0.00913,,,,
18FR,22FR,h2Grid,,281.9425219,lossExc,0.00965,,,,
18FR,23FR,h2Grid,,195.9269556,lossExc,0.0067,,,,
18FR,24FR,h2Grid,,176.3074068,lossExc,0.00603,,,,
19FR,20FR,h2Grid,,128.7286047,lossExc,0.0044,,,,
19FR,24FR,h2Grid,,260.391683,lossExc,0.00891,,,,
20FR,24FR,h2Grid,,227.7869615,lossExc,0.00779,,,,
20FR,25FR,h2Grid,,289.2192799,lossExc,0.0099,,,,
20FR,47CH,h2Grid,,235.1547296,lossExc,0.00805,,,,
20FR,48CH,h2Grid,,225.2370458,lossExc,0.00771,,,,
20FR,52IT,h2Grid,,336.9067548,lossExc,0.01153,,,,
21FR,22FR,h2Grid,,242.5869624,lossExc,0.0083,,,,
22FR,23FR,h2Grid,,188.7170239,lossExc,0.00646,,,,
22FR,26FR,h2Grid,,202.1663095,lossExc,0.00692,,,,
23FR,24FR,h2Grid,,199.0479478,lossExc,0.00681,,,,
23FR,26FR,h2Grid,,120.6619931,lossExc,0.00413,,,,
23FR,27FR,h2Grid,,153.4722025,lossExc,0.00525,,,,
24FR,25FR,h2Grid,,161.283229,lossExc,0.00552,,,,
24FR,27FR,h2Grid,,195.2661639,lossExc,0.00668,,,,
25FR,27FR,h2Grid,,167.270989,lossExc,0.00572,,,,
25FR,28BE,h2Grid,,264.1398562,lossExc,0.00904,,,,
25FR,29LU,h2Grid,,165.1477098,lossExc,0.00565,,,,
25FR,35DE,h2Grid,,277.5602625,lossExc,0.0095,,,,
25FR,36DE,h2Grid,,232.3229713,lossExc,0.00795,,,,
25FR,47CH,h2Grid,,198.9643584,lossExc,0.00681,,,,
26FR,27FR,h2Grid,,156.9966867,lossExc,0.00537,,,,
26FR,28BE,h2Grid,,200.3490202,lossExc,0.00685,,,,
26FR,90UK,h2Grid,,263.8339001,lossExc,0.00903,,,,
27FR,28BE,h2Grid,,150.4013144,lossExc,0.00515,,,,
28BE,29LU,h2Grid,,114.7981484,lossExc,0.00393,,,,
28BE,30NL,h2Grid,,165.3403034,lossExc,0.00566,,,,
28BE,33DE,h2Grid,,199.5774984,lossExc,0.00683,,,,
29LU,35DE,h2Grid,,175.3953939,lossExc,0.006,,,,
30NL,31DE,h2Grid,,312.4217743,lossExc,0.01069,,,,
30NL,33DE,h2Grid,,174.5465975,lossExc,0.00597,,,,
31DE,32DE,h2Grid,,231.9447013,lossExc,0.00794,,,,
31DE,33DE,h2Grid,,250.0484459,lossExc,0.00856,,,,
31DE,34DE,h2Grid,,315.1667435,lossExc,0.01078,,,,
31DE,35DE,h2Grid,,337.3330513,lossExc,0.01154,,,,
31DE,38DK,h2Grid,,297.178229,lossExc,0.01017,,,,
32DE,34DE,h2Grid,,267.703044,lossExc,0.00916,,,,
32DE,44PL,h2Grid,,274.1442939,lossExc,0.00938,,,,
33DE,35DE,h2Grid,,127.8183741,lossExc,0.00437,,,,
34DE,35DE,h2Grid,,281.8972247,lossExc,0.00964,,,,
34DE,37DE,h2Grid,,247.963176,lossExc,0.00848,,,,
34DE,39CZ,h2Grid,,213.1205044,lossExc,0.00729,,,,
