timestep_1,timestep_1,technology_1,technology_2,technology_3,modes,carrier_1,parameter_1,value_1,parameter_2,value_2,source,comment,comparison_source,comparison_value,comparision_comment
,,ccgt,ccgtH2CHP,ccgtH2_chp,,electricty,ratioGenFix,0.544444444,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",,,,
,,ccgt,ccgtH2CHP,ccgtH2_chp,,,lifeConv,20,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",,,,
all,all(2020:2035),ccgt,ccgtH2CHP,ccgtH2_chp,,,costExpConv,455.7,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",930 €/kW in 2020 bez.auf elek. Output,,,
all,all(2040:2050),ccgt,ccgtH2CHP,ccgtH2_chp,,,costExpConv,350.35,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",715 €/kW in 2050 bez.auf elek. Output (Abweichungen +/- 10%),,,
,,ccgt,ccgtH2CHP,ccgtH2_chp,,,costVarGen,0.294,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",0.0006 €/kWh bez. Auf elek. Output,,,
,,miscIndHeatMed,,hydrogenBoiler_ind_mid,,,effConv,0.98,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme),,,
,,miscIndHeatHigh,,hydrogenBoiler_ind,,,effConv,0.98,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme),,,
,,miscDistrictHeat,,hydrogenBoiler_dh,,,effConv,0.98,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme),,,
,,miscResiHeating,,hydrogenBoiler_resi,,,effConv,0.98,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme),,,
,,miscIndHeatMed,,hydrogenBoiler_ind_mid,,,lifeConv,20,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme),,,
