timestep_3,timestep_5,region_4,carrier_1,parameter,value
d001,h0018,03ES,frtRoadLight,mustOut,0.115461366
d001,h0019,03ES,frtRoadLight,mustOut,0.219583899
d001,h0020,03ES,frtRoadLight,mustOut,0.350655974
d001,h0021,03ES,frtRoadLight,mustOut,0.477788696
d001,h0022,03ES,frtRoadLight,mustOut,0.56542536
d001,h0023,03ES,frtRoadLight,mustOut,0.624870587
d001,h0024,03ES,frtRoadLight,mustOut,0.623023482
d002,h0025,03ES,frtRoadLight,mustOut,0.643943843
d002,h0026,03ES,frtRoadLight,mustOut,0.689580472
d002,h0027,03ES,frtRoadLight,mustOut,0.747599285
d002,h0028,03ES,frtRoadLight,mustOut,0.770006915
d002,h0029,03ES,frtRoadLight,mustOut,0.750848128
d002,h0030,03ES,frtRoadLight,mustOut,0.70870318
d002,h0031,03ES,frtRoadLight,mustOut,0.683885837
d002,h0032,03ES,frtRoadLight,mustOut,0.706719776
d002,h0033,03ES,frtRoadLight,mustOut,0.693775663
d002,h0034,03ES,frtRoadLight,mustOut,0.667251852
d002,h0035,03ES,frtRoadLight,mustOut,0.609233374
d002,h0036,03ES,frtRoadLight,mustOut,0.612357931
d002,h0037,03ES,frtRoadLight,mustOut,0.609099558
d002,h0038,03ES,frtRoadLight,mustOut,0.582847987
d002,h0039,03ES,frtRoadLight,mustOut,0.536041947
d002,h0040,03ES,frtRoadLight,mustOut,0.480414392
d002,h0041,03ES,frtRoadLight,mustOut,0.42145861
d002,h0042,03ES,frtRoadLight,mustOut,0.373521064
d002,h0043,03ES,frtRoadLight,mustOut,0.348341273
d002,h0044,03ES,frtRoadLight,mustOut,0.361789686
d002,h0045,03ES,frtRoadLight,mustOut,0.395593369
d002,h0046,03ES,frtRoadLight,mustOut,0.520435225
d002,h0047,03ES,frtRoadLight,mustOut,0.621715715
d002,h0048,03ES,frtRoadLight,mustOut,0.694349921
d003,h0049,03ES,frtRoadLight,mustOut,0.643805968
d003,h0050,03ES,frtRoadLight,mustOut,0.603185288
d003,h0051,03ES,frtRoadLight,mustOut,0.545948852
d003,h0052,03ES,frtRoadLight,mustOut,0.530683866
d003,h0053,03ES,frtRoadLight,mustOut,0.495705671
d003,h0054,03ES,frtRoadLight,mustOut,0.516862377
d003,h0055,03ES,frtRoadLight,mustOut,0.55904069
d003,h0056,03ES,frtRoadLight,mustOut,0.668383488
d003,h0057,03ES,frtRoadLight,mustOut,0.726454223
d003,h0058,03ES,frtRoadLight,mustOut,0.78160127
d003,h0059,03ES,frtRoadLight,mustOut,0.76160179
d003,h0060,03ES,frtRoadLight,mustOut,0.750778574
d003,h0061,03ES,frtRoadLight,mustOut,0.698088608
d003,h0062,03ES,frtRoadLight,mustOut,0.63927654
d003,h0063,03ES,frtRoadLight,mustOut,0.536456497
d003,h0064,03ES,frtRoadLight,mustOut,0.444256146
d003,h0065,03ES,frtRoadLight,mustOut,0.330503697
d003,h0066,03ES,frtRoadLight,mustOut,0.311020835
d003,h0067,03ES,frtRoadLight,mustOut,0.313098296
d003,h0068,03ES,frtRoadLight,mustOut,0.375921787
d003,h0069,03ES,frtRoadLight,mustOut,0.45533216
d003,h0070,03ES,frtRoadLight,mustOut,0.479683969
d003,h0071,03ES,frtRoadLight,mustOut,0.506127793
d003,h0072,03ES,frtRoadLight,mustOut,0.403019584
d004,h0073,03ES,frtRoadLight,mustOut,0.409792211
d004,h0074,03ES,frtRoadLight,mustOut,0.403616529
d004,h0075,03ES,frtRoadLight,mustOut,0.506266605
d004,h0076,03ES,frtRoadLight,mustOut,0.531634747
d004,h0077,03ES,frtRoadLight,mustOut,0.557768324
d004,h0078,03ES,frtRoadLight,mustOut,0.535455822
d004,h0079,03ES,frtRoadLight,mustOut,0.522912167
d004,h0080,03ES,frtRoadLight,mustOut,0.489946461
d004,h0081,03ES,frtRoadLight,mustOut,0.473934009
d004,h0082,03ES,frtRoadLight,mustOut,0.485453267
d004,h0083,03ES,frtRoadLight,mustOut,0.473113189
d004,h0084,03ES,frtRoadLight,mustOut,0.396229257
d004,h0085,03ES,frtRoadLight,mustOut,0.408767093
d004,h0086,03ES,frtRoadLight,mustOut,0.466272672
d004,h0087,03ES,frtRoadLight,mustOut,0.592055462
d004,h0088,03ES,frtRoadLight,mustOut,0.616954755
d004,h0089,03ES,frtRoadLight,mustOut,0.622491148
d004,h0090,03ES,frtRoadLight,mustOut,0.606947392
d004,h0091,03ES,frtRoadLight,mustOut,0.567512919
d004,h0092,03ES,frtRoadLight,mustOut,0.502353366
d004,h0093,03ES,frtRoadLight,mustOut,0.481686879
d004,h0094,03ES,frtRoadLight,mustOut,0.402530647
d004,h0095,03ES,frtRoadLight,mustOut,0.309605069
d004,h0096,03ES,frtRoadLight,mustOut,0.131282733
d001,h0001,04ES,frtRoadLight,mustOut,0.48281444
d001,h0002,04ES,frtRoadLight,mustOut,0.484989957
d001,h0003,04ES,frtRoadLight,mustOut,0.544048523
d001,h0004,04ES,frtRoadLight,mustOut,0.638230518
d001,h0005,04ES,frtRoadLight,mustOut,0.740448003
d001,h0006,04ES,frtRoadLight,mustOut,0.775615198
d001,h0007,04ES,frtRoadLight,mustOut,0.783966569
d001,h0008,04ES,frtRoadLight,mustOut,0.762330967
d001,h0009,04ES,frtRoadLight,mustOut,0.707522981
d001,h0010,04ES,frtRoadLight,mustOut,0.640498851
d001,h0011,04ES,frtRoadLight,mustOut,0.621929829
d001,h0012,04ES,frtRoadLight,mustOut,0.602724309
d001,h0013,04ES,frtRoadLight,mustOut,0.589629555
d001,h0014,04ES,frtRoadLight,mustOut,0.526125111
d001,h0015,04ES,frtRoadLight,mustOut,0.498187781
d001,h0016,04ES,frtRoadLight,mustOut,0.379359486
d001,h0017,04ES,frtRoadLight,mustOut,0.235881494
d001,h0018,04ES,frtRoadLight,mustOut,0.115461366
d001,h0019,04ES,frtRoadLight,mustOut,0.219583899
d001,h0020,04ES,frtRoadLight,mustOut,0.350655974
d001,h0021,04ES,frtRoadLight,mustOut,0.477788696
d001,h0022,04ES,frtRoadLight,mustOut,0.56542536
d001,h0023,04ES,frtRoadLight,mustOut,0.624870587
d001,h0024,04ES,frtRoadLight,mustOut,0.623023482
d002,h0025,04ES,frtRoadLight,mustOut,0.643943843
d002,h0026,04ES,frtRoadLight,mustOut,0.689580472
d002,h0027,04ES,frtRoadLight,mustOut,0.747599285
d002,h0028,04ES,frtRoadLight,mustOut,0.770006915
d002,h0029,04ES,frtRoadLight,mustOut,0.750848128
d002,h0030,04ES,frtRoadLight,mustOut,0.70870318
d002,h0031,04ES,frtRoadLight,mustOut,0.683885837
d002,h0032,04ES,frtRoadLight,mustOut,0.706719776
d002,h0033,04ES,frtRoadLight,mustOut,0.693775663
d002,h0034,04ES,frtRoadLight,mustOut,0.667251852
d002,h0035,04ES,frtRoadLight,mustOut,0.609233374
d002,h0036,04ES,frtRoadLight,mustOut,0.612357931
d002,h0037,04ES,frtRoadLight,mustOut,0.609099558
d002,h0038,04ES,frtRoadLight,mustOut,0.582847987
d002,h0039,04ES,frtRoadLight,mustOut,0.536041947
d002,h0040,04ES,frtRoadLight,mustOut,0.480414392
d002,h0041,04ES,frtRoadLight,mustOut,0.42145861
d002,h0042,04ES,frtRoadLight,mustOut,0.373521064
d002,h0043,04ES,frtRoadLight,mustOut,0.348341273
d002,h0044,04ES,frtRoadLight,mustOut,0.361789686
d002,h0045,04ES,frtRoadLight,mustOut,0.395593369
d002,h0046,04ES,frtRoadLight,mustOut,0.520435225
d002,h0047,04ES,frtRoadLight,mustOut,0.621715715
d002,h0048,04ES,frtRoadLight,mustOut,0.694349921
d003,h0049,04ES,frtRoadLight,mustOut,0.643805968
d003,h0050,04ES,frtRoadLight,mustOut,0.603185288
d003,h0051,04ES,frtRoadLight,mustOut,0.545948852
d003,h0052,04ES,frtRoadLight,mustOut,0.530683866
d003,h0053,04ES,frtRoadLight,mustOut,0.495705671
d003,h0054,04ES,frtRoadLight,mustOut,0.516862377
d003,h0055,04ES,frtRoadLight,mustOut,0.55904069
d003,h0056,04ES,frtRoadLight,mustOut,0.668383488
d003,h0057,04ES,frtRoadLight,mustOut,0.726454223
d003,h0058,04ES,frtRoadLight,mustOut,0.78160127
d003,h0059,04ES,frtRoadLight,mustOut,0.76160179
d003,h0060,04ES,frtRoadLight,mustOut,0.750778574
d003,h0061,04ES,frtRoadLight,mustOut,0.698088608
d003,h0062,04ES,frtRoadLight,mustOut,0.63927654
d003,h0063,04ES,frtRoadLight,mustOut,0.536456497
d003,h0064,04ES,frtRoadLight,mustOut,0.444256146
d003,h0065,04ES,frtRoadLight,mustOut,0.330503697
d003,h0066,04ES,frtRoadLight,mustOut,0.311020835
d003,h0067,04ES,frtRoadLight,mustOut,0.313098296
d003,h0068,04ES,frtRoadLight,mustOut,0.375921787
d003,h0069,04ES,frtRoadLight,mustOut,0.45533216
d003,h0070,04ES,frtRoadLight,mustOut,0.479683969
d003,h0071,04ES,frtRoadLight,mustOut,0.506127793
d003,h0072,04ES,frtRoadLight,mustOut,0.403019584
d004,h0073,04ES,frtRoadLight,mustOut,0.409792211
d004,h0074,04ES,frtRoadLight,mustOut,0.403616529
d004,h0075,04ES,frtRoadLight,mustOut,0.506266605
d004,h0076,04ES,frtRoadLight,mustOut,0.531634747
d004,h0077,04ES,frtRoadLight,mustOut,0.557768324
d004,h0078,04ES,frtRoadLight,mustOut,0.535455822
d004,h0079,04ES,frtRoadLight,mustOut,0.522912167
d004,h0080,04ES,frtRoadLight,mustOut,0.489946461
d004,h0081,04ES,frtRoadLight,mustOut,0.473934009
d004,h0082,04ES,frtRoadLight,mustOut,0.485453267
d004,h0083,04ES,frtRoadLight,mustOut,0.473113189
d004,h0084,04ES,frtRoadLight,mustOut,0.396229257
d004,h0085,04ES,frtRoadLight,mustOut,0.408767093
d004,h0086,04ES,frtRoadLight,mustOut,0.466272672
d004,h0087,04ES,frtRoadLight,mustOut,0.592055462
d004,h0088,04ES,frtRoadLight,mustOut,0.616954755
d004,h0089,04ES,frtRoadLight,mustOut,0.622491148
d004,h0090,04ES,frtRoadLight,mustOut,0.606947392
d004,h0091,04ES,frtRoadLight,mustOut,0.567512919
d004,h0092,04ES,frtRoadLight,mustOut,0.502353366
d004,h0093,04ES,frtRoadLight,mustOut,0.481686879
d004,h0094,04ES,frtRoadLight,mustOut,0.402530647
d004,h0095,04ES,frtRoadLight,mustOut,0.309605069
d004,h0096,04ES,frtRoadLight,mustOut,0.131282733
d001,h0001,05ES,frtRoadLight,mustOut,0.48281444
d001,h0002,05ES,frtRoadLight,mustOut,0.484989957
d001,h0003,05ES,frtRoadLight,mustOut,0.544048523
d001,h0004,05ES,frtRoadLight,mustOut,0.638230518
d001,h0005,05ES,frtRoadLight,mustOut,0.740448003
d001,h0006,05ES,frtRoadLight,mustOut,0.775615198
d001,h0007,05ES,frtRoadLight,mustOut,0.783966569
d001,h0008,05ES,frtRoadLight,mustOut,0.762330967
d001,h0009,05ES,frtRoadLight,mustOut,0.707522981
d001,h0010,05ES,frtRoadLight,mustOut,0.640498851
d001,h0011,05ES,frtRoadLight,mustOut,0.621929829
d001,h0012,05ES,frtRoadLight,mustOut,0.602724309
d001,h0013,05ES,frtRoadLight,mustOut,0.589629555
d001,h0014,05ES,frtRoadLight,mustOut,0.526125111
d001,h0015,05ES,frtRoadLight,mustOut,0.498187781
d001,h0016,05ES,frtRoadLight,mustOut,0.379359486
d001,h0017,05ES,frtRoadLight,mustOut,0.235881494
d001,h0018,05ES,frtRoadLight,mustOut,0.115461366
d001,h0019,05ES,frtRoadLight,mustOut,0.219583899
d001,h0020,05ES,frtRoadLight,mustOut,0.350655974
d001,h0021,05ES,frtRoadLight,mustOut,0.477788696
d001,h0022,05ES,frtRoadLight,mustOut,0.56542536
d001,h0023,05ES,frtRoadLight,mustOut,0.624870587
d001,h0024,05ES,frtRoadLight,mustOut,0.623023482
d002,h0025,05ES,frtRoadLight,mustOut,0.643943843
d002,h0026,05ES,frtRoadLight,mustOut,0.689580472
d002,h0027,05ES,frtRoadLight,mustOut,0.747599285
d002,h0028,05ES,frtRoadLight,mustOut,0.770006915
d002,h0029,05ES,frtRoadLight,mustOut,0.750848128
d002,h0030,05ES,frtRoadLight,mustOut,0.70870318
d002,h0031,05ES,frtRoadLight,mustOut,0.683885837
d002,h0032,05ES,frtRoadLight,mustOut,0.706719776
d002,h0033,05ES,frtRoadLight,mustOut,0.693775663
d002,h0034,05ES,frtRoadLight,mustOut,0.667251852
d002,h0035,05ES,frtRoadLight,mustOut,0.609233374
d002,h0036,05ES,frtRoadLight,mustOut,0.612357931
d002,h0037,05ES,frtRoadLight,mustOut,0.609099558
d002,h0038,05ES,frtRoadLight,mustOut,0.582847987
d002,h0039,05ES,frtRoadLight,mustOut,0.536041947
d002,h0040,05ES,frtRoadLight,mustOut,0.480414392
d002,h0041,05ES,frtRoadLight,mustOut,0.42145861
d002,h0042,05ES,frtRoadLight,mustOut,0.373521064
d002,h0043,05ES,frtRoadLight,mustOut,0.348341273
d002,h0044,05ES,frtRoadLight,mustOut,0.361789686
d002,h0045,05ES,frtRoadLight,mustOut,0.395593369
d002,h0046,05ES,frtRoadLight,mustOut,0.520435225
d002,h0047,05ES,frtRoadLight,mustOut,0.621715715
d002,h0048,05ES,frtRoadLight,mustOut,0.694349921
d003,h0049,05ES,frtRoadLight,mustOut,0.643805968
d003,h0050,05ES,frtRoadLight,mustOut,0.603185288
d003,h0051,05ES,frtRoadLight,mustOut,0.545948852
d003,h0052,05ES,frtRoadLight,mustOut,0.530683866
d003,h0053,05ES,frtRoadLight,mustOut,0.495705671
d003,h0054,05ES,frtRoadLight,mustOut,0.516862377
d003,h0055,05ES,frtRoadLight,mustOut,0.55904069
d003,h0056,05ES,frtRoadLight,mustOut,0.668383488
d003,h0057,05ES,frtRoadLight,mustOut,0.726454223
d003,h0058,05ES,frtRoadLight,mustOut,0.78160127
d003,h0059,05ES,frtRoadLight,mustOut,0.76160179
d003,h0060,05ES,frtRoadLight,mustOut,0.750778574
d003,h0061,05ES,frtRoadLight,mustOut,0.698088608
d003,h0062,05ES,frtRoadLight,mustOut,0.63927654
d003,h0063,05ES,frtRoadLight,mustOut,0.536456497
d003,h0064,05ES,frtRoadLight,mustOut,0.444256146
d003,h0065,05ES,frtRoadLight,mustOut,0.330503697
d003,h0066,05ES,frtRoadLight,mustOut,0.311020835
d003,h0067,05ES,frtRoadLight,mustOut,0.313098296
d003,h0068,05ES,frtRoadLight,mustOut,0.375921787
d003,h0069,05ES,frtRoadLight,mustOut,0.45533216
d003,h0070,05ES,frtRoadLight,mustOut,0.479683969
d003,h0071,05ES,frtRoadLight,mustOut,0.506127793
d003,h0072,05ES,frtRoadLight,mustOut,0.403019584
d004,h0073,05ES,frtRoadLight,mustOut,0.409792211
d004,h0074,05ES,frtRoadLight,mustOut,0.403616529
d004,h0075,05ES,frtRoadLight,mustOut,0.506266605
d004,h0076,05ES,frtRoadLight,mustOut,0.531634747
d004,h0077,05ES,frtRoadLight,mustOut,0.557768324
d004,h0078,05ES,frtRoadLight,mustOut,0.535455822
d004,h0079,05ES,frtRoadLight,mustOut,0.522912167
d004,h0080,05ES,frtRoadLight,mustOut,0.489946461
