timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,id_1,parameter,value
30th,2040,,EU,FR,fr,15FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,16FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,17FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,18FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,19FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,20FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,21FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,22FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,23FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,24FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,25FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,26FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr,27FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,FR,fr_co,99FR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,GR,gr,68GR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,GR,gr,69GR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,HR,hr,62HR,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,HU,hu,58HU,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,IE,ie,96IE,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,IT,it_cn,53IT,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,IT,it_cs,54IT,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,IT,it_n,52IT,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,IT,it_s,55IT,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,IT,it_sar,98IT,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,IT,it_sic,56IT,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,LT,lt,77LT,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,LU,lu,29LU,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,LV,lv,78LV,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,NL,nl,30NL,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,PL,pl,41PL,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,PL,pl,42PL,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,PL,pl,43PL,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,PL,pl,44PL,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,PL,pl,45PL,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,PT,pt,12PT,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,PT,pt,13PT,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,RO,ro,59RO,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,RO,ro,60RO,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,RO,ro,61RO,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,SE,se_1,86SE,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,SE,se_2,87SE,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,SE,se_3,88SE,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,SE,se_4,89SE,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,SI,si,57SI,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,EU,SK,sk,46SK,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,AL,al,70AL,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,BA,ba,63BA,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,CH,ch,47CH,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,CH,ch,48CH,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,ME,me,64ME,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,MK,mk,67MK,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,NO,no_m,83NO,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,NO,no_n,84NO,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,NO,no_n,85NO,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,NO,no_s,79NO,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,NO,no_s,80NO,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,NO,no_s,81NO,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,NO,no_s,82NO,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,RS,rs,65RS,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,UK,ni,95UK,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,UK,uk,90UK,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,UK,uk,91UK,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,UK,uk,92UK,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,UK,uk,93UK,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
30th,2040,,nonEU,UK,uk,94UK,powerToX,h2Storage,h2StorageTank,1,capaStOutFix,0.0
