timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,,nonEU,ME,me,64ME,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,MK,mk,67MK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,NO,no_m,83NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,84NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,NO,no_n,85NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,79NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,80NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,81NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,NO,no_s,82NO,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,RS,rs,65RS,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,UK,ni,95UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,90UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,91UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,92UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0629
30th,2040,,nonEU,UK,uk,93UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,nonEU,UK,uk,94UK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
