timestep_2,region_4,technology_3,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4
all,70AL,bevPsngRoadPrvt,capaConvResi,2.060201133,capaStInResi,2.060201133,capaStOutResi,2.060201133,capaStSizeResi,10.30100566
all,72DK,bevPsngRoadPrvt,capaConvResi,7.968967256,capaStInResi,7.968967256,capaStOutResi,7.968967256,capaStSizeResi,39.84483628
all,73EE,bevPsngRoadPrvt,capaConvResi,2.712030168,capaStInResi,2.712030168,capaStOutResi,2.712030168,capaStSizeResi,13.56015084
all,74FI,bevPsngRoadPrvt,capaConvResi,2.311078659,capaStInResi,2.311078659,capaStOutResi,2.311078659,capaStSizeResi,11.5553933
all,75FI,bevPsngRoadPrvt,capaConvResi,13.92824992,capaStInResi,13.92824992,capaStOutResi,13.92824992,capaStSizeResi,69.64124962
all,77LT,bevPsngRoadPrvt,capaConvResi,7.26586472,capaStInResi,7.26586472,capaStOutResi,7.26586472,capaStSizeResi,36.3293236
all,78LV,bevPsngRoadPrvt,capaConvResi,3.651857619,capaStInResi,3.651857619,capaStOutResi,3.651857619,capaStSizeResi,18.25928809
all,79NO,bevPsngRoadPrvt,capaConvResi,1.545594229,capaStInResi,1.545594229,capaStOutResi,1.545594229,capaStSizeResi,7.727971144
all,80NO,bevPsngRoadPrvt,capaConvResi,0.949028425,capaStInResi,0.949028425,capaStOutResi,0.949028425,capaStSizeResi,4.745142124
all,81NO,bevPsngRoadPrvt,capaConvResi,1.413547816,capaStInResi,1.413547816,capaStOutResi,1.413547816,capaStSizeResi,7.067739081
all,82NO,bevPsngRoadPrvt,capaConvResi,8.002541111,capaStInResi,8.002541111,capaStOutResi,8.002541111,capaStSizeResi,40.01270555
all,83NO,bevPsngRoadPrvt,capaConvResi,1.987134413,capaStInResi,1.987134413,capaStOutResi,1.987134413,capaStSizeResi,9.935672063
all,84NO,bevPsngRoadPrvt,capaConvResi,1.387480667,capaStInResi,1.387480667,capaStOutResi,1.387480667,capaStSizeResi,6.937403333
all,85NO,bevPsngRoadPrvt,capaConvResi,0.178543168,capaStInResi,0.178543168,capaStOutResi,0.178543168,capaStSizeResi,0.89271584
all,86SE,bevPsngRoadPrvt,capaConvResi,0.704993559,capaStInResi,0.704993559,capaStOutResi,0.704993559,capaStSizeResi,3.524967796
all,87SE,bevPsngRoadPrvt,capaConvResi,2.565913124,capaStInResi,2.565913124,capaStOutResi,2.565913124,capaStSizeResi,12.82956562
all,88SE,bevPsngRoadPrvt,capaConvResi,17.1388051,capaStInResi,17.1388051,capaStOutResi,17.1388051,capaStSizeResi,85.69402552
all,89SE,bevPsngRoadPrvt,capaConvResi,3.537770458,capaStInResi,3.537770458,capaStOutResi,3.537770458,capaStSizeResi,17.68885229
all,90UK,bevPsngRoadPrvt,capaConvResi,40.42789985,capaStInResi,40.42789985,capaStOutResi,40.42789985,capaStSizeResi,202.1394993
all,91UK,bevPsngRoadPrvt,capaConvResi,18.26881153,capaStInResi,18.26881153,capaStOutResi,18.26881153,capaStSizeResi,91.34405763
all,92UK,bevPsngRoadPrvt,capaConvResi,63.45090418,capaStInResi,63.45090418,capaStOutResi,63.45090418,capaStSizeResi,317.2545209
all,93UK,bevPsngRoadPrvt,capaConvResi,19.74206046,capaStInResi,19.74206046,capaStOutResi,19.74206046,capaStSizeResi,98.71030232
all,94UK,bevPsngRoadPrvt,capaConvResi,11.7479825,capaStInResi,11.7479825,capaStOutResi,11.7479825,capaStSizeResi,58.73991251
all,95UK,bevPsngRoadPrvt,capaConvResi,6.843475242,capaStInResi,6.843475242,capaStOutResi,6.843475242,capaStSizeResi,34.21737621
all,96IE,bevPsngRoadPrvt,capaConvResi,6.814325616,capaStInResi,6.814325616,capaStOutResi,6.814325616,capaStSizeResi,34.07162808
all,98IT,bevPsngRoadPrvt,capaConvResi,6.201620533,capaStInResi,6.201620533,capaStOutResi,6.201620533,capaStSizeResi,31.00810266
all,99FR,bevPsngRoadPrvt,capaConvResi,1.274620485,capaStInResi,1.274620485,capaStOutResi,1.274620485,capaStSizeResi,6.373102424
all,01ES,bevPsngRoadPub,capaConvResi,0.429058959,capaStInResi,0.429058959,capaStOutResi,0.429058959,capaStSizeResi,2.145294796
all,02ES,bevPsngRoadPub,capaConvResi,0.359655191,capaStInResi,0.359655191,capaStOutResi,0.359655191,capaStSizeResi,1.798275957
all,03ES,bevPsngRoadPub,capaConvResi,0.269670309,capaStInResi,0.269670309,capaStOutResi,0.269670309,capaStSizeResi,1.348351544
all,04ES,bevPsngRoadPub,capaConvResi,0.411689201,capaStInResi,0.411689201,capaStOutResi,0.411689201,capaStSizeResi,2.058446003
all,05ES,bevPsngRoadPub,capaConvResi,0.169654119,capaStInResi,0.169654119,capaStOutResi,0.169654119,capaStSizeResi,0.848270595
all,06ES,bevPsngRoadPub,capaConvResi,0.983429812,capaStInResi,0.983429812,capaStOutResi,0.983429812,capaStSizeResi,4.91714906
all,07ES,bevPsngRoadPub,capaConvResi,1.048213073,capaStInResi,1.048213073,capaStOutResi,1.048213073,capaStSizeResi,5.241065367
all,08ES,bevPsngRoadPub,capaConvResi,0.336423035,capaStInResi,0.336423035,capaStOutResi,0.336423035,capaStSizeResi,1.682115175
all,09ES,bevPsngRoadPub,capaConvResi,0.722630457,capaStInResi,0.722630457,capaStOutResi,0.722630457,capaStSizeResi,3.613152285
all,10ES,bevPsngRoadPub,capaConvResi,0.415017638,capaStInResi,0.415017638,capaStOutResi,0.415017638,capaStSizeResi,2.075088189
all,11ES,bevPsngRoadPub,capaConvResi,1.221118273,capaStInResi,1.221118273,capaStOutResi,1.221118273,capaStSizeResi,6.105591363
all,12PT,bevPsngRoadPub,capaConvResi,0.643948044,capaStInResi,0.643948044,capaStOutResi,0.643948044,capaStSizeResi,3.219740219
all,13PT,bevPsngRoadPub,capaConvResi,0.637368526,capaStInResi,0.637368526,capaStOutResi,0.637368526,capaStSizeResi,3.186842632
