timestep_5,region_4,carrier_1,parameter,value
h0059,03ES,electricity,dem,1.0513253682077
h0060,03ES,electricity,dem,1.1033762406411
h0061,03ES,electricity,dem,1.04578678208994
h0062,03ES,electricity,dem,1.19817289105502
h0063,03ES,electricity,dem,1.1865119267588
h0064,03ES,electricity,dem,1.22775357835807
h0065,03ES,electricity,dem,1.18572764955114
h0066,03ES,electricity,dem,1.01736523411401
h0067,03ES,electricity,dem,1.00102560930687
h0068,03ES,electricity,dem,0.888571149832862
h0069,03ES,electricity,dem,1.03594745407201
h0070,03ES,electricity,dem,1.0280996876882
h0071,03ES,electricity,dem,1.11217185025671
h0072,03ES,electricity,dem,1.07080645365276
h0073,03ES,electricity,dem,0.965000330166247
h0074,03ES,electricity,dem,0.860104942426174
h0075,03ES,electricity,dem,0.729592642412059
h0076,03ES,electricity,dem,0.704107236650029
h0077,03ES,electricity,dem,0.630701452418584
h0078,03ES,electricity,dem,0.686692038025067
h0079,03ES,electricity,dem,0.751936341443633
h0080,03ES,electricity,dem,0.849446737930587
h0081,03ES,electricity,dem,0.976836428885631
h0082,03ES,electricity,dem,0.924253779285995
h0083,03ES,electricity,dem,1.03359825501138
h0084,03ES,electricity,dem,0.995660239926409
h0085,03ES,electricity,dem,1.18092232068754
h0086,03ES,electricity,dem,1.18734601190864
h0087,03ES,electricity,dem,1.24715616497202
h0088,03ES,electricity,dem,1.21141179438792
h0089,03ES,electricity,dem,1.05034209290626
h0090,03ES,electricity,dem,1.04586194913145
h0091,03ES,electricity,dem,0.952293158181551
h0092,03ES,electricity,dem,1.10206306965721
h0093,03ES,electricity,dem,1.14190636769228
h0094,03ES,electricity,dem,1.2635757749369
h0095,03ES,electricity,dem,1.24798463347
h0096,03ES,electricity,dem,1.12222354257753
h0097,03ES,electricity,dem,1.0021808042268
h0098,03ES,electricity,dem,0.863764302955024
h0099,03ES,electricity,dem,0.830488485630076
h0100,03ES,electricity,dem,0.763249705751229
h0101,03ES,electricity,dem,0.724729817101677
h0102,03ES,electricity,dem,0.730495067264167
h0103,03ES,electricity,dem,0.774267595418474
h0104,03ES,electricity,dem,0.937074534716981
h0105,03ES,electricity,dem,0.884995983329095
h0106,03ES,electricity,dem,1.03056015358267
h0107,03ES,electricity,dem,1.01291483339634
h0108,03ES,electricity,dem,1.21769372470052
h0109,03ES,electricity,dem,1.22615159807967
h0110,03ES,electricity,dem,1.28908157542499
