timestep_6,region_1,technology_1,scenario_1,parameter,value
h0075,CH,wind,scr2089,avaConv,0.006324809432214146
h0076,CH,wind,scr2089,avaConv,0.0056346850836312586
h0077,CH,wind,scr2089,avaConv,0.003288394760253929
h0078,CH,wind,scr2089,avaConv,0.00026753574208828194
h0079,CH,wind,scr2089,avaConv,0.00013439822908565473
h0080,CH,wind,scr2089,avaConv,0.00013676741825513226
h0081,CH,wind,scr2089,avaConv,0.0
h0082,CH,wind,scr2089,avaConv,0.0
h0083,CH,wind,scr2089,avaConv,0.00247074781645053
h0084,CH,wind,scr2089,avaConv,0.0026556444543746217
h0085,CH,wind,scr2089,avaConv,0.0026555651675617673
h0086,CH,wind,scr2089,avaConv,0.07479688166431459
h0087,CH,wind,scr2089,avaConv,0.11964449207760536
h0088,CH,wind,scr2089,avaConv,0.13275946442552533
h0089,CH,wind,scr2089,avaConv,0.03442569660358617
h0090,CH,wind,scr2089,avaConv,0.07002701458177486
h0091,CH,wind,scr2089,avaConv,0.06205587841901709
h0092,CH,wind,scr2089,avaConv,0.02493579657011012
h0093,CH,wind,scr2089,avaConv,0.0007638625108830314
h0094,CH,wind,scr2089,avaConv,0.0006128400002348551
h0095,CH,wind,scr2089,avaConv,0.0010534075880040614
h0096,CH,wind,scr2089,avaConv,0.005951999117691551
h0001,DE,wind,scr2089,avaConv,0.7285876673109344
h0002,DE,wind,scr2089,avaConv,0.6219871932163269
h0003,DE,wind,scr2089,avaConv,0.7228011472241304
h0004,DE,wind,scr2089,avaConv,0.7205398568384372
h0005,DE,wind,scr2089,avaConv,0.7502451521913326
h0006,DE,wind,scr2089,avaConv,0.5237577146169613
h0007,DE,wind,scr2089,avaConv,0.4878665703862037
h0008,DE,wind,scr2089,avaConv,0.44507624216392977
h0009,DE,wind,scr2089,avaConv,0.7150601022305013
h0010,DE,wind,scr2089,avaConv,0.5951784387255955
h0011,DE,wind,scr2089,avaConv,0.5456468986602809
h0012,DE,wind,scr2089,avaConv,0.21770277469682464
h0013,DE,wind,scr2089,avaConv,0.13410986232930128
h0014,DE,wind,scr2089,avaConv,0.04505765919255227
h0015,DE,wind,scr2089,avaConv,0.22956459238422183
h0016,DE,wind,scr2089,avaConv,0.5008964560541582
h0017,DE,wind,scr2089,avaConv,0.833698642183351
h0018,DE,wind,scr2089,avaConv,0.701537849775997
h0019,DE,wind,scr2089,avaConv,0.8403725323199918
h0020,DE,wind,scr2089,avaConv,0.7765784543115642
h0021,DE,wind,scr2089,avaConv,0.7490821219514854
h0022,DE,wind,scr2089,avaConv,0.6880172353551484
