timestep_3,region_1,scenario_1,technology_1,parameter,value
h0220,NL,s1996,wind,avaConv,0.0987184120444117
h0221,NL,s1996,wind,avaConv,0.105043133529302
h0222,NL,s1996,wind,avaConv,0.130036021028795
h0223,NL,s1996,wind,avaConv,0.14539930562203
h0224,NL,s1996,wind,avaConv,0.131753450435156
h0225,NL,s1996,wind,avaConv,0.105500765179589
h0226,NL,s1996,wind,avaConv,0.0970237810520989
h0227,NL,s1996,wind,avaConv,0.0664962827741282
h0228,NL,s1996,wind,avaConv,0.0315736295178121
h0229,NL,s1996,wind,avaConv,0.0136097816981481
h0230,NL,s1996,wind,avaConv,0.00824485423252165
h0231,NL,s1996,wind,avaConv,0.00956078796141924
h0232,NL,s1996,wind,avaConv,0.012865452846283
h0233,NL,s1996,wind,avaConv,0.0193529588388513
h0234,NL,s1996,wind,avaConv,0.0273210166660694
h0235,NL,s1996,wind,avaConv,0.0461145081375114
h0236,NL,s1996,wind,avaConv,0.0985878526947866
h0237,NL,s1996,wind,avaConv,0.18952943565187
h0238,NL,s1996,wind,avaConv,0.244661382113388
h0239,NL,s1996,wind,avaConv,0.238452945414231
h0240,NL,s1996,wind,avaConv,0.271075524373601
h0241,NL,s1996,wind,avaConv,0.242092648117514
h0242,NL,s1996,wind,avaConv,0.222242718430233
h0243,NL,s1996,wind,avaConv,0.264116014546973
h0244,NL,s1996,wind,avaConv,0.312689482290511
h0245,NL,s1996,wind,avaConv,0.337959513610487
h0246,NL,s1996,wind,avaConv,0.376263850247668
h0247,NL,s1996,wind,avaConv,0.513633210536484
h0248,NL,s1996,wind,avaConv,0.629647523949733
h0249,NL,s1996,wind,avaConv,0.711164696319334
h0250,NL,s1996,wind,avaConv,0.869420124897676
h0251,NL,s1996,wind,avaConv,0.907158216606216
h0252,NL,s1996,wind,avaConv,0.909187997002612
h0253,NL,s1996,wind,avaConv,0.925463917096576
h0254,NL,s1996,wind,avaConv,0.903705350753372
h0255,NL,s1996,wind,avaConv,0.832027018525349
h0256,NL,s1996,wind,avaConv,0.808719961974565
h0257,NL,s1996,wind,avaConv,0.905233725493901
h0258,NL,s1996,wind,avaConv,0.966678160264334
h0259,NL,s1996,wind,avaConv,0.978738630266455
h0260,NL,s1996,wind,avaConv,0.975501522487034
h0261,NL,s1996,wind,avaConv,0.97175612746459
h0262,NL,s1996,wind,avaConv,0.967942566826706
h0263,NL,s1996,wind,avaConv,0.972191106000867
h0264,NL,s1996,wind,avaConv,0.962004057879685
h0265,NL,s1996,wind,avaConv,0.961664093070954
h0266,NL,s1996,wind,avaConv,0.893286421022767
h0267,NL,s1996,wind,avaConv,0.710482656863193
h0268,NL,s1996,wind,avaConv,0.576490036390253
h0269,NL,s1996,wind,avaConv,0.626472431921403
h0270,NL,s1996,wind,avaConv,0.691367463848861
h0271,NL,s1996,wind,avaConv,0.752840886337101
h0272,NL,s1996,wind,avaConv,0.766478390808559
h0273,NL,s1996,wind,avaConv,0.774893872018892
h0274,NL,s1996,wind,avaConv,0.825747501900231
h0275,NL,s1996,wind,avaConv,0.823226995453781
h0276,NL,s1996,wind,avaConv,0.732631446915451
h0277,NL,s1996,wind,avaConv,0.614037027130234
h0278,NL,s1996,wind,avaConv,0.522510757226773
h0279,NL,s1996,wind,avaConv,0.458127210237575
h0280,NL,s1996,wind,avaConv,0.446177936887167
h0281,NL,s1996,wind,avaConv,0.501116123826175
h0282,NL,s1996,wind,avaConv,0.655671251578582
h0283,NL,s1996,wind,avaConv,0.634778224935516
h0284,NL,s1996,wind,avaConv,0.621556588208733
h0285,NL,s1996,wind,avaConv,0.644252029867187
h0286,NL,s1996,wind,avaConv,0.69608215263639
h0287,NL,s1996,wind,avaConv,0.771369517091184
h0288,NL,s1996,wind,avaConv,0.834847882563102
h0289,NL,s1996,wind,avaConv,0.853950631336885
h0290,NL,s1996,wind,avaConv,0.897365002462479
h0291,NL,s1996,wind,avaConv,0.91670675668407
h0292,NL,s1996,wind,avaConv,0.919700599618131
h0293,NL,s1996,wind,avaConv,0.939004064636647
h0294,NL,s1996,wind,avaConv,0.957787306612302
h0295,NL,s1996,wind,avaConv,0.970401719140918
h0296,NL,s1996,wind,avaConv,0.974201977232632
h0297,NL,s1996,wind,avaConv,0.976061249553098
h0298,NL,s1996,wind,avaConv,0.975057102894255
h0299,NL,s1996,wind,avaConv,0.973086625354513
h0300,NL,s1996,wind,avaConv,0.961551004455529
h0301,NL,s1996,wind,avaConv,0.943265639880313
h0302,NL,s1996,wind,avaConv,0.853438347870423
h0303,NL,s1996,wind,avaConv,0.729557859243207
h0304,NL,s1996,wind,avaConv,0.634389757624113
h0305,NL,s1996,wind,avaConv,0.563545567928945
h0306,NL,s1996,wind,avaConv,0.551132369699897
h0307,NL,s1996,wind,avaConv,0.561657803664875
h0308,NL,s1996,wind,avaConv,0.497915171131197
h0309,NL,s1996,wind,avaConv,0.498056666214363
h0310,NL,s1996,wind,avaConv,0.44977902650693
h0311,NL,s1996,wind,avaConv,0.370273831839748
h0312,NL,s1996,wind,avaConv,0.300718343415769
h0313,NL,s1996,wind,avaConv,0.270925461195665
h0314,NL,s1996,wind,avaConv,0.259512233305081
h0315,NL,s1996,wind,avaConv,0.25813356989724
h0316,NL,s1996,wind,avaConv,0.249420423929107
h0317,NL,s1996,wind,avaConv,0.26566870234554
h0318,NL,s1996,wind,avaConv,0.266231974736944
h0319,NL,s1996,wind,avaConv,0.309017089621683
h0320,NL,s1996,wind,avaConv,0.354655222819962
h0321,NL,s1996,wind,avaConv,0.391679573039068
h0322,NL,s1996,wind,avaConv,0.509765854267687
h0323,NL,s1996,wind,avaConv,0.449089161956109
h0324,NL,s1996,wind,avaConv,0.393155120839145
h0325,NL,s1996,wind,avaConv,0.280343836343982
h0326,NL,s1996,wind,avaConv,0.203210481916209
h0327,NL,s1996,wind,avaConv,0.140347947743888
h0328,NL,s1996,wind,avaConv,0.155949446575141
h0329,NL,s1996,wind,avaConv,0.263907153585922
h0330,NL,s1996,wind,avaConv,0.37583379602754
h0331,NL,s1996,wind,avaConv,0.420514873647136
h0332,NL,s1996,wind,avaConv,0.420002525972578
h0333,NL,s1996,wind,avaConv,0.408009386891205
h0334,NL,s1996,wind,avaConv,0.368292755171253
h0335,NL,s1996,wind,avaConv,0.353309365693955
h0336,NL,s1996,wind,avaConv,0.374749128920625
h0337,NL,s1996,wind,avaConv,0.369943476561843
h0338,NL,s1996,wind,avaConv,0.340656482307578
h0339,NL,s1996,wind,avaConv,0.326824659804908
h0340,NL,s1996,wind,avaConv,0.326942199159028
h0341,NL,s1996,wind,avaConv,0.321770480013767
h0342,NL,s1996,wind,avaConv,0.317281027627399
h0343,NL,s1996,wind,avaConv,0.300523116035322
h0344,NL,s1996,wind,avaConv,0.286578330955922
h0345,NL,s1996,wind,avaConv,0.276213943393807
h0346,NL,s1996,wind,avaConv,0.290404709035582
h0347,NL,s1996,wind,avaConv,0.273737482213573
h0348,NL,s1996,wind,avaConv,0.229839057338933
h0349,NL,s1996,wind,avaConv,0.162827438744186
h0350,NL,s1996,wind,avaConv,0.111005188617206
h0351,NL,s1996,wind,avaConv,0.072517544403834
h0352,NL,s1996,wind,avaConv,0.0571331394547467
h0353,NL,s1996,wind,avaConv,0.0580976796733562
h0354,NL,s1996,wind,avaConv,0.0597867013691067
h0355,NL,s1996,wind,avaConv,0.0705307329800872
h0356,NL,s1996,wind,avaConv,0.089812062805898
