timestep_2,region_4,technology_3,carrier_1,parameter,value
2025,59RO,bioPlantStock,,capaConvResi,0.01
2030,59RO,bioPlantStock,,capaConvResi,0.01
2035,59RO,bioPlantStock,,capaConvResi,0.01
2040,59RO,bioPlantStock,,capaConvResi,0.01
2045,59RO,bioPlantStock,,capaConvResi,0.01
2020,60RO,bioPlantStock,,capaConvResi,0.17
2025,60RO,bioPlantStock,,capaConvResi,0.17
2030,60RO,bioPlantStock,,capaConvResi,0.17
2035,60RO,bioPlantStock,,capaConvResi,0.17
2040,60RO,bioPlantStock,,capaConvResi,0.17
2045,60RO,bioPlantStock,,capaConvResi,0.17
2050,60RO,bioPlantStock,,capaConvResi,0.09
2020,61RO,bioPlantStock,,capaConvResi,0.09
2025,61RO,bioPlantStock,,capaConvResi,0.09
2030,61RO,bioPlantStock,,capaConvResi,0.09
2035,61RO,bioPlantStock,,capaConvResi,0.09
2040,61RO,bioPlantStock,,capaConvResi,0.09
2045,61RO,bioPlantStock,,capaConvResi,0.09
2050,61RO,bioPlantStock,,capaConvResi,0.04
2020,65RS,bioPlantStock,,capaConvResi,0.06
2025,65RS,bioPlantStock,,capaConvResi,0.06
2030,65RS,bioPlantStock,,capaConvResi,0.06
2035,65RS,bioPlantStock,,capaConvResi,0.06
2040,65RS,bioPlantStock,,capaConvResi,0.06
2045,65RS,bioPlantStock,,capaConvResi,0.06
2020,86SE,bioPlantStock,,capaConvResi,0.91
2025,86SE,bioPlantStock,,capaConvResi,0.79
2030,86SE,bioPlantStock,,capaConvResi,0.79
2035,86SE,bioPlantStock,,capaConvResi,0.67
2040,86SE,bioPlantStock,,capaConvResi,0.55
2045,86SE,bioPlantStock,,capaConvResi,0.43
2050,86SE,bioPlantStock,,capaConvResi,0.18
2020,87SE,bioPlantStock,,capaConvResi,0.72
2025,87SE,bioPlantStock,,capaConvResi,0.62
2030,87SE,bioPlantStock,,capaConvResi,0.62
2035,87SE,bioPlantStock,,capaConvResi,0.52
2040,87SE,bioPlantStock,,capaConvResi,0.43
2045,87SE,bioPlantStock,,capaConvResi,0.33
2050,87SE,bioPlantStock,,capaConvResi,0.14
2020,88SE,bioPlantStock,,capaConvResi,3.13
2025,88SE,bioPlantStock,,capaConvResi,2.73
2030,88SE,bioPlantStock,,capaConvResi,2.7
2035,88SE,bioPlantStock,,capaConvResi,2.29
2040,88SE,bioPlantStock,,capaConvResi,1.89
2045,88SE,bioPlantStock,,capaConvResi,1.47
2050,88SE,bioPlantStock,,capaConvResi,0.62
2020,89SE,bioPlantStock,,capaConvResi,1.08
2025,89SE,bioPlantStock,,capaConvResi,0.94
2030,89SE,bioPlantStock,,capaConvResi,0.93
2035,89SE,bioPlantStock,,capaConvResi,0.78
2040,89SE,bioPlantStock,,capaConvResi,0.65
2045,89SE,bioPlantStock,,capaConvResi,0.5
2050,89SE,bioPlantStock,,capaConvResi,0.21
2020,57SI,bioPlantStock,,capaConvResi,0.16
2025,57SI,bioPlantStock,,capaConvResi,0.16
2030,57SI,bioPlantStock,,capaConvResi,0.15
2035,57SI,bioPlantStock,,capaConvResi,0.14
2040,57SI,bioPlantStock,,capaConvResi,0.14
2045,57SI,bioPlantStock,,capaConvResi,0.14
2020,46SK,bioPlantStock,,capaConvResi,0.7
2025,46SK,bioPlantStock,,capaConvResi,0.7
2030,46SK,bioPlantStock,,capaConvResi,0.7
2035,46SK,bioPlantStock,,capaConvResi,0.7
2040,46SK,bioPlantStock,,capaConvResi,0.68
2045,46SK,bioPlantStock,,capaConvResi,0.68
2050,46SK,bioPlantStock,,capaConvResi,0.37
2020,90UK,bioPlantStock,,capaConvResi,0.5
2025,90UK,bioPlantStock,,capaConvResi,0.5
2030,90UK,bioPlantStock,,capaConvResi,0.5
2035,90UK,bioPlantStock,,capaConvResi,0.47
2040,90UK,bioPlantStock,,capaConvResi,0.41
2045,90UK,bioPlantStock,,capaConvResi,0.37
2050,90UK,bioPlantStock,,capaConvResi,0.32
2020,92UK,bioPlantStock,,capaConvResi,0.53
2025,92UK,bioPlantStock,,capaConvResi,0.53
