timestep_2,region_4,technology_3,carrier_1,parameter,value
2030,49AT,wastePlantStock,,capaConvResi,0.57
2035,49AT,wastePlantStock,,capaConvResi,0.57
2040,49AT,wastePlantStock,,capaConvResi,0.52
2045,49AT,wastePlantStock,,capaConvResi,0.49
2050,49AT,wastePlantStock,,capaConvResi,0.44
2020,50AT,wastePlantStock,,capaConvResi,1.02
2025,50AT,wastePlantStock,,capaConvResi,1.02
2030,50AT,wastePlantStock,,capaConvResi,1.02
2035,50AT,wastePlantStock,,capaConvResi,1.02
2040,50AT,wastePlantStock,,capaConvResi,0.93
2045,50AT,wastePlantStock,,capaConvResi,0.87
2050,50AT,wastePlantStock,,capaConvResi,0.79
2020,51AT,wastePlantStock,,capaConvResi,0.99
2025,51AT,wastePlantStock,,capaConvResi,0.99
2030,51AT,wastePlantStock,,capaConvResi,0.99
2035,51AT,wastePlantStock,,capaConvResi,0.99
2040,51AT,wastePlantStock,,capaConvResi,0.9
2045,51AT,wastePlantStock,,capaConvResi,0.84
2050,51AT,wastePlantStock,,capaConvResi,0.77
2020,28BE,wastePlantStock,,capaConvResi,3.04
2025,28BE,wastePlantStock,,capaConvResi,3.04
2030,28BE,wastePlantStock,,capaConvResi,3.04
2035,28BE,wastePlantStock,,capaConvResi,2.83
2040,28BE,wastePlantStock,,capaConvResi,2.33
2045,28BE,wastePlantStock,,capaConvResi,2.33
2050,28BE,wastePlantStock,,capaConvResi,1.75
2020,66BG,wastePlantStock,,capaConvResi,3.45
2025,66BG,wastePlantStock,,capaConvResi,2.14
2030,66BG,wastePlantStock,,capaConvResi,1.95
2035,66BG,wastePlantStock,,capaConvResi,1.59
2040,66BG,wastePlantStock,,capaConvResi,1.59
2045,66BG,wastePlantStock,,capaConvResi,1.17
2020,47CH,wastePlantStock,,capaConvResi,1.1
2025,47CH,wastePlantStock,,capaConvResi,1.07
2030,47CH,wastePlantStock,,capaConvResi,0.92
2035,47CH,wastePlantStock,,capaConvResi,0.87
2040,47CH,wastePlantStock,,capaConvResi,0.84
2045,47CH,wastePlantStock,,capaConvResi,0.61
2050,47CH,wastePlantStock,,capaConvResi,0.45
2020,48CH,wastePlantStock,,capaConvResi,0.26
2025,48CH,wastePlantStock,,capaConvResi,0.25
2030,48CH,wastePlantStock,,capaConvResi,0.21
2035,48CH,wastePlantStock,,capaConvResi,0.2
2040,48CH,wastePlantStock,,capaConvResi,0.19
2045,48CH,wastePlantStock,,capaConvResi,0.14
2050,48CH,wastePlantStock,,capaConvResi,0.1
2020,39CZ,wastePlantStock,,capaConvResi,3.16
2025,39CZ,wastePlantStock,,capaConvResi,3.16
2030,39CZ,wastePlantStock,,capaConvResi,3.16
2035,39CZ,wastePlantStock,,capaConvResi,3.16
2040,39CZ,wastePlantStock,,capaConvResi,3.16
2045,39CZ,wastePlantStock,,capaConvResi,3.16
2050,39CZ,wastePlantStock,,capaConvResi,2.97
2020,40CZ,wastePlantStock,,capaConvResi,1.85
2025,40CZ,wastePlantStock,,capaConvResi,1.85
2030,40CZ,wastePlantStock,,capaConvResi,1.85
2035,40CZ,wastePlantStock,,capaConvResi,1.85
2040,40CZ,wastePlantStock,,capaConvResi,1.85
2045,40CZ,wastePlantStock,,capaConvResi,1.85
2050,40CZ,wastePlantStock,,capaConvResi,1.74
2020,31DE,wastePlantStock,,capaConvResi,0.63
2025,31DE,wastePlantStock,,capaConvResi,0.61
2030,31DE,wastePlantStock,,capaConvResi,0.61
2035,31DE,wastePlantStock,,capaConvResi,0.55
2040,31DE,wastePlantStock,,capaConvResi,0.52
2045,31DE,wastePlantStock,,capaConvResi,0.49
2050,31DE,wastePlantStock,,capaConvResi,0.38
2020,32DE,wastePlantStock,,capaConvResi,0.59
2025,32DE,wastePlantStock,,capaConvResi,0.57
2030,32DE,wastePlantStock,,capaConvResi,0.57
2035,32DE,wastePlantStock,,capaConvResi,0.51
2040,32DE,wastePlantStock,,capaConvResi,0.48
2045,32DE,wastePlantStock,,capaConvResi,0.45
2050,32DE,wastePlantStock,,capaConvResi,0.35
2020,33DE,wastePlantStock,,capaConvResi,0.94
2025,33DE,wastePlantStock,,capaConvResi,0.91
2030,33DE,wastePlantStock,,capaConvResi,0.9
2035,33DE,wastePlantStock,,capaConvResi,0.81
2040,33DE,wastePlantStock,,capaConvResi,0.77
2045,33DE,wastePlantStock,,capaConvResi,0.72
2050,33DE,wastePlantStock,,capaConvResi,0.57
2020,34DE,wastePlantStock,,capaConvResi,1.43
2025,34DE,wastePlantStock,,capaConvResi,1.38
2030,34DE,wastePlantStock,,capaConvResi,1.37
2035,34DE,wastePlantStock,,capaConvResi,1.23
2040,34DE,wastePlantStock,,capaConvResi,1.17
2045,34DE,wastePlantStock,,capaConvResi,1.09
2050,34DE,wastePlantStock,,capaConvResi,0.86
2020,35DE,wastePlantStock,,capaConvResi,0.32
2025,35DE,wastePlantStock,,capaConvResi,0.31
2030,35DE,wastePlantStock,,capaConvResi,0.31
2035,35DE,wastePlantStock,,capaConvResi,0.28
2040,35DE,wastePlantStock,,capaConvResi,0.26
2045,35DE,wastePlantStock,,capaConvResi,0.24
2050,35DE,wastePlantStock,,capaConvResi,0.19
2020,36DE,wastePlantStock,,capaConvResi,0.24
2025,36DE,wastePlantStock,,capaConvResi,0.23
2030,36DE,wastePlantStock,,capaConvResi,0.23
2035,36DE,wastePlantStock,,capaConvResi,0.21
2040,36DE,wastePlantStock,,capaConvResi,0.19
2045,36DE,wastePlantStock,,capaConvResi,0.18
2050,36DE,wastePlantStock,,capaConvResi,0.14
2020,37DE,wastePlantStock,,capaConvResi,0.51
2025,37DE,wastePlantStock,,capaConvResi,0.49
2030,37DE,wastePlantStock,,capaConvResi,0.49
2035,37DE,wastePlantStock,,capaConvResi,0.44
2040,37DE,wastePlantStock,,capaConvResi,0.41
2045,37DE,wastePlantStock,,capaConvResi,0.39
2050,37DE,wastePlantStock,,capaConvResi,0.31
2020,38DK,wastePlantStock,,capaConvResi,0.11
2025,38DK,wastePlantStock,,capaConvResi,0.11
2030,38DK,wastePlantStock,,capaConvResi,0.11
2035,38DK,wastePlantStock,,capaConvResi,0.11
2040,38DK,wastePlantStock,,capaConvResi,0.11
2045,38DK,wastePlantStock,,capaConvResi,0.08
2050,38DK,wastePlantStock,,capaConvResi,0.04
2020,72DK,wastePlantStock,,capaConvResi,0.21
2025,72DK,wastePlantStock,,capaConvResi,0.21
2030,72DK,wastePlantStock,,capaConvResi,0.21
2035,72DK,wastePlantStock,,capaConvResi,0.21
2040,72DK,wastePlantStock,,capaConvResi,0.2
2045,72DK,wastePlantStock,,capaConvResi,0.15
2050,72DK,wastePlantStock,,capaConvResi,0.07
2020,73EE,wastePlantStock,,capaConvResi,0.39
2025,73EE,wastePlantStock,,capaConvResi,0.39
2030,73EE,wastePlantStock,,capaConvResi,0.39
2035,73EE,wastePlantStock,,capaConvResi,0.39
2040,73EE,wastePlantStock,,capaConvResi,0.38
2045,73EE,wastePlantStock,,capaConvResi,0.04
2050,73EE,wastePlantStock,,capaConvResi,0.04
2020,01ES,wastePlantStock,,capaConvResi,1.4
2025,01ES,wastePlantStock,,capaConvResi,1.22
2030,01ES,wastePlantStock,,capaConvResi,1.22
2035,01ES,wastePlantStock,,capaConvResi,1.21
2040,01ES,wastePlantStock,,capaConvResi,1.16
2045,01ES,wastePlantStock,,capaConvResi,1.09
2050,01ES,wastePlantStock,,capaConvResi,0.4
2020,02ES,wastePlantStock,,capaConvResi,0.46
2025,02ES,wastePlantStock,,capaConvResi,0.4
2030,02ES,wastePlantStock,,capaConvResi,0.4
2035,02ES,wastePlantStock,,capaConvResi,0.4
2040,02ES,wastePlantStock,,capaConvResi,0.38
2045,02ES,wastePlantStock,,capaConvResi,0.36
2050,02ES,wastePlantStock,,capaConvResi,0.13
2020,03ES,wastePlantStock,,capaConvResi,0.46
2025,03ES,wastePlantStock,,capaConvResi,0.4
2030,03ES,wastePlantStock,,capaConvResi,0.4
2035,03ES,wastePlantStock,,capaConvResi,0.4
2040,03ES,wastePlantStock,,capaConvResi,0.38
2045,03ES,wastePlantStock,,capaConvResi,0.36
2050,03ES,wastePlantStock,,capaConvResi,0.13
2020,04ES,wastePlantStock,,capaConvResi,1.4
2025,04ES,wastePlantStock,,capaConvResi,1.22
2030,04ES,wastePlantStock,,capaConvResi,1.22
2035,04ES,wastePlantStock,,capaConvResi,1.21
2040,04ES,wastePlantStock,,capaConvResi,1.16
2045,04ES,wastePlantStock,,capaConvResi,1.09
2050,04ES,wastePlantStock,,capaConvResi,0.4
2020,05ES,wastePlantStock,,capaConvResi,1.4
2025,05ES,wastePlantStock,,capaConvResi,1.22
2030,05ES,wastePlantStock,,capaConvResi,1.22
2035,05ES,wastePlantStock,,capaConvResi,1.21
2040,05ES,wastePlantStock,,capaConvResi,1.16
2045,05ES,wastePlantStock,,capaConvResi,1.09
2050,05ES,wastePlantStock,,capaConvResi,0.4
2020,06ES,wastePlantStock,,capaConvResi,3.11
2025,06ES,wastePlantStock,,capaConvResi,2.71
2030,06ES,wastePlantStock,,capaConvResi,2.71
2035,06ES,wastePlantStock,,capaConvResi,2.69
2040,06ES,wastePlantStock,,capaConvResi,2.59
2045,06ES,wastePlantStock,,capaConvResi,2.43
2050,06ES,wastePlantStock,,capaConvResi,0.89
2020,07ES,wastePlantStock,,capaConvResi,1.4
2025,07ES,wastePlantStock,,capaConvResi,1.22
2030,07ES,wastePlantStock,,capaConvResi,1.22
2035,07ES,wastePlantStock,,capaConvResi,1.21
2040,07ES,wastePlantStock,,capaConvResi,1.16
2045,07ES,wastePlantStock,,capaConvResi,1.09
2050,07ES,wastePlantStock,,capaConvResi,0.4
2020,08ES,wastePlantStock,,capaConvResi,1.4
2025,08ES,wastePlantStock,,capaConvResi,1.22
2030,08ES,wastePlantStock,,capaConvResi,1.22
2035,08ES,wastePlantStock,,capaConvResi,1.21
2040,08ES,wastePlantStock,,capaConvResi,1.16
2045,08ES,wastePlantStock,,capaConvResi,1.09
2050,08ES,wastePlantStock,,capaConvResi,0.4
2020,09ES,wastePlantStock,,capaConvResi,3.26
2025,09ES,wastePlantStock,,capaConvResi,2.85
2030,09ES,wastePlantStock,,capaConvResi,2.85
2035,09ES,wastePlantStock,,capaConvResi,2.82
2040,09ES,wastePlantStock,,capaConvResi,2.72
2045,09ES,wastePlantStock,,capaConvResi,2.55
2050,09ES,wastePlantStock,,capaConvResi,0.93
2020,10ES,wastePlantStock,,capaConvResi,2.95
2025,10ES,wastePlantStock,,capaConvResi,2.58
2030,10ES,wastePlantStock,,capaConvResi,2.58
2035,10ES,wastePlantStock,,capaConvResi,2.55
2040,10ES,wastePlantStock,,capaConvResi,2.46
2045,10ES,wastePlantStock,,capaConvResi,2.31
2050,10ES,wastePlantStock,,capaConvResi,0.84
2020,11ES,wastePlantStock,,capaConvResi,2.64
2025,11ES,wastePlantStock,,capaConvResi,2.3
2030,11ES,wastePlantStock,,capaConvResi,2.3
2035,11ES,wastePlantStock,,capaConvResi,2.28
2040,11ES,wastePlantStock,,capaConvResi,2.2
2045,11ES,wastePlantStock,,capaConvResi,2.07
2050,11ES,wastePlantStock,,capaConvResi,0.75
2020,74FI,wastePlantStock,,capaConvResi,0.14
2025,74FI,wastePlantStock,,capaConvResi,0.14
2030,74FI,wastePlantStock,,capaConvResi,0.12
2035,74FI,wastePlantStock,,capaConvResi,0.12
2040,74FI,wastePlantStock,,capaConvResi,0.11
2045,74FI,wastePlantStock,,capaConvResi,0.08
2050,74FI,wastePlantStock,,capaConvResi,0.05
2020,75FI,wastePlantStock,,capaConvResi,1.04
2025,75FI,wastePlantStock,,capaConvResi,1.02
2030,75FI,wastePlantStock,,capaConvResi,0.94
2035,75FI,wastePlantStock,,capaConvResi,0.9
2040,75FI,wastePlantStock,,capaConvResi,0.86
2045,75FI,wastePlantStock,,capaConvResi,0.64
2050,75FI,wastePlantStock,,capaConvResi,0.39
2020,62HR,wastePlantStock,,capaConvResi,0.52
2025,62HR,wastePlantStock,,capaConvResi,0.15
2030,62HR,wastePlantStock,,capaConvResi,0.15
2020,58HU,wastePlantStock,,capaConvResi,1.53
2025,58HU,wastePlantStock,,capaConvResi,1.53
2030,58HU,wastePlantStock,,capaConvResi,1.53
2035,58HU,wastePlantStock,,capaConvResi,0.72
2040,58HU,wastePlantStock,,capaConvResi,0.72
2045,58HU,wastePlantStock,,capaConvResi,0.72
2050,58HU,wastePlantStock,,capaConvResi,0.72
2020,96IE,wastePlantStock,,capaConvResi,0.42
2025,96IE,wastePlantStock,,capaConvResi,0.42
2030,96IE,wastePlantStock,,capaConvResi,0.42
2035,96IE,wastePlantStock,,capaConvResi,0.41
2040,96IE,wastePlantStock,,capaConvResi,0.41
2045,96IE,wastePlantStock,,capaConvResi,0.21
2020,52IT,wastePlantStock,,capaConvResi,8.73
2025,52IT,wastePlantStock,,capaConvResi,8.73
2030,52IT,wastePlantStock,,capaConvResi,8.73
2035,52IT,wastePlantStock,,capaConvResi,8.73
2040,52IT,wastePlantStock,,capaConvResi,8.66
2045,52IT,wastePlantStock,,capaConvResi,8.48
2050,52IT,wastePlantStock,,capaConvResi,6.33
2020,53IT,wastePlantStock,,capaConvResi,1.31
2025,53IT,wastePlantStock,,capaConvResi,1.31
2030,53IT,wastePlantStock,,capaConvResi,1.31
2035,53IT,wastePlantStock,,capaConvResi,1.31
2040,53IT,wastePlantStock,,capaConvResi,1.3
2045,53IT,wastePlantStock,,capaConvResi,1.27
2050,53IT,wastePlantStock,,capaConvResi,0.95
2020,54IT,wastePlantStock,,capaConvResi,3.62
2025,54IT,wastePlantStock,,capaConvResi,3.62
2030,54IT,wastePlantStock,,capaConvResi,3.62
2035,54IT,wastePlantStock,,capaConvResi,3.62
2040,54IT,wastePlantStock,,capaConvResi,3.59
2045,54IT,wastePlantStock,,capaConvResi,3.52
2050,54IT,wastePlantStock,,capaConvResi,2.62
2020,55IT,wastePlantStock,,capaConvResi,4.05
2025,55IT,wastePlantStock,,capaConvResi,4.05
2030,55IT,wastePlantStock,,capaConvResi,4.05
2035,55IT,wastePlantStock,,capaConvResi,4.05
2040,55IT,wastePlantStock,,capaConvResi,4.02
2045,55IT,wastePlantStock,,capaConvResi,3.93
2050,55IT,wastePlantStock,,capaConvResi,2.93
2020,56IT,wastePlantStock,,capaConvResi,1.5
2025,56IT,wastePlantStock,,capaConvResi,1.5
2030,56IT,wastePlantStock,,capaConvResi,1.5
2035,56IT,wastePlantStock,,capaConvResi,1.5
2040,56IT,wastePlantStock,,capaConvResi,1.49
2045,56IT,wastePlantStock,,capaConvResi,1.46
2050,56IT,wastePlantStock,,capaConvResi,1.09
2020,98IT,wastePlantStock,,capaConvResi,0.66
2025,98IT,wastePlantStock,,capaConvResi,0.66
2030,98IT,wastePlantStock,,capaConvResi,0.66
2035,98IT,wastePlantStock,,capaConvResi,0.66
2040,98IT,wastePlantStock,,capaConvResi,0.65
2045,98IT,wastePlantStock,,capaConvResi,0.64
2050,98IT,wastePlantStock,,capaConvResi,0.48
2020,77LT,wastePlantStock,,capaConvResi,0.59
2020,29LU,wastePlantStock,,capaConvResi,0.23
2025,29LU,wastePlantStock,,capaConvResi,0.23
2030,29LU,wastePlantStock,,capaConvResi,0.23
2035,29LU,wastePlantStock,,capaConvResi,0.03
2020,78LV,wastePlantStock,,capaConvResi,0.31
2025,78LV,wastePlantStock,,capaConvResi,0.31
2030,78LV,wastePlantStock,,capaConvResi,0.31
2035,78LV,wastePlantStock,,capaConvResi,0.31
2020,30NL,wastePlantStock,,capaConvResi,11.28
2025,30NL,wastePlantStock,,capaConvResi,9.87
2030,30NL,wastePlantStock,,capaConvResi,9.87
2035,30NL,wastePlantStock,,capaConvResi,9.87
2040,30NL,wastePlantStock,,capaConvResi,9.33
2045,30NL,wastePlantStock,,capaConvResi,7.34
2050,30NL,wastePlantStock,,capaConvResi,3.92
2020,41PL,wastePlantStock,,capaConvResi,1.48
2025,41PL,wastePlantStock,,capaConvResi,1.48
2030,41PL,wastePlantStock,,capaConvResi,1.48
2035,41PL,wastePlantStock,,capaConvResi,1.48
2040,41PL,wastePlantStock,,capaConvResi,1.48
2045,41PL,wastePlantStock,,capaConvResi,1.48
2020,42PL,wastePlantStock,,capaConvResi,1.18
2025,42PL,wastePlantStock,,capaConvResi,1.18
2030,42PL,wastePlantStock,,capaConvResi,1.18
2035,42PL,wastePlantStock,,capaConvResi,1.18
2040,42PL,wastePlantStock,,capaConvResi,1.18
2045,42PL,wastePlantStock,,capaConvResi,1.18
2020,43PL,wastePlantStock,,capaConvResi,8.49
2025,43PL,wastePlantStock,,capaConvResi,8.49
2030,43PL,wastePlantStock,,capaConvResi,8.49
2035,43PL,wastePlantStock,,capaConvResi,8.49
2040,43PL,wastePlantStock,,capaConvResi,8.49
2045,43PL,wastePlantStock,,capaConvResi,8.49
2020,44PL,wastePlantStock,,capaConvResi,4.89
2025,44PL,wastePlantStock,,capaConvResi,4.89
2030,44PL,wastePlantStock,,capaConvResi,4.89
2035,44PL,wastePlantStock,,capaConvResi,4.89
2040,44PL,wastePlantStock,,capaConvResi,4.89
2045,44PL,wastePlantStock,,capaConvResi,4.89
2020,45PL,wastePlantStock,,capaConvResi,3.67
2025,45PL,wastePlantStock,,capaConvResi,3.67
2030,45PL,wastePlantStock,,capaConvResi,3.67
2035,45PL,wastePlantStock,,capaConvResi,3.67
2040,45PL,wastePlantStock,,capaConvResi,3.67
2045,45PL,wastePlantStock,,capaConvResi,3.67
2020,12PT,wastePlantStock,,capaConvResi,0.99
2025,12PT,wastePlantStock,,capaConvResi,0.99
2030,12PT,wastePlantStock,,capaConvResi,0.99
2035,12PT,wastePlantStock,,capaConvResi,0.99
2040,12PT,wastePlantStock,,capaConvResi,0.99
2045,12PT,wastePlantStock,,capaConvResi,0.99
2050,12PT,wastePlantStock,,capaConvResi,0.09
2020,13PT,wastePlantStock,,capaConvResi,1.77
2025,13PT,wastePlantStock,,capaConvResi,1.77
2030,13PT,wastePlantStock,,capaConvResi,1.77
2035,13PT,wastePlantStock,,capaConvResi,1.77
2040,13PT,wastePlantStock,,capaConvResi,1.77
2045,13PT,wastePlantStock,,capaConvResi,1.77
2050,13PT,wastePlantStock,,capaConvResi,0.16
2020,86SE,wastePlantStock,,capaConvResi,0.09
2025,86SE,wastePlantStock,,capaConvResi,0.09
2030,86SE,wastePlantStock,,capaConvResi,0.09
2035,86SE,wastePlantStock,,capaConvResi,0.09
2040,86SE,wastePlantStock,,capaConvResi,0.09
2045,86SE,wastePlantStock,,capaConvResi,0.08
2050,86SE,wastePlantStock,,capaConvResi,0.07
2020,87SE,wastePlantStock,,capaConvResi,0.15
2025,87SE,wastePlantStock,,capaConvResi,0.14
2030,87SE,wastePlantStock,,capaConvResi,0.14
2035,87SE,wastePlantStock,,capaConvResi,0.14
2040,87SE,wastePlantStock,,capaConvResi,0.14
2045,87SE,wastePlantStock,,capaConvResi,0.13
2050,87SE,wastePlantStock,,capaConvResi,0.11
2020,88SE,wastePlantStock,,capaConvResi,0.59
2025,88SE,wastePlantStock,,capaConvResi,0.57
2030,88SE,wastePlantStock,,capaConvResi,0.57
2035,88SE,wastePlantStock,,capaConvResi,0.57
2040,88SE,wastePlantStock,,capaConvResi,0.57
2045,88SE,wastePlantStock,,capaConvResi,0.52
2050,88SE,wastePlantStock,,capaConvResi,0.42
2020,89SE,wastePlantStock,,capaConvResi,0.18
2025,89SE,wastePlantStock,,capaConvResi,0.17
2030,89SE,wastePlantStock,,capaConvResi,0.17
2035,89SE,wastePlantStock,,capaConvResi,0.17
2040,89SE,wastePlantStock,,capaConvResi,0.17
2045,89SE,wastePlantStock,,capaConvResi,0.16
2050,89SE,wastePlantStock,,capaConvResi,0.12
2020,57SI,wastePlantStock,,capaConvResi,0.37
2025,57SI,wastePlantStock,,capaConvResi,0.37
2030,57SI,wastePlantStock,,capaConvResi,0.37
2020,46SK,wastePlantStock,,capaConvResi,2.27
2025,46SK,wastePlantStock,,capaConvResi,2.27
2030,46SK,wastePlantStock,,capaConvResi,2.27
2035,46SK,wastePlantStock,,capaConvResi,2.27
2040,46SK,wastePlantStock,,capaConvResi,2.27
2045,46SK,wastePlantStock,,capaConvResi,1.87
2050,46SK,wastePlantStock,,capaConvResi,1.87
2020,90UK,wastePlantStock,,capaConvResi,7.75
2025,90UK,wastePlantStock,,capaConvResi,7.75
2030,90UK,wastePlantStock,,capaConvResi,7.75
2035,90UK,wastePlantStock,,capaConvResi,7.74
2040,90UK,wastePlantStock,,capaConvResi,7.74
2045,90UK,wastePlantStock,,capaConvResi,6.91
2050,90UK,wastePlantStock,,capaConvResi,5.44
2020,91UK,wastePlantStock,,capaConvResi,1.1
2025,91UK,wastePlantStock,,capaConvResi,1.1
2030,91UK,wastePlantStock,,capaConvResi,1.1
2035,91UK,wastePlantStock,,capaConvResi,1.1
2040,91UK,wastePlantStock,,capaConvResi,1.1
2045,91UK,wastePlantStock,,capaConvResi,0.98
2050,91UK,wastePlantStock,,capaConvResi,0.77
2020,92UK,wastePlantStock,,capaConvResi,12.68
2025,92UK,wastePlantStock,,capaConvResi,12.68
2030,92UK,wastePlantStock,,capaConvResi,12.68
2035,92UK,wastePlantStock,,capaConvResi,12.66
2040,92UK,wastePlantStock,,capaConvResi,12.66
2045,92UK,wastePlantStock,,capaConvResi,11.3
2050,92UK,wastePlantStock,,capaConvResi,8.89
2020,93UK,wastePlantStock,,capaConvResi,2.95
2025,93UK,wastePlantStock,,capaConvResi,2.95
2030,93UK,wastePlantStock,,capaConvResi,2.95
2035,93UK,wastePlantStock,,capaConvResi,2.95
2040,93UK,wastePlantStock,,capaConvResi,2.95
2045,93UK,wastePlantStock,,capaConvResi,2.63
2050,93UK,wastePlantStock,,capaConvResi,2.07
2020,94UK,wastePlantStock,,capaConvResi,0.61
2025,94UK,wastePlantStock,,capaConvResi,0.61
2030,94UK,wastePlantStock,,capaConvResi,0.61
2035,94UK,wastePlantStock,,capaConvResi,0.61
2040,94UK,wastePlantStock,,capaConvResi,0.61
2045,94UK,wastePlantStock,,capaConvResi,0.54
2050,94UK,wastePlantStock,,capaConvResi,0.43
2020,95UK,wastePlantStock,,capaConvResi,0.98
2025,95UK,wastePlantStock,,capaConvResi,0.98
2030,95UK,wastePlantStock,,capaConvResi,0.98
2035,95UK,wastePlantStock,,capaConvResi,0.98
2040,95UK,wastePlantStock,,capaConvResi,0.98
2045,95UK,wastePlantStock,,capaConvResi,0.87
2050,95UK,wastePlantStock,,capaConvResi,0.69
2020,28BE,offshore_a,,capaConvResi,1.15
2025,28BE,offshore_a,,capaConvResi,1.15
2030,28BE,offshore_a,,capaConvResi,1.15
2035,28BE,offshore_a,,capaConvResi,0.77
2020,32DE,offshore_a,,capaConvResi,7.25
2025,32DE,offshore_a,,capaConvResi,7.25
2030,32DE,offshore_a,,capaConvResi,7.23
2035,32DE,offshore_a,,capaConvResi,6.57
2020,72DK,offshore_a,,capaConvResi,2.07
2025,72DK,offshore_a,,capaConvResi,2.01
2030,72DK,offshore_a,,capaConvResi,1.39
2035,72DK,offshore_a,,capaConvResi,0.66
2020,74FI,offshore_a,,capaConvResi,0.15
2020,75FI,offshore_a,,capaConvResi,0.15
2020,14FR,offshore_a,,capaConvResi,0.11
2025,14FR,offshore_a,,capaConvResi,0.1
2030,14FR,offshore_a,,capaConvResi,0.09
2035,14FR,offshore_a,,capaConvResi,0.02
2020,15FR,offshore_a,,capaConvResi,0.02
2025,15FR,offshore_a,,capaConvResi,0.02
2030,15FR,offshore_a,,capaConvResi,0.02
2020,16FR,offshore_a,,capaConvResi,0.02
2025,16FR,offshore_a,,capaConvResi,0.02
2030,16FR,offshore_a,,capaConvResi,0.02
2020,17FR,offshore_a,,capaConvResi,0.11
2025,17FR,offshore_a,,capaConvResi,0.1
2030,17FR,offshore_a,,capaConvResi,0.09
2035,17FR,offshore_a,,capaConvResi,0.02
2020,21FR,offshore_a,,capaConvResi,0.11
2025,21FR,offshore_a,,capaConvResi,0.1
2030,21FR,offshore_a,,capaConvResi,0.09
2035,21FR,offshore_a,,capaConvResi,0.02
2020,22FR,offshore_a,,capaConvResi,0.11
2025,22FR,offshore_a,,capaConvResi,0.1
2030,22FR,offshore_a,,capaConvResi,0.09
2035,22FR,offshore_a,,capaConvResi,0.02
2020,26FR,offshore_a,,capaConvResi,0.11
2025,26FR,offshore_a,,capaConvResi,0.1
2030,26FR,offshore_a,,capaConvResi,0.09
2035,26FR,offshore_a,,capaConvResi,0.02
2020,99FR,offshore_a,,capaConvResi,0.02
2025,99FR,offshore_a,,capaConvResi,0.02
2030,99FR,offshore_a,,capaConvResi,0.02
2020,30NL,offshore_a,,capaConvResi,0.29
2025,30NL,offshore_a,,capaConvResi,0.27
2030,30NL,offshore_a,,capaConvResi,0.27
2020,86SE,offshore_a,,capaConvResi,0.03
2025,86SE,offshore_a,,capaConvResi,0.03
2030,86SE,offshore_a,,capaConvResi,0.03
2020,87SE,offshore_a,,capaConvResi,0.03
2025,87SE,offshore_a,,capaConvResi,0.03
2030,87SE,offshore_a,,capaConvResi,0.03
2020,88SE,offshore_a,,capaConvResi,0.03
2025,88SE,offshore_a,,capaConvResi,0.03
2030,88SE,offshore_a,,capaConvResi,0.03
2020,91UK,offshore_a,,capaConvResi,1.09
2025,91UK,offshore_a,,capaConvResi,1.08
2030,91UK,offshore_a,,capaConvResi,1.04
2035,91UK,offshore_a,,capaConvResi,0.77
2020,92UK,offshore_a,,capaConvResi,1.09
2025,92UK,offshore_a,,capaConvResi,1.08
2030,92UK,offshore_a,,capaConvResi,1.04
2035,92UK,offshore_a,,capaConvResi,0.77
2020,95UK,offshore_a,,capaConvResi,1.09
2025,95UK,offshore_a,,capaConvResi,1.08
2030,95UK,offshore_a,,capaConvResi,1.04
2035,95UK,offshore_a,,capaConvResi,0.77
2020,28BE,offshore_b,,capaConvResi,1.15
2025,28BE,offshore_b,,capaConvResi,1.15
2030,28BE,offshore_b,,capaConvResi,1.15
2035,28BE,offshore_b,,capaConvResi,0.77
2020,72DK,offshore_b,,capaConvResi,0.19
2025,72DK,offshore_b,,capaConvResi,0.18
2030,72DK,offshore_b,,capaConvResi,0.12
2035,72DK,offshore_b,,capaConvResi,0.06
2020,74FI,offshore_b,,capaConvResi,0.04
2020,75FI,offshore_b,,capaConvResi,0.04
2020,14FR,offshore_b,,capaConvResi,0.06
2025,14FR,offshore_b,,capaConvResi,0.06
2030,14FR,offshore_b,,capaConvResi,0.05
2035,14FR,offshore_b,,capaConvResi,0.01
2020,15FR,offshore_b,,capaConvResi,0.01
2025,15FR,offshore_b,,capaConvResi,0.01
2030,15FR,offshore_b,,capaConvResi,0.01
2020,16FR,offshore_b,,capaConvResi,0.01
2025,16FR,offshore_b,,capaConvResi,0.01
2030,16FR,offshore_b,,capaConvResi,0.01
2020,17FR,offshore_b,,capaConvResi,0.06
2025,17FR,offshore_b,,capaConvResi,0.06
2030,17FR,offshore_b,,capaConvResi,0.05
2035,17FR,offshore_b,,capaConvResi,0.01
2020,21FR,offshore_b,,capaConvResi,0.06
2025,21FR,offshore_b,,capaConvResi,0.06
2030,21FR,offshore_b,,capaConvResi,0.05
2035,21FR,offshore_b,,capaConvResi,0.01
2020,22FR,offshore_b,,capaConvResi,0.06
2025,22FR,offshore_b,,capaConvResi,0.06
2030,22FR,offshore_b,,capaConvResi,0.05
2035,22FR,offshore_b,,capaConvResi,0.01
2020,26FR,offshore_b,,capaConvResi,0.06
2025,26FR,offshore_b,,capaConvResi,0.06
2030,26FR,offshore_b,,capaConvResi,0.05
2035,26FR,offshore_b,,capaConvResi,0.01
2020,99FR,offshore_b,,capaConvResi,0.01
2025,99FR,offshore_b,,capaConvResi,0.01
