timestep_3,region_4,carrier_1,parameter,value
d001,26FR,psngRoadPub,mustOut,0.5844037746496814
d002,26FR,psngRoadPub,mustOut,0.5230999582646564
d003,26FR,psngRoadPub,mustOut,0.6314836024999999
d004,26FR,psngRoadPub,mustOut,0.5037631413056586
d005,26FR,psngRoadPub,mustOut,0.5346822701459116
d006,26FR,psngRoadPub,mustOut,0.4682740456565975
d007,26FR,psngRoadPub,mustOut,0.5062205098433871
d008,26FR,psngRoadPub,mustOut,0.5444055773782557
d001,27FR,psngRoadPub,mustOut,0.5844037746496814
d002,27FR,psngRoadPub,mustOut,0.5230999582646564
d003,27FR,psngRoadPub,mustOut,0.6314836024999999
d004,27FR,psngRoadPub,mustOut,0.5037631413056586
d005,27FR,psngRoadPub,mustOut,0.5346822701459116
d006,27FR,psngRoadPub,mustOut,0.4682740456565975
d007,27FR,psngRoadPub,mustOut,0.5062205098433871
d008,27FR,psngRoadPub,mustOut,0.5444055773782557
d001,28BE,psngRoadPub,mustOut,0.5844037746496814
d002,28BE,psngRoadPub,mustOut,0.5230999582646564
d003,28BE,psngRoadPub,mustOut,0.6314836024999999
d004,28BE,psngRoadPub,mustOut,0.5037631413056586
d005,28BE,psngRoadPub,mustOut,0.5346822701459116
d006,28BE,psngRoadPub,mustOut,0.4682740456565975
d007,28BE,psngRoadPub,mustOut,0.5062205098433871
d008,28BE,psngRoadPub,mustOut,0.5444055773782557
d001,29LU,psngRoadPub,mustOut,0.5844037746496814
d002,29LU,psngRoadPub,mustOut,0.5230999582646564
d003,29LU,psngRoadPub,mustOut,0.6314836024999999
d004,29LU,psngRoadPub,mustOut,0.5037631413056586
d005,29LU,psngRoadPub,mustOut,0.5346822701459116
d006,29LU,psngRoadPub,mustOut,0.4682740456565975
d007,29LU,psngRoadPub,mustOut,0.5062205098433871
d008,29LU,psngRoadPub,mustOut,0.5444055773782557
d001,30NL,psngRoadPub,mustOut,0.5844037746496814
d002,30NL,psngRoadPub,mustOut,0.5230999582646564
d003,30NL,psngRoadPub,mustOut,0.6314836024999999
d004,30NL,psngRoadPub,mustOut,0.5037631413056586
d005,30NL,psngRoadPub,mustOut,0.5346822701459116
d006,30NL,psngRoadPub,mustOut,0.4682740456565975
d007,30NL,psngRoadPub,mustOut,0.5062205098433871
d008,30NL,psngRoadPub,mustOut,0.5444055773782557
d001,31DE,psngRoadPub,mustOut,0.5844037746496814
d002,31DE,psngRoadPub,mustOut,0.5230999582646564
d003,31DE,psngRoadPub,mustOut,0.6314836024999999
d004,31DE,psngRoadPub,mustOut,0.5037631413056586
d005,31DE,psngRoadPub,mustOut,0.5346822701459116
d006,31DE,psngRoadPub,mustOut,0.4682740456565975
d007,31DE,psngRoadPub,mustOut,0.5062205098433871
d008,31DE,psngRoadPub,mustOut,0.5444055773782557
d001,32DE,psngRoadPub,mustOut,0.5844037746496814
d002,32DE,psngRoadPub,mustOut,0.5230999582646564
d003,32DE,psngRoadPub,mustOut,0.6314836024999999
d004,32DE,psngRoadPub,mustOut,0.5037631413056586
d005,32DE,psngRoadPub,mustOut,0.5346822701459116
d006,32DE,psngRoadPub,mustOut,0.4682740456565975
d007,32DE,psngRoadPub,mustOut,0.5062205098433871
d008,32DE,psngRoadPub,mustOut,0.5444055773782557
d001,33DE,psngRoadPub,mustOut,0.5844037746496814
d002,33DE,psngRoadPub,mustOut,0.5230999582646564
d003,33DE,psngRoadPub,mustOut,0.6314836024999999
d004,33DE,psngRoadPub,mustOut,0.5037631413056586
d005,33DE,psngRoadPub,mustOut,0.5346822701459116
d006,33DE,psngRoadPub,mustOut,0.4682740456565975
d007,33DE,psngRoadPub,mustOut,0.5062205098433871
d008,33DE,psngRoadPub,mustOut,0.5444055773782557
d001,34DE,psngRoadPub,mustOut,0.5844037746496814
d002,34DE,psngRoadPub,mustOut,0.5230999582646564
d003,34DE,psngRoadPub,mustOut,0.6314836024999999
d004,34DE,psngRoadPub,mustOut,0.5037631413056586
d005,34DE,psngRoadPub,mustOut,0.5346822701459116
d006,34DE,psngRoadPub,mustOut,0.4682740456565975
d007,34DE,psngRoadPub,mustOut,0.5062205098433871
d008,34DE,psngRoadPub,mustOut,0.5444055773782557
d001,35DE,psngRoadPub,mustOut,0.5844037746496814
d002,35DE,psngRoadPub,mustOut,0.5230999582646564
d003,35DE,psngRoadPub,mustOut,0.6314836024999999
d004,35DE,psngRoadPub,mustOut,0.5037631413056586
d005,35DE,psngRoadPub,mustOut,0.5346822701459116
d006,35DE,psngRoadPub,mustOut,0.4682740456565975
d007,35DE,psngRoadPub,mustOut,0.5062205098433871
d008,35DE,psngRoadPub,mustOut,0.5444055773782557
d001,36DE,psngRoadPub,mustOut,0.5844037746496814
d002,36DE,psngRoadPub,mustOut,0.5230999582646564
d003,36DE,psngRoadPub,mustOut,0.6314836024999999
d004,36DE,psngRoadPub,mustOut,0.5037631413056586
d005,36DE,psngRoadPub,mustOut,0.5346822701459116
d006,36DE,psngRoadPub,mustOut,0.4682740456565975
d007,36DE,psngRoadPub,mustOut,0.5062205098433871
