timestep_3,timestep_5,region_4,technology_3,parameter,value
d006,h0138,01ES,bevPsngRoadPub,avaConv,0.315434894785447
d006,h0139,01ES,bevPsngRoadPub,avaConv,0.343684449604183
d006,h0140,01ES,bevPsngRoadPub,avaConv,0.372469362560897
d006,h0141,01ES,bevPsngRoadPub,avaConv,0.402311836847291
d006,h0142,01ES,bevPsngRoadPub,avaConv,0.400069264603687
d006,h0143,01ES,bevPsngRoadPub,avaConv,0.384587163984345
d006,h0144,01ES,bevPsngRoadPub,avaConv,0.374872288528503
d007,h0145,01ES,bevPsngRoadPub,avaConv,0.358006489326886
d007,h0146,01ES,bevPsngRoadPub,avaConv,0.354445421708262
d007,h0147,01ES,bevPsngRoadPub,avaConv,0.368210673319393
d007,h0148,01ES,bevPsngRoadPub,avaConv,0.403582599009985
d007,h0149,01ES,bevPsngRoadPub,avaConv,0.411277173146382
d007,h0150,01ES,bevPsngRoadPub,avaConv,0.404531608763996
d007,h0151,01ES,bevPsngRoadPub,avaConv,0.376097435506843
d007,h0152,01ES,bevPsngRoadPub,avaConv,0.364145316208552
d007,h0153,01ES,bevPsngRoadPub,avaConv,0.354305131610143
d007,h0154,01ES,bevPsngRoadPub,avaConv,0.340797939928201
d007,h0155,01ES,bevPsngRoadPub,avaConv,0.354184385336897
d007,h0156,01ES,bevPsngRoadPub,avaConv,0.354378544198726
d007,h0157,01ES,bevPsngRoadPub,avaConv,0.360225420581651
d007,h0158,01ES,bevPsngRoadPub,avaConv,0.321535591158602
d007,h0159,01ES,bevPsngRoadPub,avaConv,0.341062839589438
d007,h0160,01ES,bevPsngRoadPub,avaConv,0.36566514106974
d007,h0161,01ES,bevPsngRoadPub,avaConv,0.421167635089423
d007,h0162,01ES,bevPsngRoadPub,avaConv,0.399419073440932
d007,h0163,01ES,bevPsngRoadPub,avaConv,0.424059630647888
d007,h0164,01ES,bevPsngRoadPub,avaConv,0.439585905366721
d007,h0165,01ES,bevPsngRoadPub,avaConv,0.457724847322254
d007,h0166,01ES,bevPsngRoadPub,avaConv,0.406530793922156
d007,h0167,01ES,bevPsngRoadPub,avaConv,0.350759718645311
d007,h0168,01ES,bevPsngRoadPub,avaConv,0.337878739828619
d008,h0169,01ES,bevPsngRoadPub,avaConv,0.3345689965128475
d008,h0170,01ES,bevPsngRoadPub,avaConv,0.3423863914437164
d008,h0171,01ES,bevPsngRoadPub,avaConv,0.33658680956078424
d008,h0172,01ES,bevPsngRoadPub,avaConv,0.3647289746298561
d008,h0173,01ES,bevPsngRoadPub,avaConv,0.3486675175027515
d008,h0174,01ES,bevPsngRoadPub,avaConv,0.35444905924588893
d008,h0175,01ES,bevPsngRoadPub,avaConv,0.3513649334688009
d008,h0176,01ES,bevPsngRoadPub,avaConv,0.39592355299046095
d008,h0177,01ES,bevPsngRoadPub,avaConv,0.429130509858318
d008,h0178,01ES,bevPsngRoadPub,avaConv,0.428805204791707
d008,h0179,01ES,bevPsngRoadPub,avaConv,0.3623847409982112
d008,h0180,01ES,bevPsngRoadPub,avaConv,0.3397340537249335
d008,h0181,01ES,bevPsngRoadPub,avaConv,0.3139028962100463
d008,h0182,01ES,bevPsngRoadPub,avaConv,0.34175296043646575
d008,h0183,01ES,bevPsngRoadPub,avaConv,0.2892490515672374
d008,h0184,01ES,bevPsngRoadPub,avaConv,0.2265159281730086
d008,h0185,01ES,bevPsngRoadPub,avaConv,0.17269822248281194
d008,h0186,01ES,bevPsngRoadPub,avaConv,0.1745163555141547
d008,h0187,01ES,bevPsngRoadPub,avaConv,0.2131365022610671
d008,h0188,01ES,bevPsngRoadPub,avaConv,0.2619680169552356
d008,h0189,01ES,bevPsngRoadPub,avaConv,0.2861020270559709
d008,h0190,01ES,bevPsngRoadPub,avaConv,0.30646581634274694
d008,h0191,01ES,bevPsngRoadPub,avaConv,0.25068316559747306
d008,h0192,01ES,bevPsngRoadPub,avaConv,0.18177787712671795
d001,h0001,02ES,bevPsngRoadPub,avaConv,0.364036472541741
d001,h0002,02ES,bevPsngRoadPub,avaConv,0.365381951680544
d001,h0003,02ES,bevPsngRoadPub,avaConv,0.401517893224437
d001,h0004,02ES,bevPsngRoadPub,avaConv,0.457761134814021
d001,h0005,02ES,bevPsngRoadPub,avaConv,0.517187520250949
d001,h0006,02ES,bevPsngRoadPub,avaConv,0.544823192000004
d001,h0007,02ES,bevPsngRoadPub,avaConv,0.53895718420946
d001,h0008,02ES,bevPsngRoadPub,avaConv,0.526582020781395
d001,h0009,02ES,bevPsngRoadPub,avaConv,0.508325011494557
d001,h0010,02ES,bevPsngRoadPub,avaConv,0.496434844103067
d001,h0011,02ES,bevPsngRoadPub,avaConv,0.466265713456848
d001,h0012,02ES,bevPsngRoadPub,avaConv,0.437663217296504
d001,h0013,02ES,bevPsngRoadPub,avaConv,0.401447325633659
d001,h0014,02ES,bevPsngRoadPub,avaConv,0.361320637006788
d001,h0015,02ES,bevPsngRoadPub,avaConv,0.301861414744982
d001,h0016,02ES,bevPsngRoadPub,avaConv,0.235930328778943
d001,h0017,02ES,bevPsngRoadPub,avaConv,0.22554046491579
d001,h0018,02ES,bevPsngRoadPub,avaConv,0.259388827962376
d001,h0019,02ES,bevPsngRoadPub,avaConv,0.291912367401201
d001,h0020,02ES,bevPsngRoadPub,avaConv,0.313281887988214
d001,h0021,02ES,bevPsngRoadPub,avaConv,0.341895550728382
d001,h0022,02ES,bevPsngRoadPub,avaConv,0.386008656871676
d001,h0023,02ES,bevPsngRoadPub,avaConv,0.419449418551577
d001,h0024,02ES,bevPsngRoadPub,avaConv,0.434806550077958
d002,h0025,02ES,bevPsngRoadPub,avaConv,0.438222047140591
d002,h0026,02ES,bevPsngRoadPub,avaConv,0.434598974918884
d002,h0027,02ES,bevPsngRoadPub,avaConv,0.428183301611809
d002,h0028,02ES,bevPsngRoadPub,avaConv,0.34789895361245
d002,h0029,02ES,bevPsngRoadPub,avaConv,0.348527464509807
d002,h0030,02ES,bevPsngRoadPub,avaConv,0.356069612978625
d002,h0031,02ES,bevPsngRoadPub,avaConv,0.42008153561141
d002,h0032,02ES,bevPsngRoadPub,avaConv,0.402687315236714
d002,h0033,02ES,bevPsngRoadPub,avaConv,0.368885033537594
d002,h0034,02ES,bevPsngRoadPub,avaConv,0.355691115065656
d002,h0035,02ES,bevPsngRoadPub,avaConv,0.337783400451186
d002,h0036,02ES,bevPsngRoadPub,avaConv,0.329880629755944
d002,h0037,02ES,bevPsngRoadPub,avaConv,0.323052914702635
d002,h0038,02ES,bevPsngRoadPub,avaConv,0.286338560237053
d002,h0039,02ES,bevPsngRoadPub,avaConv,0.24406486558611
d002,h0040,02ES,bevPsngRoadPub,avaConv,0.177785248186876
d002,h0041,02ES,bevPsngRoadPub,avaConv,0.126230379616939
